lemma	pos	indexes	preceding_sentences	sentences	following_sentences	dates	filenames	identifiers	descriptions
Zufall	NN	1	er ist der νομοϑετικὸς ἀνήϱ , den die Politik erzogen hat . gerade an Athen hat sie ihre praktische probe bestanden . wüſsten wir nur mehr über die verfassung und verwaltung des Demetrios , so würden wir das noch im einzelnen verfolgen können , aber für jeden , der nicht durch phrasen geblendet ist oder auf ein modernes politisches credo eingeschworen , gibt die würdelosigkeit des volkes und seiner demagogen , die vor den füſsen des Demetrios Poliorketes hündisch schwänzeln , der schmutz mit dem der elende Demochares das gedächtnis des Platon und Aristoteles bewirft und das elend der neunziger jahre eine folie ab , dunkel genug , daſs sich auch bei dem trüben lichte unserer überlieferung die segensreiche verwaltung des Demetrios deutlich abhebt .	Der zufall fügte es , daſs wieder stadt und hafen im gegensatze standen wie 403 , aber Demetrios hat wol bewuſst die ähnlichkeit gesucht , die das lobdekret der Aixoneer CIA II 584 andeutet .	Wenn wir nun Politien und Politik zusammenhalten , wie sie zu einander gehören und im ganzen gleichzeitig verfaſst sind , so wird das urteil ohne zweifel dadurch etwas einseitig ausfallen , daſs wir ja nur das erste buch der Politien lesen . allein Athen ist und bleibt doch die hauptsache . gewiſs hat sich Aristoteles ein sehr groſses verdienst dadurch erworben , daſs er die spartanische legende , die auf Platon und Xenophon eine so starke macht ausgeübt hatte , mitleidslos zerstört hat , das sehen wir auch noch genügend in der Politik . aber davon war der ertrag , daſs die politische theorie begriff , von Sparta positiv so gut wie nichts lernen zu können .	0	0	control_1	0
Zufall	NN	6	Ich muß lachen , ich muß lachen .	Eure Hoheiten ſind wahrhaftig durch den Zufall einander zugefallen ; ich hoffe , Sie werden dem Zufall zu Gefallen — Gefallen aneinander finden .	Gouvernante .	0	0	control_2	0
abgebrüht	ADJ	8	36. Sagoſuppe mit rothem Wein .	Der Sago wird zwei Mal mit heißem Waſſer abgebrüht , mit kaltem , weichem Waſſer zu Feuer gebracht und mit einigen Zitronenſcheiben weich gekocht , welches etwa 2 Stunden dauert .	Dann gibt man eben ſo viel rothen Wein , als man Suppe hat , dazu , verſüßt ſie gehörig mit Zucker , läßt ſie eben zum Kochen kommen und richtet ſie mit etwas feinem Zimmet an .	0	0	control_3	0
abgebrüht	ADJ	21	Mit der Aufzählung positiver und negativer Eigenschaften ist seiner Persönlichkeit nicht beizukommen .	Wenn auch sein Auftreten keinen Sonnenschein mit sich bringt , so gehört doch die Behauptung seiner Gegner , ein kaltherziger , abgebrühter Machtmensch zu sein , wohl ein wenig ins Reich der Fabel .	Den Ruhm, bedeutend zu sein , können ihm auch seine Gegner nicht absprechen .	0	0	control_4	0
Donnerwetter	NN	5	Es gibt im Sommer oͤfters eine Witterung die man ſchwuͤlle Waͤrme nennet .	Die gewoͤhnlichen Folgen davon ſind Donnerwetter .	Dieſe ſchwuͤlle Waͤrme iſt oͤfters bey truͤben Himmel ; und das Thermometer beweißt , daß bey dieſer Witterung die Hitze nicht ſo groß ſeye , als ſie nach ihrer Empfindung ſcheint .	0	0	control_5	0
Donnerwetter	NN	2	Doch ich breche dieſen Gegenſtand ab , da er nicht eigentlich zu meinem Plan gehoͤrt .	Verhalten bey Donnerwettern .	Auſer den Wetterableitern gibt es bisher kein anderes zuverlaͤßiges Mittel , ſich vor dem Blitz in Sicherhit zu ſetzen .	0	0	control_6	0
artikulieren	VV	3	Aber noch weit zahlreicher sind die Glieder jener Arme , die aufs regelmäſsigste von der Basis bis zur Spitze an Gröſse abnehmen .	Jeder der Arme artikulirt wieder nach innen an beyden Seitenrändern mit einer höchst zart gefiederten Flosse, und von diesen Flossen sind endlich noch die einzelnen Fäden aufs feinste gegliedert (c).	 	0	0	control_7	0
artikulieren	VV	7	— Francois Simon Bernard , der bekannte Clubchef , stand gestern vor den Seine-Assisen .	Die Staatsanwaltschaft hatte dreizehn Verbrechen gegen ihn artikulirt , welche alle gegen die drei Grundpfeiler der bürgerlichen Gesellschaft ( Religion , Eigenthum und Familie ) anstürmen .	Nachdem ihn der Präsident nach Namen , Stand und Wohnung gefragt , begann Bernard :	0	0	control_8	0
artikulieren	VV	7	— Francois Simon Bernard , der bekannte Clubchef , stand gestern vor den Seine-Assisen .	Die Staatsanwaltschaft hatte dreizehn Verbrechen gegen ihn artikulirt , welche alle gegen die drei Grundpfeiler der bürgerlichen Gesellschaft ( Religion , Eigenthum und Familie ) anstürmen .	Nachdem ihn der Präsident nach Namen , Stand und Wohnung gefragt , begann Bernard :	0	0	control_9	0
artikulieren	VV	7	 	Das Geschieh ts- Verständnis der jungen Generation artikuliert sich unter anderem in der Darstellung von Stätten der Revolution .	 	0	0	control_10	0
Zufall	NN	16	— In dieſem Gefuͤhle ſchreib’ ich Dir , Freund , Bruder , meine Seele ſucht Theilnahme und findet ſie bei Dir am reinſten und waͤrmſten .	Ich bin nie ſo aufmerkſam als in dieſen Augenblicken darauf geweſen , wie von einem kleinen Zufalle , von einer unbedeutenden Kleinigkeit oft die Wendung unſers Charakters abhaͤngt .	Ein unmerklicher Schlag richtet und formt unſern Geiſt oft anders ; wer kennt die Regeln , nach denen unſer ſchuͤtzender Genius umgewechſelt wird ? — Eduard , eine dunkle , ungewiſſe Ahndung hat mich befallen , als ſei hier , in dieſen Momenten eine der Epochen meines Lebens , mir iſt , als ſaͤh’ ich meinen guten Engel weinend von mir Abſchied nehmen , der mich nun unbewacht dem Spiel des Verhaͤngniſſes uͤberlaͤßt , — als ſei ich in eine dunkle Wuͤſte hinausgeſtoßen , wo ich unter den daͤmmernden Schatten halb ungewiſſe feindſelige Daͤmonen entdecke .	0	0	control_11	0
Zufall	NN	1	Gebiet’rin , die Du biſt , geſtatte mir noch oft Geſtändniß all’ des Glücks , drauf meine Seele hofft , Geſtändniß deſſen all’ , was ich bisher bezwungen , Darbringungen im Lied all’ meiner Huldigungen .	Ein Zufall und — ſo wenig dichteriſchen Werth dieſe Dinge haben mögen , — doch muß ich ſagen ein glücklicher Zufall hat uns die Reimzeilen aufbewahrt , mit denen Frau von Wreech die poetiſche Adreſſe des Kronprinzen beantwortete .	Dieſe Antwortszeilen ſind nämlich als Brouillon , als Entwurf auf die Rückſeite des Kronprinzlichen Briefes geſchrieben und lauten wie folgt :	0	0	control_12	0
englisch	ADJ	36	Weiter ging , wie es scheint , die unmittelbare Aenderung der Verfassung nicht .	Daſs die Vertreibung der Tarquinier nicht , wie die kläglichen Berichte sie darstellen , das Werk eines von Mitleid und Freiheitsenthusiasmus berauschten Volkes war , sondern das Werk zweier groſser politischer Parteien , die wie die englischen Tories und Whigs 1688 durch die gemeinsame Gefahr , das Gemeinwesen in die Willkürregierung eines Herren verwandelt zu sehen , einen Augenblick vereinigt wurden , um den Staat zu retten und dann sofort wieder sich zu entzweien — das kann nur verkennen , wer entweder die Thatsachen nicht kennt oder nicht weiſs , was ein Gemeinwesen ist .	Solche Transactionen beschränken zu allen Zeiten sich auf das geringste Maſs gegenseitiger durch mühsames Abdingen gewonnener Concessionen , und lassen die Zukunft entscheiden , wie im Einzelnen das Schwergewicht der constitutiven Elemente sich stellt und wie sie in einander greifen oder gegen einander wirken .	0	0	control_13	0
englisch	ADJ	31	Es iſt hierzu ein beſonderes allgemeines Poſthaus zu London angeleget , ſo in 2 Departements eingetheilet :	das eine iſt zu den Briefen und Packeten , ſo in auswaͤrtige Laͤnder , und außerhalb des Reichs gehen , beſtellet ; und das andere zu denen , ſo in die engliſchen Provinzen , nach Schottland und Jrrland , geſchickt werden ſollen .	§. 183 .	0	0	control_14	0
Bilanz	NN	0	bidermann , wer darunter verſtanden wird 3506 .	bilanz , bilance , oder balanze , diſes wort hat zweierlei haubtbedeutungen 4867 , einteilung derſelben 4868 , andre gattungen derſelben 4869 .	bildhauer , werden zu den kuͤnſtlern gerechnet 254 .	0	0	control_15	0
Bilanz	NN	24	Taͤglich ſinnt er auf neue Methoden , ſeine Beduͤrfniſſe mit noch weniger Geldaufwand zu ſtillen , und oͤkonomiſchere Einrichtungen zu treffen .	Es gewaͤhrt ihm eine angenehme Unterhaltung , den Aufwand Andrer nachzurechnen , und mit dem Seinigen zu vergleichen ; nur muß bey der gemachten Bilanz der Vortheil auf ſeiner Seite ſeyn ; denn , wenn das Gegentheil ſtatt findet , wird er von den heftigſten Gewiſſensbiſſen gepeinigt .	Wagt er es einmal , ſich ein Vergnuͤgen fuͤr Geld zu verſchaffen ; ſo hat er hundert Gruͤnde , ſich vor ſeinem kargen Gewiſſen zu rechtfertigen , und wiederholt es , dem Scheine nach Andern , in der That aber ſich ſelbſt , unzaͤhligemal , daß man bey einer ſolchen Veranlaſſung ſich wohl einmal etwas zu gute thun koͤnne ; es ſey ja , wenn man nur wolle , leicht , dies nachher wieder zu erſparen . —	0	0	control_16	0
packen	VV	21	Sauerkraut war auch noch vorraͤthig und vom guten Geſchmack , und ſowohl dieſes als das friſche Wort oder Wuͤrze , diente zum Praͤſervativ gegen den Schaarbok .	Nur Schade , daß das Malz groͤßtentheils ſeine Kraft verlohren hatte , weil es in friſche , nicht gehoͤrig ausgetroknete Faͤßer gepackt worden , und deshalb verdorben war .	Ich trank reichlich davon , konnte aber dennoch nicht verhindern , daß mir die Fuͤße von Zeit zu Zeit anſchwollen und ſehr empfindlich ſchmerzten .	0	0	control_17	0
packen	VV	75	Man kann nicht behaupten , daß ſie ſchlecht kletterten : ſie ſind im Gegentheil ſehr geſchickt ; aber niemals machen ſie , wie andere Affen , weite , niemals gewagte Sprünge .	Beim Dahinſchreiten halten ſie ſich feſt auf dem Aſte an , bis der hin- und hertaſtende Schwanz einen ſichern Halt gefunden und denſelben in einer oder zwei Windungen umſchlungen hat ; beim Herabklettern halten ſie ſich ſo lange an dem Aſte , welchen ſie verlaſſen wollen , bis ſie mit den Händen einen neuen ſichern Halt gefunden haben , beim Aufwärtsſteigen an dem untern Aſte , bis ſie mit allen vier Füßen den obern ſicher gepackt haben .	Die Kraft des Schwanzes iſt größer , als die der Hände .	0	0	control_18	0
Presse	NN	58	Jndeſſen hat doch auch dieſe Nuzzbarkeit ihre Grenzen ; denn es ſchadet allerdings die Dichtigkeit der Luft , wenn ſie gar zu gros iſt . Und dieſes geſchicht unter der gemeinen Taͤucherglokke , in welche das Waſſer bei einer groͤſſern Meerestiefe eintritt , die Luft in die Glokke hinauf treibt , und verdichtet .	Alsdenn wird der Bauch zuſammen gedruͤkkt , das Atemholen ſchwer gemacht , und es dringt alsdenn die Luft nicht ohne Schmerzen in den Gehoͤrgang , die Aerme ſcheinen gleichſam als mit einem Strikke gebunden zu ſeyn , bisweilen iſt ſo gar das Trummelhaͤutchen im Ohre zerriſſen gefunden worden , das Blut iſt , als ob man unter einer Preſſe gelegen , aus Auge und Naſe gedrungen , und es entſteht endlich ein ſo groſſer Widerſtand des Herzens , daß der Umlauf beinahe aufgehoben wird , daß einige umgekommen .	Es ſtarb in einer Luft , die bis auf den zwanzigſten Theil ihres Umfanges verdichtet war , eine Maus , und in einer dreifach dichteren , ein Fiſch . Diejenigen Fichſe , welche der beruͤhmte la Pomerhaie in eine enge Buͤchſe eingeſchloſſon , und mit wenigem Waſſer auf den Boden des Meeres herabgelaſſen hatte , ſcheinen wohl von der uͤbermaͤßigen Schwere des Waſſers erſtikkt zu ſeyn .	0	0	control_19	0
Presse	NN	4	Denn dieſe entſtanden nun faſt gleichzeitig mit den neuen Strafgeſetzbüchern und — wir können es faſt nicht anders ausdrücken — nahmen der theoretiſchen Behandlung die Anwendung jener allgemeinen Begriffe faſt unter den Händen weg , indem ſie die Frage nach dem entfernten und nähern Verſuch , nach intellectueller Urheberſchaft und Theilnehmern , nach Thatbeſtand und Strafe in ihren einzelnen Beſtimmungen über Druck , Verlag , Verfaſſer , Verbreiter , öffentlichem Anſchlag u. ſ. w. in einer Weiſe ſpecialiſirten , daß für die Theorie nichts übrig blieb .	Statt der Aufnahme der Preſſe in das Strafrecht entſtand daher jetzt eine zweite Literatur , die Legalmethode in ihrer Anwendung auf das Preßrecht , als einfache Auslegung der beſtehenden Preßgeſetze .	Und auf dieſem Gebiete bewegt ſich auch jetzt noch die betreffende Literatur .	0	0	control_20	0
Ball	NN	11	Nun wollen wir dir auch eine Belohnung zukommen lassen und mit dir ausgehen .	Wir werden dich heute zurechtmachen und dann gehen wir zu einem Ball im Schloss Fürstenau in Badenbaden .	Sie führten mich ins Bad und meine Schlösser an Kleid , Mieder und den Heels wurden aufgeschlossen .	0	0	control_23	0
Ball	NN	12	Beim Völkerball werden zwei Teams gebildet , die sich auf jeweils einer Seite des Feldes gegenüberstehen .	Dann geht es darum , die Spieler der gegnerischen Mannschaft mit einem Ball abzuwerfen , bis nur noch ein Akteur übrig ist .	Seit Generationen gehört Völkerball zum Sportunterricht in Deutschland und vielen anderen Ländern fest dazu .	0	0	control_24	0
glänzend	ADJ	19	Noch eine andere Art des Betrugs iſt / wann man die Steine durch ein klein gemachtes Loͤchlein aushoͤhlet / und an ſtat deſſen etwas weniges von einem Sapphier oder Cryſtall / ſammt einen Tropffen einer durchſichtigen Feuchtigkeit hinein thut / ſo wird der Leib des Steins fuͤrtrefflich leuchten.	Die Erhoͤhung der Farben an den natuͤrlichen Edelgeſteinen / geſchiehet vermittels der unterlegten metalliſchen Folien und der darzwiſchen gethanen glaͤntzenden Materia , welche alſo bereitet wird :		0	0	control_25	0
glänzend	ADJ	40	aber ſobald er dies gewonnen , veredelte er ſich unablaͤſſig von innen heraus und ſein Leben ward nichts Anderes , als die Erfuͤllung ſeines innerſten Weſens , die folgerechte und kryſtallreine Arbeit der Wahrheit und des Idealen , die in ihm und ſeiner Zeit lagen .	Und dieſes einfach fleißige Daſein verſchaffte ihm Alles , was ſeinem perſoͤnlichen Weſen gebuͤhrte ; denn da er , mit Reſpect zu melden , bei alledem ein Stubenſitzer war , ſo lag es nicht in demſelben , ein reicher und glaͤnzender Weltmann zu ſein .	Eine kleine Abweichung in ſeinem leiblichen und geiſtigen Charakter , die eben nicht Schilleriſch war , und er waͤre es auch geworden Aber nach ſeinem Tode erſt , kann man ſagen , begann ſein ehrliches , klares und wahres Arbeitsleben ſeine Wirkung und ſeine Erwerbsfaͤhigkeit zu zeigen	0	0	control_26	0
Maus	NN	6	Hallo , 	"In einem Programm platziere ich die Maus immer auf einen ""Weiter""-Button und gebe dann mit der Tastatur ein paar Daten ein und muß dann den nächsten Datensatz bearbeiten . "	Dabei stört mich eben das greifen zur Maus um die linke Maustaste zu drücken ( und nur das ) .	0	0	control_27	0
Maus	NN	14	Die Gaunerſprache macht aber gerade beim Spiele , namentlich in den Glücksbuden , von ihrem geheimen Abſolutismus eine ganz eigenthümliche Digreſſion zu einer beſondern Popularität hin . 	Sie macht ſich mit ihren Opfern ſo populär wie die ſpielende Katze mit der Maus , und ihre Art und Weiſe erſcheint nur dem Kenner nicht arg- und gefahrlos .	Bei allem bittern Hohn , allem frechen Spott , aller frivolen Frechheit der Gaunerſprache , welche ihr charakteriſtiſches Kriterium .	0	0	control_28	0
