lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
Aufkommen	NOUN	1850	1	Aufkommen-c1-i11	 	Auch hat nicht jeder Gelehrte Neigung, an solchem Principienstreit sich zu betheiligen, zumal auf der Seite der älteren Annahmen, und nicht wenige frühere eifrige Mitarbeiter, namentlich fast alle die, deren Hauptstärke im Sanskrit liegt, haben sich seit dem Aufkommen der neuen Meinungen von der Sprachforschung zurückgezogen.	259:268	0:327
Aufkommen	NOUN	1850	1	Aufkommen-c1-i45	 	Insofern diese Dichtform fähig war jeden Inhalt in sich aufzunehmen und jedes Mass gestattete, gleich dem Textgedichte, das vor dem Aufkommen des Schauspiels den Flötenstücken zu Grunde gelegt und durch Ennius auch in die Litteratur eingeführt worden war, ward der Name des letzteren, der Satura, auch auf die lucilische Dichtung angewandt; allein die Aehnlichkeit zwischen der älteren und der lucilischen Satura beruhte doch mehr in negativen als in positiven Momenten und in Wahrheit mag die letztere mit ihrem kaustischen, capriciösen, durchaus individuellen Charakter neben der älteren Satura gestanden haben etwa wie Byrons Beppo und Don Juan neben dem wirklichen komischen Epos.	132:141	0:684
Aufkommen	NOUN	1850	1	Aufkommen-c1-i61	 	Speziell für die deutsche Geschichtsschreibung traf es sich weiter noch misslich, dass nicht nur ein gutmütiger Eifer, wie ihn Berger bezgl. der Römerstrassen konstatiert, sondern auch eine vom Geschäftsinteresse angespornte Tendenz die Phantasie erhitzte: mit dem Aufkommen des Taxis’schen Postregals nämlich hatten deren Sachwalter zuerst das Bestreben, das Regal nach den Grundsätzen des neu rezipierten römischen Rechtes zu begründen und zu erweitern, und dann in den späteren Jahrhunderten ein Interesse daran, das Kaiserliche Privileg in eine möglichst ferne Zeit zurückzudatieren.	265:274	0:587
Aufkommen	NOUN	1850	1	Aufkommen-c1-i74	 	Es ist richtig, dass mit dem Aufkommen der Manufaktur im Unterschied zum Handwerk sich Spuren der Kinderexploitation zeigen.	29:38	0:124
Aufkommen	NOUN	1850	1	Aufkommen-c1-i90	 	Gegen dieses landesherrliche Monopol ist die Forderung der klagenden Gewerke der Hessen-Zeche bei Weilmünster vom Jahre 1536 gerichtet, der Landesherr wolle die das Aufkommen des Bergwerks schädigenden Rennwerke bis auf weiteres ausser Betrieb setzen.	165:174	0:251
Aufkommen	NOUN	1850	1	Aufkommen-c1-i37	 	Bei den Römern standen die verschiedenen Handwerke in einer genauen Verbindung mit dem religiösen Cultus und die Gesellenweihe war wesentlich eine Reinigungsweihe verbunden mit Opfern und Opfermalen; durch das Aufkommen des Christenthums im römischen Reiche wurde der religiöse Charakter an sich nicht geändert, sondern blos im christlichen Sinne umgestaltet.	210:219	0:359
Aufkommen	NOUN	1850	1	Aufkommen-c1-i25	 	Früher war sie auch in England vorherrschend; mit dem Aufkommen des Handels und der Gewerbe trat aber Zerschlagung in mittlere Wirthschaften und Verpachtung an ihre Stelle.“	54:63	0:173
Aufkommen	NOUN	1850	1	Aufkommen-c1-i84	 	Die Unterschiede zwischen Stadt und Land verwischen sich: in der Nähe der aufblühenden Industrie-Städte durch die Hinausschiebung der Gewerbeanlagen und Arbeiterwohnungen in die Vor-und Außenorte, in der Nähe der sinkenden „Ackerstädte“ durch Annäherung der letzteren an die umliegenden Landorte und durch das Aufkommen volkreicher Industriedörfer.	310:319	0:348
Aufkommen	NOUN	1850	1	Aufkommen-c1-i73	 	Wird doch erst mit dem Aufkommen des marktwirtschaftlichen Grossbetriebs der ursprüngliche Hof-(bezw. Korporations-)dienst in eine gemeinwirtschaftliche Anstalt umgewandelt, und für das » gemeine Wesen « eingerichtet.	23:32	0:217
Aufkommen	NOUN	1850	1	Aufkommen-c1-i38	 	Das wichtigste Moment in diesem ganzen Processe ist zweifellos das Aufkommen der Umrisslinie, mittels welcher man das Bild eines Naturwesens auf eine gegebene Fläche bannte.	67:76	0:173
Aufkommen	NOUN	1850	1	Aufkommen-c1-i27	 	Die angelsächsischen Zwölf-oder Zehnschaften hatten gewiss auch nach der Besitznahme des Landes noch längere Zeit die alte militärische Bedeutung, mussten zum Schwerte greifen, wenn es dem Kampfe galt, und standen als Krieger wie als Hofbesitzer gegenseitig vollkommen gleich; alles dieses änderte sich jedoch, die alten Frithborgen zerfielen, als die Militär-und Grundbesitzverhältnisse sich änderten und umgestalteten; jedoch die eingreifendste Veränderung erfolgte mit dem Aufkommen der Städte, indem hier die hofrechtlichen, die landwirthschaftlichen Verhältnisse, – der Gutsbesitz in den Hintergrund treten mussten.	476:485	0:620
Aufkommen	NOUN	1850	1	Aufkommen-c1-i32	 	Dieses gewaltsame Mittel, Seelen zu erobern, war zwar nach spanischem Gesetz verboten, wurde aber von den bürgerlichen Behörden geduldet und von den Oberen der Gesellschaft, als der Religion und dem Aufkommen der Missionen förderlich, höchlich gepriesen.	199:208	0:254
Aufkommen	NOUN	1850	1	Aufkommen-c1-i18	 	Von den übrig bleibenden Pflanzenbüscheln zieht man alle Pflanzen bis auf die stärkste aus und legt sie zwischen die Reihen, um dem Unkraute das Aufkommen zu erschweren.	145:154	0:169
Aufkommen	NOUN	1850	1	Aufkommen-c1-i10	 	Was den wissenschaftlichen Gehalt der in den Ephemeriden enthaltenen und der besonders herausgegebenen Arbeiten betrifft, so ist allerdings davon nichts zu bemerken, daß sich der Einfluß der neueren Richtung, wie eine solche theils durch Einführung des Mikroskops und anderer Beobachtungsmittel, theils durch das Aufkommen einer gesunden Skepsis vorbereitet wurde, schnell geltend gemacht hätte.	313:322	0:395
Aufkommen	NOUN	1850	1	Aufkommen-c1-i29	 	Und doch heißt es noch 1830 in der Kabinetsordre vom 21. August 1830, die Majorität des posenschen Landtags sei mit den Staats-und Provinzialbehörden darin einverstanden gewesen, daß die große Zahl der Jahrmärkte in dortiger Provinz auf die Sittlichkeit der Einwohner ebenso nachtheilig wirke als auf das Aufkommen des dortigen Verkehrs, und es sollen daher in keiner Stadt jährlich mehr als vier Märkte gehalten werden.	305:314	0:420
Aufkommen	NOUN	1850	1	Aufkommen-c1-i95	 	wer das Aufkommen der sog. weltlichen Stoffe beklagt, der muß auch den Sieg des ächt malerischen Styls als Ausdruck des Verfalls beurtheilen, wer dagegen dort naturgemäße Entwicklung sieht, der findet auch hier nichts Anderes, als eine Erhebung der Malerei zu der Form, die ihrem eigentsten Wesen entspricht.	8:17	0:308
Aufkommen	NOUN	1850	1	Aufkommen-c1-i9	 	Gleichzeitig beginnt die Produktionsteilung; ihre ganze Kraft entfaltet die letztere aber erst nach dem Aufkommen der Arbeitszerlegung und der Arbeitsverschiebung, welche beide sich kaum über das XVII. Jahrhundert zurückverfolgen lassen.	104:113	0:237
Aufkommen	NOUN	1850	1	Aufkommen-c1-i12	 	Da es bei allen Untersuchungen höchst wichtig ist, falsche Ansichten, welche sich festgesetzt haben und das Aufkommen der Wahrheit verhindern, wegzuschaffen, so müssen wir mit unserm ausscheidenden Bemühen noch fortfahren: und zwar dies um so mehr, als jede gründliche Negation auf eine Position hinweist; denn diese Position ist eben der Grund des Negirens und der wahre Kern und die Kraft der Negation.	108:117	0:404
