identifier1	identifier2	annotator	judgment	comment	lemma
Angesicht-c1-i56	Angesicht-c1-i8	stekade	1	 	Angesicht
Angesicht-c2-i90	Angesicht-c1-i93	stekade	1	 	Angesicht
Angesicht-c1-i56	Angesicht-c1-i16	stekade	0	 	Angesicht
Angesicht-c2-i54	Angesicht-c1-i26	stekade	1	 	Angesicht
Angesicht-c2-i18	Angesicht-c1-i93	stekade	3	 	Angesicht
Angesicht-c2-i29	Angesicht-c1-i16	stekade	2	 	Angesicht
Angesicht-c2-i32	Angesicht-c1-i8	stekade	4	 	Angesicht
Angesicht-c2-i49	Angesicht-c1-i26	stekade	2	 	Angesicht
Angesicht-c2-i18	Angesicht-c2-i50	stekade	3	 	Angesicht
Angesicht-c2-i54	Angesicht-c1-i93	stekade	3	 	Angesicht
Angesicht-c2-i15	Angesicht-c1-i26	stekade	2	 	Angesicht
Angesicht-c2-i50	Angesicht-c1-i16	stekade	0	 	Angesicht
Angesicht-c1-i93	Angesicht-c1-i26	stekade	2	 	Angesicht
Angesicht-c2-i50	Angesicht-c1-i26	FWetzel	2	 	Angesicht
Angesicht-c2-i36	Angesicht-c1-i8	stekade	1	 	Angesicht
Angesicht-c1-i93	Angesicht-c1-i8	stekade	0	 	Angesicht
Angesicht-c2-i29	Angesicht-c1-i26	stekade	3	 	Angesicht
Angesicht-c1-i97	Angesicht-c1-i26	stekade	1	 	Angesicht
Angesicht-c2-i76	Angesicht-c1-i26	stekade	1	 	Angesicht
Angesicht-c2-i36	Angesicht-c1-i16	stekade	0	 	Angesicht
Angesicht-c1-i16	Angesicht-c1-i26	stekade	0	 	Angesicht
Angesicht-c1-i93	Angesicht-c1-i16	stekade	0	 	Angesicht
Angesicht-c2-i82	Angesicht-c1-i26	stekade	3	 	Angesicht
Angesicht-c1-i56	Angesicht-c1-i93	stekade	2	 	Angesicht
Angesicht-c2-i90	Angesicht-c1-i16	stekade	0	 	Angesicht
Angesicht-c2-i90	Angesicht-c1-i26	stekade	1	 	Angesicht
Angesicht-c2-i55	Angesicht-c1-i8	stekade	1	 	Angesicht
Angesicht-c2-i15	Angesicht-c1-i93	stekade	0	 	Angesicht
Angesicht-c1-i97	Angesicht-c1-i93	stekade	1	 	Angesicht
Angesicht-c2-i50	Angesicht-c1-i26	stekade	1	 	Angesicht
Angesicht-c2-i75	Angesicht-c2-i90	stekade	4	 	Angesicht
Angesicht-c2-i82	Angesicht-c1-i8	stekade	3	 	Angesicht
Angesicht-c2-i82	Angesicht-c1-i93	stekade	3	 	Angesicht
Angesicht-c2-i79	Angesicht-c1-i97	stekade	2	 	Angesicht
Angesicht-c1-i56	Angesicht-c1-i26	stekade	3	 	Angesicht
Angesicht-c1-i8	Angesicht-c1-i26	stekade	2	 	Angesicht
Angesicht-c2-i32	Angesicht-c1-i16	stekade	1	 	Angesicht
Angesicht-c2-i79	Angesicht-c1-i26	stekade	3	 	Angesicht
Angesicht-c2-i82	Angesicht-c1-i16	stekade	0	 	Angesicht
Angesicht-c1-i97	Angesicht-c1-i16	stekade	0	 	Angesicht
Angesicht-c2-i50	Angesicht-c1-i93	stekade	3	 	Angesicht
Angesicht-c1-i56	Angesicht-c1-i26	FWetzel	4	 	Angesicht
Angesicht-c1-i97	Angesicht-c1-i93	FWetzel	4	 	Angesicht
Angesicht-c1-i93	Angesicht-c1-i16	FWetzel	3	 	Angesicht
Angesicht-c2-i49	Angesicht-c1-i26	FWetzel	2	 	Angesicht
Angesicht-c1-i56	Angesicht-c1-i8	FWetzel	2	 	Angesicht
Angesicht-c2-i18	Angesicht-c1-i93	FWetzel	3	 	Angesicht
Angesicht-c2-i15	Angesicht-c1-i93	FWetzel	3	 	Angesicht
Angesicht-c2-i90	Angesicht-c1-i26	FWetzel	2	 	Angesicht
Angesicht-c2-i18	Angesicht-c2-i50	FWetzel	4	 	Angesicht
Angesicht-c1-i16	Angesicht-c1-i26	FWetzel	2	 	Angesicht
Angesicht-c2-i50	Angesicht-c1-i93	FWetzel	3	 	Angesicht
Angesicht-c2-i15	Angesicht-c1-i26	FWetzel	2	 	Angesicht
Angesicht-c2-i82	Angesicht-c1-i8	FWetzel	4	 	Angesicht
Angesicht-c1-i97	Angesicht-c1-i26	FWetzel	2	 	Angesicht
Angesicht-c2-i75	Angesicht-c2-i90	FWetzel	4	 	Angesicht
Angesicht-c1-i56	Angesicht-c1-i16	FWetzel	2	 	Angesicht
Angesicht-c2-i90	Angesicht-c1-i16	FWetzel	3	 	Angesicht
Angesicht-c2-i82	Angesicht-c1-i26	FWetzel	2	 	Angesicht
Angesicht-c2-i82	Angesicht-c1-i93	FWetzel	3	 	Angesicht
Angesicht-c2-i79	Angesicht-c1-i26	FWetzel	4	 	Angesicht
Angesicht-c1-i93	Angesicht-c1-i26	FWetzel	2	 	Angesicht
Angesicht-c2-i29	Angesicht-c1-i26	FWetzel	2	 	Angesicht
Angesicht-c2-i54	Angesicht-c1-i26	FWetzel	2	 	Angesicht
Angesicht-c2-i36	Angesicht-c1-i16	FWetzel	3	 	Angesicht
Angesicht-c2-i79	Angesicht-c1-i97	FWetzel	2	 	Angesicht
Angesicht-c1-i56	Angesicht-c1-i93	FWetzel	2	 	Angesicht
Angesicht-c2-i82	Angesicht-c1-i16	FWetzel	3	 	Angesicht
Angesicht-c1-i93	Angesicht-c1-i8	FWetzel	3	 	Angesicht
Angesicht-c2-i55	Angesicht-c1-i8	FWetzel	3	 	Angesicht
Angesicht-c2-i32	Angesicht-c1-i8	FWetzel	4	 	Angesicht
Angesicht-c1-i97	Angesicht-c1-i16	FWetzel	4	 	Angesicht
Angesicht-c2-i76	Angesicht-c1-i26	FWetzel	2	 	Angesicht
