lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
Angesicht	VERB	1968	2	Angesicht-c2-i79	 	Es gibt dort hochalpine Abfahrten im Angesicht des majestätischen Elbrus (mit einigen Härten).	37:46	0:94
Angesicht	VERB	1850	1	Angesicht-c1-i57	 	Da gahet so viele junge Lude uwer Feld un söket, dat is gans ut der Wiese (über alle Maßen), denn jeder hadde de drei Kinner geren had, wiil se wören gegen jedermann so fründlig un so schön von Angesichte west.	194:204	0:210
Angesicht	VERB	1850	1	Angesicht-c1-i51	 	Der Junge starrte ihn an; ein Entsetzen lag plötzlich auf seinem sonst so kecken Angesicht, das auch dem Knechte nicht entging.	81:90	0:127
Angesicht	VERB	1968	2	Angesicht-c2-i49	 	Deshalb, weil man sich nicht mit der Situation zufriedengeben kann, in der sich die Welt vor Eintritt in das dritte Jahrtausend befindet: im Angesicht der Gefahr der Vernichtung, im Zustand ständiger Spannungen; in einer Atmosphäre des Mißtrauens und der Zwietracht, wobei ungeheure Mittel, die Arbeit und das Talent von Millionen Menschen darauf verwendet werden, den gegenseitigen Argwohn und die Ängste zu vergrößern.	141:150	0:420
Angesicht	VERB	1850	1	Angesicht-c1-i16	 	Fünfzig Polen wurden in Kronstadt, im Hafen, wie im Angesichte ganz Europas, auf Tod und Leben gegeiselt, weil sie ihr Vaterland nicht abschwören, weil sie dem Nicolaus nicht Treue schwören wollten.	52:62	0:198
Angesicht	VERB	1968	2	Angesicht-c2-i82	 	Weiß nicht, welchen Rang dieser Märtyrer oder Gerechte vor Gottes Angesicht bekleidet und wie er heißt, aber ein Heiliger Wars Stand hier am Tisch und rief zornig:.Saweli Astafjew Magara! ' Klein und schmächtig, sah er unscheinbar aus, aber seine Stimme glich der des Landamtmanns.	66:75	0:281
Angesicht	VERB	1850	1	Angesicht-c1-i58	 	Er hat bräunliche Haare, wie die Farbe einer reifen Haselnuß, oben glatt und dunkel, doch unten zu etwas kraus und heller um die Schultern, auf dem Haupte getheilt, nach Art der Nazaräer; eine freie Stirn und munteres Angesicht, ohne Runzeln und Flecken, mit einer mäßigen Röthe geziert; Nase und Mund sind ohne Tadel, sein voller Bart, dem Haupthaare ähnlich, ist nicht lang und in der Mitte gespalten.	218:227	0:403
Angesicht	VERB	1850	1	Angesicht-c1-i63	 	Ein dritter fragt nicht erst, was ihm der Herr befiehlt, Er sieht sein Angesicht, und weiß worauf er zielt.	71:80	0:107
Angesicht	VERB	1968	2	Angesicht-c2-i25	 	Deine Taten, deine Werke, froh und stolz dein Angesicht!	46:55	0:56
Angesicht	VERB	1968	2	Angesicht-c2-i29	 	Vor allem müssen wir stärker beachten, daß die heutige junge Generation die alte, kapitalistische Zeit nicht mehr von Angesicht kennt und nicht selbst Zeuge und Teilnehmer des harten und opferreichen Kampfes der revolutionären Arbeiterbewegung war, dem alle unsere Errungenschaften zu verdanken sind.	118:127	0:300
Angesicht	VERB	1850	1	Angesicht-c1-i13	 	Sie fanden es ihrem Vortheile angemessener, des Gutsherrn Fruchtfelder zu mähen, die Garben zu binden im Schweiße ihres Angesichtes und dafür „den Zehnten,“ den ihnen gebührenden Arbeitslohn, in Empfang zu nehmen, als nachzuahmen, was viele Gemeinden in der Nachbarschaft bereits gethan hatten.	120:131	0:294
Angesicht	VERB	1850	1	Angesicht-c1-i46	 	Essenze zur Belebung der Gesichtsfarbe, um ein gar zu bleiches Angesicht gesund roth zu machen, ohne Nachtheil, vielmehr mit Beförderung der ganzen Gesundheit.	63:72	0:159
Angesicht	VERB	1850	1	Angesicht-c1-i20	 	Dieser vernahm kaum den Ton ihrer Stimme, als sich die sanfteste Freundlichkeit über das liebe, weiche Angesicht ausbreitete, und er mit aller Anstrengung seiner erschöpften Kräfte, ja mit ritterlicher Zierlichkeit, bemühet war, die Tante vom Boden aufzuheben!	103:112	0:260
Angesicht	VERB	1850	1	Angesicht-c1-i82	 	Schön, o König Ethas! warst du in der Fremde; Wie des Morgens Strahl dem Angesicht.	73:82	0:83
Angesicht	VERB	1850	1	Angesicht-c1-i70	 	Er war nicht im Stand, das liebliche Angesicht des schönen Mädgens oder dessen Leiden zu behorchen mit Blicken, wenn sie den Garten herwärts kam.	37:46	0:145
Angesicht	VERB	1968	2	Angesicht-c2-i69	 	In unserem Land, wo sich gewaltige Truppenkontingente beider Seiten entlang der militärischen Demarkationslinie von Angesicht zu Angesicht gegenüberstehen, droht die Gefahr, daß jeden Augenblick ein Krieg ausbrechen kann.	116:125	0:221
Angesicht	VERB	1968	2	Angesicht-c2-i19	 	Aus gewissen Gründen fürchtet er sogar, ehemaligen Genossen von Angesicht zu Angesicht gegenüberzutreten, die ihn an die Zeit de* Bürgerkrieges In Spanien erinnern könnten.	64:73	0:172
Angesicht	VERB	1850	1	Angesicht-c1-i95	 	Er badete Angesicht, Brust und Füße, nahm aus dem Ranzen reine Wäsche, suchte die kleine Bürste hervor, mit ihr jedes Stäubchen vom leichten Rock zu kehren und so erfrischt suchte er einen Ausweg aus dem Walde, dessen Schutz er nicht mehr zu bedürfen glaubte; wobei er jedoch darauf achtete, diejenige Richtung zu verfolgen, die ihn immer weiter und weiter aus dem Bereiche seiner mit Beschlag belegten Kameele führte.	10:19	0:418
Angesicht	VERB	1850	1	Angesicht-c1-i97	 	Wenn der demokratische Hauptverein im Angesicht der gegen die Mordbanden von drei Kaiserreichen (das Reich Homunculi nicht einbegriffen) mit nie dagewesenem Heroismus kämpfenden Magyaren, im Angesichte der auf deutschem Boden stehenden asiatischen Barbarenhorden, im Angesichte der in Berlin jüngst verübten gottbegnadeten Scheußlichkeiten civilisirter Banditen nichts Besseres zu thun weiß, als sich mit den abgeschmacktesten Märzvereinplänkeleien, mit den abgemacktesten Persönlichkeiten und mit dem stupidesten, resultatlosen Vereinshader abzugeben, und damit namentlich das anwesende, willige Militär zu langweilen, so soll er zu Hause bleiben.	38:47	0:648
Angesicht	VERB	1850	1	Angesicht-c1-i23	 	Kraftlos nicht, aber unendlich betriebsam und verständig hat in ihr der Erdgeist zwischen Gold und Eisen sich getheilt; mit dem Stahle wühlt sie in den eignen Eingeweiden nach dem Bezoar, der sie heilen soll; denn Leichenblässe liegt auf ihrem Angesicht, und Krämpfe durchzucken ihr Gebein; wie sollte sie Gesang und Saitenspiel da mögen!	244:253	0:338
Angesicht	VERB	1850	1	Angesicht-c1-i26	 	Wir behielten dann noch lange den Park von Piercefield und seine Felsenwände, jenseits des Flusses, im Angesicht.	103:112	0:113
Angesicht	VERB	1968	2	Angesicht-c2-i18	 	Angesichte des wachsenden Widerstandes der gegen dlie reaktionären Regunies in mehrereni Ländern Mittelamerikas sei die Möglichkeit einer direkten militärischen Intervention der USA in dieser Region nicht auszuschließen.	0:10	0:220
Angesicht	VERB	1968	2	Angesicht-c2-i15	 	Angesicht * der Tatsaehe, daß eich 60gar zwei USA-Soldaten den Text, übersetzen ließen und sich zustimmend zum Kampf der Westberliner Werktätigen äußerten, wagten es die Polizisten nicht, gegen die Bevölkerung vorzugehen.	0:9	0:221
Angesicht	VERB	1850	1	Angesicht-c1-i14	 	Ein Mann, der sich viel mit Gemälden und ihrer Beurtheilung abgab, und oft in die Nähe der Fürstin kam, sagte einmal, daß nur Rembrand im Stande gewesen wäre, die feinen Töne und die kunstgemäßen Übergänge ihres Angesichtes zu malen.	212:223	0:233
Angesicht	VERB	1850	1	Angesicht-c1-i68	 	Seltsamer Troß! hier Riesenbau Und hiebgespaltnes Angesicht, Und dort ein Bübchen wie 'ne Frau, Ein zierliches Spelunkenlicht; Der drüben an dem Scheitelhaar So sachte streift den blanken Fänger, Schaut aus den blauen Augen gar Wie ein verarmter Minnesänger.	50:59	0:258
Angesicht	VERB	1850	1	Angesicht-c1-i8	 	Ach, lass’ Dich beschwören,“ fuhr sie fort, „der Tod lös’t ja alle Bande der Convenienz, macht Alles gleich — im Angesicht seiner dürfen alle Schranken fallen und Seele zur Seele reden, wirf mit mir alle Vorurtheile bei Seite und erfülle meine Bitte, ich muß ihn sehen!“	113:122	0:270
Angesicht	VERB	1968	2	Angesicht-c2-i75	 	Ehemann und alle Angehörige Die Urnenbeisetzung findet am 28 Mai 1985 um 9 00 Uhr in der Kapelle des Friedhofes Auferstehung, Lichtenberger Straße, statt Nach schwerer Krankheit starb am Dienstag, dem 16. 4. 1985, unsere langjährige Mitarbeiterin Grete Seeger Wir werden ihr ein ehrendes Andenken bewahren, Rat des Stadtbezirks Berlin-Lichtenberg Abteilung Gesundheit «-und Sozialwesen AGL Stadtbezirksarzt Es ist schwer, im Angesicht des Todes dankbar zu sein.	425:434	0:461
Angesicht	VERB	1968	2	Angesicht-c2-i76	 	Obst und Gemüse mußten — wie die „Süddeutsche Zeitung\" schreibt „im Angesicht einer in weiten Teilen hungernden Welt mit öffentlichen Mitteln vernichtet werden\".	68:77	0:161
