identifier1	identifier2	annotator	judgment	comment	lemma
Aufrichtung-c1-i96	Aufrichtung-c1-i30	stekade	0	 	Aufrichtung
Aufrichtung-c1-i8	Aufrichtung-c1-i6	stekade	2	 	Aufrichtung
Aufrichtung-c1-i35	Aufrichtung-c1-i67	FWetzel	3	 	Aufrichtung
Aufrichtung-c1-i28	Aufrichtung-c2-i15	FWetzel	3	 	Aufrichtung
Aufrichtung-c1-i35	Aufrichtung-c1-i6	FWetzel	3	 	Aufrichtung
Aufrichtung-c1-i30	Aufrichtung-c1-i7	FWetzel	2	 	Aufrichtung
Aufrichtung-c1-i67	Aufrichtung-c1-i7	FWetzel	2	 	Aufrichtung
Aufrichtung-c1-i64	Aufrichtung-c1-i6	FWetzel	0	 	Aufrichtung
Aufrichtung-c1-i28	Aufrichtung-c1-i99	FWetzel	2	 	Aufrichtung
Aufrichtung-c1-i30	Aufrichtung-c1-i6	FWetzel	2	 	Aufrichtung
Aufrichtung-c1-i1	Aufrichtung-c1-i7	FWetzel	2	 	Aufrichtung
Aufrichtung-c1-i1	Aufrichtung-c1-i99	FWetzel	3	 	Aufrichtung
Aufrichtung-c1-i42	Aufrichtung-c1-i30	FWetzel	2	 	Aufrichtung
Aufrichtung-c1-i99	Aufrichtung-c1-i30	FWetzel	3	 	Aufrichtung
Aufrichtung-c1-i42	Aufrichtung-c2-i15	FWetzel	2	 	Aufrichtung
Aufrichtung-c1-i28	Aufrichtung-c1-i7	FWetzel	3	 	Aufrichtung
Aufrichtung-c1-i58	Aufrichtung-c1-i7	FWetzel	4	 	Aufrichtung
Aufrichtung-c1-i58	Aufrichtung-c1-i67	FWetzel	2	 	Aufrichtung
Aufrichtung-c1-i96	Aufrichtung-c1-i6	FWetzel	2	 	Aufrichtung
Aufrichtung-c1-i58	Aufrichtung-c1-i6	FWetzel	4	 	Aufrichtung
Aufrichtung-c1-i1	Aufrichtung-c1-i6	FWetzel	2	 	Aufrichtung
Aufrichtung-c1-i30	Aufrichtung-c2-i15	FWetzel	4	 	Aufrichtung
Aufrichtung-c1-i8	Aufrichtung-c1-i6	FWetzel	4	 	Aufrichtung
Aufrichtung-c1-i1	Aufrichtung-c1-i30	FWetzel	2	 	Aufrichtung
Aufrichtung-c1-i67	Aufrichtung-c1-i99	FWetzel	2	 	Aufrichtung
