lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
Bemerken	NOUN	1968	2	Bemerken-c2-i35	 	Zur Irreführung der Öffentlichkeit geschieht das mit dem Bemerken, daß » deutsche Interessen\" nicht verletzt werden dürften.	57:65	0:124
Bemerken	NOUN	1968	2	Bemerken-c2-i39	 	Höchst aufschlußreich ist auch die Reaktion solch übler Kriegshetzerblätter wie die des Westberliner „Tagesspiegel\", der höchst befriedigt in seinen Spalten die Szene registriert, als Fette während des Kongresses der Opposition, die dort eine Behandlung der Remilitarisierung forderte, das Wort mit dem Bemerken abschnitt:	303:311	0:322
Bemerken	NOUN	1968	2	Bemerken-c2-i47	 	Selbstverständlich bittet er um ein Rendezvous mit dem Bemerken, daß der Finder des Täschchens der Mann ist, der sie seit einiger Zeit mit seiner Liebe verfolgt.	55:63	0:161
Bemerken	NOUN	1968	2	Bemerken-c2-i48	 	Es gelte darauf zu achten, daß das Verbrennen von Rückständen und anderweitige Abbrennarbeiten unterbunden werden, in Wäldern das Rauchen und Feueramzünden unterbleibt, Löschwasserentnahmestellen ständig einsatzbereit sind und beim Bemerken eines Brandes unverzüglich die Feuerwehr benachrichtigt Wird.	232:240	0:302
Bemerken	NOUN	1850	1	Bemerken-c1-i51	 	Wegen der Permanenz dieses Mark tes an jedem Montage des ganzen Jahres ist die Feststellung eines besondern Termines zum Beginne der Waidviehmärkte nicht erforderlich; daher die niederländischen Kaufleute zum Bezuge desselben mit Waidvieh unter dem Bemerken hierdurch eingeladen werden, daß für alle Bequemlichkeiten des Handelsstandes gesorgt ist.	249:257	0:348
Bemerken	NOUN	1850	1	Bemerken-c1-i74	 	Indem ich dasselbe untenstehend hierdurch zur Kenntniß bringe, fordere ich die Bürgerschaft gemäß §. 5 des Regulativs zur Selbsteinschätzung mit dem Bemerken auf, daß die Listen zum Einzeichnen vom 19. d. M. bis zum 2. April auf dem Büreau des Beigeordneten Herrn Küchen, von Morgens 10 bis 1 Uhr und Nachmittags von 3 bis 6 Uhr offen liegen.	149:157	0:342
Bemerken	NOUN	1968	2	Bemerken-c2-i24	 	Die westdeutsche Beschwerde über eine Verletzung der Menschenrechte an der Saar ist Vom Hauptausschuß der sogenannten beratenden Versammlung des Europarates mit dem Bemerken zurückgewiesen worden, es sei angeblich zur Zeit „politisch nicht opportun\", diese Frage zu behandeln, da direkte Besprechungen zwischen Westdeutschland und Frankreich über die Saarfrage stattfinden.	165:173	0:373
Bemerken	NOUN	1968	2	Bemerken-c2-i36	 	Wemin jemand, der „zur Tagesordnung\" um das Wort gebeten hatte, über den Verhandlungsgegenstand selbst zu sprechen begann, um wenigstens eine Minute über die Sprechzeit hinaus herauszuschlagen, unterbrach Wladimir Iljitsch mit dem Bemerken:	231:239	0:240
Bemerken	NOUN	1850	1	Bemerken-c1-i1	 	Bemerken wir nur vorläufig, daß die Proudhon'sche Bank mit 50,000 Fr. Einlagekapital zurücktreten muß vor der Milliarde!	0:8	0:120
Bemerken	NOUN	1850	1	Bemerken-c1-i5	 	Unterzeichneter empfiehlt den geehrten Gartenfreunden seine Vorräthe ächter frischer und bester Garten-Sämereien, Obstbäumen etc. etc. nach beiliegendem Verzeichniß, mit dem ergebensten Bemerken, daß diese Verzeichnisse auf frankirte Zuschriften, gratis und franco bei mir zu haben sind.	186:194	0:287
Bemerken	NOUN	1968	2	Bemerken-c2-i49	 	Der französische Ministerpräsident Faure hat sich in einem Interview mit der amerikanischen Zeitschrift „US News and World Report\" erneut für Viermächteverhandlungen und für die Anerkennung Volkschinas mit dem Bemerken ausgesprochen, daß dies von „allen Westmächten\" gemeinsam geschehen müsse.	210:218	0:293
Bemerken	NOUN	1850	1	Bemerken-c1-i49	 	Bemerken muß ich noch, daß die Herzogin beim Einrücken der Alliirten in Paris, dem ersten Kosaken hinten aufs Pferd sprang und frohlockend über den Sturz Napoleons, die ganze Parade der Truppen mitmachte.	0:8	0:204
Bemerken	NOUN	1968	2	Bemerken-c2-i28	 	Schlüssel zurück mit dem Bemerken, daß sie keinen Wert auf die Benutzung des Ladens legt.	25:33	0:89
Bemerken	NOUN	1968	2	Bemerken-c2-i14	 	Sie schickte einen Traktoristen von Hof zu Hof, ließ ihn Vertragsformulare austeilen mit dem Bemerken, daß diese am Abend ausgefüllt wieder abgeholt wurden.	93:101	0:156
Bemerken	NOUN	1968	2	Bemerken-c2-i37	 	Trotz schnellen Handelns von Schutzpolizei und Feuerwehr nach Bemerken des Brandes konnten zwei Personen nur noch tot geborgen werden.	62:70	0:134
Bemerken	NOUN	1850	1	Bemerken-c1-i64	 	Das Publikum wird hiervon mit dem Bemerken in Kenntniß gesetzt, daß nunmehr alle für einzelne Orte bestehenden separaten Preis-Ermäßigungen vom 1. Oktober c. ab allgemein aufhören.	34:42	0:180
