lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
Berücksichtigung	NOUN	1968	2	Berücksichtigung-c2-i46	 	Bildlich ausgedrückt, war die Kommunistische Internationale die Hauptleitung, durch die die Ideen des Leninismus, die bolschewistische Strategie und Taktik — ausgearbeitet unter Berücksichtigung der konkreten Bedingungen der kapitalistischen Welt	178:194	0:246
Berücksichtigung	NOUN	1850	1	Berücksichtigung-c1-i72	 	Das linke Centrum, jeder Entschiedenheit abhold, will die alte Eintheilung in Provinzen beibehalten, diese in Kreise getheilt, mit möglichster Berücksichtigung der Nationalität, an der Spitze einer jeden Provinz einen Gouverneur, der dem Ministerium verantwortlich ist.	143:159	0:269
Berücksichtigung	NOUN	1968	2	Berücksichtigung-c2-i34	 	Besondere Berücksichtigung findet ferner das Möbel-Bauproaramm für Neusi « dlerwohnungen.	10:26	0:89
Berücksichtigung	NOUN	1850	1	Berücksichtigung-c1-i61	 	Vorher erfolgte Aktienzeichnungen, wie sie in neuerer Zeit gegen ansehnliche Provision zu vielen Millionen gesammelt und zur Kreirung neuer Papiere für die Agiotage benutzt zu werden pflegen, dürfen daher eine Berücksichtigung überall nicht erwarten, worauf ich zur Warnung vor dem Ankauf von Quittungsbogen und Zusicherungsscheinen nicht concessionirter Unternehmungen besonders aufmerksam mache.	210:226	0:397
Berücksichtigung	NOUN	1968	2	Berücksichtigung-c2-i39	 	Entsprechend ihref Qualifikation absolviert das fliegende Personal täglich — unter Berücksichtigung der flugmedizinischen Normen — bis zu sieben Flugstunden bzw. 80 Starts.	83:99	0:172
Berücksichtigung	NOUN	1850	1	Berücksichtigung-c1-i56	 	Die Ergebnisse sind unsere Bilder, aus denen vielleicht hervorgehen wird, daß selbst in so kleiner Wiedergabe diese Eigenthümlichkeiten Berücksichtigung finden können.	136:152	0:167
Berücksichtigung	NOUN	1850	1	Berücksichtigung-c1-i36	 	Runcke's Gedanke, daß einige Phänomene nicht sowohl aus einem Ueberströmen oder einer Vermehrung des Wärmestoffs entstehen, als vielmehr aus Schwingungen, verdient wohl nähere Berücksichtigung, indem es wenigstens gewiß ist, daß in andern Fällen dergleichen wesentlich verschiedene Erscheinungen vorkommen, und derjenige, der alle Bewegungen der Luft oder des Wassers als strömende erklären wollte, ebenso sehr fehlen würde; als der, welcher alles auf Wellen zurückzuführen suchte.	176:192	0:481
Berücksichtigung	NOUN	1850	1	Berücksichtigung-c1-i4	 	— Solche Philosophen endlich, welche in der Frage von der individuellen Unsterblichkeit sich nicht entblöden, die philosophische Denkweise, mit der sie sonst so sehr sich brüsten, gradezu an den Nagel zu hängen und an eine unbestimmte Uebersinnlichkeit zu appelliren, verdienen kaum eine Berücksichtigung.	288:304	0:305
Berücksichtigung	NOUN	1968	2	Berücksichtigung-c2-i31	 	Damit ist den bäuerlichen Betrieben größerer Spielraum bei der betriebswirtschaftlichen Planung gegeben, sie haben günstigere Voraussetzungen, ihr Ablieferungssoll an den Staat vorbildlich zu erfüllen und ihre persönlichen Wünsche fanden Berücksichtigung.	238:254	0:255
Berücksichtigung	NOUN	1968	2	Berücksichtigung-c2-i56	 	Auch weitere Maßnahmen auf dem Gebiete der Preise, wie die Berücksichtigung der Güteklassifizierung im Preis und die differenzierte Preisbildung für neue, weiterentwickelte und technisch veraltete Erzeugnisse, lenken das materielle Interesse der Betriebe auf die Produktion von Erzeugnissen, die dem Weltstand entsprechen.	59:75	0:322
