lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
Handhabe	NOUN	1968	2	Handhabe-c2-i6	 	Mit diesem Hochverratsprozeß will sich Adenauer eine Handhabe zum gleichen Vorgehen gegen alle patriotischen Deutschen schaffen.	53:61	0:128
Handhabe	NOUN	1968	2	Handhabe-c2-i64	 	Aus diesen Erkenntnissen zog er im „Kapital\" den Schluß, daß „Unterricht in der Technologie und praktischen Handhabe der verschiedenen.Produktionsinstrumente... ein auf der Grundlage der großen Industrie naturwüchsig entwickeltes Moment dieses Umwälzungsprozesses\" ist (MEW, Band 23. S. 512).	108:116	0:292
Handhabe	NOUN	1850	1	Handhabe-c1-i62	 	Freilich gab die Lehre des Ricci ihrer Eifersucht eine bequeme Handhabe, denn sie vertrug sich keineswegs mit strenger Rechtgläubigkeit.	63:71	0:136
Handhabe	NOUN	1850	1	Handhabe-c1-i76	 	Die Gottheit selbst, oder ein von ihr gesandter Rachegeist treibt die mit erblichem Frevelsinn Belasteten zur bösen That; nicht, wie alter, fest haftender Glaube des Volkes war, aus persönlichem Rachgefühl, Zorn oder Bosheit, sondern aus Gerechtigkeit, mit „gerechtem Trug“, damit das Maass des Frevels voll werde, und die göttliche Strafgerechtigkeit eine Handhabe finde zu voller Befriedigung.	357:365	0:395
Handhabe	NOUN	1850	1	Handhabe-c1-i1	 	Ueberdies besitzt diese Metallgabel entweder an ihrem Gelenke eine Handhabe oder es ist an jedem Schenkel ein gläserner Griff angebracht.	67:75	0:137
Handhabe	NOUN	1850	1	Handhabe-c1-i25	 	Bei kleineren Oefen hebt man ihn, wenn Brennmaterial nachgeschüttet oder der Tiegel herausgenommen werden soll, vermittelst einer Handhabe ab; bei grösseren Oefen richtet man ihn zum Aufklappen ein und befestigt an der vorderen Seite eine über eine Rolle geführte Kette mit Gegengewicht, durch welches das Gewicht der Klappe ausgeglichen wird.	130:138	0:343
Handhabe	NOUN	1850	1	Handhabe-c1-i99	 	2) zum Trocknen des Probirgutes (S. 16): Eisenblecherne Trockenpfanne mit Stiel, etwa 28 Cm. lang, 22 Cm. breit und 6 Cm. hoch; eiserne Rührspatel; Trockengestell mit Drahtnetz zur Aufnahme der Trockenpfannen; gusseiserne Trockenscheibe a (Taf. IV. Fig. 60) in der Mitte mit einer Handhabe b versehen, an der Peripherie mit in Vertiefungen befindlichen und am Stiel numerirten Messingschälchen c und einer höhern mit Kupferfeile gefüllten Schale d, bis zu deren Boden ein Thermometer e eingesenkt ist; kupfernes Wasserbad (Taf. IV. Fig. 56), a innerer, zur Aufnahme des zu trocknenden Gegenstandes dienender, mit Thür b versehener Kasten; c äusserer Kasten; d Zwischenraum zur Aufnahme des durch e eingegossenen Wassers; f Oeffnung zum Entweichen des Wasserdampfes; g Glasröhre; kupfernes Luftbad (Taf. IV. Fig. 58), α Kupfercylinder, b Deckel mit der Oeffnung c zur Aufnahme des Thermometers d, e und f durch Stöpsel verschliessbare Oeffnungen zum Luftein-und Austritt;	281:289	0:970
Handhabe	NOUN	1850	1	Handhabe-c1-i58	 	Dieses Kündigungsrecht benutzte Preußen als Handhabe, um eine Reform des Zollvereins herbeizuführen und es gelang der Preußischen Regierung, den Zollvereinigungs-Vertrag vom 8. Juli 1867 zu Stande zu bringen. Dieser Vertrag war von 5 Contrahenten, dem Norddeutschen Bunde und den 4 Süddeutschen Staaten geschlossen; er begründete ein Vereinsverhältniß mit bestimmter Dauer (31. Dezember 1877), das aber stillschweigend von 12 zu 12 Jahren verlängert werden konnte; er erhielt die Vereinbarungen der älteren Zoll-und Handelsvereinigungs-Verträge in Kraft, soweit sie nicht durch diesen Vertrag selbst abgeändert worden sind; er führte aber die verfassungsmäßigen Formen und Organe der Gesetzgebung und Verwaltung des Norddeutschen Bundes in analoger Weise für die Erledigung der Vereinsgeschäfte ein (Zollvereins-Gesetze, Zollvereins-Verordnungen, Zollvereins-Präsidium, Zoll-Bundesrath, Zoll-Parlament).	44:52	0:903
Handhabe	NOUN	1968	2	Handhabe-c2-i28	 	Mit einer solchen Formulierung soll das faschistische Attentat offensichtlich eine HandhaBe zum Vorgehen gegen	83:91	0:110
Handhabe	NOUN	1850	1	Handhabe-c1-i49	 	Diese Dusägge ist nichts anderes als ein rohes Stück Eisen, krumm in die Spitze laufend, mit breitem Rücken und stumpfer Schneide; am unteren Ende ist ein längliches Loch ausgesägt, welches als Handhabe dadurch dient, dass die vier Finger in dasselbe hineingreifen.	194:202	0:265
Handhabe	NOUN	1968	2	Handhabe-c2-i51	 	Die Verschärfung der weltpolitischen Spannungen bietet diesen Börsenhyänen die Handhabe, unter Hinweis auf etwaige Versorgungsschwierigkeiten die seit einem Jahr im Niedergang begriffenen Preise für Buntmetalle, Metallerze.	79:87	0:223
Handhabe	NOUN	1850	1	Handhabe-c1-i44	 	Obgleich die Kreisbewegung der Handhabe den Arbeiter ausser Stand setzt, in allen Punkten des Kreises mit gleicher Kraft zu wirken (wovon wir im VI. Kapitel ausführlicher handeln werden), so ist doch die aufzubringende Last immer noch so gross, dass sie das Aufbringen der Lasten mittelst Schubkarren selbst bei der hiezu vortheilhaftesten Steigung noch ansehnlich übertrifft.	31:39	0:376
