identifier1	identifier2	annotator	judgment	comment	lemma
Querschnitt-c1-i33	Querschnitt-c2-i81	stekade	1	 	Querschnitt
Querschnitt-c2-i91	Querschnitt-c2-i81	stekade	3	 	Querschnitt
Querschnitt-c2-i11	Querschnitt-c2-i81	stekade	3	 	Querschnitt
Querschnitt-c1-i95	Querschnitt-c2-i81	stekade	1	 	Querschnitt
Querschnitt-c1-i95	Querschnitt-c1-i33	stekade	3	 	Querschnitt
Querschnitt-c1-i97	Querschnitt-c1-i33	stekade	3	 	Querschnitt
Querschnitt-c1-i97	Querschnitt-c1-i33	Zori	2	 	Querschnitt
Querschnitt-c1-i33	Querschnitt-c2-i81	Zori	2	 	Querschnitt
Querschnitt-c1-i97	Querschnitt-c2-i81	Zori	3	 	Querschnitt
Querschnitt-c1-i95	Querschnitt-c1-i33	Zori	4	 	Querschnitt
Querschnitt-c1-i95	Querschnitt-c2-i81	Zori	3	 	Querschnitt
Querschnitt-c1-i24	Querschnitt-c1-i33	Zori	4	 	Querschnitt
Querschnitt-c2-i91	Querschnitt-c2-i81	Zori	4	 	Querschnitt
Querschnitt-c1-i11	Querschnitt-c2-i81	Zori	2	 	Querschnitt
Querschnitt-c2-i96	Querschnitt-c2-i81	Zori	4	 	Querschnitt
Querschnitt-c2-i11	Querschnitt-c2-i81	Zori	3	 	Querschnitt
Querschnitt-c2-i96	Querschnitt-c2-i81	stekade	3	 	Querschnitt
Querschnitt-c1-i24	Querschnitt-c1-i33	stekade	3	 	Querschnitt
Querschnitt-c1-i97	Querschnitt-c2-i81	stekade	1	 	Querschnitt
Querschnitt-c1-i11	Querschnitt-c2-i81	stekade	1	 	Querschnitt
Querschnitt-c1-i95	Querschnitt-c1-i33	FWetzel	3	 	Querschnitt
Querschnitt-c1-i97	Querschnitt-c1-i33	FWetzel	3	 	Querschnitt
Querschnitt-c1-i24	Querschnitt-c1-i33	FWetzel	2	 	Querschnitt
Querschnitt-c1-i95	Querschnitt-c2-i81	FWetzel	2	 	Querschnitt
Querschnitt-c2-i11	Querschnitt-c2-i81	FWetzel	3	 	Querschnitt
Querschnitt-c1-i97	Querschnitt-c2-i81	FWetzel	2	 	Querschnitt
Querschnitt-c2-i96	Querschnitt-c2-i81	FWetzel	4	 	Querschnitt
Querschnitt-c1-i33	Querschnitt-c2-i81	FWetzel	2	 	Querschnitt
Querschnitt-c2-i91	Querschnitt-c2-i81	FWetzel	4	 	Querschnitt
Querschnitt-c1-i11	Querschnitt-c2-i81	FWetzel	2	 	Querschnitt
