lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
Querschnitt	NOUN	1968	2	Querschnitt-c2-i22	 	Die Ausstellung findet vom 23. Juli bis 1. August im Karl-Marx-Saal der Deutschen Staatsbibliothek Unter den Linden statt und bietet einen konzentrierten Querschnitt des sowjetischen Export-Sortiments.	154:165	0:201
Querschnitt	NOUN	1968	2	Querschnitt-c2-i8	 	Die 17 Erzählungen bieten nicht nur spannende Unterhaltung, sondern auch einen repräsentativen Querschnitt durch die beste nordische Literatur des 19. und 20. Jahrhunderts.	95:106	0:172
Querschnitt	NOUN	1850	1	Querschnitt-c1-i19	 	Den Muffen pflegt man äusserlich kreisrunde Form zu geben; der Querschnitt der Oeffnung muss natürlich der Querschnittsform der Zapfen und Spindeln entsprechen und nur — aus dem schon angeführten Grunde — etwas grösser im Durchmesser als dieser sein.	63:74	0:250
Querschnitt	NOUN	1968	2	Querschnitt-c2-i89	 	Schematische Darstellung des Wolga— Don-Kanals mit den 15 Schleusen zwischen Wolga und Zimljanskajaer Meer Der untere Teil der Zeichnung ist ein Querschnitt durch das gesamte Gelände des Kanals und veranschaulicht die Höhenunterschiede der treppenförmig angelegten chleusen	145:156	0:273
Querschnitt	NOUN	1968	2	Querschnitt-c2-i12	 	Der Veranstalter sagt in dem 160 Seiten starken Katalog, der mit über 150 Abbildungen allein ßchon ein Kompendium der kämpferischen Plakatkunst darstellt, entschuldigend, daß dies ein erster Versuch sei, die Reichweite des revolutionären Plakats in einem so breiten Querschnitt darzustellen.	266:277	0:291
Querschnitt	NOUN	1850	1	Querschnitt-c1-i66	 	Wenn nun dennoch nach den Versuchen von du Bois Reymond schwache Ströme bei der Ableitung asymmetrisch gelegener Punkte des Längsschnitts oder des Querschnitts beobachtet werden, so ist dies wahrscheinlich darauf zu beziehen, dass die elektromotorischen Kräfte jener Gewebselemente sich, namentlich in Folge des Absterbens, nicht vollkommen constant erhalten.	147:159	0:359
Querschnitt	NOUN	1968	2	Querschnitt-c2-i99	 	Die kontinuierliche Stahlherstellung ist selbstverständlich die ideale und unerläßliche Voraussetzung für den Strangguß; während der flüssige Stahl heute in Form von einzelnen Blöcken, die mehrere tausend Kilogramm Gewicht haben, gegossen wird, arbeitet die Stranggußanlage kontinuierlich und stellt ohne Unterbrechung einen zusammenhängenden Strang von bestimmtem Querschnitt her.	365:376	0:381
Querschnitt	NOUN	1850	1	Querschnitt-c1-i1	 	Dasselbe setzt sie von den Strömen auf dem Querschnitte des Nerven voraus, was vorerst noch nicht durch den Versuch dargethan; die Gründe, die die Richtigkeit dieser letzteren Annahme wahrscheinlich machen, werden später noch beigebracht werden.	43:55	0:245
Querschnitt	NOUN	1968	2	Querschnitt-c2-i81	 	Da wird ein — wenn auch kleiner, so doch repräsentativer — Querschnitt an Tierplastik des 19. und frühen 20. Jahrhunderts gezeigt.	59:70	0:130
Querschnitt	NOUN	1968	2	Querschnitt-c2-i60	 	Umfangreiche Untersuchungen durch das Neuererkollektiv ergaben, daß der kleinste aller möglichen Querschnitte den technischen Bedingungen genügen würde.	97:109	0:152
Querschnitt	NOUN	1968	2	Querschnitt-c2-i80	 	13.15-Melodien / 14.00: Bdiicrniat / 14.15: Querschnitt / 15. 00: Junqe Pion ere / 15.30: Konzert / 17 00: VVN-Sendunq / 17.30: Meislcrkonzcrt / 18.00: Wahrheit über Amerika / 18.15: Zeitgeschehen / 1110: Nachrichten / 19.45: Konzert / 21.45: Sport / 22.00: Nnchnchten für West lcutschland / 22.45: Musik / 21. C0: Nachrichten	44:55	0:326
Querschnitt	NOUN	1850	1	Querschnitt-c1-i86	 	Die Grösse des Stromes in einer galvanischen Kette ist der Summe aller Spannungen direkt, und der ganzen reduzirten Länge der Kette umgekehrt proportional, wobei man sich erinnern muss, dass jetzt unter reduzirter Länge die Summe aller Quotienten verstanden wird, die aus den zu homogenen Theilen gehörigen wirklichen Längen und dem Produkte der entsprechenden Leitungs vermögen und Querschnitte gebildet werden.	383:395	0:412
Querschnitt	NOUN	1850	1	Querschnitt-c1-i6	 	Es hat dann auch bei einigen Bäumen keinen runden Querschnitt.	50:61	0:62
Querschnitt	NOUN	1968	2	Querschnitt-c2-i75	 	Dieser Teil vermittelt dem Besucher einen interessanten. und repräsentativen Querschnitt von den Bemühungen unserer sowjetischen Freunde um die allseitige Hebung des materiellen und kulturellen Lebensnlveaus der Bürger.	77:88	0:219
Querschnitt	NOUN	1850	1	Querschnitt-c1-i63	 	Fig. 451 giebt den Querschnitt durch den einen Gebäudeflügel nach der Schnittlinie a b, und macht das Wölbsystem beider Geschosse genau ersichtlich.	19:30	0:148
Querschnitt	NOUN	1850	1	Querschnitt-c1-i24	 	Die mittlere Geschwindigkeit im Rohrstück B wird zu der in A in dem umgekehrten Verhältniss ihrer Querschnitte stehen.	98:110	0:118
Querschnitt	NOUN	1968	2	Querschnitt-c2-i50	 	Diese Prüflampe läßt sich relativ einfach aus zwei Kabelstücken (1 mm' Querschnitt, Länge 0.8 bis 1 m). zwei Krokodilklemmen und einer bereits gebrauchten Biluxlampe. bei der auch ein Faden durchgebrannt sein kann, anfertigen.	71:82	0:226
Querschnitt	NOUN	1968	2	Querschnitt-c2-i93	 	Auf dieser Seite wollen wir einen kleinen, repräsentativen Querschnitt vermitteln.	59:70	0:82
Querschnitt	NOUN	1850	1	Querschnitt-c1-i60	 	Etwas weiter war das Mark bei einem sechs Wochen alten Embryo (Fig. 129), bei dem dasselbe als Ganzes im Querschnitte ebenfalls birnförmig erschien.	105:117	0:148
Querschnitt	NOUN	1968	2	Querschnitt-c2-i48	 	Der Querschnitt / 15.30: Lieder / 16.10: Hbreruunsche / 17.45: Diskussion / 18.15: Cellosonate von Griee / 18.45: Filmmagazin / 19.30:	4:15	0:134
Querschnitt	NOUN	1850	1	Querschnitt-c1-i7	 	Er machte runde Pakete, indem er Stäbe, deren Querschnitte radialen Ringstücken entsprachen, walzte und diese um einen Rundstab zusammenfügte und das Ganze zusammenschweisste.	46:58	0:175
Querschnitt	NOUN	1850	1	Querschnitt-c1-i32	 	Fig. 129. Querschnitt des Halsmarkes eines sechs Wochen alten menschlichen Embryo von 0,56 ‴ Höhe und 0,44 ‴ Breite am breitesten Theile, 50mal vergrössert.	10:21	0:156
Querschnitt	NOUN	1850	1	Querschnitt-c1-i2	 	Der Querschnitt des Messers bildet ein rechtwinkeliges Dreieck, dessen eine längere Seite platt an der Landseite anliegt, damit der Abschnitt rein ausgeführt wird.	4:15	0:163
Querschnitt	NOUN	1850	1	Querschnitt-c1-i8	 	Da der soeben angenommene Querschnitt nicht die größte Tragfähigkeit besitzt, so kann eine andere Frage lauten: wie groß würde bei der angegebenen Belastung der vortheilhafteste Querschnitt sein?	26:37	0:195
Querschnitt	NOUN	1850	1	Querschnitt-c1-i11	 	Wenn die Oeffnung in der Seitenwand angebracht ist, und ein horizontaler Querschnitt durch die Mitte der Oeffnung oder durch die Mitte des Strahles gemacht wird, so ist die Geschwindigkeitshöhe des Wassers [Formel] für jeden Punkt dieses Querschnittes der Höhe des Wasserstandes h oberhalb diesem Querschnitte gleich, folglich die Geschwindigkeit ν des Wassers durch den ganzen Weg von der Oeffnung bis zur grössten Zusammenziehung eine beständige Grösse, demnach wird auch die Schwungkraft [Formel] eine beständige Grösse seyn, folglich die krumme Linie des ausfliessenden Wasserstrahles wegen der Unveränderlichkeit des Krümmungshalbmessers r ein Kreis seyn müssen.	73:84	0:667
Querschnitt	NOUN	1850	1	Querschnitt-c1-i33	 	Man pflegt den Ofen mit einem Mantel zu umgeben, der, besonders bei kreisrundem Querschnitte des Ofens, am geeignetsten aus Eisenblech von etwa 10 mm Stärke gefertigt wird.	80:92	0:172
Querschnitt	NOUN	1968	2	Querschnitt-c2-i92	 	Die Arbeiten bieten einen repräsentativen Querschnitt des zeitgenössischen Schaffens auf dem Gebiet der Plastik und Grafik in der DDR.	42:53	0:134
Querschnitt	NOUN	1850	1	Querschnitt-c1-i97	 	Die eine derselben ist begreiflich das Mittel aus allen verschiedenen gleichzeitig auf einem und demselben Querschnitt vorhandenen Geschwindigkeiten, und die zweite ist das Mittel aus den verschiedenen mittleren Querschnittsgeschwindigkeiten, welche auf einer Reihe hintereinanderfolgender Querschnitte eines Rohres vorhanden sind.	107:118	0:331
Querschnitt	NOUN	1968	2	Querschnitt-c2-i84	 	In einem guten Querschnitt bestätigt sich wieder das hohe Niveau unserer Porträtplastik.	15:26	0:88
Querschnitt	NOUN	1968	2	Querschnitt-c2-i96	 	Von den Interpreten her ein repräsentativer Querschnitt und von der Textauswahl eine heiter-akzeptabel bunte Mischung.	44:55	0:118
Querschnitt	NOUN	1850	1	Querschnitt-c1-i28	 	Russische Rohre müssen auf der ganzen Länge gleichen Querschnitt haben.	53:64	0:71
Querschnitt	NOUN	1850	1	Querschnitt-c1-i81	 	Fig. 2. Rindenschicht aus dem Kleinhirn der Katze, Querschnitt, Osmiumgemisch.	51:62	0:78
Querschnitt	NOUN	1968	2	Querschnitt-c2-i97	 	Erstmalig wird es so möglich, die Ermittlung eines vollständigen geologischen Querschnitts des Eismeerschelfs ins Auge zu fassen.	78:90	0:129
Querschnitt	NOUN	1968	2	Querschnitt-c2-i30	 	Einen Querschnitt durch die zeitgenössische tschechoslowakische Puppenspielkunst zeigt eine Ausstellung, die seit Mittwoch im Gebäude der „Leipzig-Information am Sachsenplatz\" zu sehen ist.	6:17	0:189
Querschnitt	NOUN	1968	2	Querschnitt-c2-i91	 	Zur weiteren Verbesserung der Versorgung der Betriebe mit Produktionsmitteln veranstaltete das Kontor kürzlich eine Verkaufsmesse, -die einen Querschnitt durch das 55000 Positionen umfassende Handelssortiment bot (ND	142:153	0:216
