lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
Sprachrohr	NOUN	1850	1	Sprachrohr-c1-i53	 	Wie sehr der hier geschilderte Signalapparat, von seinem englischen Erfinder „The Route Indicator“ genannt, dem bisher verwendeten Sprachrohre überlegen ist, braucht nach dem obigen wohl kaum besonders hervorgehoben zu werden.	131:142	0:226
Sprachrohr	NOUN	1968	2	Sprachrohr-c2-i77	 	Eine „Säuberung\" des sozialdemokratischen Studentenbundes SDS fordert am Sonnabend das Westberliner SPD-Organ „Berliner Stimme\", Sprachrohr des Brandt-Kurses, unter Hinweis auf die maßgebende Rolle von Mitgliedern des Bundes bei den Beschlüssen des Studentenkongresses gegen Atomrustung.	129:139	0:287
Sprachrohr	NOUN	1850	1	Sprachrohr-c1-i51	 	Willst Du ihn hinfür zur Verstärkung Deines Basses als Sprachrohr gebrauchen?“	55:65	0:78
Sprachrohr	NOUN	1968	2	Sprachrohr-c2-i89	 	Das politische Sprachrohr Springers. Die Welt ' geizt nicht mit Raum für die Kommentare der Dinosaurier des. kalten Krieges ', die sich zu solch einem Unsinn versteigen, der paraphierte Vertrag sei angeblich eine. Kapitulation ' und stelle die Westdeutschen. vor die Wahl zwischen Westen und Osten'.	15:25	0:299
Sprachrohr	NOUN	1968	2	Sprachrohr-c2-i78	 	Diejenigen, die nicht laut genug demagogisch von Menschlichkeit schwatzen, lassen jetzt durch das Sprachrohr der Ultras, die Hamburger „Welt\" erklären:	98:108	0:151
Sprachrohr	NOUN	1968	2	Sprachrohr-c2-i10	 	„Das Vaterland Ist in Gefahr\" -trommelte 1913 pausenlos der Wehrverein als Sprachrohr des Imperialismus.	75:85	0:104
Sprachrohr	NOUN	1850	1	Sprachrohr-c1-i52	 	Es ist sonderbar, dass es eigentlich noch kein Physiker unternommen, das Hör-und Sprachrohr ganz allein nach der Form der Parabel zu construiren, da doch dieses selbst der gemeinen Theorie des Schalls nach die natürlichste Form ist.	81:91	0:232
Sprachrohr	NOUN	1968	2	Sprachrohr-c2-i15	 	Diese „Befürchtung\" wird gegenwartig von den Sprachrohren der Monopelbourgeoisie ausführlich kommentiert.	45:57	0:105
Sprachrohr	NOUN	1968	2	Sprachrohr-c2-i75	 	Die Zeitung „Kung jen jih Pao\" sei Sprachrohr und Mittel zur Spaltung der Arbeiterklasse und zur Restaurierung des Kapitalismus gewesen.	35:45	0:136
Sprachrohr	NOUN	1850	1	Sprachrohr-c1-i40	 	Mittelst eines durch die Wand gehenden Sprachrohrs wird der Heizer commandirt.	39:50	0:78
Sprachrohr	NOUN	1850	1	Sprachrohr-c1-i64	 	Er konnte es früher wissen, als der Senat, denn er ist das Sprachrohr der lispelnden Diplomatik, und was man in Wien flüstert, schreit er den alten Bürgern im Römer zu.	59:69	0:168
Sprachrohr	NOUN	1850	1	Sprachrohr-c1-i67	 	Was so, in Begriffen gedacht, einen Widerspruch zu enthalten scheint: daß die innerlichste Energie unserer Seele, in der allein ihr ungebrochen subjektives Wesen lebt, in dem sie ganz nur sie selbst ist, doch ihren Jnhalt auch in dieser Form entfaltet, „wie aus der Ferne“ und als fühlte sie ein Jch, das über dem persönlichen ist, wenngleich es doch in ihm ist, – dieser Widerspruch ist dennoch eine psychologische Wirklichkeit; gerade in der tiefsten Schicht des Jch fühlen wir gewisse Gefühle so, als ob nicht wir sie fühlen, sondern als wäre das Jch nur das Sprachrohr einer viel breiteren Macht oder Nothwendigkeit.	562:572	0:620
Sprachrohr	NOUN	1850	1	Sprachrohr-c1-i22	 	Am Rio grande de Belmonte fand der Prinz unter den Botokuden Sprachrohre, welche sie geradezu „Tatuschwanz nennen, von vierzehn Zoll Länge und von drei Zoll Durchmesser an der Wurzel.	61:72	0:183
Sprachrohr	NOUN	1968	2	Sprachrohr-c2-i93	 	Dieses Buch ist besonders für diejenigen lesenswert, die über ein Jahrzehnt lang auf den Propagandaleim des Herrn Goebbels gekrochen sind und sich zu seinem Sprachrohr gemacht haben.	157:167	0:182
Sprachrohr	NOUN	1850	1	Sprachrohr-c1-i7	 	„Wer seid Jhr? ‟ fragte er durch das Sprachrohr entgegen.	37:47	0:57
Sprachrohr	NOUN	1968	2	Sprachrohr-c2-i53	 	Heute setzen die Ultras in Washington diese deutschfeindliche Politik fort, indem sie ihren Hetzsender zum Sprachrohr der Ultras In Bonn und Schöneberg machen, die gegen eine deutsche Friedensregelung und damit gegen normale Beziehungen zwischen Westberlin und der DDR Amok laufen.	107:117	0:281
Sprachrohr	NOUN	1968	2	Sprachrohr-c2-i72	 	Führer...; die jaden Aniotz einer Politik der Vernunft und des guten Willens im Keime ersticken wollen* As „charakteristisches Vorzeichen bezeichnete Danelius die Tatsache, daß Schütz die Frontstadtpolitik des kalten Krieges verteidigt hat und als sein Sprachrohr die Springerpresse wählte	253:263	0:289
Sprachrohr	NOUN	1850	1	Sprachrohr-c1-i30	 	So verdient denn die alte Interpretation für ihre Zeit in der That dasselbe Prädicat, das man später dem Prätor beilegte, das einer viva vox juris civilis, eines lebendigen Organs des Rechts, nicht eines bloßen Sprachrohrs desselben.	211:222	0:233
Sprachrohr	NOUN	1968	2	Sprachrohr-c2-i55	 	Lb. — Wütend und enttäuscht reagieren die Sprachrohre der Erhard-Regierung und der Monopole auf die entschiedene Abfuhr, die der 7. Ordentliche DGB-Bundeskongreß der im Rahmen der „formierten Gesellschaft geplanten Notstandsgesetzgebung erteilte. weder die erpressenschen Drohungen \\ des KZ-Baumeisters Lübke noch die demagogischen Beschwörungen des rechten Gewerkschaftsführers Leber konnten eine starke Mehrheit der Delegierten der größten westdeutschen Arbeiterorganisation davon abhalten, dem Willen breiter Bevölkerungsschichten in der Bundesrepublik zu entspre-$#rti\"	42:53	0:573
Sprachrohr	NOUN	1850	1	Sprachrohr-c1-i39	 	Dies geschah auch, indem wir, kaum im Abstande eines Flintenschusses, an ihm vorüber liefen und zugleich ihn mit dem Sprachrohr anriefen.	117:127	0:137
Sprachrohr	NOUN	1968	2	Sprachrohr-c2-i80	 	Wochenanfang das Kölner IndustneinstUut, Sprachrohr der Rhein-Ruhr-Monopole, den UNO-Generalsekretär U.Thant wegen seiner Rede vor der UNCTAD scharf an und wies seine konstruktiven Vorschläge zur Normalisierung des internationalen Handels brüsk zurück.	41:51	0:252
Sprachrohr	NOUN	1850	1	Sprachrohr-c1-i68	 	Sie gingen herab zu dem steilen Abhange des Forts, welcher die hohe Mauer hieß, und kaum waren sie dort angelangt, so sahen sie Rosaliens Bette und des Kindes Wiege an einem Seile niedersinken, dem folgten ihre Betten und Geräthe und Francoeur rief durch das Sprachrohr:	259:269	0:270
Sprachrohr	NOUN	1968	2	Sprachrohr-c2-i24	 	Kürzlich haben Kanzler Adenauer und sein Sprachrohr Brandt — der sich als Sozialist bezeichnet, in Wirklichkeit aber ein Lakai des Kapitalismus ist —, sowie andere Reaktionäre Westdeutschlands und Westberlins den amerikanischen Präsidenten eingeladen, Westberlin zu besuchen.	41:51	0:275
Sprachrohr	NOUN	1968	2	Sprachrohr-c2-i8	 	Nebengestalten bleiben oft Sprachrohren und sind kaum Charaktere (nicht Uwe, aber Castro und Irma).	27:39	0:99
Sprachrohr	NOUN	1968	2	Sprachrohr-c2-i74	 	Früher war Charles Douglas-Home das Sprachrohr dessen gewesen, was in den Clubs der Offiziere, der aktiven und derjenigen im Ruhestand gesagt wurde...	36:46	0:150
Sprachrohr	NOUN	1850	1	Sprachrohr-c1-i43	 	Den Beweis liefert das, jedermann bekannte Sprachrohr; welches umgekehrt als Höhrrohr, dieselbe Wirkung hervorbringt, wenn das Ohr sich nehmlich in dem Punkte befindet, wo die beiden Seiten sich durchschneiden würden, welche dem Scheine nach sich widersprechende Wahrnehmungen, sich jedoch aus dem Brechungsgesetze befriedigend erklären lassen.	43:53	0:344
