lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
Tote	NOUN	1968	2	Tote-c2-i17	 	„Die letzte Bastion\"; Seghers: „Das siebte Kreuz\"; Seghers: „Die Toten bleiben jung\" sind über die vorhandenen je acht Exemplare hinaus doppelt und dreifach vorbestellt.	65:70	0:169
Tote	NOUN	1850	1	Tote-c1-i37	 	Hiermit ist nun freilich unverträglich das Opfer, das der Dichter, man kann kaum anders sagen als gedankenlos, den Odysseus allen Todten und dem Tiresias im Besonderen geloben lässt, wenn er nach Hause zurückgekehrt sein werde (Od. 10, 521—526; 11, 29—33).	130:136	0:256
Tote	NOUN	1850	1	Tote-c1-i10	 	Dann brachte ihn die Hundsgeschichte auf das Anekdotenwesen und dieß gab dem wenig Wohlwollenden Anlaß, den Todten zu beschuldigen, daß er doch ein gar zu starker Anekdotenerzähler, ein Meidinger II. gewesen sei.	108:114	0:212
Tote	NOUN	1968	2	Tote-c2-i46	 	Die USA-Militärbehörden in Saison haben Donnerstas die von ihicn Tiuppcn in der verlängeren Woche erlittenen Verluste mit 993 Mann an Toten und Verwundeten angegeben, während die Marionettentruppen 1024 Mann an Toten und Verwundeten verloren haben sollen,	134:139	0:255
Tote	NOUN	1968	2	Tote-c2-i70	 	schlossenen und die Trauer um die vielen Toten hat sich in die Gesichter der Ausharrenden eingegraben.	41:46	0:102
Tote	NOUN	1850	1	Tote-c1-i99	 	„Ich verlange im Namen des Mutessarif unsere Geschütze zurück; ich verlange für jeden unserer Toten oder Verwundeten ein Sühnegeld; ich verlange den verweigerten Haradsch, und ich verlange die Auszahlung einer Summe, die ich noch bestimmen werde, als Brandschatzung.“	94:99	0:267
Tote	NOUN	1968	2	Tote-c2-i93	 	Bei seit einer Woche andauernden Überschwemmungen im brasilianischen Bundesstaat Minas Gerais, die durch sintflutartige Regenfälle verursacht wurden, sind bereits 80 Tote zu beklagen,	166:170	0:183
Tote	NOUN	1968	2	Tote-c2-i92	 	Bereits am Wochenende hatte es erneut 25 Tote und 50 Verletzte gegeben.	41:45	0:71
Tote	NOUN	1968	2	Tote-c2-i62	 	Das Attentat in der von Israel besetzten Stadt hat einen Toten gefordert, etwa 30 Menschen wurden zum Teil schwer verletzt, darunter Mustapha Saad und drei Familienangehörige.	57:62	0:175
Tote	NOUN	1968	2	Tote-c2-i16	 	Springfluten und Erdbeben / 900 Tote in Chile / 500 000 Menschen flüchten in Japan	32:36	0:82
Tote	NOUN	1968	2	Tote-c2-i99	 	Die für die Beisetzung Wladimir Komarows gebildete Regierungskommission hat mitgeteilt, daß heute zwischen 12 und 20 Uhr van dem teuren Toten Abschied genommen werden kann.	136:141	0:172
Tote	NOUN	1850	1	Tote-c1-i3	 	December......... 1842 Percent-Antheil 31.38, Todte 75, Geburten 239	46:51	0:68
Tote	NOUN	1850	1	Tote-c1-i34	 	— Sie hielt aber hier mit fester Hand den Schleier über ihren Erfahrungen fest; auch wußt' er längst, daß sie, ungeachtet ihres fast zuckendweichen Gefühls, das sogar den Anblick der blauen Adern auf der Lilien-Hand wie eine Wunde scheuete, doch vor Todten und in den Geisterstunden der Phantasie unerwartet beherzt erschien.	250:256	0:325
Tote	NOUN	1968	2	Tote-c2-i11	 	Aus wunderschonen Augen, wie sie nur noch die Tote hatte, die nun schon den zweiten Tag auf dem Friedhof schlief, rannen zwei Bächlein reinsten Wassers.	46:50	0:152
Tote	NOUN	1850	1	Tote-c1-i57	 	Im Fliehen bemerkte er seitwärts in dem Abgrunde mehrere dunkle bewaffnete Gestalten mit Fackeln, die den Todten in ihrer Mitte gräßlich beleuchteten.	106:112	0:150
Tote	NOUN	1850	1	Tote-c1-i21	 	Ich kenne drum auch nicht Valers Pietät gegen das, was er geliebt, alles Todte ist für mich nicht da; ich kenne Leopolds Zärtlichkeit, Ueberschwenglichkeit nicht, weil ich nur Leben geben will für Leben.	73:78	0:203
