lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
Triebkraft	NOUN	1968	2	Triebkraft-c2-i19	 	Es ist das jener Versuch, die Triebkraft der organischen Entwicklung auf vitalistische und mithin idealistische Kräfte zu reduzieren.	30:40	0:133
Triebkraft	NOUN	1850	1	Triebkraft-c1-i86	 	Wir, das heißt die junge Generation des erneuten, geeinten und großen Vaterlandes, wollen, daß die Poesie wiederum ein Heiligthum werde, zu dessen geweihter Stätte das Volk wallfahrtet, um mit tiefster Seele aus dem Born des Ewigen zu schlürfen und erquickt, geleitet und erhoben zu der Erfüllung seines menschheitlichen Berufes zurückzukehren, wir wollen uns von ganzem Herzen und von ganzer Seele der Kunst ergeben, deren Triebkraft in uns gelegt, und wollen unsere nach bestem Können gebildete und veredelte Persönlichkeit rücksichtslos, wahr und uneingeschränkt zum Ausdruck bringen.	424:434	0:587
Triebkraft	NOUN	1850	1	Triebkraft-c1-i41	 	Das Bewusstsein der Einheit des Zwecks, mit der Folge der ebenso bewussten Unterordnung der Mittel unter den Zweck, ist es dagegen, was den eigentlichen Willen ausmacht; also die Regelung der Arbeit; eine Thätigkeit, die sich unmittelbar nicht auf das Werk und dessen Hervorbringung, sondern auf die es hervorbringende Arbeit und die Triebkräfte dieser Arbeit richtet.	334:345	0:368
Triebkraft	NOUN	1850	1	Triebkraft-c1-i53	 	Andrerseits führt aber dieser Gedankengang zu einer Einsicht, die wohl niemals mit ähnlicher Eindringlichkeit und Überzeugungskraft sich kundgethan hat: zu der Lehre, dass in der Ruhe die grösste Triebkraft, in der Ungelehrsamkeit das reichste Wissen, in dem Schweigen die gewaltigste Beredsamkeit, in dem absichtslosen Handeln die bestimmteste Treffsicherheit liege.	196:206	0:367
Triebkraft	NOUN	1850	1	Triebkraft-c1-i0	 	Jene allgemeinen Kategorien, die wir oben mitgetheilt haben: Entstehung, Untergang, Eigenschaften u. s. w. des Rechtskörpers sind zwar an sich inhaltslos, formal, allein so wie sie mit dem Stoff in Verbindung gesetzt werden, entwickeln sie eine außerordentliche dialektische Triebkraft.	275:285	0:286
Triebkraft	NOUN	1968	2	Triebkraft-c2-i92	 	Nicht umsonst führte Walter Ulbricht auf dem VI. Parteitag der SED so eindringlich vor Augen, daß die volle Übereinstimmung zwischen den gesellschaftlichen Erfordernissen und dem materiellen Interesse des einzelnen und der Kollektive die wichtigste Triebkraft unserer Entwicklung ist.	249:259	0:284
Triebkraft	NOUN	1968	2	Triebkraft-c2-i84	 	Das warf alle seine Vorstellungen über Arbeit und Führung durcheinander, und er begann, nach den Triebkräften dieses bisher Unbekannten zu suchen.	97:109	0:146
Triebkraft	NOUN	1968	2	Triebkraft-c2-i61	 	tuitiver Empfehlungen, sondern ein System wissenschaftlich begründeter Maßnahmen, das auf der Grundlage einer tiefgreifenden Analyse der wichtigsten Triebkräfte und Haupttendenzen der internationalen Entwicklung ausge-i arbeitet wurde.	149:160	0:235
Triebkraft	NOUN	1850	1	Triebkraft-c1-i46	 	Die Erweiterung des Umfangs der Arbeitsmaschine und der Zahl ihrer gleichzeitig operirenden Werkzeuge bedingt einen massenhafteren Bewegungsmechanismus, und dieser Mechanismus, zur Ueberwältigung seines eignen Widerstands, eine mächtigere Triebkraft als die menschliche, abgesehn davon, dass der Mensch ein sehr unvollkommenes Produktionsinstrument gleichförmiger und kontinuirlicher Bewegung ist.	239:249	0:397
Triebkraft	NOUN	1850	1	Triebkraft-c1-i33	 	Kräftiger, weniger sentimental ist der Eindruck, wo der Mensch im Anblick und im Geruch vorherrschend die frische Triebkraft und Lebensluft der Pflanzenwelt genießt; da athmet ihm die Pflanze Gesundheit und Energie.	114:124	0:215
Triebkraft	NOUN	1968	2	Triebkraft-c2-i32	 	Karl Marx und Friedrich Engels verfolgten aufmerksam die Entwicklung, analysierten Charakter und Triebkräfte des Bürgerkrieges und mobilisierten die internationale Solidarität der Arbeiter.	97:108	0:189
Triebkraft	NOUN	1968	2	Triebkraft-c2-i1	 	Keime neuer, kommunistischer Triebkräfte der Arbeit zeigten sich erstmals, wo Arbeiter Verantwortung für das gesellschaftliche Ganze fühlten und wahrnahmen.	29:40	0:156
