lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
Warschauer	NOUN	1968	2	Warschauer-c2-i53	 	Und die Beschlüsse der Teilnehmerstaaten des Warschauer Vertrages über die Festigung des Friedens und der Sicherheit in Europa vom Juli 1966 haben die Irrealität der Bonner Aggressionspläne noch sichtbarer gemacht.	45:55	0:214
Warschauer	NOUN	1850	1	Warschauer-c1-i49	 	Da konnte sich der trunkene Vater nicht enthalten, zu schwören, ihm solle lieber ein Traubenschuß in den Magen fahren, oder sein Warschauer Prozeß verloren gehen, woll' er je einem solchen seelentreuen Kinde etwas abschlagen oder aufdringen.	129:139	0:241
Warschauer	NOUN	1968	2	Warschauer-c2-i98	 	In diesem Zusammenhang haben sich die Teilnehmerstaaten des Warschauer Vertrages bereit erklärt, allseitige Beziehungen zu Westberlin zu unterhalten und auszubauen.	60:70	0:164
Warschauer	NOUN	1968	2	Warschauer-c2-i51	 	In diesem Zusammenhang bezeichnete der Kernmacher Zygmund Wronski aus den Warschauer „Ursus\" -Werken die Registrierung von „Solidarnosc\" als einen Fehler der Regierung.	74:84	0:168
Warschauer	NOUN	1968	2	Warschauer-c2-i88	 	Jan Debröuwere wies darauf hin, daß eine derartige Initiative zum erstenmal von politischen Organisationen zweier Länder ergriffen wurde, die dem Warschauer Vertrag und der NATO angehören.	146:156	0:188
Warschauer	NOUN	1968	2	Warschauer-c2-i8	 	2. Ausscheiden der beiden deutschen Staaten aus der NATO und dem Warschauer Vertrag.	65:75	0:84
Warschauer	NOUN	1968	2	Warschauer-c2-i6	 	„Ganz besonders werden die Vorschläge des Politischen Beratenden Ausschusses der Teilnehmerstaaten des Warschauer Vertrages in Berlin unterstützt.	103:113	0:146
Warschauer	NOUN	1968	2	Warschauer-c2-i60	 	Die vor der Tagung des Politischen Beratenden Ausschusses des Warschauer Vertrages in Moskau stattgefundene Konferenz der kommunistischen und Arbeiterparteien der Länder des Rates für Gegenseitige Wirtschaftshilfe veranschaulicht eindeutig, daß die sozialistischen Staaten für ihren weiteren großen Aufstieg und Vormarsch für ihren Sieg keine Kriegsabenteuer gebrauchen können, sondern im friedlichen Wettbewerb dem Kapitalismus überlegen sind und ihn besiegen werden.	62:72	0:468
Warschauer	NOUN	1968	2	Warschauer-c2-i79	 	' Der\" Experte sprach sich für ¦ Verhandlungen auch über das konventionelle Kräfteverhältnis zwischen NATO und Warschauer Pakt aus.	111:121	0:131
Warschauer	NOUN	1968	2	Warschauer-c2-i26	 	Frage: Halten Sie den Vorschlag, einen Nichtangriffspakt zwischen den Ländern der NATO und jenen des Warschauer Vertrages zu schließen, für realisierbar und wünschenswert?	101:111	0:171
Warschauer	NOUN	1850	1	Warschauer-c1-i43	 	Jetzt füttern die Pferde, die du vorgelegt kriegst, jetzt wird schon der Wagen geschmiert, nun stehen der Herr Secretair auf, nun sehe ich Sie in Ihrem Warschauer Schlafpelz sitzen und die Charten und Papiere fertig machen, alleweile ist der Briefzettel geschrieben, und alleweile die Personenkarte — da schlägt es sechs, und ich muß aufstehen, trocken, wie ich mich hinlegte, denn wenn man seine völlige Ruhe nicht hat und an andere Dinge denken muß, so löst sich die Natur nicht, und wenn man den Fliederthee Eimerweis tränke.	152:162	0:528
Warschauer	NOUN	1968	2	Warschauer-c2-i57	 	Er charakterisierte das Verhältnis zu Sowjetunion als den nach wie vor ausschlaggebenden Prüfstein für den proletarischen Internationalismus und betonte, daß „die Bedeutung des Warschauer Vertrages vom Gesichtspunkt des internationalen Friedens und der Sicherheit unschätzbar\" ist.	177:187	0:281
