lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
Zuwachs	NOUN	1968	2	Zuwachs-c2-i96	 	Bei Getreide und Milch konnte der vorgesehene Zuwachs vor allem wegen der Witterun « nicht voll erreicht werden,	46:53	0:112
Zuwachs	NOUN	1968	2	Zuwachs-c2-i26	 	Ein Zuwachs ist auch bei den Christlichen Demokraten festzustellen, denen die Stimmen der in Auflösung befindlichen Rechtsparteien zuflössen.	4:11	0:141
Zuwachs	NOUN	1968	2	Zuwachs-c2-i62	 	Der Zuwachs an wirtschaftlicher Kraft wurde in hohem Maße für soziale Zwecke eingesetzt Es bleibt eine ungewöhnliche Leistung der DDR, seit 1970 mehr als 3 Millionen Wohnungen neugebaut oder rekonstruiert zu haben.	4:11	0:214
Zuwachs	NOUN	1968	2	Zuwachs-c2-i0	 	Der bisherige und wiedergewählte Vorsitzende des DTSB-Bezirksvorstandes, Willy Langheinrich, hatte in seinem Rechenschaftsbericht darauf verweisen können, daß die Bezirksorganisation in den letzten vier Jahren einen Zuwachs von 20000 Mitgliedern registrieren konnte.	216:223	0:266
Zuwachs	NOUN	1850	1	Zuwachs-c1-i20	 	So wie jede neue Ausgabe des Buchs ganz beträchtlichen Zuwachs von neuen Entdeckungen oder Berichtigungen in der Naturgeschichte, auch von eignen Ansichten und Bemerkungen des Verfassers erhalten hat, so auch diese gegenwärtige, und zwar – wie schon die Vergleichung des Registers zu derselben ausweisen könnte – nach Verhältniß wohl mehr als eine der vorigen.	55:62	0:360
Zuwachs	NOUN	1850	1	Zuwachs-c1-i42	 	Um diese Fehler zu vermeiden, lässt du Bois die Länge des Nervenstückes zwischen den Polen der Säule unverändert, unterbindet aber, nachdem er vorher die Stärke des Zuwachses festgestellt hat, den Nerven in der Mitte zwischen beiden Polen, wodurch die Hälfte des erregten Nervenstücks seine Wirsamkeit für die Vermehrung des elektrotonischen Zustandes im abgeleiteten Nervenstück verliert.	165:174	0:389
Zuwachs	NOUN	1850	1	Zuwachs-c1-i30	 	Denn im ersteren Falle liegt das Moment der Verursachung bereits voll und ganz in der eigenen mitwirkenden Thätigkeit, und im letzteren Fall kann selbstverständlich ein bloßes Wollen der übrigen mitwirkenden Kräfte nicht den Zuwachs der übrigen, durch die eigene Thätigkeit nicht bereits verursachten, Theile des Erfolgs herbeiführen.	225:232	0:334
Zuwachs	NOUN	1968	2	Zuwachs-c2-i89	 	4,2 Prozent Der Zuwachs kam bei stabilem Preisniveau den Werktätigen in vollem Umfang zugute.	16:23	0:93
Zuwachs	NOUN	1968	2	Zuwachs-c2-i20	 	Bei einem Zuwachs der Arbeitsproduktivität um 15 Prozent wollen die Werktätigen des Schrauben-und Normteilewerkes Hildburghausen im kommenden Jahr die industrielle Warenproduktion auf 122,8 Prozent steigern, um wichtige Bedarfspositionen der Volkswirtschaft, vor allem im Maschinenbau, zu decken.	10:17	0:296
Zuwachs	NOUN	1968	2	Zuwachs-c2-i15	 	Durch den Übergang zu einem neuen Arbeitsrhythmus, nach dem auch am Wochenende die Spritzgießautomaten in mehreren Schichten laufen, erzielen die Kollektive der Berliner Gummiwerke im Vergleich zum Vorjahr einen Produktions-Zuwachs im Wert von 2,5 Millionen Mark.	224:231	0:263
Zuwachs	NOUN	1968	2	Zuwachs-c2-i61	 	Mit dem Ziel. höchstmöglichen Zuwachs an Nationaleinkommen zu erreichen Die zusätzlichen Teltower 20 Millionen sind ein fundiertes Wort Die Planschulden des Berliner Kabelwerkes Köpenick beispielsweise sind alles andere als ein Beispiel.	30:37	0:237
Zuwachs	NOUN	1850	1	Zuwachs-c1-i67	 	Der überaus regelmäßige Wuchs der Nadelbäume, der es bei den meisten zu keiner eigentlichen Kronenabwölbung kommen läßt, läßt es selbst einem alten Baume aus der Länge seiner Triebe leicht ansehen, ob er noch in gutem Zuwachs stehe oder nicht, was bei einem Laubbaume nicht so leicht ist.	218:225	0:288
Zuwachs	NOUN	1850	1	Zuwachs-c1-i99	 	So wie jede neue Ausgabe des Buchs ganz beträchtlichen Zuwachs von neuen Entdeckungen oder Berichtigungen in der Naturgeschichte, auch von eignen Ansichten und Bemerkungen des Verfassers erhalten hat, so auch diese gegenwärtige, und zwar – wie schon die Vergleichung des Registers zu derselben ausweisen könnte – nach Verhältniß wohl mehr als eine der vorigen.	55:62	0:360
Zuwachs	NOUN	1850	1	Zuwachs-c1-i24	 	Die gesammte lebendige Kraft ist also [Formel]. Erfährt die Temperatur einen Zuwachs, wobei [Formel] um [Formel] wächst, so ist die gesammte in Arbeitsmaass gemessene Wärme, die behufs Erhöhung der mittleren lebendigen Kraft zugeführt werden muss, [Formel].	77:84	0:257
Zuwachs	NOUN	1850	1	Zuwachs-c1-i36	 	Daher wird die Tanne immer auf hohe Umtriebszeiten gestellt, da sie bis zu einem Alter von 140 Jahren noch immer einen erheblichen Zuwachs und starke Jahresringe macht.	131:138	0:168
Zuwachs	NOUN	1968	2	Zuwachs-c2-i13	 	Das Futter für den Zuwachs pro Kilo liegt im Bezirk Plewen zwischen 3.8 bis 4,7 Getreideeinheiten.	19:26	0:98
Zuwachs	NOUN	1968	2	Zuwachs-c2-i7	 	# Bei der Abgabe von Plasten wurde der bedeutendste Zuwachs erreicht	52:59	0:68
Zuwachs	NOUN	1968	2	Zuwachs-c2-i70	 	Bei der Eisenhüttemndustris werden 67 Prozent und bei der NE-Hultenindustrie nahezu 60 Prozent der Investitionen zur Erweiterung und Modernisierung der vorhandenen Betriebe verausgabt werden, die mehr als drei Viertel des geplanten Zuwachses an Roheisen.	232:241	0:254
Zuwachs	NOUN	1850	1	Zuwachs-c1-i69	 	Na, das seh’ ich nun wohl ein, sagte Anton, den kann ich hier nicht zurück lassen; den muß ich schon als Zuwachs meiner Reisefracht mit mir schleppen, bis wir wenigstens zu Menschen kommen.	105:112	0:189
Zuwachs	NOUN	1850	1	Zuwachs-c1-i85	 	Das dritte Glied B3, welches dem Zuwachse in Folge der Wirksamkeit der äusseren Kräfte entspricht, können wir auch auf einem anderen Wege berechnen.	33:41	0:148
Zuwachs	NOUN	1968	2	Zuwachs-c2-i68	 	Die Berliner Gastronomie habe in letzter Zeit, nicht zuletzt in Gestalt einer Reihe neuer Einrichtungen, erfreulichen Zuwachs erhalten.	118:125	0:135
