lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
anpflanzen	NOUN	1968	2	anpflanzen-c2-i41	 	Für künftige Neupflanzungen gilt es. daraus die entsprechenden Schlußfolgerungen zu ziehen und vor allem Dauerkernobstgehölze anzupflanzen.	126:138	0:139
anpflanzen	NOUN	1968	2	anpflanzen-c2-i35	 	Bisher wurde empfohlen, die kranken Baume zu vernichten und gesunde Stämme neu anzupflanzen.	79:91	0:92
anpflanzen	NOUN	1968	2	anpflanzen-c2-i96	 	Meine Nachbarn empfingen mich mit der Mitteilung, die Hausgemeinschaft hätte sich dazu verpflichtet. daß ich zehn Aufbaustunden nachzuarbeiten hätte, und ich sollte gleich die pikierten Stiefmütterchen anpflanzen.	202:212	0:213
anpflanzen	NOUN	1968	2	anpflanzen-c2-i80	 	Efeu (Hedera helex) sollte überall dort angepflanzt werden, wo keine andere Pflanzenart mehr gedeiht.	40:51	0:101
anpflanzen	NOUN	1850	1	anpflanzen-c1-i83	 	Dort findet man dieselbe, ebenso die geflecktblätterige, als 1—2 m hohen Strauch ziemlich häufig, besonders in Buschwaldungen der Hügellandschaften, sowie angepflanzt in Tempelhainen und Gärten.	155:166	0:194
anpflanzen	NOUN	1968	2	anpflanzen-c2-i90	 	Freiwillige Arbeitseinsätze galten dem Aufholen dir durch die israelische Aggression im Oktober entstandenen Rückstände, Bewässerungskanäle wurden angelegt, Straßen ausgebaut und im Bezirk Damaskus 10000 Bäume angepflanzt.	210:221	0:222
anpflanzen	NOUN	1968	2	anpflanzen-c2-i88	 	Auf etwa 30 km Länge und 6 km Breite werden fünf Millionen Bäume angepflanzt, verschiedene Nadelbäume, aber auch Roteichen, Platanen, Linden und Pappeln, die Industrieabgasen gegenüber besonders widerstandsfähig sind.	65:76	0:217
anpflanzen	NOUN	1850	1	anpflanzen-c1-i73	 	Junge Exemplare dienen häufig zu immergrünen Hecken, stattlich entwickelte bewundert man in Tempelhainen und Alleen (s. Bild in Band I. pg. 172); am häufigsten aber findet man den Baum in mehr oder weniger grossen Waldbeständen angepflanzt durch das ganze Reich, von den Riukiu-Inseln bis nach Yezo; denn er ist der hervorragendste Holzlieferant, sowohl zum Häuserbau, als auch zur Darstellung von Kisten in allen Grössen.	228:239	0:422
anpflanzen	NOUN	1968	2	anpflanzen-c2-i69	 	Nach dem Beschluß des Ministerrates über Maßnahmen zur weiteren Entwicklung der Landwirtschaft sollen die Landwirtschaftlichen Produktionsgenossenschaften und die Einzelbauern in diesem Jahr u. a. eine Million Stück Kernobst, 900000 Stück Steinobst und 250000 Stück Beerenobst anpflanzen.	277:287	0:288
anpflanzen	NOUN	1850	1	anpflanzen-c1-i33	 	Herr Broussonet hat sogar, wie ich mit Verwunderung hörte, mitten in der Stadt, im Garten des Marquis von Nava, Brotfruchtbäume (Artocarpus incisa) und Zimtbäume (Laurus cinnamomum) angepflanzt.	182:193	0:194
anpflanzen	NOUN	1968	2	anpflanzen-c2-i97	 	Buschmessern und Hacken der üppig wuchernden Tropen Vegetation zu Leibe gingen. um auf 250 Acres Mais anzupflanzen.	102:114	0:115
anpflanzen	NOUN	1968	2	anpflanzen-c2-i9	 	Mehr zufällig hatte damals ein Forscher aus der BRD im Voltastromgebiet beobachtet, daß Neem-Bäume — in der betreffenden Region gern als Schattenspender angepflanzt — trotz ihres dichten Laubes von den riesigen Heuschreckenschwärmen verschont blieben, während die Tiere alles andere Grün kahlfraßen.	153:164	0:299
anpflanzen	NOUN	1850	1	anpflanzen-c1-i22	 	Bonpland hat sehr gut auseinandergesetzt, wie man zu verfahren hätte, um die Bertholletia excelsa am Ufer des Orinoko, des Apure, des Meta, überhaupt in der Provinz Venezuela anzupflanzen.	175:187	0:188
anpflanzen	NOUN	1850	1	anpflanzen-c1-i79	 	Die Traubenkirsche liebt einen frischen Boden und kommt daher auch an Bachufern sehr gut fort, zu deren Befestigung sie dient, nimmt jedoch angepflanzt auch mit mageren Standorten fürlieb.	140:151	0:188
anpflanzen	NOUN	1968	2	anpflanzen-c2-i99	 	Überall, wo Böschungen, Unebenheiten, Splitter-oder Restflächen bestehen bzw. am Rand von größeren Rasenflächen, werden grundsätzlich auch Straucher und Bäume angepflanzt.	159:170	0:171
anpflanzen	NOUN	1968	2	anpflanzen-c2-i84	 	25000 Sträucher wollen die Bürger der Lichtenberger Wohnbezirke 22 und -23-im-Neubaugebiet Frankfurter Allee-Süd, beginnend mit dem heutigen Sonnabend, in freiwilligen Subbotnik-Einsätzen wahrend des Monats November in Vorgärten und auf Kinderspielplatzen anpflanzen, Diese „Mach mit!\" -Arbeiten im Wert von mehr als 40000 Mark sind Teil eines Wettbewerbsvertrages, den die Wohnbezirksausschüsse der Nationalen Front mit dem Rat des Stadtbezirks und dem Wohnungsbaukombinat Berlin zur Verschönerung ihres Wohngebietes abgeschlossen haben.	256:266	0:538
anpflanzen	NOUN	1850	1	anpflanzen-c1-i51	 	wovon mehrere neu angepflanzt sind, andere aber theils noch nicht, theils noch nicht hinreichend untersucht werden konnten, und nebst den bereits beschriebenen in den Supplementen nachgeholt werden sollen.	18:29	0:205
anpflanzen	NOUN	1968	2	anpflanzen-c2-i49	 	Sie ließen traurig die Zweige hängen, die Vielzahl neuer Bäume und Sträucher, die im Frühjahr dieses Jahres im Neubaugebiet an der Hartriegelstraße in Niederschöneweide angepflanzt worden waren.	169:180	0:194
anpflanzen	NOUN	1850	1	anpflanzen-c1-i66	 	101. Gleditschia japonica Miq., jap. Saikachi, ein ansehnlicher Baum, dem man vornehmlich im Norden Japans begegnet, und zwar wildwachsend längs der Flüsse und Thaleinsenkungen niedriger Bergwälder, sowie angepflanzt in der Nähe der Ortschaften.	205:216	0:245
anpflanzen	NOUN	1968	2	anpflanzen-c2-i56	 	„Tsusende Bäume, Straucher und Weiden wurden neu angepflanzt und somit die Trachtverhältnisse für die Bienenvölker entscheidend verbessert\", sagte sie.	49:60	0:151
