identifier1	identifier2	annotator	judgment	comment	lemma
ausbilden-c1-i37	ausbilden-c1-i83	stekade	0	 	ausbilden
ausbilden-c1-i92	ausbilden-c1-i52	stekade	3	 	ausbilden
ausbilden-c1-i26	ausbilden-c2-i4	stekade	2	 	ausbilden
ausbilden-c1-i29	ausbilden-c1-i8	stekade	2	 	ausbilden
ausbilden-c1-i94	ausbilden-c2-i4	stekade	2	 	ausbilden
ausbilden-c2-i71	ausbilden-c1-i83	stekade	0	 	ausbilden
ausbilden-c1-i26	ausbilden-c1-i83	stekade	0	 	ausbilden
ausbilden-c1-i48	ausbilden-c1-i83	stekade	0	 	ausbilden
ausbilden-c1-i52	ausbilden-c1-i8	stekade	3	 	ausbilden
ausbilden-c1-i58	ausbilden-c1-i83	stekade	0	 	ausbilden
ausbilden-c1-i37	ausbilden-c1-i8	stekade	2	 	ausbilden
ausbilden-c1-i92	ausbilden-c2-i4	stekade	2	 	ausbilden
ausbilden-c1-i64	ausbilden-c1-i8	stekade	3	 	ausbilden
ausbilden-c1-i3	ausbilden-c2-i4	stekade	2	 	ausbilden
ausbilden-c1-i3	ausbilden-c1-i52	stekade	3	 	ausbilden
ausbilden-c1-i52	ausbilden-c2-i4	stekade	2	 	ausbilden
ausbilden-c2-i14	ausbilden-c2-i4	stekade	3	 	ausbilden
ausbilden-c1-i26	ausbilden-c1-i37	stekade	3	 	ausbilden
ausbilden-c2-i7	ausbilden-c1-i83	stekade	0	 	ausbilden
ausbilden-c1-i3	ausbilden-c1-i83	stekade	0	 	ausbilden
ausbilden-c1-i8	ausbilden-c1-i83	stekade	0	 	ausbilden
ausbilden-c1-i8	ausbilden-c2-i4	stekade	2	 	ausbilden
ausbilden-c2-i53	ausbilden-c2-i4	stekade	3	 	ausbilden
ausbilden-c1-i57	ausbilden-c1-i83	stekade	0	 	ausbilden
ausbilden-c1-i92	ausbilden-c1-i37	stekade	3	 	ausbilden
ausbilden-c1-i52	ausbilden-c1-i83	stekade	0	 	ausbilden
ausbilden-c1-i52	ausbilden-c1-i37	stekade	2	 	ausbilden
ausbilden-c1-i92	ausbilden-c1-i83	stekade	3	 	ausbilden
ausbilden-c1-i37	ausbilden-c2-i4	stekade	1	 	ausbilden
ausbilden-c2-i58	ausbilden-c1-i83	stekade	1	 	ausbilden
ausbilden-c1-i72	ausbilden-c1-i8	stekade	2	 	ausbilden
ausbilden-c1-i3	ausbilden-c1-i37	stekade	3	 	ausbilden
ausbilden-c1-i26	ausbilden-c1-i52	stekade	2	 	ausbilden
ausbilden-c1-i37	ausbilden-c2-i4	FWetzel	2	 	ausbilden
ausbilden-c1-i8	ausbilden-c2-i4	FWetzel	2	 	ausbilden
ausbilden-c1-i37	ausbilden-c1-i83	FWetzel	2	 	ausbilden
ausbilden-c1-i8	ausbilden-c1-i83	FWetzel	2	 	ausbilden
ausbilden-c2-i7	ausbilden-c1-i83	Zori	2	 	ausbilden
ausbilden-c2-i71	ausbilden-c1-i83	Zori	2	 	ausbilden
ausbilden-c1-i92	ausbilden-c1-i37	Zori	4	 	ausbilden
ausbilden-c1-i72	ausbilden-c1-i8	Zori	4	 	ausbilden
ausbilden-c1-i48	ausbilden-c1-i83	Zori	4	 	ausbilden
ausbilden-c1-i29	ausbilden-c1-i8	Zori	3	 	ausbilden
ausbilden-c2-i14	ausbilden-c2-i4	Zori	4	 	ausbilden
ausbilden-c1-i3	ausbilden-c1-i52	Zori	3	 	ausbilden
ausbilden-c1-i64	ausbilden-c1-i8	Zori	2	 	ausbilden
ausbilden-c2-i53	ausbilden-c2-i4	Zori	4	 	ausbilden
ausbilden-c1-i94	ausbilden-c2-i4	Zori	2	 	ausbilden
ausbilden-c1-i52	ausbilden-c1-i37	Zori	4	 	ausbilden
ausbilden-c1-i26	ausbilden-c1-i52	Zori	3	 	ausbilden
ausbilden-c1-i58	ausbilden-c1-i83	Zori	3	 	ausbilden
ausbilden-c1-i92	ausbilden-c1-i83	Zori	4	 	ausbilden
ausbilden-c1-i92	ausbilden-c2-i4	Zori	2	 	ausbilden
ausbilden-c1-i92	ausbilden-c1-i52	Zori	4	 	ausbilden
ausbilden-c2-i58	ausbilden-c1-i83	Zori	2	 	ausbilden
ausbilden-c1-i3	ausbilden-c2-i4	Zori	2	 	ausbilden
ausbilden-c1-i57	ausbilden-c1-i83	Zori	4	 	ausbilden
ausbilden-c1-i26	ausbilden-c1-i37	Zori	4	 	ausbilden
ausbilden-c1-i52	ausbilden-c1-i8	Zori	3	 	ausbilden
ausbilden-c1-i3	ausbilden-c1-i37	Zori	4	 	ausbilden
ausbilden-c1-i3	ausbilden-c1-i83	Zori	3	 	ausbilden
ausbilden-c1-i26	ausbilden-c2-i4	Zori	2	 	ausbilden
ausbilden-c1-i26	ausbilden-c1-i83	Zori	3	 	ausbilden
ausbilden-c1-i3	ausbilden-c1-i83	FWetzel	2	 	ausbilden
ausbilden-c1-i94	ausbilden-c2-i4	FWetzel	2	 	ausbilden
ausbilden-c1-i3	ausbilden-c1-i52	FWetzel	3	 	ausbilden
ausbilden-c1-i72	ausbilden-c1-i8	FWetzel	3	 	ausbilden
ausbilden-c1-i92	ausbilden-c1-i37	FWetzel	3	 	ausbilden
ausbilden-c2-i53	ausbilden-c2-i4	FWetzel	4	 	ausbilden
ausbilden-c2-i7	ausbilden-c1-i83	FWetzel	2	 	ausbilden
ausbilden-c1-i26	ausbilden-c1-i83	FWetzel	3	 	ausbilden
ausbilden-c1-i57	ausbilden-c1-i83	FWetzel	4	 	ausbilden
ausbilden-c1-i3	ausbilden-c2-i4	FWetzel	2	 	ausbilden
ausbilden-c1-i29	ausbilden-c1-i8	FWetzel	3	 	ausbilden
ausbilden-c1-i52	ausbilden-c1-i37	FWetzel	3	 	ausbilden
ausbilden-c1-i26	ausbilden-c1-i52	FWetzel	3	 	ausbilden
ausbilden-c1-i48	ausbilden-c1-i83	FWetzel	4	 	ausbilden
ausbilden-c1-i3	ausbilden-c1-i37	FWetzel	4	 	ausbilden
ausbilden-c2-i58	ausbilden-c1-i83	FWetzel	2	 	ausbilden
ausbilden-c1-i26	ausbilden-c1-i37	FWetzel	4	 	ausbilden
ausbilden-c1-i52	ausbilden-c1-i8	FWetzel	3	 	ausbilden
ausbilden-c1-i64	ausbilden-c1-i8	FWetzel	2	 	ausbilden
ausbilden-c1-i52	ausbilden-c2-i4	FWetzel	2	 	ausbilden
ausbilden-c1-i37	ausbilden-c1-i8	FWetzel	3	 	ausbilden
ausbilden-c1-i92	ausbilden-c1-i52	FWetzel	3	 	ausbilden
ausbilden-c1-i92	ausbilden-c1-i83	FWetzel	2	 	ausbilden
ausbilden-c1-i52	ausbilden-c1-i83	FWetzel	2	 	ausbilden
ausbilden-c1-i26	ausbilden-c2-i4	FWetzel	2	 	ausbilden
ausbilden-c2-i71	ausbilden-c1-i83	FWetzel	2	 	ausbilden
ausbilden-c2-i14	ausbilden-c2-i4	FWetzel	4	 	ausbilden
ausbilden-c1-i92	ausbilden-c2-i4	FWetzel	2	 	ausbilden
ausbilden-c1-i58	ausbilden-c1-i83	FWetzel	3	 	ausbilden
ausbilden-c1-i37	ausbilden-c1-i83	Zori	3	 	ausbilden
ausbilden-c1-i8	ausbilden-c1-i83	Zori	3	 	ausbilden
ausbilden-c1-i8	ausbilden-c2-i4	Zori	2	 	ausbilden
ausbilden-c1-i37	ausbilden-c1-i8	Zori	3	 	ausbilden
ausbilden-c1-i37	ausbilden-c2-i4	Zori	2	 	ausbilden
ausbilden-c1-i52	ausbilden-c1-i83	Zori	3	 	ausbilden
ausbilden-c1-i52	ausbilden-c2-i4	Zori	2	 	ausbilden
