lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
ausbilden	VERB	1968	2	ausbilden-c2-i51	 	Kraftfahrzeuge, Kraftfahrzeugtriebwerke, Kraftfahrzeugfahrwerke, Kraftfahrzeugmonlage, Berufskraftfahrer In diesem Beruf werden fast nur Jungen (461) ausgebildet, hinzu kommen lediglich sieben Mädchen.	150:161	0:201
ausbilden	VERB	1850	1	ausbilden-c1-i0	 	Doch ich sehe, dass der Wunsch, Ihnen gleich von vorn herein das Räthsel zu lösen, wie es gekommen, dass Haller das Ei, welches er mit so viel Ausdauer in Schaafen suchte, so lange nicht finden konnte und dann plötzlich ein sehr grosses Ei traf, mich ganz von meinem Gegenstande ab-und in eine Einzelheit verlockt hat, welche mehr in spätere Vorträge gehört, in welchen wir die Differenzen des Eies der Säugethiere und die Art wie die einzelnen Formen sich ausbilden, verfolgen wollen.	457:466	0:485
ausbilden	VERB	1968	2	ausbilden-c2-i23	 	gelegt wird, Die Besten der Studenten werden für die Aufnahme in den wissenschaftlichen Nachwuchs vorgesehen und unterziehen sich nach einem weiteren Jahr Studium einer Prüfung, nach deren erfolgreichem Bestehen sie als Aspiranten — elso Kandidaten des wissenschaftlichen Nachwuchses — bestätigt werden und sich zum Wissenschaftler ausbilden -	332:341	0:343
ausbilden	VERB	1850	1	ausbilden-c1-i57	 	Die Haut ist jetzt am reichlichsten mit dem weichen glänzenden Wollhaar bedeckt, die Nägel sind mehr ausgebildet, aber noch sehr weich, eben so die Kopfknochen, welche noch in den Näthen ziemlich auseinander stehen.	101:112	0:215
ausbilden	VERB	1850	1	ausbilden-c1-i83	 	Tiedemann konnte diesen zwar im Anfange des zweiten und dritten Monates noch nicht finden, sah ihn aber, wie dieses Wrisberg schon bemerkt hatte (historia embryonis p. 25.), späterhin um so mehr vergrössert und ausgebildet (l. c. S. 172.).	211:222	0:239
ausbilden	VERB	1968	2	ausbilden-c2-i0	 	Ein Hauptmangel bestand weiterhin darin, daß die Viehpfleger und auch die leitenden Kader nicht gleichzeitig nach den neuen Bedingungen gründlich ausgebildet worden sind.	146:157	0:170
ausbilden	VERB	1968	2	ausbilden-c2-i99	 	Weil wir einen großen Mangel an Maschinisten haben und daher gerade von diesen die meisten Überstunden gemacht werden, schlagen wir vor, Frauen und junge Kollegen auszubilden.	163:174	0:175
ausbilden	VERB	1850	1	ausbilden-c1-i89	 	Die weitern Glieder, welche bei den typischen Bandwürmern vorkommen, sind um so vollkommener ausgebildet, je weiter sie von dem Kopfe abstehen; aber auch bis zu dem Momente ihrer Reife, wo sie sich lostrennen, sieht man niemals eine Spur von Nervensystem in ihnen entwickelt.	93:104	0:275
ausbilden	VERB	1850	1	ausbilden-c1-i26	 	Diese Form ist von der Aeolischen Lyrik ausgebildet; zu Alcäus und Sappho ist, obwohl Jonier, Anakreon zu stellen.	40:51	0:114
ausbilden	VERB	1968	2	ausbilden-c2-i22	 	Die Menschen sind zwar vorhanden, aber sie mußten ausgebildet werden.	50:61	0:69
ausbilden	VERB	1850	1	ausbilden-c1-i12	 	Dem selbstständigen Selbstbewusstseyn ist einestheils nur die reine Abstraction des Ich sein Wesen, und anderntheils, indem sie sich ausbildet und sich Unterschiede gibt, wird diss Unterscheiden ihm nicht zum gegenständlichen ansichseyenden Wesen; diss Selbstbewusstseyn wird also nicht ein in seiner Einfachheit sich wahrhafft unterscheidendes, oder in dieser absoluten Unterscheidung sich gleichbleibendes Ich.	133:142	0:412
ausbilden	VERB	1850	1	ausbilden-c1-i78	 	Erst jetzt folgen bei dem Krebse die eigentlichen Füße, wovon das erste Paar die Scheeren trägt, während bei den Heuschreckenkrebsen z. B. der zweite Kaufuß des Krebses sich zu einem gewaltigen Zangenfuße ausbildet, der die Beute ergreift, und der dritte Kaufuß einem mit einem Haken bewaffneten Fuße entspricht.	205:214	0:312
ausbilden	VERB	1968	2	ausbilden-c2-i48	 	Viele von ihnen werden durch die Lehrkräfte der Betriebsschule für Land-und Nahrungsgüterwirtschaft beim Magistrat in der Weißenseer Buschallee ausgebildet.	144:155	0:156
ausbilden	VERB	1968	2	ausbilden-c2-i64	 	Ihre Einrichtung soll dazu dienen, vor allem auf technischem und wirtschaftlichem Gebiet praxisorientierte Hochschulabsolventen auszubilden.	128:139	0:140
ausbilden	VERB	1968	2	ausbilden-c2-i42	 	Sechs mexikanische Spezialisten wurden vier Monate lang in der DDR ausgebildet	67:78	0:78
ausbilden	VERB	1850	1	ausbilden-c1-i45	 	Soldaten ausbilden, Waffen anschaffen, Festungen anlegen, — oder Wege und Kanäle bauen, Eisenbahnen in Betrieb halten, Briefe und Telegramme befördern, — oder Schulen errichten, Handel, Industrie und Ackerbau heben und unterstützen u. s. w. das Alles sind Thätigkeiten, welche sich zwar innerhalb der vom Recht gezogenen Schranken halten müssen, welche aber die Aufrechthaltung der Rechtsordnung selbst nicht zum Gegenstande haben, und deshalb ihren positiven Inhalt durch Rechtssätze nicht erhalten.	9:18	0:500
ausbilden	VERB	1850	1	ausbilden-c1-i58	 	Hieraus scheint sich mir von selbst zu erklären, weshalb da, wo der malerische Vortrag zu überwiegen beginnt, sich das zu entwickeln pflegt, was man gewöhnlich als eine breitere Manier bezeichnet: eine Behandlungsart, welche weniger ängstlich und scharf das Detail der Formen ausbildet, als die Massen, wie sie sich unter dem Einfluss des Lichtes gliedern, im Grossen einander gegenüberstellt.	276:285	0:393
ausbilden	VERB	1968	2	ausbilden-c2-i4	 	In der äthiopischen Hauptstadt waren sie zu Wartungsmechanikern für die Elektronik moderner Duseniets ausgebildet worden — ebenso, wie vor ihnen bereits zahlreiche Piloten und Techniker der „Nigerian Airways\" hier ihr berufliches Rüstzeug erhielten.	102:113	0:249
ausbilden	VERB	1850	1	ausbilden-c1-i3	 	Einige halten es für eine Erfindung des Aristides, die nachher von Praxiteles ausgebildet sei.	78:89	0:94
ausbilden	VERB	1850	1	ausbilden-c1-i52	 	Gerade umgekehrt haben sich die Formeln in der angegebenen Weise ausgebildet, um dem in dem inneren Wesen der Sache gegründeten Gegensatz zum angemessenen Ausdruck zu dienen.	65:76	0:174
ausbilden	VERB	1968	2	ausbilden-c2-i49	 	Schon am 29. November 1973 konnte das Präsidium des DTSB der 10. Tagung seines Bundesvorstandes darüber berichten, daß seit dem 1. Januar 1973 mehr als 64000 neue Mitglieder aufgenommen worden sind, mehr als 8200 Übungsleiter und 5400 Schieds-und Kampfrichter ausgebildet wurden bzw. einen höheren Qualifikationsgrod erwarben.	260:271	0:326
ausbilden	VERB	1968	2	ausbilden-c2-i7	 	Wie die Wirtschaftszeitung „Jingji Ribao\" dazu schrieb, sieht das unter der Schirmherrschaft der Staatlichen Plankommission stehende Programm vor, in vierwöchigen Intensivkursen Direktoren und Leitungskader von etwa 3000 Betrieben und Unternehmen in Computer-Grundlagenwissen und in der Anwendung von Rechentechnik in der Produktion, Betriebsführung und Planung auszubilden.	362:373	0:374
ausbilden	VERB	1850	1	ausbilden-c1-i29	 	– Dass die beiden Hauptfortsätze an diesen Knochen, der coracoides und das acromium bey denen am ansehnlichsten ausgebildet seyn müssen, die wahre lange Schlüsselbeine haben, lässt sich schon a priori erwarten.	112:123	0:210
ausbilden	VERB	1850	1	ausbilden-c1-i13	 	Es hat aber im ältesten Germanien ein Adel schon bestanden; dieser hat nach vielfältigen Kämpfen in den fränkischen Gefolgen endlich ganz Teutschland und zuletzt beynahe ganz Europa bezwungen; später im Lehnssystem zur Ritterschaft sich ausgebildet, und zum Theil zur Unmittelbarkeit sich erhoben; ist noch später in den stehenden Heeren und im Hofdienst wieder in's Gefolge eingetreten, und so nun in bestimmter Gestalt und mit positiven Rechten auf uns gekommen.	237:248	0:464
ausbilden	VERB	1968	2	ausbilden-c2-i98	 	Nach einleitenden Begrüßungsworten der Leiterin des Instituts, Genossin Lene Berg, mit denen sie die künftige Lehrtätigkeit und die wissenschaftliche Forschungsarbeit des Instituts umriß, in der in dreijährigen Lehrgängen hochqualifizierte Theoretiker und Propagandisten der Partei ausgebildet werden sollen, sprach Genosse Grotewohl über die Bedeutung der theoretischideologischen Arbeit, die mit Hilfe des Instituts auf ein hohes Niveau gebracht werden soll.	282:293	0:460
ausbilden	VERB	1850	1	ausbilden-c1-i64	 	Diese Discretion wird um so stärker ausgeprägt sein, je constanter die Richtungen des Zuges sind, je weniger also durch Wechsel des Zuges die Umgebung wieder mit benutzt wird; so sehen wir an den accessorischen Gelenkbändern die Sonderung von der Umgebung so vollkommen scharf ausgebildet, dass sie geradezu glänzende Oberfläche haben, während dies bei den Bändern der Harnblase, entsprechend der vielfach wechselnden Zugrichtung, natürlich nicht der Fall ist.	277:288	0:460
ausbilden	VERB	1850	1	ausbilden-c1-i98	 	Ueberaus enge und wenig ausgebildet ist hingegen das Siebbein der mehresten Quadrumanen, als bey welchen es nicht zwischen ihren so dicht an einander stossenden Augenhöhlen (§ 20), sondern tiefer in die Nase hinab liegt, so dass ihre Geruchsnerven erst zwischen den partibus orbitalibus des Stirnbeins wie durch einen Canal herablaufen, auf dessen Hoden das kleine unansehnliche Siebchen befindlich und nur mit wenigen Oeffnungen durchbohrt ist.	24:35	0:445
ausbilden	VERB	1968	2	ausbilden-c2-i14	 	Ein -Superfestunc stürzte In der Nähe der Marschalllnseln (Still w Ozean) ab. 14 Personen werden vermißt.? 51 deutschen Journalisten, Lehrern und Getverkschaftsvertretern, dle nach Großbritannien reisen wollten. wurde die Durchrelse durch die • Niederlande verweigert, meldet die Zeitung „De Volksbrant\". + Holländisch » Offiziere werden zusammen mit französischen Soldaten In der Fallschlrmsprineer-Ausblldungsschule in Indochina ausgebildet, berichtet Reuter aus Sauron. + DI « Regierung der Vereinigten Staaten ••> « • sichtigt, wie Innenminister Krug Journalisten erklärte, am 1.-Juli die Kohlengruben ihren Eigentümern zurückzugeben. + MontKomery hat den sowjetischen Stabschef, Marschall Wassilewsky, nach Großbritannien eingeladen.	431:442	0:738
ausbilden	VERB	1968	2	ausbilden-c2-i13	 	Wir haben das Ziel, bei der Verwirklichung des Lehriahresauftrages klassenbewußte, hochqualifizierte Facharbeiter auszubilden und sie gleichzeitig zu sozialistischen Patrioten und proletarischen Internationalisten zu erziehen, wie das im	114:125	0:237
ausbilden	VERB	1850	1	ausbilden-c1-i72	 	Als aber die Landeshoheit sich zur wirklichen Staatsgewalt ausgebildet hatte, fristeten sie nur noch hie und da eine machtlose Existenz, bis sie allmählich ganz verschwanden.	59:70	0:174
ausbilden	VERB	1968	2	ausbilden-c2-i5	 	Rund 70000 junge Bürger aus über hundert Ländern Asiens, Afrikas und Lateinamerikas werden gegenwärtig an Universitäten) Hochschulen und Technika in allen Teilen der Sowjetunion zu hochqualifizierten Fachleuten ausgebildet.	211:222	0:223
ausbilden	VERB	1968	2	ausbilden-c2-i58	 	An Schußwaffen werden die französischen Okkupanten und auch Einheiten der Bereitschaftspolizei auf dem Schießplatz.Jungfernheide ausgebildet, Darüber hinaus werden im Tegeler Forst Panzermanöver abgehalten.	129:140	0:206
ausbilden	VERB	1850	1	ausbilden-c1-i8	 	Das wahre Organ des Verständnisses, worin es sein Wesen entwickelt und ausbildet, ist die Sprache selber, in Geberden und Lauten sich mittheilender und empfangener Ausdruck von Schmerz und Lust, Furcht und Wunsch und aller übrigen Gefühle und Gemüthserregungen.	71:80	0:261
ausbilden	VERB	1850	1	ausbilden-c1-i28	 	Dann erst und im dritten Monate beginnt die fötale Placenta sich auszubilden, indem an der Stelle, mit welcher das Ei der Uteruswand anliegt, die Zotten immer weiter wuchern, während dieselben an den übrigen Stellen im Wachsthume zurückbleiben und ihre Gefässe atrophisch werden.	65:76	0:279
ausbilden	VERB	1968	2	ausbilden-c2-i53	 	Wie sollen wir sonst zu Fachkräften kommen, wenn wir die Schlackeschipper nicht endlich zu Kokillenmännern und Gießern ausbilden?	119:128	0:129
ausbilden	VERB	1968	2	ausbilden-c2-i44	 	Darum hängt die Gefechtsbereitschaft der Einheiten und Truppenteile nicht zuletzt von jenen Unteroffizieren ab, die in der „Habersaath-Schule ausgebildet werden.	142:153	0:161
ausbilden	VERB	1968	2	ausbilden-c2-i62	 	Dieser gelangte aus einem in der Nähe des Lagers gelegenen alten Kloster, in dem schwererziehbare Jugendliche als Tischler, Schlosser und Schmiede ausgebildet wurden, zu uns.	147:158	0:174
ausbilden	VERB	1850	1	ausbilden-c1-i37	 	Freilich wurde diese Idee vorzugsweise in den Philosophenschulen ausgebildet; im Leben und im Bewusstsein des Volkes trat sie nur wenig hervor, mehr noch die Scheu vor den bösen Dämonen.	65:76	0:186
ausbilden	VERB	1968	2	ausbilden-c2-i76	 	Innerhalb von dreizehn Jahren (von 1941 bis 1953 einschließlich) sind in den Gewerbe-und Eisenbahnerschulen sowie in den Betriebsschulen auf Staatskosten rund 7 Millionen junger Facharbeiter verschiedener Berufe ausgebildet worden.	212:223	0:231
ausbilden	VERB	1850	1	ausbilden-c1-i92	 	In Frankreich hat sich dieselbe erst nach der Revolution als enseignement libre ausgebildet; das Gesetz von 1833 bezieht sich noch wesentlich auf Privatschulen.	80:91	0:160
ausbilden	VERB	1968	2	ausbilden-c2-i71	 	In der ersten Etappe des Programms sollen bis Ende des Jahres 150000 Alphabetisatoren ausgebildet werden, die in den ersten fünf Monaten des kommenden Jahres eine Million Bolivianer unterrichten sollen.	86:97	0:202
ausbilden	VERB	1850	1	ausbilden-c1-i48	 	Schon am Anfange des vierten Monates ist dieses Schleimgewebe an manchen Stellen, z. B. dem Rücken, vollständig ausgebildet.	112:123	0:124
ausbilden	VERB	1968	2	ausbilden-c2-i80	 	Von den sechs, sieben Lehrlingen, die wir jährlich ausbilden, blieben in der letzten Zeit immer nur ein oder zwei bei uns.	51:60	0:122
ausbilden	VERB	1850	1	ausbilden-c1-i94	 	Auch die Ränkesucht spielte mit, jene alte französische Sünde, die in den höfischen Cabalen des alten Jahrhunderts zur Meisterschaft ausgebildet, längst schon in die parlamentarischen Sitten der neuen Zeit eingedrungen war: Graf Molé und der Vertraute des Herzogs von Orleans, General Sebastiani schürten den Widerstand gegen Martignac, weil sie selber seine Erbschaft anzutreten hofften.	133:144	0:388
ausbilden	VERB	1968	2	ausbilden-c2-i30	 	Bis 1959 sollen tausend Ingenieure, 28000 Traktoristen, 14000 Kombinefahrer, 15000 Traktorenbrigadeführer und über 7000 Kraftwagenführer ausgebildet werden.	137:148	0:156
ausbilden	VERB	1850	1	ausbilden-c1-i40	 	Dies mit möglichster Genauigkeit und Sicherheit zu bestimmen, gehört zu den schwierigsten, aber auch zu den schönsten Triumphen der modernen Bergtechnik, und wer sich zu einem tüchtigen Touristen ausbilden will, muss in dieser Sache Fertigkeit besitzen.	196:205	0:253
ausbilden	VERB	1968	2	ausbilden-c2-i90	 	In den dreißig Jahren ihres Bestehens wurden an der Fachschule insgesamt 25000 Ökonomen praxisnah ausgebildet.	98:109	0:110
ausbilden	VERB	1850	1	ausbilden-c1-i90	 	Denn ebenso, wie sie unter ganz neuen, also nicht vererbten Verhältnissen hervorgebracht werden, in denen sie blos in Abhängigkeit von den verbrauchenden Theilen entstehen können, müssen sie auch in normalen Verhältnissen sich in der gleichen Weise auszubilden vermögen.	249:260	0:270
ausbilden	VERB	1850	1	ausbilden-c1-i66	 	Andere junge Leute, die sich zu Dolmetschern ausbilden wollten, wurden aus England erwartet.	45:54	0:92
ausbilden	VERB	1968	2	ausbilden-c2-i57	 	Der Verfasser des im Revanchistenorgan „Der Schlesier\" veröffentlichten kriegshetzerischen Szenariums über einen Marsch der Bundeswehr nach Osten, Thomas Finke, ist bei der Bundeswehr in psychologischer Kriegsführung ausgebildet worden.	217:228	0:236
