lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
einbinden	VERB	1850	1	einbinden-c1-i33	 	Zu dem Ende stellte er zwey brennende Lichter auf den Tisch, legte ein paar geladene Pistolen daneben, nahm zum Zeitvertreib den rheinländischen Hausfreund, so in Goldpapier eingebunden an einem rothen seidenen Bändelein unter der Spiegelrahme hieng, und beschaute die schönen Bilder.	174:185	0:284
einbinden	VERB	1850	1	einbinden-c1-i4	 	Dann wird der Sack von seinem Rahmen losgemacht, auch in jeder obern Ecke eine Hand voll Hopfen eingebunden, und der Sack fest zugeschnürt.	96:107	0:139
einbinden	VERB	1850	1	einbinden-c1-i14	 	Er will immer, daß ich den Murks mit einbinde, wie wenn's richtige Stangen wären; aber solche Bedrügerei mag ich nich, auch wenn Bruch-und Stückenzeug grade so gut schmeckt wie's Ganze.	37:45	0:185
einbinden	VERB	1968	2	einbinden-c2-i70	 	Jede Schule wird ein Sammlung von etwa 35 Büchern erhalten, die in bibliotheks-organisatorischer Form, das heißt möglichst gleichmäßig eingebunden, numeriert, mit Bücherei-und Ausleihkarten versehen, ausgeliefert wird.	135:146	0:218
einbinden	VERB	1850	1	einbinden-c1-i58	 	Der Graf Leopold Stolberg sonderte die Blätter, welche diese Bekenntnisse enthalten, von dem übrigen Roman sorgsam aus, ließ sie einbinden, und hielt sie wie ein Kleinod, dessen Zusammenhang mit dem sonstigen, für ihn abstoßenden Inhalt des Wilhelm Meister er nicht anerkennen wollte!	129:138	0:284
einbinden	VERB	1850	1	einbinden-c1-i60	 	Der als Schaft bestimmte Stamm wird, ehe er abgeschnitten wird, zur Frühlingszeit von der Rinde befreit, sodann werden in die Oberfläche mittelst eines spitzen Messers nach beliebiger Ordnung tiefe Einschnitte gemacht und darauf der Stamm leicht eingebunden.	246:257	0:258
einbinden	VERB	1850	1	einbinden-c1-i25	 	Der Absonderungsdruck wird dadurch gemessen, dass man in den Ausführungsgang einer Drüse A (in der schematischen Fig. 52.) ein Manometer B einbindet.	139:148	0:149
einbinden	VERB	1968	2	einbinden-c2-i42	 	Durch die Kreuzung der Kettfäden wird dann der Schußfaden in das Gewebe eingebunden.	72:83	0:84
einbinden	VERB	1968	2	einbinden-c2-i13	 	Jeder Schritt dabei, auch der des Künstlers, ist eingebunden in die großen Auseinandersetzungen unserer Zeit.	49:60	0:109
einbinden	VERB	1968	2	einbinden-c2-i36	 	In sie sollen auch die islamischen Würdenträger eingebunden sein.	48:59	0:65
einbinden	VERB	1968	2	einbinden-c2-i25	 	Insgesamt dienen die abgegebenen Erklärungen sowohl über Terrorismus als auch über Demokratie den Zielen, die großen kapitalistischen Staaten einschließlich Japan in den militaristischen Kurs der amerikanischen Administration weiter einzubinden.	233:244	0:245
einbinden	VERB	1850	1	einbinden-c1-i68	 	Und genau dieser Bestellung entsprechend, werden in den vorgeschilderten Urkranz etliche Georginen oder Teichrosen eingebunden und bei stattgehabter Höchstbewilligung sogar eine Orchidee von ganz unglaublicher Form und Farbe.“	115:126	0:226
einbinden	VERB	1968	2	einbinden-c2-i23	 	In Lateinamerika, dem rebellierenden Kontinent, versuche der Imperialismus mit allen Mitteln durch Aggressionen, Einmischung und Diversion, durch Terrorismus und Destablllsierung, durch Ausbeutung und Raubbau, durch Erpressung und Staatsstreiche, durch die Schaffung militärischer Basen sowie mittels politischen und ökonomischen Drucks — seine Positionen zu halten und die Lander m seine aggressive Globalstrategie einzubinden.	416:427	0:428
einbinden	VERB	1968	2	einbinden-c2-i3	 	Dazwischen eingebunden sind Stationen aus dem Leben jenes universellen Denkers und revolutionären Geistes, der durch seine Himmelslehre das herrschende kirchliche Weltbild ins Wanken brachte.	11:22	0:191
einbinden	VERB	1968	2	einbinden-c2-i4	 	Besonders wertvolle Geholze, vor allem solche, die einzeln stehen und somit nicht vor Wind und Sonnenschein geschützt sind, können mit Fichtenreisig, Schilfmatten oder ähnlichen Materialien eingebunden werden, um die Wasserverdunstung zu reduzieren.	190:201	0:249
