lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
eintreten	VERB	1850	1	eintreten-c1-i19	 	„Als Velazquez in sein Haus eintrat, empfingen ihn die Seinigen, Frau und Freunde, mit mehr Entsetzen als Freude, es hatte sich nämlich in der Residenz die Nachricht von seinem Tode verbreitet, also dass sie ihren Augen nicht trauten: das war wie es scheint eine Vorbedeutung der kurzen Zeit die ihm noch zu leben beschieden war.“	92:101	0:330
eintreten	VERB	1850	1	eintreten-c1-i65	 	Die Artillerie zog ungehindert hinüber; die Kavallerie mußte absitzen und die Pferde hinüberführen; dies geschah mit solcher Schnelligkeit und Präcision, daß kaum eine Stockung eintrat.	177:184	0:185
eintreten	VERB	1850	1	eintreten-c1-i55	 	Werden Reichsgesetze in einem Bundesstaat verletzt, so kann das Reich der Regel nach keine unmittelbare Remedur eintreten lassen, sondern es kann nur den Staat anhalten, das Reichsgesetz zu beachten oder zu vollziehen.	112:121	0:218
eintreten	VERB	1968	2	eintreten-c2-i34	 	Chiles, das ist auch Lateinamerika, das gegen die USA-Herrschaft opponiert Und die westliche Welt, das sind doch auch solche bürgerlichen Politiker und Wissenschaftler wie die Göttinger Professoren, wie Linus Pauling, wie britische Abgeordnete, die friedliche Koexistenz wollen, wie Cyrus Eaton in USA. der für Verständigung eintritt.	325:333	0:334
eintreten	VERB	1850	1	eintreten-c1-i30	 	Nach der Innigkeit des Ausdrucks betrachtet, ist nun dieser Styl ächt malerisch, wie der sienesische, dem er entspricht; nach der Weichheit und Rundung der Form aber ist er zugleich plastisch und die letztere Seite kehrt sich, wenn man ihn als Glied in der deutschen Kunstgeschichte faßt, hervor, weil hier sofort das Malerische in der äußersten Schärfe eintritt.	354:362	0:363
eintreten	VERB	1850	1	eintreten-c1-i86	 	Der Forstwirth reduciert also die Artenzahl eines Naturwaldes mit Hülfe der Axt und anderer Mittel, gleichwie durch fortgesetzte Düngung und Pflege eine Verarmung der Flora einer Wiese eintritt, indem zwischen zahlreichen und buntgemischten Gräsern und Kräutern das bisherige Gleichgewicht gestört und eine ungleiche Förderung der Entwickelung eingeführt wird, bei der die schwächeren Bestandtheile zu Grunde gehen.	185:193	0:415
eintreten	VERB	1968	2	eintreten-c2-i44	 	„Das macht es notwendig\", heißt es weiter, „heute gemeinsam für Frieden und Abrüstung, für die Verteidigung demokratischer Rechte, für die Bestrafung von Naziverbrechen und Völkermord und das Verbot neofaschistischer Aktivitäten und Organisationen einzutreten.	248:259	0:260
eintreten	VERB	1850	1	eintreten-c1-i2	 	Bei den Menschen möchte es noch lange dauern, bis gleiche Verhältnisse eintreten.	71:80	0:81
eintreten	VERB	1850	1	eintreten-c1-i27	 	Bei der Anwendung der Gleichungen (IV) und (V) können vier Fälle eintreten: 1tens.	65:74	0:82
eintreten	VERB	1850	1	eintreten-c1-i46	 	Die in erster Linie einzusegnenden Tiere sind genau dieselben, in die gestorbene Baris eintreten, und die Baris verwandeln sich nach ihrem Tode in die Tiere, die als bestes Wildpret geschätzt sind!	87:96	0:197
eintreten	VERB	1850	1	eintreten-c1-i23	 	Ein unangenehmer Bestandtheil ist Bleiglanz, indem selbst bei länger fortgesetzter Röstung, wobei leicht Sinterung eintritt, das Blei beim demnächstigen Schmelzen weniger in die Schlacke, als in den Stein geht.	115:123	0:210
eintreten	VERB	1968	2	eintreten-c2-i16	 	Wir wissen sehr gut. daß Dr. Dieckmann für eine gute Sache eingetreten ist.	59:70	0:75
eintreten	VERB	1968	2	eintreten-c2-i97	 	Der Bundeshauptausschuß der Grünen hat am Wochenende die Bevölkerung der BRD aufgerufen,. für ein „bedingungsloses Nein\" zur Stationierung neuer US-amerikanischer Raketenkernwaffen in der BRD einzutreten.	192:203	0:204
eintreten	VERB	1850	1	eintreten-c1-i90	 	Eine solche Vereinfachung ist möglich, wenn man, wie bei den nachfolgend beschriebenen Ofensystemen, die Gase mit der aus dem Generator mitgenommenen Wärme, also mit einer Temperatur, welche durchschnittlich 350°C. betragen dürfte, nicht selten aber noch höher ist, in den Ofen eintreten lässt und sich darauf beschränkt, die Verbrennungsluft vorzuwärmen.	278:287	0:355
eintreten	VERB	1968	2	eintreten-c2-i58	 	Während sich 1975 im KKW Nord ein damals nicht gemeldeter Brand ereignet habe, sei seit Produktionsaufnahme 1973 kein Störfall eingetreten, der zu einer Überschreitung der Interventionsgrenzwerte geführt habe.	127:138	0:209
eintreten	VERB	1968	2	eintreten-c2-i64	 	Was uns im Dezember auf dieser Seite ein Meteorologe aus Potsdam prophezeite, ist also tatsächlich eingetreten: ein Winter, der keiner war.	99:110	0:139
eintreten	VERB	1968	2	eintreten-c2-i52	 	Er versprach dem TUC Rückhalt in seinem Bestreben, die Antigewerkschaftsgesetzgebung der Tory-Regierung zu> bekämpfen und für Neuwahlen des Parlaments-vor einer EWG-Beitritts-' entscheidung einzutreten.	190:201	0:202
eintreten	VERB	1968	2	eintreten-c2-i19	 	Zweitens ist nach den Wahlen vom 4. September eine Veränderung im Kräfteverhältnis zugunsten der unidad Populär eingetreten.	112:123	0:124
eintreten	VERB	1968	2	eintreten-c2-i21	 	Man müßte miteinander verhandeln und dann eines Tages gemeinsam In die UNO eintreten.	75:84	0:85
eintreten	VERB	1968	2	eintreten-c2-i17	 	Sonst könnte der Zeitpunkt eintreten, an dem die Gewerkschaftsmitglieder nicht mehr so diszipliniert antreten wurden.	27:36	0:117
eintreten	VERB	1850	1	eintreten-c1-i21	 	Die einfachen Grundsätze dafür sind unzweifelhaft die des französischen Rechts, nach welchem bei den gesetzlichen Erben überhaupt keine Verlassenschaftspflege eintritt, während die Fälle dieses Eintretens genau bestimmt sind.	194:204	0:225
eintreten	VERB	1850	1	eintreten-c1-i45	 	Da aber auf beiden Seiten von s die Intensität des rothen Lichtes langsamer abnahm als diejenige des gelben, grünen u. s. w., so dass für Roth erst bei einem von s entfernteren Punkte Dunkel eintrat, so wird etwa bei r' (zwischen s und r) ein gelbrother, bei r ″ ein violetter Farbenton auftreten, dieser wird jenseits r ″ zunächst durch blau in weiss übergehen, worauf wieder roth kommt, u. s. w. Es müssen so rechts und links von s neben einander Spektren, Interferenzspektren, entworfen werden, welche jedoch bei weitem nicht die Reinheit des durch ein Prisma entworfenen Spektrums besitzen, indem immer noch beträchtliche Mischungen von Farben verschiedener Helligkeit an den einzelnen Stellen stattfinden.	191:198	0:710
eintreten	VERB	1968	2	eintreten-c2-i43	 	Denn sie entwickelt sich nur dort, wo die Werktätigen wissen, daß der Staat ihr Staat ist und es sich aus diesem Grunde lohnt, für ihn und seine Stärkung und Festigung einzutreten.	168:179	0:180
eintreten	VERB	1968	2	eintreten-c2-i20	 	Als weitere Partner sorgen die Theater in Rostock und Greifswald mit ihrem Repertoire sowie diie Fritz-iReuter-Bühne Schwerin mit vielgefragten niederdeutschen Theatervorstellungen, ierner die Konzert-und Gastspieldirektion und einige Amateurensembles dafür, daß auf der kleinen Insel-Bühne keine Flaute eintritt.	304:312	0:313
eintreten	VERB	1850	1	eintreten-c1-i35	 	Nur wenn die Wirklichkeit sprachlich abgebildet werden sollte, konnten solche Unterschiede in die Sprache eintreten. —	106:115	0:118
eintreten	VERB	1850	1	eintreten-c1-i41	 	Mit einem Worte, das Haus, in das ich eintrete, muß noch ein Gewissen haben, wenn auch vielleicht ein tiefverschüttetes.	38:46	0:120
eintreten	VERB	1850	1	eintreten-c1-i87	 	Veränderungen der Gesetzgebung, welche im Laufe der Schutzfrist eintreten, haben, sofern sie die Dauer der Schutzfristen verlängern, sofort die Erstreckung der noch laufenden Frist auf die verlängerte Dauer zur Folge.	64:73	0:217
eintreten	VERB	1968	2	eintreten-c2-i33	 	Täglich Livio -dai Schützen Sie Ihre Haut vor Schäd die durch Staub, Schmutz und Witterungseinfl sse ständig unbemerkt eintreten.	119:128	0:129
eintreten	VERB	1968	2	eintreten-c2-i11	 	Der Betrachten wird eingeladen, mit den Augen in die Bilder einzutreten.	60:71	0:72
eintreten	VERB	1850	1	eintreten-c1-i17	 	Demnach erfahren alle Theile um a einen gleichen Druck; dasselbe muss aber auch bei b Statt finden; denn würde z. B. der Theil b nach der Richtung c b stärker als nach der Richtung a b gedrückt, so würde er vermöge seiner Beweglichkeit dem stärkeren Drucke folgen; es müsste daher eine Bewegung eintreten, was dem angenommenen Gleichgewichte oder der Ruhe der Flüssigkeit widerspricht.	295:304	0:385
eintreten	VERB	1968	2	eintreten-c2-i96	 	Mit dieser beispiellosen wissenschaftlichen Tat der sowjetischen Astronautik und Raketentechnik ist die astronomische Forschung in eine neue Etappe eingetreten.	148:159	0:160
eintreten	VERB	1968	2	eintreten-c2-i94	 	In einer ResDlution an den Kongreß der Sozi alistischen Jugend wird die SPD-Führung zu Sofortmaßnahmen geg en die Ratifizierung der Kriegsverträge aufgefordert Auf einer Ko nferenz zahlreicher Funktionäre und aktiver Mitglieder der SPD n Wuppertal wurden Maßnahmen zum Sturz der Adenauer-Regieru na und zur Schaffung einer westdeutschen Regierung beschlossen, die für gesamtdeutsche Verständigung und einen Friedensvertrag für ganz Deutschland eintritt.	401:406	0:453
