identifier1	identifier2	annotator	judgment	comment	lemma
erlauben-c2-i35	erlauben-c1-i43	stekade	3	 	erlauben
erlauben-c1-i6	erlauben-c1-i42	stekade	3	 	erlauben
erlauben-c1-i6	erlauben-c1-i43	stekade	3	 	erlauben
erlauben-c1-i6	erlauben-c2-i31	stekade	3	 	erlauben
erlauben-c2-i35	erlauben-c1-i42	stekade	3	 	erlauben
erlauben-c2-i35	erlauben-c1-i42	FWetzel	3	 	erlauben
erlauben-c1-i6	erlauben-c1-i43	FWetzel	4	 	erlauben
erlauben-c1-i6	erlauben-c2-i31	FWetzel	3	 	erlauben
erlauben-c1-i6	erlauben-c1-i42	FWetzel	4	 	erlauben
erlauben-c2-i35	erlauben-c1-i43	FWetzel	3	 	erlauben
erlauben-c1-i6	erlauben-c1-i42	Zori	4	 	erlauben
erlauben-c1-i6	erlauben-c2-i31	Zori	4	 	erlauben
erlauben-c1-i6	erlauben-c1-i43	Zori	0	 	erlauben
erlauben-c2-i35	erlauben-c1-i43	Zori	3	 	erlauben
erlauben-c2-i35	erlauben-c1-i42	Zori	3	 	erlauben
