lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
finnisch	NOUN	1968	2	finnisch-c2-i66	 	2. Dunst, 3. Stadt in der Lettischen SSR, 4. Oper von Robert 31 Hanell, 5. altorientalischer Staat, 6. sich drehender Teil einer elektrischen Maschine, 7. höchster Teil der Karpaten, 19. finnischer See, 8. Telefongespräch, Raum für Forschungen, 20. Wohlge-14. Laufvogel, 16. begeisterter Anruch, 22. Stadt in der Türkei, 23. hänger, 17. melodisch-harmonische Ehemann, 25. Schwertlilie, 28. che-Grundlage eines Musikstücks, 18. misches Element.	187:197	0:443
finnisch	NOUN	1850	1	finnisch-c1-i11	 	Die Natur hat hier bequeme und billige Verbindungen angebahnt, die von dem innersten Winkel des Finnischen Meerbusens durch die Dwina bis in das nördliche Eismeer, durch die Wolga bis an die nördlichen Gestade Persiens reichen.	96:106	0:227
finnisch	NOUN	1850	1	finnisch-c1-i56	 	Daß die Hionguh's, ein finnischer Stamm zwischen den Don und der Wolga, in der frühen Völkerwanderung auf die Hunnen fielen, lehrt uns die Geschichte.	23:33	0:150
finnisch	NOUN	1968	2	finnisch-c2-i2	 	Die finnische Delegation unter Leitung von Ilkka Suominen wurde am selben Tag von Prof. Dr. Heinrich Homann verabschiedet.	4:13	0:122
finnisch	NOUN	1968	2	finnisch-c2-i54	 	Ilkka Ch. Nordberg ist Mitglied des Vorstandes des Finnischen Ober -	51:61	0:68
finnisch	NOUN	1968	2	finnisch-c2-i49	 	Kenner behaupten, daß man hier inmitten Satakuntas echtes finnisches	58:68	0:68
finnisch	NOUN	1968	2	finnisch-c2-i88	 	Der finnische Speerwerfer Hannu Siitonen hat sich wegen einer langwierigen Schuner. verietzung vom aktiven Sport zurückgezogen.	4:13	0:127
finnisch	NOUN	1850	1	finnisch-c1-i59	 	Finnen und Magyaren haben auch den gemeinsamen Glauben, dass die Seelen und die Geister in der Gestalt von Vögeln dahinfliegen; der Seelenweg ist ihnen der Vogelweg, finnisch Linnua rata und litthauisch Paukszcziw Kieles.	166:174	0:221
finnisch	NOUN	1968	2	finnisch-c2-i44	 	dies das Ergebnis einer Umgruppierung im Lager der reaktionären Parteien, dB die finnische Volkspartei sechs Sitze verlor.	81:90	0:122
finnisch	NOUN	1850	1	finnisch-c1-i23	 	– Mit diesen Hunnen gehören sie zu demselben finnischen Völkerstamm die schönen Madscharen die mit den Avaren Ungarn eins sind.	45:55	0:127
finnisch	NOUN	1968	2	finnisch-c2-i67	 	Acht Minuten vor Schluß verkürzten dip Kanadier den inzwischen auf 4:1 geschraubten finnischen Vorsprung mit ihrem zweiten Treffer und nahmen 60 Sekunden vor Schluß sogar ihren Torwart zugunsten eines weiteren Feldsnielers vom Eis. doch das bestrafte Wahlsten noch mit dem fünften Finnen-Tor.	84:94	0:292
finnisch	NOUN	1968	2	finnisch-c2-i74	 	über die derzeitigen Terrormethoden in Chile und den Kampf der Patrioten berichtete auf der Pressekonferenz auch Daniel Katz. finnischer Vertreter im Weltbund der Demokratischen Jugend, der gerade aus Chile zurückgekehrt war.	126:136	0:225
finnisch	NOUN	1968	2	finnisch-c2-i93	 	Reizvoll ist die Landschaft am Finnischen Meerbusen bei Selenja Gorsk (unten).	31:41	0:78
