identifier1	identifier2	annotator	judgment	comment	lemma
geehrt-c2-i91	geehrt-c2-i84	FWetzel	3	 	geehrt
geehrt-c1-i70	geehrt-c2-i84	FWetzel	3	 	geehrt
geehrt-c2-i15	geehrt-c2-i65	FWetzel	4	 	geehrt
geehrt-c2-i84	geehrt-c2-i51	FWetzel	3	 	geehrt
geehrt-c2-i15	geehrt-c2-i51	FWetzel	4	 	geehrt
geehrt-c2-i15	geehrt-c1-i70	FWetzel	3	 	geehrt
geehrt-c2-i91	geehrt-c2-i51	FWetzel	4	 	geehrt
geehrt-c1-i70	geehrt-c2-i51	FWetzel	3	 	geehrt
geehrt-c1-i70	geehrt-c2-i65	FWetzel	3	 	geehrt
geehrt-c2-i65	geehrt-c2-i51	FWetzel	4	 	geehrt
geehrt-c2-i91	geehrt-c1-i70	FWetzel	3	 	geehrt
geehrt-c2-i84	geehrt-c2-i65	FWetzel	3	 	geehrt
geehrt-c2-i91	geehrt-c2-i65	FWetzel	4	 	geehrt
geehrt-c2-i15	geehrt-c2-i84	FWetzel	3	 	geehrt
geehrt-c2-i91	geehrt-c1-i70	stekade	3	 	geehrt
geehrt-c2-i91	geehrt-c2-i51	stekade	3	 	geehrt
geehrt-c2-i15	geehrt-c2-i65	stekade	3	 	geehrt
geehrt-c2-i15	geehrt-c1-i70	stekade	3	 	geehrt
geehrt-c2-i91	geehrt-c2-i84	stekade	3	 	geehrt
geehrt-c1-i70	geehrt-c2-i84	stekade	3	 	geehrt
geehrt-c2-i15	geehrt-c2-i84	stekade	3	 	geehrt
geehrt-c2-i65	geehrt-c2-i51	stekade	3	 	geehrt
geehrt-c2-i84	geehrt-c2-i65	stekade	3	 	geehrt
geehrt-c2-i91	geehrt-c2-i65	stekade	3	 	geehrt
geehrt-c2-i15	geehrt-c2-i51	stekade	3	 	geehrt
geehrt-c1-i70	geehrt-c2-i65	stekade	3	 	geehrt
geehrt-c2-i15	geehrt-c2-i51	Zori	4	 	geehrt
geehrt-c2-i65	geehrt-c2-i51	Zori	4	 	geehrt
geehrt-c1-i70	geehrt-c2-i65	Zori	3	 	geehrt
geehrt-c2-i15	geehrt-c1-i70	Zori	3	 	geehrt
geehrt-c1-i70	geehrt-c2-i51	Zori	3	 	geehrt
geehrt-c2-i91	geehrt-c2-i84	Zori	3	 	geehrt
geehrt-c2-i91	geehrt-c2-i65	Zori	4	 	geehrt
geehrt-c2-i91	geehrt-c1-i70	Zori	3	 	geehrt
geehrt-c2-i91	geehrt-c2-i51	Zori	4	 	geehrt
geehrt-c2-i15	geehrt-c2-i65	Zori	4	 	geehrt
geehrt-c2-i15	geehrt-c2-i84	Zori	3	 	geehrt
geehrt-c2-i84	geehrt-c2-i65	Zori	3	 	geehrt
geehrt-c2-i84	geehrt-c2-i51	Zori	4	 	geehrt
geehrt-c1-i70	geehrt-c2-i84	Zori	3	 	geehrt
geehrt-c2-i84	geehrt-c2-i51	stekade	3	 	geehrt
geehrt-c1-i70	geehrt-c2-i51	stekade	3	 	geehrt
