lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
gewahren	NOUN	1968	2	gewahren-c2-i0	 	Hausherr der neuen Gedenkstätte ist das Brecht-Zentrum der DDR, dessen Direktor, Werner Hecht, in einem ADN-Gespräch betonte, daß bei dieser umfassenden Rekonstruktion die Bescheidenheit des Originals gewahrt werden soll.	201:208	0:221
gewahren	NOUN	1968	2	gewahren-c2-i26	 	Sie versessen ganz, daß sie in erster Linie Organe sind, die die Arbeiter und Angestellten gewählt haben, damit ihre gewerkschaftlichen Interessen im Betrieb gewahrt werden.	158:165	0:173
gewahren	NOUN	1968	2	gewahren-c2-i69	 	Sollte sich herausstellen, dnß für die Rentner eine Verteuerung eintritt, so wird ihnen unabhängig von ihrer Rentenerhöhung eine Ausgleichszahlune gewahrt.	147:154	0:155
gewahren	NOUN	1850	1	gewahren-c1-i75	 	so kann seine geistige nur durch die volle Bedeutung des Wortes gewahrt werden, das sein Träger ist.	64:71	0:100
gewahren	NOUN	1850	1	gewahren-c1-i80	 	Man gewahrt nur noch eilfertiges Rennen, Laufen und Huschen, hört ab und zu das warnende „Zerr zerr ‟ und endlich Nichts mehr; denn bis das Männchen wieder nach oben kommt, scheint Alles verschwunden zu sein.	4:11	0:208
gewahren	NOUN	1850	1	gewahren-c1-i39	 	Man gewahrt auch das freundliche Städtchen Zaandam im Nordwesten von Amsterdam, wo der Czar Peter der Grosse 1697 auf der Werfte des Mynheer Kalf als Zimmermann arbeitete und die Schiffbaukunst erlernte.	4:11	0:203
gewahren	NOUN	1968	2	gewahren-c2-i65	 	naterpramdent Pek-. -ti (sitzend) teilte im finnischen Reichstag die Bereitschaft der Sowjetunion mit, Finnland eine S-Mill.-Dnllar-Anlnhc 2 » ehr günstigen Bedin-Ounar.n zn gewahren.	174:182	0:183
gewahren	NOUN	1968	2	gewahren-c2-i13	 	Aus der Mehrzahl der Züschrlf--* ten an den Kongreß ist der feste Wille der Gewerkschaftsmitglieder zu spüren, alles zu tun, damit durch die dauerhafte Sicherung des Friedens die erforderlichen Voraussetzungen für eine wirksame gewerkschaftliche Interessenvertretung gewahrt bleiben.	267:274	0:283
gewahren	NOUN	1968	2	gewahren-c2-i23	 	sche Demokratie gewahrt wird, wenn jeder Schritt gemeinsam mit den Bauern beraten und beschlossen wird.	16:23	0:103
gewahren	NOUN	1968	2	gewahren-c2-i2	 	Im folgenden geb n wir ein Interview wieder, das Max Heimann während seines Aufenthalts in Berlin am Freilag dem Berliner Hundfunk gewahrte.	131:139	0:140
gewahren	NOUN	1968	2	gewahren-c2-i1	 	Zugleich bleibt in der sozialistischen Gesellschaft die führende Rolle der Arbeiterklasse als der fortschrittlichsten und organisiertesten Kraft der Sowjetgesellschaft gewahrt.	168:175	0:176
