identifier1	identifier2	annotator	judgment	comment	lemma
greifend-c1-i47	greifend-c1-i51	stekade	2	 	greifend
greifend-c1-i51	greifend-c2-i14	stekade	2	 	greifend
greifend-c2-i70	greifend-c1-i51	stekade	3	 	greifend
greifend-c1-i79	greifend-c1-i4	stekade	2	 	greifend
greifend-c1-i90	greifend-c2-i14	stekade	1	 	greifend
greifend-c1-i68	greifend-c1-i4	stekade	2	 	greifend
greifend-c2-i46	greifend-c1-i18	stekade	4	 	greifend
greifend-c2-i82	greifend-c2-i14	stekade	3	 	greifend
greifend-c1-i4	greifend-c2-i14	stekade	3	 	greifend
greifend-c1-i18	greifend-c2-i14	stekade	2	 	greifend
greifend-c1-i69	greifend-c1-i51	stekade	2	 	greifend
greifend-c2-i31	greifend-c1-i4	stekade	2	 	greifend
greifend-c2-i54	greifend-c1-i18	stekade	2	 	greifend
greifend-c1-i18	greifend-c1-i4	stekade	1	 	greifend
greifend-c2-i66	greifend-c1-i18	stekade	1	 	greifend
greifend-c1-i47	greifend-c2-i14	stekade	2	 	greifend
greifend-c1-i85	greifend-c1-i4	stekade	3	 	greifend
greifend-c1-i47	greifend-c1-i4	stekade	3	 	greifend
greifend-c2-i38	greifend-c1-i4	stekade	3	 	greifend
greifend-c2-i82	greifend-c1-i51	stekade	2	 	greifend
greifend-c2-i97	greifend-c1-i18	stekade	3	 	greifend
greifend-c2-i70	greifend-c1-i4	stekade	3	 	greifend
greifend-c1-i69	greifend-c2-i14	stekade	3	 	greifend
greifend-c1-i60	greifend-c2-i14	stekade	2	 	greifend
greifend-c1-i79	greifend-c1-i51	stekade	3	 	greifend
greifend-c1-i69	greifend-c1-i4	stekade	2	 	greifend
greifend-c2-i67	greifend-c1-i18	stekade	2	 	greifend
greifend-c1-i51	greifend-c1-i85	stekade	2	 	greifend
greifend-c2-i33	greifend-c1-i51	stekade	2	 	greifend
greifend-c2-i82	greifend-c1-i4	stekade	1	 	greifend
greifend-c1-i60	greifend-c1-i51	stekade	2	 	greifend
greifend-c1-i45	greifend-c1-i51	stekade	1	 	greifend
greifend-c2-i71	greifend-c1-i4	stekade	1	 	greifend
greifend-c1-i22	greifend-c2-i14	stekade	2	 	greifend
greifend-c2-i31	greifend-c1-i51	stekade	1	 	greifend
greifend-c2-i66	greifend-c1-i18	FWetzel	2	 	greifend
greifend-c2-i71	greifend-c1-i4	FWetzel	2	 	greifend
greifend-c1-i69	greifend-c1-i51	FWetzel	2	 	greifend
greifend-c1-i69	greifend-c1-i4	FWetzel	2	 	greifend
greifend-c2-i70	greifend-c1-i4	FWetzel	2	 	greifend
greifend-c2-i31	greifend-c1-i51	FWetzel	2	 	greifend
greifend-c2-i77	greifend-c1-i18	FWetzel	2	 	greifend
greifend-c2-i54	greifend-c1-i18	FWetzel	3	 	greifend
greifend-c1-i68	greifend-c1-i4	FWetzel	2	 	greifend
greifend-c2-i97	greifend-c1-i18	FWetzel	4	 	greifend
greifend-c2-i31	greifend-c1-i4	FWetzel	2	 	greifend
greifend-c1-i90	greifend-c2-i14	FWetzel	2	 	greifend
