lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
neunjahrig	ADJ	1850	1	neunjahrig-c1-i31	 	Der Eintritt erfolgt freiwillig und ist nur körperlich vollkommen qualifizirten Leuten im Alter von 15—17 Jahren gestattet; die Annahme erfolgt nur unter der Bedingung, daß man sich zu einer neunjährigen aktiven Dienstzeit in der Kriegsmarine nach stattgehabter Ausbildung verpflichtet.	191:203	0:286
neunjahrig	ADJ	1850	1	neunjahrig-c1-i12	 	Hasdrubal nahm seinen neunjährigen Sohn Hannibal an den Altar der Götter und ließ ihn dort tötlichen und ewigen Haß gegen die Römer schwören.	22:34	0:141
neunjahrig	ADJ	1850	1	neunjahrig-c1-i3	 	2. Concert für die Violine von de Beriot, vorgetragen von der neunjährigen Wilhelmine Neruda.	62:74	0:93
neunjahrig	ADJ	1968	2	neunjahrig-c2-i64	 	Sein unbeugsamer Widerstandsgeist rellektiert sich bewundernswert in den Gedichten eines neunjährigen Jungen aus der DRV, den im nachfolgenden Beitrag die bekannte französische Journalistin und Vietnam-Kennenn Madeleine Riffaud vorstellt,	89:101	0:238
neunjahrig	ADJ	1850	1	neunjahrig-c1-i6	 	Die dramatische Darstellung des Leidens und Sterbens des Hiram ist durchaus alterthümlich und war in verwandter Weise namentlich einstens auch an dem ennaeterischen oder neunjährigen, zur Zeit des Sommersolstitiums gefeierten Hauptfeste des Zeus bei dem achäischen Stamme gebräuchlich.	170:182	0:285
neunjahrig	ADJ	1968	2	neunjahrig-c2-i71	 	Ein 14iähriger Junge erschlug in Loose (Kreis Eckernförde) seine neunjährige Spielkameradin mit einem Knüppel, nachdem er sich ihr unsittlich genähert hatte.	65:76	0:157
neunjahrig	ADJ	1968	2	neunjahrig-c2-i74	 	Vater will nicht mehr den Weihnachtsmann spielen, und so übernimmt der neunjährige David dieses wichtige Amt.	71:82	0:109
neunjahrig	ADJ	1850	1	neunjahrig-c1-i41	 	Unter einem Lorbeerbaume Stand, damals neunjährig, Dante, Der im lieblichsten der Mädchen Seinen Engel gleich erkannte.	39:49	0:119
neunjahrig	ADJ	1850	1	neunjahrig-c1-i47	 	Zwischen zwei ziemlich hohen Kisten, mit denen er beladen war, saß eine große blonde Frau mit steifen hölzernen Gesichtszügen und ein etwa neunjähriges Mädchen, das sein schwarzhaariges Köpfchen lebhaft von einer Seite nach der anderen drehte; nebenher ging, den Zügel in der Hand, ein kleiner, lustig blickender Mann, dem unter seiner grünen Schirmmütze die kurzen schwarzen Haare wie Spieße vom Kopfe abstanden.	139:151	0:413
neunjahrig	ADJ	1850	1	neunjahrig-c1-i52	 	Seinen neunjährigen Sohn Hannibal hiess er, da er Karthago verliess, am Altar des höchsten Gottes dem römischen Namen ewigen Hass schwören und zog ihn und die jüngeren Söhne Hasdrubal und Mago, die ‚ Löwenbrut ‘, wie er sie nannte, im Feldlager auf als Erben seiner Entwürfe, seines Genies und seines Hasses.	7:19	0:308
neunjahrig	ADJ	1968	2	neunjahrig-c2-i73	 	In lukaet, einem neunjährigen Mädchen aus der MaiakowskistraBe in Budapest, ist eine Welt zusammengebrodien.	17:29	0:108
neunjahrig	ADJ	1968	2	neunjahrig-c2-i58	 	Die neunjährigen Prüflinge werden von Ines Dalchau, Marina Krogull und Hartmut Leesch betreut.	4:16	0:94
neunjahrig	ADJ	1968	2	neunjahrig-c2-i23	 	Während des neunjährigen Bestehens wurden 183000 Angehörige von 27 Nationen hinter den Stacheldrähten dieser faschistischen Hölle gefangengehalten, von denen annähernd 100000 Todesopfer des SS-Terrors wurden.	12:24	0:208
neunjahrig	ADJ	1968	2	neunjahrig-c2-i7	 	In der Musikschule sahen wir die neunjährige Sosnom, die Tochter des mongolischen Gelehrten Hongorsul, und Antonio, den Sohn von Professor Bruno Pontecorvoj Den stellvertretenden Direktor des Institute, den tschechischen Professor' Vaclav Votruba trafen wir zwar nicht an, aber seine Tochter Jelena und ihre Freundin Tanja winkten uns am nächsten Morgen beim Abschied zu.	33:44	0:371
neunjahrig	ADJ	1968	2	neunjahrig-c2-i98	 	Bin Bautng mit neunjähriger Berufserfah-Aufg 1 1 1982 BV, 1056 Bln., PSF 286 Gel Bootsbauer, ungek., sucht Tätigkeit essante Tatigk., auch artfremd. Zuschr. ZbkaMtar.	15:27	0:166
neunjahrig	ADJ	1968	2	neunjahrig-c2-i45	 	Eröffnet wurde das Konzert von Professor Wätzig ganz in Familie — mit Sohn, Schwiegertochter und neunjähriger Enkelin Jana.	97:109	0:123
neunjahrig	ADJ	1850	1	neunjahrig-c1-i30	 	K. O. Müller, Dorier 1, 204. 322. — Derselbe alte Brauch neunjähriger Flucht und Busse für Menschentödtung in der Legende und dem Cult des Zeus Lykaios: vgl. H. D. Müller, Mythol. d. gr. St. 2, 105.	57:69	0:198
neunjahrig	ADJ	1850	1	neunjahrig-c1-i56	 	Ein neunjähriger Knabe, über die verübten Bestialitäten empört, hatte sich geschworen, den ersten Soldaten, der ihm auf der Straße begegne, niederzuschießen.	4:16	0:157
neunjahrig	ADJ	1850	1	neunjahrig-c1-i11	 	Es war das Portrait eines sehr schönen, etwa neunjährigen Mädchens.	45:57	0:67
neunjahrig	ADJ	1850	1	neunjahrig-c1-i34	 	— nein, nach neunjährigem Verstummen rang sich ein Herz und Mark erschütternder Schrei:	13:25	0:87
neunjahrig	ADJ	1850	1	neunjahrig-c1-i45	 	Die Tabelle A. zeigt einen solchen Uebergang auf einer Feldmark, die im neunjährigen Dünger stand, zu einer neunjährigen Fruchtwechselwirthschaft mit Stallfutterung.	72:84	0:165
neunjahrig	ADJ	1850	1	neunjahrig-c1-i60	 	Anton aber hatte weder Ente, noch Pfote eines Blickes gewürdiget; die großen Augen des neunjährigen Knaben waren unausgesetzt auf dem alten schmutzigen Mann heften geblieben, der wie er glaubte den Heiland kreuzigen helfen.	87:99	0:223
neunjahrig	ADJ	1968	2	neunjahrig-c2-i79	 	Die kleinste italienische Schule befindet sich auf der Insel Stromboli und hat zwei neunjährige Schüler.	84:95	0:104
neunjahrig	ADJ	1850	1	neunjahrig-c1-i62	 	Wilhelm Wood, neunjährig, „war 7 Jahre 10 Monate alt, als er zu arbeiten begann.“	14:24	0:81
neunjahrig	ADJ	1850	1	neunjahrig-c1-i35	 	a) starkes Haferland, welches bei neunjähriger Düngung jedesmal nach der Winterung, also dreimal Hafer trägt.	34:46	0:109
neunjahrig	ADJ	1968	2	neunjahrig-c2-i2	 	Seit Tagen wartet der ehemalige Bochumer Arbeiter Rudolf Pätzold vergeblich darauf, daß seine Frau Irmgard und sein neunjähriger Sohn Bodo zu Ihm nach Halle übersiedeln sol -	116:128	0:174
neunjahrig	ADJ	1968	2	neunjahrig-c2-i75	 	Mut und Geistesgegenwart bewies kürzlich der 22iänrige Matrose Günter Rütinq, als er den neunjährigen Schüler Olaf Jürgens an der Schiffsanlegestelle in Vitte auf der Insel Hiddensee vor dem Ertrinken rettete.	89:101	0:209
neunjahrig	ADJ	1968	2	neunjahrig-c2-i54	 	Jüngste Teilnehmerin dieses kleinen Bach-Wettbewerbes war die neunjährige Potsdamer Geigerin Katrin Scholz.	62:73	0:107
neunjahrig	ADJ	1850	1	neunjahrig-c1-i37	 	Abschied daß Pundtstags zu Lawgingen, auf Misericordia Domini 35 gehalten, bei Spieß Geschichte des Kayserlichen neunjährigen Bunds, p. 156.	113:125	0:140
neunjahrig	ADJ	1850	1	neunjahrig-c1-i29	 	Sie enthalten das schlechtere oder mehr vernachläßigte und abgelegene Land, welches man bei der Felderwirthschaft sechs-und neunjähriges Rockenland zu nennen pflegt, und sie sind entweder aus diesen oder aus vormals gemachten und erschöpften Aufbruch entstanden.	124:136	0:262
neunjahrig	ADJ	1850	1	neunjahrig-c1-i24	 	Dieser vernachläßigte Theil ist unter dem Namen der Außenfelder, oder weil man ihn nur alle 3, 6 oder 9 Jahre ein einziges Mal mit Rocken bestellen kann, des drei-, sechs-oder neunjährigen Rockenlandes bekannt.	176:188	0:210
neunjahrig	ADJ	1850	1	neunjahrig-c1-i16	 	Am längsten bleiben die Nadeln bei der Tanne stehen, indem man namentlich an der Hauptaxe, am Stamme, oft acht-ja zuweilen sogar neunjährige Nadeln sieht, deren weite Auseinanderstellung im Vergleich zu den jüngeren Trieben, zugleich lehrt, daß die Axenglieder auch nach der Verholzung sich in der Länge noch etwas ausdehnen.	129:140	0:325
neunjahrig	ADJ	1850	1	neunjahrig-c1-i46	 	Die Hofburg aber erntete jetzt, was sie in einem neunjährigen treulosen Ränkespiele mit kurzsichtiger Schlauheit gesäet hatte: die Donaumündung war in Rußlands Händen, in Bukarest und Jassy entschied der Czar, in Griechenland triumphirte die Revolution und der geliebte türkische Freund schien seinem letzten Stündlein nahe.	49:61	0:324
neunjahrig	ADJ	1968	2	neunjahrig-c2-i33	 	Obwohl die Fahndung nach der neunjährigen Elisabpth Zschernitz, die seit Dienstag spurlos verschwunden ist, noch immer als Vermißtensache laufe, werde die Wahrscheinlichkeit immer größer, „daß wir es mit einem Verbrechen zu tun haben\".	29:41	0:235
neunjahrig	ADJ	1968	2	neunjahrig-c2-i90	 	Diese Jagd brachte ihn in die Rolle eines neunjährigen Kindes, das mit einem Schmetterlingsnetz in der Hand mit Verbundenen Augen über die Wiese fegt.	42:54	0:150
neunjahrig	ADJ	1850	1	neunjahrig-c1-i33	 	Er war 1763 zu Jönköping geboren, studierte in Upsala Medicin und Naturkunde und nahm nach seiner Rückkehr von der neunjährigen Reise nach Europa, Afrika und Asien als Botaniker den Stuhl seines Lehrers Linné ein.	115:127	0:213
