identifier1	identifier2	annotator	judgment	comment	lemma
preisgeben-c2-i26	preisgeben-c1-i2	stekade	2	 	preisgeben
preisgeben-c1-i99	preisgeben-c1-i2	stekade	2	 	preisgeben
preisgeben-c1-i85	preisgeben-c1-i2	stekade	3	 	preisgeben
preisgeben-c2-i76	preisgeben-c1-i2	stekade	2	 	preisgeben
preisgeben-c2-i76	preisgeben-c1-i2	Zori	3	 	preisgeben
preisgeben-c2-i26	preisgeben-c1-i2	Zori	3	 	preisgeben
preisgeben-c1-i85	preisgeben-c1-i2	Zori	4	 	preisgeben
preisgeben-c1-i99	preisgeben-c1-i2	Zori	3	 	preisgeben
preisgeben-c1-i85	preisgeben-c1-i2	FWetzel	2	 	preisgeben
preisgeben-c1-i99	preisgeben-c1-i2	FWetzel	2	 	preisgeben
preisgeben-c2-i76	preisgeben-c1-i2	FWetzel	2	 	preisgeben
preisgeben-c2-i26	preisgeben-c1-i2	FWetzel	2	 	preisgeben
