lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
ungebrechen	NOUN	1968	2	ungebrechen-c2-i59	 	Nach mehr als 35jährigem Bestehen ist die Anziehungskraft des Kulturhauses „Maxim Gorki für unsere Werktätigen ungebrochen.	111:122	0:123
ungebrechen	NOUN	1850	1	ungebrechen-c1-i31	 	Nichts weiter als der ungewisse Geisterlaut der ungebrochnen Stille, Wie das Athmen eines jungen Busens, Wie das Murmeln eines tiefen Brunnens, Wie das Schlagen eines dumpfen Ruders, Dann des Schlummers leise leise Tritte.	48:60	0:222
ungebrechen	NOUN	1850	1	ungebrechen-c1-i49	 	Die eine behandelt im Geiste der Plastik die innere und äußere Welt allgemeiner, einfacher, ungebrochener und regelmäßiger, die andere, dem ächt malerischen Verfahren entsprechend, verfolgt eine buntere Welt in die tieferen Brüche des Bewußtseins und der Erscheinung, in die härteren Bedingungen des Daseins und in die schärfste Eigenheit der Individualität und schreitet bis zu den kühnsten Verbindungen des Ernsten und Komischen fort.	92:105	0:436
ungebrechen	NOUN	1850	1	ungebrechen-c1-i62	 	Zu grösserem Schmucke mochten auf die Letzteren zuweilen noch bunte Verzierungen aufgesetzt werden, in verschiedenen Farben, aber immer in einfachen ungebrochenen Tönen.	149:162	0:169
ungebrechen	NOUN	1968	2	ungebrechen-c2-i8	 	Die 1984 gezeigten Produkte dokumentieren die ungebrochene Kraft des palästinensischen Volkes.	46:58	0:94
ungebrechen	NOUN	1850	1	ungebrechen-c1-i92	 	1. Es erscheint als nationale und staatliche Pflicht der Deutschen in Mähren, in ungebrochener Einigkeit, und in Verbindung mit allen verfassungstreuen Vertheidigern des österreichischen Einheitsstaates zum Schutze und zur Wiederherstellung der von dessen Existenzbedingungen unzertrennlichen berechtigten Stellung der Deutschen in Oesterreich auszuharren.	81:94	0:356
ungebrechen	NOUN	1968	2	ungebrechen-c2-i63	 	Die KPD war die einzige Partei, die dem Hitlerfaschismus vom ersten bis zum letzten Tag, ungebrochen und konsequent, organisierten Widerstand entgegensetzte.	89:100	0:157
ungebrechen	NOUN	1850	1	ungebrechen-c1-i61	 	Die lustige Person faßt sich in die Einheit des objectiv und subjectiv Komischen zusammen und spricht ebenso auch eine Ahnung des allgemeinen Widerspruchs aus, der sich in dem handgreiflichen verbirgt, welcher ihr vorliegt; aber vergleichungsweise bewußtlos, wie sie bleibt, hat sie sich weder zu der sittlichen Tiefe ausgebildet, noch den unendlichen Schmerz erlebt, den der wirkliche Humor voraussetzt; daher bringt es jene Ahnung weder zu einer tieferen Reflexion in sich, noch zu einer wahren Allgemeinheit des Gedankens, daher bleibt hier auch das Gefühl des unendlichen Widerspruchs in dem Natur-Elemente ungebrochener Lustigkeit stehen.	611:624	0:643
ungebrechen	NOUN	1968	2	ungebrechen-c2-i47	 	66 „Unbeirrbare\" erstatteten gegen die unheilige Dreieinigkeit Anzeige wegen Unterschlagung und Betruges Peter und Paul wurden daher für je drei Monate in den vergitterten Höllenpfuhl Moabits geworfen, während Vater Konstantin wegen „geistiger Unzurechnungsfähigkeit\" dahin gestopft wurde, wo er 1951 hergekommen war: in eine Heilanstalt „Gehen Sie in sich, Herr Richter, und beten Sie!\" schmetterte der alte Schurke ungebrochen. hatte dir „Ich schon verziehen, o Bruder, bevor ich dich kannte...	417:428	0:496
ungebrechen	NOUN	1968	2	ungebrechen-c2-i15	 	In der Haft, die ein knappes Jahr dauerte, vor dem. Gerichtstermin\", machte man dem ungebrochenen DDR-Bürger Esterle „verlockende* Angebote.	84:97	0:140
ungebrechen	NOUN	1850	1	ungebrechen-c1-i15	 	Und doch waren sicherlich Gründe vorhanden, beim Beginne des Jahres auf das Gegentheil zu schließen, die Produktenvorräthe waren spärlich, Kapital überflüssig, Nahrungsmittel wohlfeil, ein reicher Herbst war gesichert; ungebrochner Friede auf dem Kontinent und keine politischen oder finanziellen Störungen zu Hause; in der That, die Flügel des Handels waren nie fesselloser... Wem dies ungünstige Resultat zuschreiben?	219:231	0:419
ungebrechen	NOUN	1968	2	ungebrechen-c2-i28	 	Ein besonders deutliches Beispiel ist Luis Corvalan, der trotz langjähriger Haft ungebrochen, zu einem Repräsentanten der Kampfkraft des chilenischen Volkes wurde.	81:92	0:163
ungebrechen	NOUN	1968	2	ungebrechen-c2-i45	 	Da bekundeten diese aber auch ihre ungebrochene Lebenskraft: in Tänzen voller Erotik (die ihrer Anstößigkeit halber von den weißen Herren alsbald verboten wurden) oder in solchen, wo sie ihre Geschicklichkeit im spielerischen Umgang mit der Machete beweisen konnten.	35:47	0:266
