identifier1	identifier2	annotator	judgment	comment	lemma
wuchernd-c2-i7	wuchernd-c2-i18	FWetzel	2	 	wuchernd
wuchernd-c1-i59	wuchernd-c2-i18	FWetzel	3	 	wuchernd
wuchernd-c1-i64	wuchernd-c2-i18	FWetzel	3	 	wuchernd
wuchernd-c1-i59	wuchernd-c2-i1	FWetzel	3	 	wuchernd
wuchernd-c2-i9	wuchernd-c2-i18	FWetzel	3	 	wuchernd
wuchernd-c2-i18	wuchernd-c2-i1	FWetzel	4	 	wuchernd
wuchernd-c2-i9	wuchernd-c2-i18	Zori	4	 	wuchernd
wuchernd-c1-i64	wuchernd-c2-i18	Zori	4	 	wuchernd
wuchernd-c1-i59	wuchernd-c2-i1	Zori	4	 	wuchernd
wuchernd-c2-i7	wuchernd-c2-i18	Zori	4	 	wuchernd
wuchernd-c2-i18	wuchernd-c2-i1	Zori	4	 	wuchernd
wuchernd-c1-i59	wuchernd-c2-i18	Zori	4	 	wuchernd
wuchernd-c1-i64	wuchernd-c2-i18	stekade	3	 	wuchernd
wuchernd-c2-i9	wuchernd-c2-i18	stekade	3	 	wuchernd
wuchernd-c2-i7	wuchernd-c2-i18	stekade	3	 	wuchernd
wuchernd-c1-i59	wuchernd-c2-i18	stekade	3	 	wuchernd
wuchernd-c1-i59	wuchernd-c2-i1	stekade	3	 	wuchernd
wuchernd-c2-i18	wuchernd-c2-i1	stekade	3	 	wuchernd
