lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
Frechheit	 	1966	2	26120215_1966_01_30_01_459.tcf.xml-13-5	 	Und so findet er die Frechheit, den Flüchtigen mit seinem Waaen einzuklemmen, ihm die Wa? enschlüssel abzunehmen und die Polizei zu holen.	21:30	0:138
Frechheit	 	1959	2	2532889X_1959-03-02_01_045.tcf.xml-36-15	 	Um auch den letzten Eidgenossen gegen die DEFA aufzubringen, lügt er dann mit letzter-Frechheit, der Film solle u.a. „Abscheu gegen unser Land erwecken\".	86:95	0:153
Frechheit	 	1949	2	26120215_1949_08_27_01_209.tcf.xml-77-5	 	In ihm 'ist Mephistos zynische Frechheit, sein komödiantischer Hochmut, seine posierende Eitelkeit, seine Scharlatannatur:	31:40	0:122
Frechheit	 	1953	2	26120215_1953_10_01_01_204.tcf.xml-68-9	 	Und du siehst nur zu und sagst zu seiner Frechheit nichts?	41:50	0:58
Frechheit	 	1848	1	nn_nrhz095_1848-195-9	 	Der edle Ritter gab durch seine eigene, liebenswürdige Frechheit zu dem bevorstehenden Skandal Veranlassung.	55:64	0:108
Frechheit	 	1853	1	rosenkranz_aesthetik_1853-3308-12	 	Die Unnatur als die Verkehrung des Naturgesetzes durch die Freiheit oder richtiger Frechheit des menschlichen Willens ist durchaus ekelhaft.	83:92	0:140
Frechheit	 	1957	2	26120215_1957_05_01_01_232.tcf.xml-53-26	 	„Der Häftling Nr.... wird bestraft mit fünfundzwanzig Stockhieben, weil er im Keller der Küche einen grünen Hering gestohlen hat und die Frechheit besaß, diesen Hering gleich am Faß aufzufressen.	137:146	0:195
Frechheit	 	1889	1	treitschke_geschichte04_1889-6732-17	 	Wie heillos alle sittlichen Begriffe in diesen jungdeutschen Kreisen sich verwirrt hatten, das bekundete mit cynischer Frechheit Georg Büchner’s Drama: Danton’s Tod.	119:128	0:165
Frechheit	 	1953	2	2532889X_1953-08-15_01_036.tcf.xml-5-8	 	Der Herr von Rohr aus Trammtz trieb die Frechheit so weit, daß er beim Bürgermeister in Trammtz telefonisch anrief.	40:49	0:115
Frechheit	 	1896	1	hug_familie_1896-4030-11	 	Warum öffnen so viele durch ihr eitles Gewand, durch die Frechheit des Blickes und der Rede, durch den Leichtsinn des Umganges alle Thore dieses Tempels?	57:66	0:153
Frechheit	 	1848	1	nn_nrhz176_1848-198-10	 	Mag doch die Kanaille verhungern! und sollte sie die Frechheit haben, Abhülfe ihres Hungers zu fordern, nun so gibt es ein Mittel — Cavaignac.	53:62	0:142
Frechheit	 	1889	1	treitschke_geschichte04_1889-4743-2	 	Eine solche Frechheit erlaubte sich ein Stadtstaat, der erst vor neunzehn Jahren durch die unbedachte Großmuth der Mächte seine Souveränität geschenkt erhalten und dabei alle dem Bundessitze obliegenden Pflichten ausdrücklich übernommen hatte.	12:21	0:243
Frechheit	 	1855	1	kurz_sonnenwirth_1855-3460-27	 	Die Freudigkeit, die aus seiner Stimme klang, wurde von diesen Männern, die in den herkömmlichen Bräuchen und Sitten aufgewachsen waren, als eine schamlose Frechheit angesehen.	156:165	0:176
Frechheit	 	1960	2	26120215_1960_02_24_01_246.tcf.xml-37-1	 	Ihre Frechheiten werden noch ein Nachspiel haben, Sie...\" zischte Lehrer Gustav feuerroten Kopfes.	5:16	0:98
Frechheit	 	1833	1	boerne_paris04_1833-2014-8	 	Wenn sich glückliche Anlagen und Scharfsinn so mit Frechheit und Anmaßung paaren, vergißt man darüber das Hassenswürdige und Verworfene, was jedem Abtrünnigen, jedem Renegaten, und jedem an seinem angestammten Glauben seiner Väter zum Verräther gewordenen anklebt.	51:60	0:264
Frechheit	 	1848	1	nn_nrhz286_1849-200-62	 	Eine Kammer, die fast in jeder erheblichen Abstimmung die Handlungsweise der Regierung tadelt, und doch dieser Regierung eine Jahreseinnahme von 95 Millionen, die Vollmacht Darlehnskassenscheine zu machen, und allerhand dergleichen zur uneingeschränktesten willkürlichen Verwendung überläßt, das ist nicht zusammenzureimen, das zeigt die gänzliche politische Kindheit unserer Kammer, eine Unschuld, bei der die Volksfreiheit der Frechheit der Regierung zum Raub werden muß.	429:438	0:473
Frechheit	 	1953	2	26120215_1953_04_16_01_032.tcf.xml-5-10	 	Auf einer Pressekonferenz in San Kranzisro stellte Adenauer in unverblümter Frechheit fest, die Ronner Regierung würde die Politik der Eingliederung Westdeutschlands in de	76:85	0:171
Frechheit	 	1966	2	26120215_1966_11_10_01_024.tcf.xml-0-2	 	Die letzte Frechheit	11:20	0:20
Frechheit	 	1848	1	nn_nrhz152_1848-208-2	 	Eine größere Frechheit hat nie in einem Menschen gewohnt.	13:22	0:57
Frechheit	 	1950	2	26120215_1950_03_28_01_253.tcf.xml-36-6	 	„Verzeihen Sie mir bitte meine Frechheit\", sagte das Mädchen und lächeltb errötend.	31:40	0:83
Frechheit	 	1960	2	2532889X_1960-09-05_01_011.tcf.xml-3-3	 	Als Gipfelpunkt der Frechheit und des Zynismus bezeichnete am Sonntag Wladyslaw, Gomalka, Erster Sekretär des ZK der Polnischen Vereinigten Arbeiterpartei, die Treffen der Revanchisten In Westberlin.	20:29	0:199
Frechheit	 	1864	1	brehm_thierleben01_1864-2780-1	 	Die Frechheit und Geilheit dieser Thiere, ihre Unverschämtheit und Flegelhaftigkeit verbannen sie ganz entschieden aus der Gesellschaft des Menschen.	4:13	0:149
Frechheit	 	1960	2	26120215_1960_01_31_01_445.tcf.xml-42-7	 	Halt gefälligst den Mund und laß deine Frechheiten!	39:50	0:51
Frechheit	 	1845	1	stirner_einzige_1845-998-21	 	Furcht macht den Anfang, und dem rohsten Menschen kann man sich fürchterlich machen; also schon ein Damm gegen seine Frechheit.	117:126	0:127
Frechheit	 	1951	2	2532889X_1951-07-19_01_108.tcf.xml-5-5	 	Die Bonner Regierung, deren Frechheit mit ihrer Gemeingefährhchkeit wächst, ließ durch die Korrespondenz ' „Deutschland-Uniondienst\" folgende Mitteilung veröffentlichen:	28:37	0:169
Frechheit	 	1869	1	brehm_thierleben06_1869-4020-1	 	Die Frechheit, zügellose Wildheit der Wespen kennt ein Jeder zur Genüge, auch wenn er nicht, wie es mir einst in meiner Kindheit widerfuhr, darum von einem ganzen Schwarme überfallen und unbarmherzig zerstochen wurde, weil er harmlos und völlig unkundig des Nestes den Fußpfad wandelte, neben welchem sein Eingang lag.	4:13	0:318
Frechheit	 	1956	2	26120215_1956_05_29_01_153.tcf.xml-7-4	 	Die Polizei hatte die Frechheit, Helga Gentzen — der Korperverletzungen von Polizisten zu bezichtigen.	22:31	0:102
Frechheit	 	1827	1	rumohr_forschungen02_1827-2520-42	 	Demungeachtet werden wir die günstige Stimmung des Vasari schwerlich so gänzlich theilen können, da eben Solches, was er besonders hervorhebt (das sichtbare Streben den Raum mit mindestmöglicher Mühe auszufüllen, die Fertigkeit, welche hie und da an moderne Frechheit grenzt) nach den Erfahrungen der verflossenen Jahrhunderte, eher für die Vorbedeutung eines künftigen Verfalles, als einer der Kunst bevorstehenden Höhe der Meisterschaft zu erachten ist.	258:267	0:455
Frechheit	 	1889	1	treitschke_geschichte04_1889-3138-34	 	Ich finde, sagte er schmerzlich, „daß die schönen Eigenschaften schwinden, welche die Zierde unserer Nation machten, Tiefe, Innigkeit, Eigenthümlichkeit, Herz und Liebe, daß Flachheit und Frechheit herrschend werden.“	188:197	0:217
Frechheit	 	1968	2	2532889X_1968-10-27_01_135.tcf.xml-59-20	 	Der Mißbrauch der Kunst und des Künstlers wird bei ihnen im Großformat betrieben, und sie erlauben sich mit unverschämter Frechheit, sich uns gegenüber aufzuspielen als Verteidiger der Reinheit der Kultur und des Humanismus.	122:131	0:224
Frechheit	 	1951	2	26120215_1951_12_09_01_347.tcf.xml-22-11	 	Seine Kunst liegt in der Formel: „Optische Täuschung-|-Genauigkeit + Frechheit = Hexerei!\" 40 Jahre hat er sich in diesem Handwerk geübt.	69:78	0:137
Frechheit	 	1802	1	fessler_eleusinien01_1802-1390-4	 	Man erstaunte über die Frechheit dieser Menschen, hielt zwar ihre Drohungen für Schreckschüsse, sandte aber doch eine Deputation an den Durchl. Protector den H. C. v. C. — Am Abend bekam ich die Antwort, nebst einem Kistgen, worinn das Portrait des genannten H. B. war.	23:32	0:269
Frechheit	 	1962	2	2532889X_1962-03-24_01_124.tcf.xml-23-38	 	Wilhelm Liebknecht: Trotz der hundertvierzig Aktenstücke, mit denen Sie hier Ihre Zuhörer traktiert haben, Sie haben nicht die leiseste Ahnung von den Bestrebungen unserer Partei. von P 1 e s k o w: Frechheit!	199:208	0:209
Frechheit	 	1837	1	laube_europa03_1837-1578-14	 	Das Mittelalter hatte seinen Teufel, seinen lieben Teufel, zu welchem die sogenannte Frechheit flüchtete; die Thorheit und die Klugheit glaubte ihn zu sehn, er war ein Hilfsmittel, wenn die bekannte Welt mit ihren Gedanken und Kräften nicht mehr zureichen wollte, er war eine Brücke in’s Größere, wenn auch eine brennende.	85:94	0:322
Frechheit	 	1817	1	hoffmann_nachtstuecke01_1817-1213-19	 	— Der Doktor Trabacchio schien sich herzinniglich zu freuen, als er diese Begebenheit erfuhr und ging mit verwegener Frechheit zum Tode.	117:126	0:136
