identifier1	identifier2	annotator	judgment	comment	lemma
samter_erfindungen_1896-5078-50	26120215_1985_02_02_01_303.tcf.xml-7-3	Zori	4	 	Kubikmeter
gerstner_mechanik01_1831-2347-18	lehnert_seehaefen01_1891-1060-8	Zori	4	 	Kubikmeter
schliemann_trojanische_1874-704-42	samter_erfindungen_1896-12335-16	Zori	4	 	Kubikmeter
2532889X_1977-06-18_01_199.tcf.xml-6-6	samter_erfindungen_1896-12335-16	Zori	4	 	Kubikmeter
ledebur_eisenhuettenkunde_1884-7045-8	2532889X_1986-07-24_01_004.tcf.xml-11-14	Zori	4	 	Kubikmeter
nn_maehrisches279_1885-404-16	26120215_1985_02_02_01_303.tcf.xml-7-3	Zori	4	 	Kubikmeter
2532889X_1958-11-22_01_011.tcf.xml-3-15	gerstner_mechanik03_1834-5469-52	Zori	4	 	Kubikmeter
2532889X_1979-06-30_01_043.tcf.xml-40-11	wanderley_bauconstructionslehre02_1878-296-25	Zori	4	 	Kubikmeter
26120215_1952_08_12_01_012.tcf.xml-7-14	krafft_landwirthschaft01_1875-5316-56	Zori	4	 	Kubikmeter
2532889X_1973-07-26_01_206.tcf.xml-4-15	26120215_1981_11_17_01_035.tcf.xml-36-26	Zori	4	 	Kubikmeter
2532889X_1973-07-26_01_206.tcf.xml-4-15	26120215_1985_02_02_01_303.tcf.xml-7-3	Zori	4	 	Kubikmeter
samter_erfindungen_1896-5078-50	wanderley_bauconstructionslehre02_1878-296-25	Zori	4	 	Kubikmeter
2532889X_1979-06-30_01_043.tcf.xml-40-11	nn_maehrisches279_1885-404-16	Zori	4	 	Kubikmeter
2532889X_1986-07-24_01_004.tcf.xml-11-14	2532889X_1987-04-20_01_033.tcf.xml-8-19	Zori	4	 	Kubikmeter
nn_maehrisches266_1892-376-10	ledebur_eisenhuettenkunde_1884-6556-7	Zori	4	 	Kubikmeter
26120215_1981_11_17_01_035.tcf.xml-36-26	ledebur_eisenhuettenkunde_1884-6556-7	Zori	4	 	Kubikmeter
krafft_landwirthschaft01_1875-5316-39	schliemann_trojanische_1874-704-26	Zori	4	 	Kubikmeter
schliemann_trojanische_1874-704-34	26120215_1973_02_25_01_333.tcf.xml-7-16	Zori	4	 	Kubikmeter
2532889X_1977-06-18_01_199.tcf.xml-6-6	2532889X_1987-04-20_01_033.tcf.xml-8-19	Zori	4	 	Kubikmeter
gerstner_mechanik01_1831-2347-18	schliemann_trojanische_1874-704-26	Zori	4	 	Kubikmeter
26120215_1972_09_04_01_131.tcf.xml-2-10	schliemann_trojanische_1874-1175-12	Zori	4	 	Kubikmeter
2532889X_1987-07-30_01_035.tcf.xml-7-10	2532889X_1979-06-30_01_043.tcf.xml-40-11	Zori	4	 	Kubikmeter
2532889X_1973-07-26_01_206.tcf.xml-4-15	schliemann_trojanische_1874-704-34	Zori	4	 	Kubikmeter
schliemann_trojanische_1874-704-26	26120215_1981_07_17_01_124.tcf.xml-4-7	Zori	4	 	Kubikmeter
nn_maehrisches206_1897-430-16	schliemann_trojanische_1874-1175-12	Zori	4	 	Kubikmeter
26120215_1973_03_19_01_069.tcf.xml-6-9	2532889X_1987-04-20_01_033.tcf.xml-8-19	Zori	4	 	Kubikmeter
gerstner_mechanik03_1834-5469-52	2532889X_1969-05-15_01_165.tcf.xml-6-8	Zori	4	 	Kubikmeter
krafft_landwirthschaft01_1875-5316-39	26120215_1973_03_19_01_069.tcf.xml-6-9	Zori	4	 	Kubikmeter
nn_maehrisches266_1892-376-10	26120215_1972_09_04_01_131.tcf.xml-2-10	Zori	4	 	Kubikmeter
2532889X_1969-05-15_01_165.tcf.xml-6-8	samter_erfindungen_1896-5078-50	Zori	4	 	Kubikmeter
schliemann_trojanische_1874-704-34	26120215_1962_07_15_01_024.tcf.xml-12-9	Zori	4	 	Kubikmeter
schliemann_trojanische_1874-704-42	ledebur_eisenhuettenkunde_1884-6556-7	Zori	4	 	Kubikmeter
nn_nrhz168_1848-508-11	krafft_landwirthschaft01_1875-3611-19	Zori	4	 	Kubikmeter
26120215_1952_08_12_01_012.tcf.xml-7-14	samter_erfindungen_1896-12335-16	Zori	4	 	Kubikmeter
2532889X_1986-07-24_01_004.tcf.xml-11-14	26120215_1962_07_15_01_024.tcf.xml-12-9	Zori	4	 	Kubikmeter
ledebur_eisenhuettenkunde_1884-6556-7	2532889X_1969-05-15_01_165.tcf.xml-6-8	Zori	4	 	Kubikmeter
krafft_landwirthschaft01_1875-5316-39	schliemann_trojanische_1874-1175-12	Zori	4	 	Kubikmeter
26120215_1985_02_02_01_303.tcf.xml-7-3	nn_maehrisches266_1892-385-22	Zori	4	 	Kubikmeter
26120215_1985_02_02_01_303.tcf.xml-7-3	lehnert_seehaefen01_1891-9541-17	Zori	4	 	Kubikmeter
lehnert_seehaefen01_1891-9541-17	2532889X_1953-12-11_01_023.tcf.xml-8-11	Zori	4	 	Kubikmeter
nn_maehrisches266_1892-376-10	2532889X_1986-07-24_01_004.tcf.xml-11-14	Zori	4	 	Kubikmeter
schliemann_trojanische_1874-704-42	26120215_1973_02_25_01_333.tcf.xml-7-16	Zori	4	 	Kubikmeter
samter_erfindungen_1896-5078-50	26120215_1973_02_25_01_333.tcf.xml-7-16	Zori	4	 	Kubikmeter
nn_nrhz168_1848-508-11	samter_erfindungen_1896-12335-16	Zori	4	 	Kubikmeter
26120215_1981_07_17_01_124.tcf.xml-4-7	krafft_landwirthschaft01_1875-3611-19	Zori	4	 	Kubikmeter
26120215_1976_05_14_01_095.tcf.xml-4-2	schliemann_trojanische_1874-704-34	Zori	4	 	Kubikmeter
2532889X_1953-12-11_01_023.tcf.xml-8-11	krafft_landwirthschaft01_1875-5318-20	Zori	4	 	Kubikmeter
2532889X_1969-05-15_01_165.tcf.xml-6-8	2532889X_1969-01-30_01_143.tcf.xml-2-29	Zori	4	 	Kubikmeter
samter_erfindungen_1896-5078-50	26120215_1962_07_15_01_024.tcf.xml-12-9	Zori	4	 	Kubikmeter
26120215_1981_11_17_01_035.tcf.xml-36-26	26120215_1985_02_02_01_303.tcf.xml-7-3	Zori	4	 	Kubikmeter
2532889X_1987-07-30_01_035.tcf.xml-7-10	nn_nrhz168_1848-508-11	Zori	4	 	Kubikmeter
2532889X_1973-08-21_01_037.tcf.xml-18-13	krafft_landwirthschaft01_1875-3611-19	Zori	4	 	Kubikmeter
ledebur_eisenhuettenkunde_1884-6710-4	schliemann_trojanische_1874-704-34	Zori	4	 	Kubikmeter
26120215_1981_07_17_01_124.tcf.xml-4-7	gerstner_mechanik01_1831-2347-18	Zori	4	 	Kubikmeter
2532889X_1969-01-30_01_143.tcf.xml-2-29	schliemann_trojanische_1874-704-42	Zori	4	 	Kubikmeter
ledebur_eisenhuettenkunde_1884-6856-48	2532889X_1986-04-05_01_411.tcf.xml-51-17	Zori	4	 	Kubikmeter
krafft_landwirthschaft01_1875-3611-19	nn_maehrisches279_1885-404-16	Zori	4	 	Kubikmeter
ledebur_eisenhuettenkunde_1884-7045-8	26120215_1962_07_15_01_024.tcf.xml-12-9	Zori	4	 	Kubikmeter
ledebur_eisenhuettenkunde_1884-7045-8	wanderley_bauconstructionslehre02_1878-296-25	Zori	4	 	Kubikmeter
schliemann_trojanische_1874-704-34	nn_maehrisches266_1892-376-10	Zori	4	 	Kubikmeter
26120215_1976_05_14_01_095.tcf.xml-4-2	26120215_1953_04_11_01_238.tcf.xml-20-6	Zori	4	 	Kubikmeter
ledebur_eisenhuettenkunde_1884-6856-48	2532889X_1973-03-12_01_227.tcf.xml-6-3	Zori	4	 	Kubikmeter
lehnert_seehaefen01_1891-9541-17	nn_maehrisches266_1892-385-22	Zori	4	 	Kubikmeter
schliemann_trojanische_1874-1175-12	ledebur_eisenhuettenkunde_1884-6710-4	Zori	4	 	Kubikmeter
26120215_1962_07_15_01_024.tcf.xml-12-9	krafft_landwirthschaft01_1875-3611-19	Zori	4	 	Kubikmeter
nn_nrhz168_1848-508-11	2532889X_1977-06-18_01_199.tcf.xml-6-6	Zori	4	 	Kubikmeter
26120215_1973_02_25_01_333.tcf.xml-7-16	wanderley_bauconstructionslehre02_1878-296-25	Zori	4	 	Kubikmeter
26120215_1953_04_11_01_238.tcf.xml-20-6	schliemann_trojanische_1874-704-26	Zori	4	 	Kubikmeter
krafft_landwirthschaft01_1875-5316-56	nn_maehrisches279_1885-404-16	Zori	4	 	Kubikmeter
ledebur_eisenhuettenkunde_1884-6710-4	2532889X_1973-03-12_01_227.tcf.xml-6-3	Zori	4	 	Kubikmeter
