lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
Kubikmeter	 	1884	1	ledebur_eisenhuettenkunde_1884-6556-7	 	Bei einzelnen Apparaten beträgt die Heizfläche per Cubikmeter Wind, welcher per Minute hindurchgeht, 1.5 Quadratmeter und die mittlere Geschwindigkeit des Windes in den Röhren per Secunde 40 m, bei anderen findet man für die gleiche Menge Wind eine Heizfläche bis zu 4 qm und die Geschwindigkeit des Windes weniger als 10 m.	51:61	0:324
Kubikmeter	 	1953	2	26120215_1953_04_11_01_238.tcf.xml-20-6	 	Am Wolga-Don-Schiffahrtskanal wurden fast drei Millionen Kubikmeter Beton und Eisenbeton gebraucht.	57:67	0:99
Kubikmeter	 	1897	1	nn_maehrisches206_1897-430-16	 	Ferner birgt besagter Mensch 7 Kilogr. Wasserstoff, welche im freien Zustande einen Raum von 80 Kubikmetern füllen würden.	96:107	0:122
Kubikmeter	 	1896	1	samter_erfindungen_1896-12335-16	 	Nachdem dies geschehen ist, öffnet man die Form und zerschneidet den ganzen, oft ein Kubikmeter und mehr haltenden starren Seifenblock mittels gespannter dünner Eisendrähte in Stücke von der gewünschten Größe.	85:95	0:209
Kubikmeter	 	1977	2	2532889X_1977-06-18_01_199.tcf.xml-6-6	 	In einer Stunde wurden etwa 300 Kubikmeter Havelwasser in das Hochbassin auf dem Ruinenberg und das Schloß Sanssouci gehoben.	32:42	0:125
Kubikmeter	 	1985	2	26120215_1985_02_02_01_303.tcf.xml-7-3	 	Er faßt zwanzig Kubikmeter und, wie sich herausstellt, eine 15köpfige Journalistengruppe für ein Erinnerungsfoto.	16:26	0:113
Kubikmeter	 	1986	2	2532889X_1986-04-05_01_411.tcf.xml-51-17	 	Wenn auch die zweite Ausbaustufe Ende 1987 fertiggestellt sein wird, können in der Anlage Nord 250000 Kubikmeter Abwässer täglich verarbeitet werden.	102:112	0:149
Kubikmeter	 	1981	2	26120215_1981_11_17_01_035.tcf.xml-36-26	 	Danach ist u. a. der spezifische Wasserbedarf der Industrie im Fünfjahrplanzeitraum 1981 bis 1985 um 25 Prozent und die Wasserentnahme aus dem Trinkwassernetz um 15 Millionen Kubikmeter zu senken.	175:185	0:196
Kubikmeter	 	1875	1	krafft_landwirthschaft01_1875-5318-20	 	Bei reicher Ernte wird man gewöhnlich nicht ausreichenden Scheunenraum besitzen, da man sich bei der Kostspieligkeit desselben — 10 Cubikmeter Raum bei Schindeldach kosten ungefähr 20—24 Mark, 10—12 fl. — nur für eine Mittelernte vorsehen wird.	132:142	0:244
Kubikmeter	 	1874	1	schliemann_trojanische_1874-704-42	 	Nach genauer Berechnung des Ingenieurs Herrn A. Laurent habe ich in den 17 Tagen, an welchen seit dem 1. d. M. gearbeitet wurde, 8500 Kubikmeter Schutt fortgeschafft; es kommen somit 500 Kubikmeter auf jeden Tag und etwas über 4 Kubikmeter täglich auf jeden Arbeiter.	229:239	0:267
Kubikmeter	 	1952	2	26120215_1952_08_12_01_012.tcf.xml-7-14	 	Das mittlere Bild zeigt eine sowjetische Betonpumpe, die über die enorme Stundenleistung vonSO Kubikmeter Beton verfügt, den sie bis zu £ 00 m weit oder 1)0 m hoch befördern kann.	95:105	0:179
Kubikmeter	 	1979	2	2532889X_1979-06-30_01_043.tcf.xml-40-11	 	Wer könnte besser als diese erfahrenen Baggerfahrer abschätzen, um wieviel Kubikmeter die Vorgabe trotz der nicht leichten Bedingungen zu überbieten ist.	75:85	0:153
Kubikmeter	 	1875	1	krafft_landwirthschaft01_1875-5316-56	 	Als ungefährer Anhaltspunkt für den Bedarf an Scheunenraum zur Aufbewahrung der Ernte können folgende Zahlen dienen: für jedes Kilogramm Garbengewicht sind 0.016 Cubikmeter Scheunenraum erforderlich, daher für ein 125 Kilogr. schweres Mandel zu 13 Garben Wintergetreide 2 Cubikmeter, für ein 112.5 Kilogr. schweres Mandel Sommergetreide 1.77 Cubikmeter, im Durchschnitt per Mandel 1.89 Cubikmeter.	386:396	0:397
Kubikmeter	 	1973	2	2532889X_1973-03-12_01_227.tcf.xml-6-3	 	Jährlich werden 135000 Kubikmeter abgebaut.	23:33	0:43
Kubikmeter	 	1834	1	gerstner_mechanik03_1834-5454-19	 	Die Mailänder Oncia gibt bei Annahme der angeführten Abmessungsresultate in einem Tage 24. 60. 2,18555 = 3147,19 Kubikmeter = 99641 N. Oe. Kubikfuss = 461,3 N. Oe.	113:123	0:163
Kubikmeter	 	1987	2	2532889X_1987-04-20_01_033.tcf.xml-8-19	 	Im Zeitraum von 1980 bis 1986 stiegen im Stammbetrieb Schwarze Pumpe die durchschnittlichen Tagesleistungen von 11,1 auf 16 Millionen Kubikmeter Stadtgas.	134:144	0:154
Kubikmeter	 	1958	2	2532889X_1958-11-22_01_011.tcf.xml-3-15	 	Die Kumpel des Tagebaus Koschen vom Braunkohlenwerk Senftenbere haben bis 20. November morgens bereits 79000 Kubikmeter Abraum über den Jahresplan 1958 hinaus bewegt.	109:119	0:166
Kubikmeter	 	1878	1	wanderley_bauconstructionslehre02_1878-296-25	 	Abgesehen von diesem Uebelstande, gewährt dagegen der deutsche Normalziegel den nicht zu unterschätzenden Vortheil, daß die Materialmasse bequem nach Quadratmetern, anstatt nach Kubikmetern, berechnet werden kann.	178:189	0:213
Kubikmeter	 	1976	2	2532889X_1976-11-08_01_172.tcf.xml-37-21	 	Einer der Hauptpunkte in diesem Baggerfahrerwettbewerb heißt: nahtloser Schichtübergang — nicht eine Minute Stillstand, der bei unseren Großgeräten Hunderte Kubikmeter Abraum und mehrere 50-Mark-Scheine kosten würde.	157:167	0:216
Kubikmeter	 	1976	2	26120215_1976_05_14_01_095.tcf.xml-4-2	 	Rund 10000 Kubikmeter Erdreich, das nach Angaben von Geologen durch das Beben der vorigen Woche in Bewegung geraten ist. bedrohen vier Ortschaften im Raum von Trasaghis, 25 Kilometer nördlich von Udine.	11:21	0:202
Kubikmeter	 	1875	1	krafft_landwirthschaft01_1875-5316-39	 	Als ungefährer Anhaltspunkt für den Bedarf an Scheunenraum zur Aufbewahrung der Ernte können folgende Zahlen dienen: für jedes Kilogramm Garbengewicht sind 0.016 Cubikmeter Scheunenraum erforderlich, daher für ein 125 Kilogr. schweres Mandel zu 13 Garben Wintergetreide 2 Cubikmeter, für ein 112.5 Kilogr. schweres Mandel Sommergetreide 1.77 Cubikmeter, im Durchschnitt per Mandel 1.89 Cubikmeter.	272:282	0:397
Kubikmeter	 	1977	2	26120215_1977_01_08_01_305.tcf.xml-2-4	 	Den l, 75millionsten Kubikmeter Beton seit 1964 schütteten am Freitag die Arbeiter des Betriebsteiles Vorfertigung im Neubrandenburger Wohnungsbaukombinat.	21:31	0:155
Kubikmeter	 	1953	2	2532889X_1953-12-11_01_023.tcf.xml-8-11	 	den um 2 Pfennig und die Wasserpreise um 5 Pfennig je Kubikmeter erhöht.	54:64	0:72
Kubikmeter	 	1891	1	lehnert_seehaefen01_1891-9541-17	 	Vor Eröffnung des Canales liefen in Amsterdam im Mittel jährlich 4000 Schiffe mit ungefähr 4 ·6 Millionen Cubikmeter ein und aus.	106:116	0:129
Kubikmeter	 	1884	1	ledebur_eisenhuettenkunde_1884-6856-48	 	Man wird also entweder die Anlagekosten der per Hochofen erforderlichen Apparate einander gegenüber zu stellen haben, wobei jedoch wiederum der verschiedene Windbedarf verschieden grosser Hochöfen leicht zu Fehlschlüssen führen kann; oder, was jedenfalls am zuverlässigsten ist, die Kosten der erforderlichen Heizfläche, um 1 Cubikmeter Wind per Minute zu erhitzen.	326:336	0:365
Kubikmeter	 	1896	1	samter_erfindungen_1896-5078-50	 	Um theoretisch die nötige Luftmenge zu berechnen, hat man zu berücksichtigen, daß 1 g Kohle zur Verbrennung 2⅔ g Sauerstoff oder, da die Luft nur etwa zum fünften Teil aus Sauerstoff besteht, ca. 11½ g Luft bedarf, was für 1 kg Kohle ca. 8,7 Kubikmeter Luft ergiebt.	242:252	0:266
Kubikmeter	 	1972	2	26120215_1972_09_04_01_131.tcf.xml-2-10	 	Mehr als 395 Millionen Tonnen Erdöl und fast 230 Milliarden Kubikmeter Gas werden in diesem Jahr in der Sowjetunion gefördert.	60:70	0:126
Kubikmeter	 	1885	1	nn_maehrisches279_1885-404-16	 	Um bei diesen Verhältnissen etwa 1000 Pferdekräfte zu erzielen, würde man einen Zufluß von 43 Kubikmetern per Secunde aus dem Hauptstrome entnehmen müssen.	94:105	0:155
Kubikmeter	 	1874	1	schliemann_trojanische_1874-704-34	 	Nach genauer Berechnung des Ingenieurs Herrn A. Laurent habe ich in den 17 Tagen, an welchen seit dem 1. d. M. gearbeitet wurde, 8500 Kubikmeter Schutt fortgeschafft; es kommen somit 500 Kubikmeter auf jeden Tag und etwas über 4 Kubikmeter täglich auf jeden Arbeiter.	187:197	0:267
Kubikmeter	 	1891	1	lehnert_seehaefen01_1891-1060-8	 	Von der präliminirten Materialbewegung von ungefähr 12 Millionen Cubikmeter waren vom Jahre 1882, in welchem die Arbeiten begannen, bis zum Schlusse des Jahres 1888 bereits 8 Millionen Cubikmeter bewältigt und ist zur Stunde der Terraineinschnitt auf 2 km Länge des Canales bis zur Sohle und auf der erübrigenden Strecke bis zur Cote des Meeresniveaus durchgeführt.	65:75	0:365
Kubikmeter	 	1834	1	gerstner_mechanik03_1834-5469-52	 	Der Fall an dieser Schleusse, deren Bau schon im Jahre 1602 unter der damaligen spanischen Regierung begonnen wurde, beträgt vom Wasserspiegel des Oberwassers bis zu jenem des Unterwassers 4,652 Mèter, oder 14,717 N. Oe. Fuss; die abfliessende Wassermenge von 84 Oncie gibt in 1 Minute 84. 2,18555 Kubikmèter, oder in einer Sekunde 96,87 N. Oe. Kubikfuss.	298:308	0:355
Kubikmeter	 	1875	1	krafft_landwirthschaft01_1875-3611-19	 	Die Leistung einer Person bei der Düngerarbeit beträgt per Tag: Dünger laden 9—12 zweispännige Fuhren à 0.6—0.7 Cubikmeter oder 500—750 Kilogr., Dünger breiten 0.17—0.25 Hectar, Dünger einstreifen 0.40—0.46 Hectar.	112:122	0:214
Kubikmeter	 	1892	1	nn_maehrisches266_1892-376-10	 	Die Ergiebigkeit wurde zur Zeit der größten Dürre mit 1600 Cubikmeter in 24 Stunden erhoben und verbürgt eine reichliche Versorgung der jetzt circa 12.000 Einwohner zählenden Stadt für viele Decennien.	59:69	0:201
Kubikmeter	 	1973	2	2532889X_1973-07-26_01_206.tcf.xml-4-15	 	An Hand anschaulicher Modelle — angefangen von der Feldbahn, die 1945 vom Karl-Marx-Platz 25000 Kubikmeter Trümmer abzufahren hatte, bis zur maßstabgerechten Gesamtansicht Leipzigs dieser Tage — gibt die Ausstellung Aufschluß über das Baugeschehen.	96:106	0:248
Kubikmeter	 	1848	1	nn_nrhz168_1848-508-11	 	Der Pächter seinerseits löst daraus 3,600,00 Fr., indem er den Kubikmetre zu 3-5 Fr. verkauft.	63:73	0:94
Kubikmeter	 	1973	2	26120215_1973_03_19_01_069.tcf.xml-6-9	 	Ken zufolge wurde allein am Sonnabend etwa eine Million Kubikmeter Schnee aus Bukarest abtransportiert und in die vorgelagerten Seen versenkt.	56:66	0:142
Kubikmeter	 	1892	1	nn_maehrisches266_1892-385-22	 	Das Hochreservoir ist in üblicher Weise aus Ziegeln und Cementmörtel erbaut und fassen dessen zwei von einander vollständig getrennte Kammern zusammen 1000 Cubikmeter Wasser.	156:166	0:174
Kubikmeter	 	1962	2	26120215_1962_07_15_01_024.tcf.xml-12-9	 	Im Raum Berlin wurden innerhalb von 60 Tagen 172000 Kubikmeter Boden bewegt und 73 Kilometer Gleise verlegt.	52:62	0:108
Kubikmeter	 	1973	2	26120215_1973_02_25_01_333.tcf.xml-7-16	 	35000 Tonnen Stahlrohre erzeugen sowie acht Millionen Tonnen Kohle, 700000 Tonnen Eisenerz und 600 Millionen Kubikmeter Erdgas fördern.	109:119	0:135
Kubikmeter	 	1969	2	2532889X_1969-05-15_01_165.tcf.xml-6-8	 	Nach sowjetischen' Angaben werden gegenwärtig jährlich 400 Millionen Kubikmeter Holz eingeschlagen.	69:79	0:99
