lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
Manschette	 	1979	2	26120215_1979_10_20_01_379.tcf.xml-18-14	 	starkem Schmutz, wie überhaupt Reinigung mit entsprechender Sorgfalt zur Verlängerung der Lebensdauer dieser Manschetten beiträgt.	109:120	0:130
Manschette	 	1989	2	2532889X_1989-07-31_01_153.tcf.xml-6-36	 	Senkrecht: 1. Requisitein, 2. Senator, 3. Stola, 4. Tur, 5. Rinde, 6. Pan, 8. Kos, 9. Olive, 10. Gen, 11. Raabe, 12. Arterie, 13. Manschette, 23. Trakehner, 25. Turbulenz, 29. Tribunal, 30. Kaukasus, 32. Senegal, 34. Einlage, 38. Inan, 39. Esten, 40. Manon, 41. Hader, 45. Nie. 46. Reh. 47. Kur, 48. Alp.	130:140	0:304
Manschette	 	1869	1	brehm_thierleben06_1869-4003-28	 	So groß wie eine Wallnuß hängt es unter einem Winkel von 45 Grad am Aestchen herab, wird am Grunde von einer napfförmigen Außenhülle, wie von einer Manschette, umgeben.	148:158	0:168
Manschette	 	1848	1	nn_nrhz226_1849-206-5	 	Neulich wackelten sämmtlichen Börsenherrn die Manschetten.	46:57	0:58
Manschette	 	1985	2	26120215_1985_10_12_01_387.tcf.xml-20-17	 	Demgegenüber zeigt der Grüne Knollenblätterpilz einen weiß bis zartgrünlich gemaserten Stiel, welcher eine feingeriefte, lappige Manschette trägt.	129:139	0:146
Manschette	 	1834	1	varnhagen_rahel02_1834-1774-9	 	Das hält so äußerlich, wie die Equipagen und Manschetten, zusammen; und Ein Willen in der Welt, oder aufgehäufte Noth, trümmert all den Lug zusammen; der Gräuel spricht sich aus gräßlichen, wirklichen Wunden hervor; Krieg überschüttet Europa; aber wer ist gesichert? —	45:56	0:268
Manschette	 	1971	2	2532889X_1971-08-09_01_029.tcf.xml-19-13	 	Nach einigen Vorbereitungen durchbohrte dann Schlosser Erich Eismann mit sei-'nen Kollegen die Manschetten, die mit dicken Bolzen verschraubt wurden.	95:106	0:149
Manschette	 	1965	2	2532889X_1965-08-27_01_140.tcf.xml-5-3	 	Conrad hatte pneumatische Manschetten um die Oberschenkel gelegt, die alle sechs Minuten aufgeblasen werden, um das Herz anzuregen, das Blut mit stärkerer Gewalt in die Beine zu treiben. Die	26:37	0:190
Manschette	 	1869	1	michelis_reiseschule_1869-403-3	 	Die untere meiner Manschetten wird zuerst lang ausgestreckt getragen, während die obere sich nach der andern Seite, die Pulsadern umschließend, behaglich und unangefochten dehnt; sobald der Saum der ersteren eine unliebsame Schattirung annimmt, wird er in die Verborgenheit zurückgefaltet und an seine Stelle tritt eine Falte von blendender Weiße; verliert auch sie ihre Reinheit, so wird die ganze Manschette aus der Oeffentlichkeit entfernt und führt nun ein zurückgezogenes Leben, wie bisher ihre Zwillingsschwester, nur über dem Hemdärmel, während die letztere jetzt denselben Cursus durchzumachen hat.	18:29	0:606
Manschette	 	1982	2	2532889X_1982-07-24_01_143.tcf.xml-135-13	 	Dies läuft. nicht und das, kein Sauerstoff zum Schweißen, keine Manschetten, die Jugendfreunde bummeln mit dem FDJ-Beitrag.	64:75	0:123
Manschette	 	1855	1	kuernberger_amerikamuede_1855-1610-11	 	Moorfeld fand die Knabengestalt bekannt; wie der Range hier in Manschetten, Jabots und gesteiften Vatermördern als Gentleman-Carricatur sich brüstete, so glaubte er ihn schon andern Orts und in einem andern Aufzuge gesehen zu haben.	63:74	0:232
Manschette	 	1858	1	falke_trachten02_1858-1984-22	 	Spitzen, die auch mit feinen Goldfäden in allerlei Mustern von Sternen und Blumen durchflochten waren, umzogen den Kragen, die Manschetten und das geöffnete Beinkleid am Knie.	127:138	0:175
Manschette	 	1856	1	krane_reitpferd_1856-1715-26	 	Die Anglomanie hat für das Pferd des Civilisten die Martignal so in allgemeine Anwendung gebracht, dass sie ein Uniformstück aller fashionablen Pferde, wie die Manschette eins der Herren geworden ist.	160:170	0:200
Manschette	 	1987	2	26120215_1987_05_14_01_325.tcf.xml-24-12	 	Dafür mußten oft auch Türen, Schränke, Fußböden, ja sogar Manschetten oder die Hemdbrust des gerade anwesenden Besuchers oder Mitarbeiters herhalten.	58:69	0:149
Manschette	 	1970	2	26120215_1970_07_15_01_086.tcf.xml-15-3	 	Darunter litten die Manschetten.	20:31	0:32
Manschette	 	1968	2	2532889X_1968-05-11_01_318.tcf.xml-17-10	 	Heute lächelt der General bei dem Gedanken, wieviel „Manschetten\" er hatte, als „junger Spund einem Kollektiv von Altgesellen vorzustehen.	53:64	0:138
Manschette	 	1835	1	arnimb_goethe02_1835-1442-113	 	In seiner Kleidung war er nun ganz entsetzlich eigen, ich mußte ihm täglich drei Toiletten besorgen, auf einen Stuhl hing ich einen Überrock, lange Beinkleider, ordinäre Weste, stellte ein Paar Stiefel dazu, auf den zweiten, einen Frack, seidne Strümpfe die er schon angehabt hatte, Schuhe u. s. w., auf den dritten kam alles vom feinsten nebst Degen und Haarbeutel, das erste zog er im Hause an, das zweite wenn er zu täglichen Bekannten ging, das dritte zum Galla, kam ich nun am andern Tag hinein da hatte ich Ordnung zu stiften, da standen die Stiefeln auf den feinen Manschetten und Halskrausen, die Schuhe standen gegen Osten und Westen, ein Stück lag da das andre dort; da schüttelte ich den Staub aus den Kleidern legte frische Wäsche hin, brachte alles wieder in's Geleis; wie ich nun so eine Weste nehme und sie am offnen Fenster recht herzhaft in die Luft schwinge, fahren mir plötzlich eine Menge kleiner Steine in's Gesicht, darüber fing ich an zu fluchen, er kam hinzu, ich zanke ihn aus, die Steine hätten mir ja ein Aug aus dem Kopf schlagen können; — nun es hat Ihr ja kein Aug ausgeschlagen, wo sind denn die Steine, ich muß sie wieder haben, helf Sie mir sie wieder suchen sagte er; nun muß er sie wohl von seinem Schatz bekommen haben, denn er bekümmerte sich gar nur um die Steine, es waren ordinäre Kieselsteinchen und Sand, daß er den nicht mehr zusammen lesen konnte war ihm ärgerlich, alles was noch da war wikkelte er sorgfältig in ein Papier und trug's fort, den Tag vorher war er in Offenbach gewesen da war ein Wirthshaus zur Rose, die Tochter hieß das schöne Gretchen er hatte Sie sehr gern, das war die erste von der ich weiß daß er sie lieb hatte.	572:583	0:1679
Manschette	 	1847	1	aston_leben_1847-1024-55	 	Die Dampfmaschinen waren polirt und blank geputzt; die Säle reingefegt und mit frischem Sande bestreut; die Arbeiter, mit reinlicher Wäsche bekleidet, kleidet, saßen vor ihren Webstühlen, die ebenfalls von dem verjährten Staube gesäubert waren; die Comptoiristen hatten, mit noch kunstgeübterer Hand, als gewöhnlich, Busenstreif und Manschetten geordnet; und die blauen Fracks mit den gelben Knöpfen angezogen.	333:344	0:410
Manschette	 	1985	2	26120215_1985_09_23_01_121.tcf.xml-7-25	 	Sie ist eine der 312 Annahmekräfte, die den Kunden in B7 dttj-Annahmestellen u. a. zu wieder funktionstüchtigen Staubsaugern und Kaffeemaschinen, neuen Kragen und Manschetten, scharfen Messern oder reparierten Koffern verhelfen.	163:174	0:228
Manschette	 	1827	1	heine_lieder_1827-54-16	 	Im nächt'gen Traum hab' ich mich selbst geschaut, Im schwarzen Gallafrack und seidner Weste, Manschetten an der Hand, als ging's zum Feste, Und vor mir stand mein Liebchen, süß und traut.	93:104	0:187
Manschette	 	1971	2	26120215_1971_08_01_01_440.tcf.xml-13-13	 	Ausf. Angebote erb. an: ohne jedes Nachwaschen, ob on Kragen, Manschetten, Stulpen, Berliner Filmtheater im August Bühnenhandwerker (gelernte und anzulernende) 3080 BZ-Pavillon.	62:73	0:177
Manschette	 	1983	2	26120215_1983_12_17_01_395.tcf.xml-270-73	 	Rotf Silb F Blaufuchs auch M. Schatzw 15000 M Tel 4 49 65 94 750 -Tour Ski 2 m 150-T 5 59 12 19, sierte, selbständig arbeitende Haushalts Stellung als Betriebshandwerker Gehalts 585er Da. -Armband. 41 g, 8 TM Hals Jacke o Mtl. Sofaumbau. Bu Bord Kind. -Wag., ovale Form, beige neuwer nachm kette, 750er. 26 g, 5,5 TM, Manschetten hilfe 2mal wöchentlich, je 5-6 Stunden angabeerbeten B 0435 BV. 1056 Bln, PF18 6 35 86 47 tig 280 M Ineu 450 M) Schnftl an Stoll WA 46. neuw 1200 M.	318:329	0:478
Manschette	 	1969	2	26120215_1969_08_22_01_345.tcf.xml-12-4	 	Gürtel, Kragen und Manschetten sind in Blau gehalten, Ab 30. Oktober ist es zum Preis von 117,50 Mark im Handel erhältlich.	19:30	0:123
Manschette	 	1979	2	2532889X_1979-04-21_01_337.tcf.xml-26-29	 	Häufige Ursache für das Ablaufen des zu Beginn eingefüllten Wassers oder nicht genügender Sog der Handpumpe sind auch verhärtete (weil trockene) oder durch Rost im Zylinder zerfurchte Manschetten, die aus Leder oder Plast bestehen.	184:195	0:231
Manschette	 	1857	1	raabe_sperlingsgasse_1857-2612-25	 	Soll nun auf einmal in das Krähenaugenkriegen, Geborenwerden und Sterben der großen Völkerfamilie der Erde ein Stillstand eintreten; ein deus ex machina mit Manschetten in das ewige Werden fahren und sagen:	157:168	0:206
Manschette	 	1952	2	26120215_1952_02_19_01_230.tcf.xml-0-23	 	„Ick will mir ja üba Ihre Wäscherei nlch beklaren, aba könnten Se nich zusehen, det ick det nächste Mal an'ne Manschetten een bißken mehr Hemde zuruckkrieief	110:121	0:157
Manschette	 	1965	2	2532889X_1965-10-24_01_236.tcf.xml-1-3	 	Das Wort „Manschetten. kommt aus dem Französischen und heißt soviel wie „Ärmelchen\".	10:21	0:84
Manschette	 	1985	2	2532889X_1985-03-23_01_270.tcf.xml-9-9	 	Selbst' wenn noch kein Fett austritt, müssen poröse Manschetten ausgewechselt werden.	52:63	0:85
Manschette	 	1846	1	aston_emancipation_1846-250-11	 	Und grade ein schlagendes Beispiel dieser Inquisition, in Frack und Manschetten, glaubte ich dem Publikum vorführen zu können; ein Drama, welches den einzigen Fehler hat, daß ich selbst darin die passive Hauptrolle spiele.	68:79	0:222
Manschette	 	1854	1	keller_heinrich03_1854-83-52	 	Manchmal sah ich über die Blätter hinaus im Zimmer umher, wo ich hier eine rothe Fischerkappe aus Neapel, dort ein römisches Taschenmesser, eine Korallenschnur oder einen silbernen Haarpfeil erblickte; dann sah ich meinen neuen Beschützer aufmerksam und von Grund aus wohlwollend an, seine weiße Weste, seine Manschetten, und erst, wenn er das Blatt umwandte, fuhr mein Blick wieder auf dasselbe, um es noch einmal zu überfliegen, ehe das nächste erschien.	309:320	0:456
Manschette	 	1981	2	26120215_1981_11_28_01_411.tcf.xml-128-7	 	Schaffell, Leop -Muster, Kragen u. Manschetten, dkl -br, 1,5 TM, dazu pass Pelzkappe / Hut, 100,—. Tel. 6457081 (Smolk.), ab 17 Uhr Da -Laderiacfce. schw.	35:46	0:154
Manschette	 	1979	2	26120215_1979_02_07_01_056.tcf.xml-5-18	 	Reizvoll sind auch Halsbänder mit ungleich hohen Rändern und plastisch aufgesetzten Blüten, eine Minitasche aus Netzwerk sowie Manschetten und eine Vielzahl höchst origineller Gegenstände, die ganz gewiß den Zuspruch vieler Frauen linden.	127:138	0:238
Manschette	 	1879	1	buechner_werke_1879-4602-8	 	Wo ist die Moral, wo sind die Manschetten?	30:41	0:42
Manschette	 	1844	1	droste_gedichte_1844-1197-26	 	Schrieb, schrieb, daß die Feder knirrt' und bog, Lang lange schlängelnde Kette, Und sachte über den Marmor zog Und schleifte sich die Manschette.	134:144	0:145
Manschette	 	1982	2	26120215_1982_02_11_01_039.tcf.xml-51-4	 	Er hat keine „Manschetten\" davor.	14:25	0:33
Manschette	 	1962	2	2532889X_1962-06-28_01_134.tcf.xml-12-24	 	Eine Richtung ist immer blockiert, irgend etwas fehlt, irgend etwas war anders, als die Ampeln dunkel blieben und seine in weißen Manschetten steckenden Arme über Stopp und Vorfahrt entschieden.	130:141	0:194
Manschette	 	1869	1	brehm_thierleben06_1869-7100-18	 	Jrgend einen Vortheil, einen Nutzen aus dieser Zugabe zu erkennen, dürfte schwer halten; diese kleine Manschette an der Wurzel der Hinterflügel wird für sie ein Schmuck, wie bei anderen das Schwänzchen.	102:112	0:202
Manschette	 	1973	2	26120215_1973_12_23_01_420.tcf.xml-71-3	 	1500.-Mürz-Manschetten knöpfe, Küchen-Anbaumöbel, Abwaschtisdie. bis 50, m. Schacht u. Prism.	11:22	0:93
Manschette	 	1970	2	26120215_1970_12_13_01_413.tcf.xml-84-15	 	Import-Nylon-Persia-5?64 BZ-Pavillon. 108 Ber in nermantel (schwarz) mit Bisam-Kragen und Manschetten (Größe 44), 900,-M, Gr. Bücherschrank kft.	90:101	0:144
Manschette	 	1840	1	gutzkow_boerne_1840-1123-13	 	Sie sind aus alter Zeit überliefert, haben wohl Zopf und Perücke, Manschetten und seidnen Rock abgelegt, wiederholen aber immer noch ihre alten Abentheuer vom Jahre 1790; selbst der Dialog hat sich wenig verändert.	66:77	0:214
