lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
Naturschönheit	 	1847	1	vischer_aesthetik0201_1847-171-27	 	Wir gehen einen andern Weg und dieser bringt es mit sich, daß der §. bereits auf das weitere System hinausweist, darauf nämlich, daß die Naturschönheit bestimmt ist, sich in die Phantasie und Kunst aufzuheben.	137:151	0:209
Naturschönheit	 	1847	1	vischer_aesthetik0201_1847-155-3	 	Daß nun die Naturschönheit als eine schlechthin (so scheint es wenigstens vorerst) vorgefundene, unmittelbare und in dem doppelten Sinn des §. objective Form der realen Existenz des Schönen zuerst zu setzen sei, sollte selbst von denjenigen zugegeben sein, welche die Welt aus dem Theismus construiren; denn die Wendung steht ihnen immer noch frei, daß der göttliche Verstand und Wille beschloßen habe, der geistigen Schöpfung die natürliche zur Voraussetzung zu geben, und ebenso, in der Sphäre der Schönheit, dem menschlichen Künstlergeiste die Naturschönheit als seine Vorlage voranzuschicken.	12:26	0:596
Naturschönheit	 	1984	2	2532889X_1984-08-04_01_073.tcf.xml-11-19	 	Diese heimatgeschichtliche Gesprächsrunde macht — auch an Hand literarischer Texte — mit der Entwicklung von Grünheide sowie mit seinen Naturschönheiten bekannt.	136:152	0:161
Naturschönheit	 	1990	2	26120215_1990_10_26_01_240.tcf.xml-5-15	 	Auch wenn sie an der Ausstellung nicht spurlos vorbeigegangen ist, so stehen zwischen den Naturschönheiten Überreste einer geborstenen Mauer.	90:106	0:141
Naturschönheit	 	1847	1	vischer_aesthetik0201_1847-738-57	 	Uebrigens versteht sich, daß in einem solchen gegebenen Ganzen allerdings Producte der Technik, Kleider, Pferdezeug, Fahnen, Mauerverkleidungen mit dem Licht der Sonne, des Feuers, den Farben der Erde, der Pflanzen-, der Thierwelt und dem Colorit des menschlichen Leibes zusammenwirken können, ohne daß wir darum das Gebiet der Naturschönheit verlassen, denn jene Producte des Kunstfleißes sind in diesem Zusammenhang, wiewohl an sich beabsichtigt, zufällige Schönheit.	328:342	0:469
Naturschönheit	 	1848	1	vischer_aesthetik0202_1848-612-14	 	Der Genius geht, wie im folgenden §. wieder aufzufassen ist, von der Naturschönheit aus.	69:83	0:88
Naturschönheit	 	1969	2	2532889X_1969-10-15_01_122.tcf.xml-6-9	 	Wanderleiter werden auf diesen Routen viel wissenswertes über die Naturschönheiten ¦ der Landschaft berichten.	66:82	0:110
Naturschönheit	 	1947	2	2532889X_1947-01-11_01_055.tcf.xml-16-11	 	Wenn man berücksichtigt, daß die ausgezeichnete Lage, die mit Naturschönheiten gesegnete Umgebung viel zur Heilung beitragen, dann bewahrheitet eich die Auffassung des Leiters der Klinik, daß die Psyche noch immer der größte Helfer des Arztes ist.	62:78	0:247
Naturschönheit	 	1974	2	26120215_1974_01_01_01_142.tcf.xml-14-15	 	Sie bleibt gleichzeitig ein Paradies für Reisende und Erholungsuchende, denn auch die Erschließung der Naturschönheiten macht gute Fortschritte.	103:119	0:144
Naturschönheit	 	1980	2	2532889X_1980-10-06_01_043.tcf.xml-15-19	 	Die Leitungen dieser Erholungsstätten geben viele Anregungen, so zur Freizeitgestaltung, für Stadtrundfahrten, Sportwetucampfe, Hinweise auf Naturschönheiten und anderes mehr.	141:157	0:175
