identifier1	identifier2	annotator	judgment	comment	lemma
keller_sinngedicht_1882-2383-15	2532889X_1967-10-15_01_115.tcf.xml-26-6	stekade	4	 	Unentschlossenheit
2532889X_1989-11-11_01_069.tcf.xml-9-3	laube_europa0201_1837-415-7	stekade	4	 	Unentschlossenheit
beyer_poetik02_1883-10739-7	francois_reckenburgerin02_1871-1658-21	stekade	4	 	Unentschlossenheit
2532889X_1949-12-09_01_034.tcf.xml-258-5	26120215_1983_07_08_01_184.tcf.xml-27-25	stekade	4	 	Unentschlossenheit
beyer_poetik02_1883-10219-33	2532889X_1988-07-26_01_109.tcf.xml-26-30	stekade	4	 	Unentschlossenheit
26120215_1953_05_06_01_160.tcf.xml-3-7	2532889X_1954-07-14_01_044.tcf.xml-22-24	stekade	4	 	Unentschlossenheit
nn_nrhz066b_1848-240-24	2532889X_1959-04-28_01_041.tcf.xml-78-2	stekade	0	 	Unentschlossenheit
26120215_1983_07_08_01_184.tcf.xml-27-25	26120215_1983_09_03_01_546.tcf.xml-31-5	stekade	4	 	Unentschlossenheit
2532889X_1959-04-28_01_041.tcf.xml-78-2	bismarck_erinnerungen02_1898-1145-23	stekade	0	 	Unentschlossenheit
26120215_1953_05_06_01_160.tcf.xml-3-7	bismarck_erinnerungen01_1898-2841-9	stekade	4	 	Unentschlossenheit
2532889X_1951-02-09_01_066.tcf.xml-45-51	keller_sinngedicht_1882-2383-15	stekade	4	 	Unentschlossenheit
2532889X_1978-04-08_01_325.tcf.xml-13-8	nn_nrhz066b_1848-240-24	stekade	4	 	Unentschlossenheit
26120215_1983_07_08_01_184.tcf.xml-27-25	26120215_1961_10_25_01_086.tcf.xml-26-0	stekade	4	 	Unentschlossenheit
alexis_ruhe04_1852-469-3	2532889X_1960-08-09_01_068.tcf.xml-44-15	stekade	4	 	Unentschlossenheit
gutzkow_zeitgenossen01_1842-348-30	2532889X_1967-10-15_01_115.tcf.xml-26-6	stekade	4	 	Unentschlossenheit
2532889X_1949-12-09_01_034.tcf.xml-258-5	2532889X_1949-05-19_01_052.tcf.xml-77-2	stekade	4	 	Unentschlossenheit
26120215_1983_07_08_01_184.tcf.xml-27-25	2532889X_1978-04-08_01_325.tcf.xml-13-8	stekade	4	 	Unentschlossenheit
nn_nrhz263_1849-216-8	2532889X_1947-05-17_01_021.tcf.xml-28-28	stekade	4	 	Unentschlossenheit
2532889X_1983-02-05_01_213.tcf.xml-50-6	2532889X_1965-09-02_01_144.tcf.xml-41-18	stekade	4	 	Unentschlossenheit
lorinser_branntweinpest_1845-524-64	2532889X_1978-11-28_01_188.tcf.xml-4-12	stekade	4	 	Unentschlossenheit
bismarck_erinnerungen02_1898-1145-23	2532889X_1949-05-19_01_052.tcf.xml-77-2	stekade	4	 	Unentschlossenheit
