identifier1	identifier2	annotator	judgment	comment	lemma
hug_familie_1896-2798-19	schubin_etiquette_1887-330-13	stekade	0	 	verbauen
2532889X_1959-03-07_01_088.tcf.xml-43-6	26120215_1952_11_05_01_023.tcf.xml-7-2	stekade	0	 	verbauen
2532889X_1990-08-06_01_144.tcf.xml-54-17	patzig_msgermfol841842_1828-367-4	stekade	1	 	verbauen
hug_familie_1896-2798-19	uhland_gedichte_1815-1755-4	stekade	0	 	verbauen
2532889X_1965-02-02_01_005.tcf.xml-1-6	26120215_1961_07_24_01_040.tcf.xml-15-10	stekade	3	 	verbauen
arnimb_guenderode01_1840-1081-50	26120215_1989_12_20_01_148.tcf.xml-16-6	stekade	3	 	verbauen
26120215_1981_05_30_01_028.tcf.xml-133-13	nn_nrhz231b_1849-209-18	stekade	1	 	verbauen
seume_syrakus_1803-3164-12	jhering_recht0201_1854-1570-10	stekade	3	 	verbauen
schubin_etiquette_1887-330-13	jhering_recht0201_1854-1168-54	stekade	2	 	verbauen
2532889X_1952-06-21_01_035.tcf.xml-14-29	2532889X_1959-03-07_01_088.tcf.xml-43-6	stekade	0	 	verbauen
hug_familie_1896-2798-19	2532889X_1959-03-07_01_088.tcf.xml-43-6	stekade	0	 	verbauen
2532889X_1956-10-07_01_095.tcf.xml-47-7	raabe_akten_1896-1533-18	stekade	2	 	verbauen
26120215_1977_09_20_01_289.tcf.xml-14-9	poelitz_poetik_1825-3203-5	stekade	3	 	verbauen
jhering_recht0201_1854-1570-10	patzig_msgermfol841842_1828-367-4	stekade	1	 	verbauen
2532889X_1982-02-10_01_107.tcf.xml-3-27	2532889X_1959-03-07_01_088.tcf.xml-43-6	stekade	0	 	verbauen
uhland_gedichte_1815-1755-4	arnimb_guenderode01_1840-1081-50	stekade	0	 	verbauen
jhering_recht0201_1854-1570-10	2532889X_1989-03-18_01_095.tcf.xml-6-17	stekade	1	 	verbauen
2532889X_1958-12-05_01_015.tcf.xml-49-83	poelitz_poetik_1825-3203-5	stekade	1	 	verbauen
varnhagen_denkwuerdigkeiten02_1837-241-26	jhering_recht0201_1854-1168-54	stekade	1	 	verbauen
varnhagen_denkwuerdigkeiten03_1838-920-11	uhland_gedichte_1815-1755-4	stekade	2	 	verbauen
2532889X_1952-06-21_01_035.tcf.xml-14-29	beck_eisen02_1895-16476-4	stekade	2	 	verbauen
2532889X_1987-12-21_01_096.tcf.xml-6-1	jhering_recht0201_1854-1570-10	stekade	1	 	verbauen
2532889X_1965-02-02_01_005.tcf.xml-1-6	26120215_1967_01_19_01_117.tcf.xml-11-26	stekade	3	 	verbauen
varnhagen_denkwuerdigkeiten03_1838-920-11	jhering_recht0201_1854-1219-19	stekade	2	 	verbauen
beck_eisen02_1895-16476-4	2532889X_1967-10-10_01_120.tcf.xml-11-18	stekade	1	 	verbauen
jhering_recht0201_1854-1168-54	arnimb_guenderode01_1840-1081-50	stekade	0	 	verbauen
2532889X_1987-12-21_01_096.tcf.xml-6-1	burckhardt_cicerone_1855-1925-3	stekade	0	 	verbauen
hug_familie_1896-2797-17	2532889X_1962-10-28_01_043.tcf.xml-51-55	stekade	1	 	verbauen
schubin_etiquette_1887-330-13	2532889X_1982-02-10_01_107.tcf.xml-3-27	stekade	2	 	verbauen
2532889X_1959-12-07_01_052.tcf.xml-9-36	hug_familie_1896-2798-19	stekade	0	 	verbauen
26120215_1989_12_20_01_148.tcf.xml-16-6	uhland_gedichte_1815-1755-4	stekade	1	 	verbauen
hug_familie_1896-2798-19	burckhardt_cicerone_1855-3217-6	stekade	0	 	verbauen
