identifier1	identifier2	annotator	judgment	comment	lemma
2532889X_1958-10-16_01_008.tcf.xml-131-6	goethe_faust01_1808-2465-8	FWetzel	3	 	vergönnen
2532889X_1955-01-05_01_048.tcf.xml-2-28	mosen_galerie_1844-1011-20	FWetzel	4	 	vergönnen
2532889X_1958-10-16_01_008.tcf.xml-131-6	pueckler_briefe01_1830-665-33	FWetzel	4	 	vergönnen
lewald_jenny02_1843-1324-20	2532889X_1953-07-02_01_005.tcf.xml-10-18	FWetzel	3	 	vergönnen
gottschalck_sagen_1814-602-24	2532889X_1953-07-02_01_005.tcf.xml-10-18	FWetzel	4	 	vergönnen
2532889X_1988-11-07_01_208.tcf.xml-4-39	26120215_1963_12_04_01_102.tcf.xml-5-31	FWetzel	4	 	vergönnen
tieck_phantasus02_1812-6582-11	pueckler_briefe03_1831-1786-20	FWetzel	3	 	vergönnen
26120215_1963_12_04_01_102.tcf.xml-5-31	26120215_1987_06_02_01_130.tcf.xml-6-13	FWetzel	4	 	vergönnen
2532889X_1954-11-12_01_024.tcf.xml-5-11	nn_nrhz202_1849-171-72	FWetzel	3	 	vergönnen
kotzebue_schutzgeist_1814-2574-2	2532889X_1970-03-15_01_009.tcf.xml-9-3	FWetzel	4	 	vergönnen
26120215_1960_02_05_01_389.tcf.xml-22-15	kleist_fehrbellin_1822-2366-0	FWetzel	3	 	vergönnen
2532889X_1979-04-26_01_074.tcf.xml-120-7	26120215_1987_06_02_01_130.tcf.xml-6-13	FWetzel	4	 	vergönnen
2532889X_1963-10-25_01_090.tcf.xml-11-9	2532889X_1979-04-26_01_074.tcf.xml-120-7	FWetzel	4	 	vergönnen
26120215_1960_06_22_01_219.tcf.xml-36-6	2532889X_1958-06-01_01_028.tcf.xml-10-61	FWetzel	4	 	vergönnen
pueckler_briefe01_1830-665-33	nn_nrhz202_1849-171-72	FWetzel	3	 	vergönnen
2532889X_1969-12-23_01_091.tcf.xml-32-9	2532889X_1963-10-25_01_090.tcf.xml-11-9	FWetzel	3	 	vergönnen
2532889X_1958-06-01_01_028.tcf.xml-10-61	bechstein_dunkelgraf_1854-3913-33	FWetzel	3	 	vergönnen
pueckler_briefe01_1830-665-33	platen_oedipus_1829-1002-48	FWetzel	0	 	vergönnen
2532889X_1947-01-14_01_157.tcf.xml-14-6	26120215_1963_12_04_01_102.tcf.xml-5-31	FWetzel	3	 	vergönnen
2532889X_1965-04-14_01_230.tcf.xml-5-4	otto_schloss02_1846-411-28	FWetzel	3	 	vergönnen
2532889X_1973-08-13_01_158.tcf.xml-20-6	2532889X_1963-07-20_01_084.tcf.xml-14-7	FWetzel	4	 	vergönnen
2532889X_1963-10-25_01_090.tcf.xml-11-9	gottschalck_sagen_1814-602-24	FWetzel	3	 	vergönnen
2532889X_1953-07-02_01_005.tcf.xml-10-18	2532889X_1947-01-14_01_157.tcf.xml-14-6	FWetzel	4	 	vergönnen
26120215_1960_06_22_01_219.tcf.xml-36-6	lewald_jenny02_1843-1324-20	FWetzel	3	 	vergönnen
2532889X_1970-03-15_01_009.tcf.xml-9-3	kleist_fehrbellin_1822-2366-0	FWetzel	3	 	vergönnen
lewald_jenny02_1843-1324-20	26120215_1960_02_05_01_389.tcf.xml-22-15	FWetzel	3	 	vergönnen
bechstein_dunkelgraf_1854-3045-19	schwab_sagen02_1839-2553-20	FWetzel	4	 	vergönnen
26120215_1963_12_04_01_102.tcf.xml-5-31	lewald_jenny02_1843-1324-20	FWetzel	3	 	vergönnen
bechstein_dunkelgraf_1854-3045-19	kleist_fehrbellin_1822-2366-0	FWetzel	3	 	vergönnen
mosen_galerie_1844-1011-20	2532889X_1958-10-16_01_008.tcf.xml-131-6	FWetzel	3	 	vergönnen
nn_nrhz202_1849-171-72	brehm_thierleben04_1867-7520-5	FWetzel	3	 	vergönnen
bakunin_aufruf_1848-155-53	2532889X_1958-10-16_01_008.tcf.xml-131-6	FWetzel	3	 	vergönnen
tieck_phantasus02_1812-6582-11	2532889X_1973-08-13_01_158.tcf.xml-20-6	FWetzel	4	 	vergönnen
2532889X_1947-01-14_01_157.tcf.xml-14-6	2532889X_1954-11-12_01_024.tcf.xml-5-11	FWetzel	4	 	vergönnen
schwab_sagen02_1839-2553-20	kleist_fehrbellin_1822-2366-0	FWetzel	3	 	vergönnen
26120215_1962_07_11_01_272.tcf.xml-3-58	2532889X_1973-08-13_01_158.tcf.xml-20-6	FWetzel	0	 	vergönnen
2532889X_1979-04-26_01_074.tcf.xml-120-7	2532889X_1958-06-01_01_028.tcf.xml-10-61	FWetzel	4	 	vergönnen
bechstein_dunkelgraf_1854-3045-19	2532889X_1979-04-26_01_074.tcf.xml-120-7	FWetzel	4	 	vergönnen
