identifier1	identifier2	annotator	judgment	comment	lemma
2532889X_1983-04-15_01_020.tcf.xml-114-23	26120215_1949_08_26_01_007.tcf.xml-16-27	Zori	4	 	weitgreifend
herbart_psychologie02_1825-4562-27	2532889X_1970-12-15_01_068.tcf.xml-20-13	Zori	4	 	weitgreifend
2532889X_1979-01-27_01_161.tcf.xml-88-2	gerland_naturvoelker_1868-282-54	Zori	4	 	weitgreifend
2532889X_1971-11-22_01_206.tcf.xml-48-25	26120215_1968_04_11_01_300.tcf.xml-13-18	Zori	4	 	weitgreifend
2532889X_1964-05-03_01_017.tcf.xml-34-17	26120215_1949_08_26_01_007.tcf.xml-16-27	Zori	4	 	weitgreifend
26120215_1986_09_04_01_084.tcf.xml-37-24	zoeckler_lehre_1879-1189-8	Zori	4	 	weitgreifend
parthey_jugenderinnerungen01_1871-2198-23	ludwig_physiologie01_1852-5054-18	Zori	4	 	weitgreifend
2532889X_1986-09-12_01_085.tcf.xml-5-14	2532889X_1982-09-04_01_421.tcf.xml-4-25	Zori	4	 	weitgreifend
treitschke_geschichte02_1882-3867-3	schmoller_kleingewerbe_1870-5987-17	Zori	4	 	weitgreifend
26120215_1946_06_22_01_047.tcf.xml-8-10	2532889X_1971-11-22_01_206.tcf.xml-48-25	Zori	4	 	weitgreifend
2532889X_1989-08-14_01_085.tcf.xml-4-30	schmoller_kleingewerbe_1870-5987-17	Zori	4	 	weitgreifend
burckhardt_cicerone_1855-10809-26	26120215_1968_04_11_01_300.tcf.xml-13-18	Zori	4	 	weitgreifend
2532889X_1958-09-23_01_057.tcf.xml-17-8	26120215_1969_02_01_01_030.tcf.xml-3-7	Zori	4	 	weitgreifend
koch_wettspiele_1894-48-1	2532889X_1971-11-22_01_206.tcf.xml-48-25	Zori	4	 	weitgreifend
ludwig_physiologie01_1852-5054-18	2532889X_1965-01-31_01_293.tcf.xml-4-20	Zori	4	 	weitgreifend
chamberlain_grundlagen02_1899-999-13	herbart_psychologie02_1825-4562-27	Zori	4	 	weitgreifend
2532889X_1958-09-23_01_057.tcf.xml-17-8	26120215_1958_02_20_01_174.tcf.xml-7-27	Zori	4	 	weitgreifend
2532889X_1953-06-04_01_009.tcf.xml-27-18	2532889X_1985-02-23_01_031.tcf.xml-53-3	Zori	4	 	weitgreifend
herbart_psychologie01_1824-1838-19	2532889X_1985-02-23_01_031.tcf.xml-53-3	Zori	4	 	weitgreifend
koch_wettspiele_1894-48-1	26120215_1949_08_26_01_007.tcf.xml-16-27	Zori	4	 	weitgreifend
zoeckler_lehre_1879-1189-8	parthey_jugenderinnerungen01_1871-2198-23	Zori	4	 	weitgreifend
26120215_1986_09_04_01_084.tcf.xml-37-24	zoeckler_lehre_1879-1098-12	Zori	4	 	weitgreifend
burckhardt_cicerone_1855-10809-26	26120215_1958_02_20_01_174.tcf.xml-7-27	Zori	4	 	weitgreifend
26120215_1969_02_15_01_176.tcf.xml-20-7	chamberlain_grundlagen02_1899-999-13	Zori	4	 	weitgreifend
2532889X_1982-09-04_01_421.tcf.xml-4-25	gerland_naturvoelker_1868-282-54	Zori	4	 	weitgreifend
treitschke_geschichte02_1882-3867-3	2532889X_1986-09-12_01_085.tcf.xml-5-14	Zori	4	 	weitgreifend
herbart_psychologie02_1825-4562-27	2532889X_1989-08-14_01_085.tcf.xml-4-30	Zori	4	 	weitgreifend
26120215_1968_04_11_01_300.tcf.xml-13-18	26120215_1969_02_01_01_030.tcf.xml-3-7	Zori	4	 	weitgreifend
gerland_naturvoelker_1868-282-54	schreber_kallipaedie_1858-3150-16	Zori	4	 	weitgreifend
rossmaessler_wald_1863-2780-11	koch_wettspiele_1894-48-1	Zori	4	 	weitgreifend
ranke_paepste01_1834-5018-8	treitschke_geschichte02_1882-3867-3	Zori	4	 	weitgreifend
2532889X_1982-05-07_01_092.tcf.xml-12-1	gerland_naturvoelker_1868-282-54	Zori	4	 	weitgreifend
2532889X_1965-01-31_01_293.tcf.xml-4-20	gerland_naturvoelker_1868-282-54	Zori	4	 	weitgreifend
hegel_logik0101_1812-2036-18	26120215_1969_02_01_01_030.tcf.xml-3-7	Zori	4	 	weitgreifend
2532889X_1953-06-04_01_009.tcf.xml-27-18	treitschke_geschichte02_1882-3867-3	Zori	4	 	weitgreifend
2532889X_1983-04-15_01_020.tcf.xml-114-23	2532889X_1982-09-04_01_421.tcf.xml-4-25	Zori	4	 	weitgreifend
2532889X_1971-06-27_01_040.tcf.xml-1-28	2532889X_1982-09-04_01_421.tcf.xml-4-25	Zori	4	 	weitgreifend
parthey_jugenderinnerungen01_1871-2198-23	koch_wettspiele_1894-48-1	Zori	4	 	weitgreifend
26120215_1969_02_01_01_030.tcf.xml-3-7	2532889X_1971-06-27_01_040.tcf.xml-1-28	Zori	4	 	weitgreifend
mohl_staatswissenschaften_1859-7396-5	herbart_psychologie02_1825-4562-27	Zori	4	 	weitgreifend
2532889X_1971-06-27_01_040.tcf.xml-1-28	2532889X_1965-01-31_01_293.tcf.xml-4-20	Zori	4	 	weitgreifend
rossmaessler_wald_1863-2780-11	2532889X_1982-05-07_01_092.tcf.xml-12-1	Zori	4	 	weitgreifend
ranke_reformation03_1840-7-11	2532889X_1979-01-27_01_161.tcf.xml-88-2	Zori	4	 	weitgreifend
2532889X_1970-12-15_01_068.tcf.xml-20-13	zoeckler_lehre_1879-1098-12	Zori	4	 	weitgreifend
treitschke_geschichte02_1882-3867-3	rossmaessler_wald_1863-2780-11	Zori	4	 	weitgreifend
berg_ostasien03_1873-2319-4	2532889X_1983-04-15_01_020.tcf.xml-114-23	Zori	4	 	weitgreifend
chamberlain_grundlagen02_1899-999-13	vischer_aesthetik030205_1857-1608-8	Zori	4	 	weitgreifend
chamberlain_grundlagen02_1899-999-13	mohl_staatswissenschaften_1859-7396-5	Zori	4	 	weitgreifend
schmoller_kleingewerbe_1870-5987-17	2532889X_1985-02-23_01_031.tcf.xml-53-3	Zori	4	 	weitgreifend
ranke_reformation03_1840-7-11	2532889X_1989-08-14_01_085.tcf.xml-4-30	Zori	4	 	weitgreifend
2532889X_1982-05-07_01_092.tcf.xml-12-1	2532889X_1986-09-12_01_085.tcf.xml-5-14	Zori	4	 	weitgreifend
2532889X_1986-09-12_01_085.tcf.xml-5-14	2532889X_1967-01-02_01_064.tcf.xml-12-16	Zori	4	 	weitgreifend
26120215_1969_02_01_01_030.tcf.xml-3-7	delbrueck_sprachforschung_1885-371-60	Zori	4	 	weitgreifend
parthey_jugenderinnerungen01_1871-2198-23	2532889X_1971-06-27_01_040.tcf.xml-1-28	Zori	4	 	weitgreifend
2532889X_1958-09-23_01_057.tcf.xml-17-8	2532889X_1986-09-12_01_085.tcf.xml-5-14	Zori	4	 	weitgreifend
mohl_staatswissenschaften_1859-7396-5	rossmaessler_wald_1863-2780-11	Zori	4	 	weitgreifend
chamberlain_grundlagen02_1899-999-13	2532889X_1967-01-02_01_064.tcf.xml-12-16	Zori	4	 	weitgreifend
koch_wettspiele_1894-48-1	2532889X_1965-01-31_01_293.tcf.xml-4-20	Zori	4	 	weitgreifend
ranke_paepste01_1834-5018-8	vischer_aesthetik030205_1857-1608-8	Zori	4	 	weitgreifend
26120215_1946_06_22_01_047.tcf.xml-8-10	26120215_1969_02_15_01_176.tcf.xml-20-7	Zori	4	 	weitgreifend
2532889X_1982-09-04_01_421.tcf.xml-4-25	mohl_staatswissenschaften_1859-7396-5	Zori	4	 	weitgreifend
26120215_1968_04_11_01_300.tcf.xml-13-18	2532889X_1953-06-04_01_009.tcf.xml-27-18	Zori	4	 	weitgreifend
2532889X_1965-01-31_01_293.tcf.xml-4-20	2532889X_1985-02-23_01_031.tcf.xml-53-3	Zori	4	 	weitgreifend
burckhardt_cicerone_1855-10809-26	berg_ostasien03_1873-2319-4	Zori	4	 	weitgreifend
26120215_1968_04_11_01_300.tcf.xml-13-18	2532889X_1982-09-04_01_421.tcf.xml-4-25	Zori	4	 	weitgreifend
2532889X_1953-06-04_01_009.tcf.xml-27-18	burckhardt_cicerone_1855-10809-26	Zori	4	 	weitgreifend
26120215_1969_02_01_01_030.tcf.xml-3-7	2532889X_1982-05-07_01_092.tcf.xml-12-1	Zori	4	 	weitgreifend
26120215_1969_02_15_01_176.tcf.xml-20-7	gerland_naturvoelker_1868-282-54	Zori	4	 	weitgreifend
treitschke_geschichte02_1882-3867-3	herbart_psychologie01_1824-1838-19	Zori	4	 	weitgreifend
26120215_1976_07_17_01_395.tcf.xml-42-7	26120215_1968_04_11_01_300.tcf.xml-13-18	Zori	4	 	weitgreifend
26120215_1949_08_26_01_007.tcf.xml-16-27	2532889X_1979-01-27_01_161.tcf.xml-88-2	Zori	4	 	weitgreifend
2532889X_1971-06-27_01_040.tcf.xml-1-28	26120215_1958_02_20_01_174.tcf.xml-7-27	Zori	4	 	weitgreifend
26120215_1958_02_20_01_174.tcf.xml-7-27	zoeckler_lehre_1879-1189-8	Zori	4	 	weitgreifend
26120215_1969_02_01_01_030.tcf.xml-3-7	2532889X_1966-06-25_01_196.tcf.xml-133-4	Zori	4	 	weitgreifend
mohl_staatswissenschaften_1859-7396-5	zoeckler_lehre_1879-1098-12	Zori	4	 	weitgreifend
2532889X_1979-01-27_01_161.tcf.xml-88-2	ranke_paepste01_1834-5018-8	Zori	4	 	weitgreifend
parthey_jugenderinnerungen01_1871-2198-23	26120215_1958_02_20_01_174.tcf.xml-7-27	Zori	4	 	weitgreifend
schreber_kallipaedie_1858-3150-16	2532889X_1989-08-14_01_085.tcf.xml-4-30	Zori	4	 	weitgreifend
2532889X_1958-09-23_01_057.tcf.xml-17-8	ranke_paepste01_1834-5018-8	Zori	4	 	weitgreifend
