identifier1	identifier2	annotator	judgment	comment	lemma
26120215_1987_12_24_01_063.tcf.xml-9-14	2532889X_1990-08-07_01_163.tcf.xml-17-1	Zori	4	 	Armenhaus
26120215_1989_12_18_01_027.tcf.xml-56-37	26120215_1987_12_24_01_063.tcf.xml-9-14	Zori	4	 	Armenhaus
2532889X_1990-07-20_01_051.tcf.xml-20-3	2532889X_1990-08-07_01_163.tcf.xml-17-1	Zori	4	 	Armenhaus
2532889X_1990-08-09_01_059.tcf.xml-14-14	2532889X_1990-08-07_01_163.tcf.xml-17-1	Zori	4	 	Armenhaus
2532889X_1978-12-19_01_168.tcf.xml-1-20	26120215_1987_12_24_01_063.tcf.xml-9-14	Zori	4	 	Armenhaus
2532889X_1985-12-19_01_032.tcf.xml-18-8	2532889X_1990-08-07_01_163.tcf.xml-17-1	Zori	4	 	Armenhaus
2532889X_1983-07-12_01_131.tcf.xml-3-12	26120215_1987_12_24_01_063.tcf.xml-9-14	Zori	4	 	Armenhaus
2532889X_1990-08-09_01_059.tcf.xml-14-14	2532889X_1990-08-07_01_163.tcf.xml-17-1	stekade	4	 	Armenhaus
26120215_1989_12_18_01_027.tcf.xml-56-37	26120215_1987_12_24_01_063.tcf.xml-9-14	stekade	3	 	Armenhaus
2532889X_1978-12-19_01_168.tcf.xml-1-20	26120215_1987_12_24_01_063.tcf.xml-9-14	stekade	3	 	Armenhaus
26120215_1987_12_24_01_063.tcf.xml-9-14	2532889X_1990-08-07_01_163.tcf.xml-17-1	stekade	3	 	Armenhaus
2532889X_1990-07-20_01_051.tcf.xml-20-3	2532889X_1990-08-07_01_163.tcf.xml-17-1	stekade	4	 	Armenhaus
2532889X_1985-12-19_01_032.tcf.xml-18-8	2532889X_1990-08-07_01_163.tcf.xml-17-1	stekade	3	 	Armenhaus
2532889X_1983-07-12_01_131.tcf.xml-3-12	26120215_1987_12_24_01_063.tcf.xml-9-14	stekade	3	 	Armenhaus
2532889X_1985-12-19_01_032.tcf.xml-18-8	2532889X_1990-08-07_01_163.tcf.xml-17-1	FWetzel	3	 	Armenhaus
2532889X_1990-07-20_01_051.tcf.xml-20-3	2532889X_1990-08-07_01_163.tcf.xml-17-1	FWetzel	4	 	Armenhaus
2532889X_1990-08-09_01_059.tcf.xml-14-14	2532889X_1990-08-07_01_163.tcf.xml-17-1	FWetzel	4	 	Armenhaus
26120215_1989_12_18_01_027.tcf.xml-56-37	26120215_1987_12_24_01_063.tcf.xml-9-14	FWetzel	4	 	Armenhaus
26120215_1987_12_24_01_063.tcf.xml-9-14	2532889X_1990-08-07_01_163.tcf.xml-17-1	FWetzel	4	 	Armenhaus
2532889X_1978-12-19_01_168.tcf.xml-1-20	26120215_1987_12_24_01_063.tcf.xml-9-14	FWetzel	4	 	Armenhaus
2532889X_1983-07-12_01_131.tcf.xml-3-12	26120215_1987_12_24_01_063.tcf.xml-9-14	FWetzel	4	 	Armenhaus
