lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
Behandlung	NN	1974	2	26120215_1974_12_02_01_160.tcf.xml-18-26	 	Unter vielen der 1109 Delegierten herrschte Enttäuschung darüber, daß auf der Konferenz fast zwei Tage lang über Organisationsfragen beraten und dadurch wertvolle Zeit für die Behandlung wichtiger politischer Probleme verloren wurde.	176:186	0:233
Behandlung	NN	1847	1	heckert_schulgesetzgebung_1847-3181-6	 	In genauester Uebereinstimmung mit dieser Disciplinar-Behandlung muß aber auch der Unterricht stehen, und das nämliche Ziel verfolgen.	54:64	0:134
Behandlung	NN	1988	2	2532889X_1988-07-16_01_202.tcf.xml-2-17	 	In diesem Internationalen Zentrum sollen künftig Fachkräfte der RGW-Staaten zur Entwicklung wirksamer Präparate für die Prophylaxe und Behandlung von Erbkrankheiten auf dem Wege der Gentechnologie und Immundiagnostik vereint werden.	135:145	0:232
Behandlung	NN	1830	1	mueller_kunst_1830-12071-40	 	Doch wer über diesen Gegenstand ordentlich richten will, muß durchaus das in der ersten Auflage der Epochen, Abh. ii. Anm. S. 82., dann die Recension in den Wiener Jahrb. xxxix. S. 133, u. nun die neue Behandlung S. 278. im Zusammenhang nachlesen; er wird finden, daß sich wirklich in dieser Manier eben so gut beweisen läßt, daß Tarquinius Superbus der fünfte König von Romulus war.	202:212	0:383
Behandlung	NN	1892	1	lehnert_seehaefen02_1892-8730-17	 	Die Portugiesen sind eben arm an Mitteln und waren immer arm an dem richtigen Verständnisse für die Behandlung und Förderung von Colonien.	100:110	0:138
Behandlung	NN	1961	2	26120215_1961_10_13_01_092.tcf.xml-29-2	 	Diese grausame Behandlung führte schließlich dazu, daß der Widerstand gegen die „Apartheid\" immer mehr wuchs.	15:25	0:109
Behandlung	NN	1964	2	26120215_1964_09_16_01_058.tcf.xml-10-17	 	Der Bruch bewegt sich im zulässigen Rahmen, da die Kolleßen durch den Wettbewerb materiell an pfleglicher Behandlung interessiert sind.	106:116	0:135
Behandlung	NN	1973	2	2532889X_1973-02-24_01_036.tcf.xml-11-8	 	Er tagt jährlich einmal und hat für die Behandlung spezieller Fragen Komitees für, Rohstoffprobleme, für Industrieerzeugnisse, für Schiffahrt, für unsichtbaren Handel und Finanzen sowie ein Spezialkomitee für Präferenzen gebildet, die alle zwei Jahre zusammentreten sollen.	40:50	0:273
Behandlung	NN	1987	2	26120215_1987_03_28_01_465.tcf.xml-2-10	 	42000 Patienten erhalten auf 18 Stationen die zur Heilung notige Behandlung und Betreuung.	65:75	0:90
Behandlung	NN	1820	1	carus_gynaekologie01_1820-3154-2	 	Eine ärztliche Behandlung kann bey diesen Verbildungen gewöhnlich, wenn sie eine beträchtliche Entwicklung erreicht haben, nur auf palliative Weise, durch Milderung der von dem Drucke derselben veranlaßten Beschwerden, Statt finden; die radicale Heilung würde nur durch Exstirpation möglich werden, welche, wenn sie auch allerdings in andern Fällen einigemal ausgeführt worden ist, doch hier, wo bey weiter ausgebildetem Uebel gewöhnlich schon die Reproduction des gesammten Körpers darnieder liegt, nicht wohl mit Glück unternommen werden dürfte.	15:25	0:547
