identifier1	identifier2	annotator	judgment	comment	lemma
reil_curmethode_1803-1433-23	2532889X_1976-10-19_01_219.tcf.xml-6-10	stekade	1	 	Dynamik
26120215_1948_06_22_01_031.tcf.xml-40-20	2532889X_1976-10-19_01_219.tcf.xml-6-10	stekade	1	 	Dynamik
26120215_1983_07_23_01_130.tcf.xml-23-18	2532889X_1976-10-19_01_219.tcf.xml-6-10	stekade	1	 	Dynamik
2532889X_1990-06-14_01_105.tcf.xml-18-11	2532889X_1976-10-19_01_219.tcf.xml-6-10	stekade	1	 	Dynamik
26120215_1983_07_23_01_130.tcf.xml-23-18	2532889X_1976-10-19_01_219.tcf.xml-6-10	FWetzel	1	 	Dynamik
2532889X_1990-06-14_01_105.tcf.xml-18-11	2532889X_1976-10-19_01_219.tcf.xml-6-10	FWetzel	1	 	Dynamik
reil_curmethode_1803-1433-23	2532889X_1976-10-19_01_219.tcf.xml-6-10	FWetzel	1	 	Dynamik
26120215_1948_06_22_01_031.tcf.xml-40-20	2532889X_1976-10-19_01_219.tcf.xml-6-10	FWetzel	1	 	Dynamik
2532889X_1990-06-14_01_105.tcf.xml-18-11	2532889X_1976-10-19_01_219.tcf.xml-6-10	Zori	0	 	Dynamik
reil_curmethode_1803-1433-23	2532889X_1976-10-19_01_219.tcf.xml-6-10	Zori	0	 	Dynamik
26120215_1983_07_23_01_130.tcf.xml-23-18	2532889X_1976-10-19_01_219.tcf.xml-6-10	Zori	0	 	Dynamik
26120215_1948_06_22_01_031.tcf.xml-40-20	2532889X_1976-10-19_01_219.tcf.xml-6-10	Zori	0	 	Dynamik
