lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
Engpaß	NN	1841	1	moltke_zustaende_1841-3947-53	 	Nach einem sehr angestrengten Marsche erreichten wir ein befreundetes turkmanisches Aschiret oder Lager auf einer köstlich grünen Ebene mitten unter rauhen Felsgebirgen; am folgenden Tage ging es wegen Ermüdung der Pferde nur bis Gebenn, und den dritten Tag ritt ich mit Hauptmann L. bis Gögsyn voraus über die schwierigen und verrufenen Engpässe von Mariamtschil-Kalessi.	338:346	0:372
Engpaß	NN	1949	2	26120215_1949_12_08_01_136.tcf.xml-49-24	 	Da aber die Fertigstellung eines solchen Werkes bis zu 5 Jahren dauert, werden wir auch in den Wintermonaten der nächsten Jahre mit diesem Engpaß zu kämpfen haben und unseren Verbrauch sehr sorgfältig einteilen müssen.	139:145	0:218
Engpaß	NN	1962	2	2532889X_1962-06-07_01_007.tcf.xml-41-19	 	Diese Zusammenarbeit führte auch zur Vorarbeit für. die Bildung einer zentralen Fertigungsstätte für elektroerosive Metallbearbeitung, wodurch der Engpaß Werkzeugkapazität in der örtlichen Industrie mit behoben-werden kann.	147:153	0:223
Engpaß	NN	1967	2	26120215_1967_10_20_01_026.tcf.xml-13-13	 	Dem dienen z. B. die Spionage über westliche Handelspartner der DDR, über Engpässe in bestimmten Wirtschaftszweigen, über die Reisekader der DDR und über die Handelsvertreiwg « v.^ BW|öm Ausland. Jr	74:82	0:198
Engpaß	NN	1966	2	26120215_1966_07_28_01_066.tcf.xml-21-16	 	Ungarn baut für uns seit vorigem Jahr verschiedene Erzeugnisse der Autoelektrik, bei denen wir einen Engpaß haben.	101:107	0:114
Engpaß	NN	1981	2	2532889X_1981-04-04_01_058.tcf.xml-5-12	 	Ein wichtiger Schritt dazu ist die Rationalisierung der Kleinmechanik, einem bisherigen Engpaß des Werkes.	88:94	0:106
Engpaß	NN	1958	2	2532889X_1958-07-25_01_035.tcf.xml-90-18	 	Genossin Wilde sprach von der Arbeit der FDJ-Brigade im Zentralen Vorbetrieb III. die gerade eingesetzt ist, einen Engpaß in der Spritzerei zu überwinden.	115:121	0:154
Engpaß	NN	1842	1	gutzkow_zeitgenossen01_1842-1480-35	 	Wenn in Europa keine historische Entwicklung gewisser Fragen möglich seyn kann, ohne daß dieselbe entweder eine alte darüber festgestellte Autorität bereits umgestoßen hat oder noch umstoßen wird, wenn die Revolution für Europa ein Engpaß ist, durch welchen einige Thatsachen, einige Völker bereits durchgegangen, und wo andere noch an der Pforte sind, so hat Amerika auch diese Nothwendigkeit schon überstanden.	232:238	0:412
Engpaß	NN	1860	1	humboldt_aequinoktial04_1859-1451-6	 	Nordwärts von den Katarakten, am Engpaß beim Baraguan, scheint es ähnliche mit Knochen gefüllte Höhlen zu geben wie die oben beschriebenen.	33:39	0:139
Engpaß	NN	1888	1	justi_velazquez02_1888-6324-22	 	Dann verliess man die Wüste der altcastilischen Hochebene, und trat nach Passirung des Felsspalts von Pancorbo, eines fünfzig Fuss breiten Engpasses, in das Land der Basken.	139:148	0:173
Engpaß	NN	1955	2	2532889X_1955-11-25_01_010.tcf.xml-23-12	 	So ist es dem VEB „Fortschritt\" gelungen, einen bedeutenden Engpaß zu überwinden und 54000 DM jährlich einzusparen, indem er mit einem Investitionskredit zwei Staffiermaschinen anschaffte und einsetzte.	60:66	0:202
Engpaß	NN	1895	1	freud_hysterie_1895-3853-35	 	Stösst die Bewältigung dieser einen pathogenen Erinnerung auf Schwierigkeiten, wie z. B. wenn der Kranke mit dem Widerstande gegen sie nicht nachlässt, wenn er sie verdrängen oder verstümmeln will, so ist der Engpass gleichsam verlegt; die Arbeit stockt, es kann nichts anderes kommen, und die eine im Durchbruch befindliche Erinnerung bleibt vor dem Kranken stehen, bis er sie in die Weite des Ich ’s aufgenommen hat.	209:216	0:418
Engpaß	NN	1860	1	humboldt_aequinoktial03_1859-918-4	 	Es ist eine Art Engpaß, der bis zum Einfluß des Rio Suapure reicht.	16:22	0:67
Engpaß	NN	1950	2	26120215_1950_03_31_01_313.tcf.xml-13-19	 	Ich bin der Meinung, daß hier Abhilfe dringend Not tut, denn gerade Kraftwagenersatzteile sind heute noch ein Engpaß unserer Industrie und schwer zu beschaffen.	110:116	0:160
Engpaß	NN	1972	2	2532889X_1972-04-14_01_342.tcf.xml-7-9	 	Auf der einen Seite ergeben sich da und dort Engpässe in der Materialversorgung, weil die Baustoffindustrie noch nicht richtig mitmarschiert.	45:53	0:141
Engpaß	NN	1860	1	humboldt_aequinoktial04_1859-2007-29	 	Nach einem langen Streit über die Verteidigung des Platzes und die Kanonenschußweite wollte die Regierung genau wissen, wie breit der Strom bei dem Punkte sei, welcher der Engpaß heißt, und wo ein Fels liegt (el Peñon), der bei Hochwasser ganz bedeckt wird.	172:178	0:257
Engpaß	NN	1975	2	2532889X_1975-07-23_01_184.tcf.xml-46-12	 	Der PKP-Generalsekretär drückte seine Überzeugung aus, daß der „gegenwärtige Engpaß auf, der revolutionären Straße in Portugal\" überwunden werden könne und „eine den Erfordernissen des Augenblicks entsprechende Regierung unter Ministerpräsident General Goncalves\" gebildet werde.	77:83	0:279
Engpaß	NN	1833	1	droysen_alexander_1833-1050-6	 	Diese Landschaft erstreckt sich von den Engpässen oberhalb Telmissus und dem darüber bis zum Taurus liegenden Lande, bei Isinda vorüber bis Sagalassus und Apamea.	40:49	0:162
Engpaß	NN	1869	1	brehm_thierleben05_1869-4422-6	 	Gar nicht selten sah ich in Engpässen und belebten Schwimmstraßen der Fische sechs bis acht Schlangen, Würfel-und Vipernnattern friedlich nebeneinander, im Wasser stehen, um die Fische zu erwarten, während andere ruhig auf den am Ufer unterhalb des Wasserspiegels befindlichen Steinen lagerten, jedenfalls im Einverständniß mit den übrigen.	28:37	0:340
Engpaß	NN	1955	2	2532889X_1955-10-25_01_121.tcf.xml-58-16	 	Unsere Techniker versuchen immer wieder, neue, moderne Methoden anzuwenden und unsere Republik von bestimmten Engpässen	110:119	0:119
Engpaß	NN	1946	2	2532889X_1946-04-30_01_043.tcf.xml-23-6	 	Bis zum Herbst muß auch der Engpaß Transportmittel beseitigt sein.	28:34	0:66
Engpaß	NN	1978	2	26120215_1978_03_11_01_040.tcf.xml-35-10	 	Es ist ganz wichtig, daß ■ wir aus diesem Engpaß herauskommen.	42:48	0:62
