identifier1	identifier2	annotator	judgment	comment	lemma
brehm_thierleben06_1869-4882-12	paul_titan01_1800-832-144	stekade	3	 	Manschette
26120215_1974_02_10_01_419.tcf.xml-25-15	paul_titan01_1800-832-144	stekade	3	 	Manschette
paul_titan01_1800-832-144	26120215_1964_03_04_01_233.tcf.xml-5-33	stekade	1	 	Manschette
brehm_thierleben06_1869-4007-16	paul_titan01_1800-832-144	stekade	3	 	Manschette
paul_flegeljahre04_1805-946-53	paul_titan01_1800-832-144	stekade	1	 	Manschette
paul_titan01_1800-832-144	26120215_1964_03_04_01_233.tcf.xml-5-33	FWetzel	2	 	Manschette
brehm_thierleben06_1869-4882-12	paul_titan01_1800-832-144	FWetzel	3	 	Manschette
paul_flegeljahre04_1805-946-53	paul_titan01_1800-832-144	FWetzel	3	 	Manschette
brehm_thierleben06_1869-4007-16	paul_titan01_1800-832-144	FWetzel	2	 	Manschette
26120215_1974_02_10_01_419.tcf.xml-25-15	paul_titan01_1800-832-144	FWetzel	3	 	Manschette
paul_flegeljahre04_1805-946-53	paul_titan01_1800-832-144	Zori	4	 	Manschette
26120215_1974_02_10_01_419.tcf.xml-25-15	paul_titan01_1800-832-144	Zori	2	 	Manschette
paul_titan01_1800-832-144	26120215_1964_03_04_01_233.tcf.xml-5-33	Zori	0	 	Manschette
brehm_thierleben06_1869-4882-12	paul_titan01_1800-832-144	Zori	3	 	Manschette
brehm_thierleben06_1869-4007-16	paul_titan01_1800-832-144	Zori	3	 	Manschette
