identifier1	identifier2	annotator	judgment	comment	lemma
26120215_1972_11_09_01_081.tcf.xml-19-1	mommsen_roemische01_1854-1172-34	FWetzel	3	 	Rezeption
26120215_1969_06_24_01_119.tcf.xml-16-3	beseler_volksrecht_1843-500-21	FWetzel	2	 	Rezeption
26120215_1969_06_24_01_119.tcf.xml-16-3	lehnert_seehaefen01_1891-6867-4	FWetzel	2	 	Rezeption
2532889X_1974-10-24_01_115.tcf.xml-32-3	beseler_volksrecht_1843-500-21	FWetzel	2	 	Rezeption
26120215_1982_12_30_01_256.tcf.xml-9-26	brunner_rechtsgeschichte01_1887-522-2	FWetzel	2	 	Rezeption
26120215_1968_10_20_01_464.tcf.xml-5-6	heckert_schulgesetzgebung_1847-4199-10	FWetzel	2	 	Rezeption
brunner_rechtsgeschichte02_1892-12136-21	klueber_recht_1817-7578-42	FWetzel	3	 	Rezeption
brunner_rechtsgeschichte01_1887-321-9	heckert_schulgesetzgebung_1847-4105-20	FWetzel	2	 	Rezeption
26120215_1987_07_30_01_282.tcf.xml-8-9	brunner_rechtsgeschichte01_1887-522-2	FWetzel	2	 	Rezeption
26120215_1986_03_12_01_095.tcf.xml-15-5	lehnert_seehaefen01_1891-6867-4	FWetzel	2	 	Rezeption
26120215_1983_02_15_01_297.tcf.xml-51-18	beseler_volksrecht_1843-500-21	FWetzel	2	 	Rezeption
savigny_system01_1840-1760-36	2532889X_1977-09-22_01_029.tcf.xml-26-34	FWetzel	3	 	Rezeption
26120215_1972_11_09_01_081.tcf.xml-19-1	heckert_schulgesetzgebung_1847-4199-10	FWetzel	2	 	Rezeption
brunner_rechtsgeschichte01_1887-321-9	2532889X_1977-09-22_01_029.tcf.xml-26-34	FWetzel	3	 	Rezeption
2532889X_1977-09-22_01_029.tcf.xml-26-34	26120215_1971_02_11_01_265.tcf.xml-57-9	Zori	3	 	Rezeption
2532889X_1977-09-22_01_029.tcf.xml-26-34	savigny_system01_1840-914-10	Zori	4	 	Rezeption
wilamowitz_aristoteles02_1893-226-32	savigny_system01_1840-914-10	Zori	4	 	Rezeption
heckert_schulgesetzgebung_1847-4105-20	lehnert_seehaefen01_1891-6867-4	Zori	4	 	Rezeption
lehnert_seehaefen01_1891-6867-4	wilamowitz_aristoteles02_1893-226-32	Zori	3	 	Rezeption
2532889X_1977-09-22_01_029.tcf.xml-26-34	beseler_volksrecht_1843-500-21	Zori	3	 	Rezeption
mommsen_roemische01_1854-1172-34	26120215_1971_02_11_01_265.tcf.xml-57-9	Zori	3	 	Rezeption
2532889X_1977-09-22_01_029.tcf.xml-26-34	brunner_rechtsgeschichte01_1887-522-2	Zori	4	 	Rezeption
mommsen_roemische01_1854-1172-34	wilamowitz_aristoteles02_1893-226-32	Zori	3	 	Rezeption
klueber_recht_1817-7578-42	savigny_system01_1840-914-10	Zori	3	 	Rezeption
savigny_system01_1840-914-10	26120215_1971_02_11_01_265.tcf.xml-57-9	Zori	3	 	Rezeption
heckert_schulgesetzgebung_1847-4199-10	beseler_volksrecht_1843-500-21	Zori	3	 	Rezeption
klueber_recht_1817-7578-42	mommsen_roemische01_1854-1172-34	Zori	4	 	Rezeption
mommsen_roemische01_1854-1172-34	beseler_volksrecht_1843-500-21	Zori	3	 	Rezeption
heckert_schulgesetzgebung_1847-4105-20	brunner_rechtsgeschichte01_1887-522-2	Zori	4	 	Rezeption
heckert_schulgesetzgebung_1847-4105-20	savigny_system01_1840-914-10	Zori	3	 	Rezeption
beseler_volksrecht_1843-500-21	savigny_system01_1840-914-10	Zori	4	 	Rezeption
lehnert_seehaefen01_1891-6867-4	savigny_system01_1840-914-10	Zori	4	 	Rezeption
mommsen_roemische01_1854-1172-34	savigny_system01_1840-914-10	Zori	4	 	Rezeption
lehnert_seehaefen01_1891-6867-4	26120215_1971_02_11_01_265.tcf.xml-57-9	Zori	3	 	Rezeption
heckert_schulgesetzgebung_1847-4105-20	beseler_volksrecht_1843-500-21	Zori	3	 	Rezeption
klueber_recht_1817-7578-42	beseler_volksrecht_1843-500-21	Zori	3	 	Rezeption
