lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
Spielball	NN	1974	2	26120215_1974_04_28_01_426.tcf.xml-21-22	 	Die Pankower, bereits seit Wochen zum Abstieg verurteilt, deuteten schon in der Anfanasphase an. daß sie nicht wieder ein Spielball für die Union-Elf sein wollten, von der sie im ersten Durchsang mit 0:6 deklassiert worden waren.	122:131	0:229
Spielball	NN	1981	2	2532889X_1981-11-17_01_091.tcf.xml-2-42	 	Der Zug der 150000 Demonstranten, die am Wochenende in Wiesbaden gegen den weiteren Ausbau des Flughafens von Frankfurt (Main) als NATO-Militärbasis protestierten, dokumentierte ein weiteres Mal die Entschlossenheit der demokratischen Kräfte in der BRD, sich nicht zum Spielball dei Hochrustungsplaner machen zu lassen.	269:278	0:319
Spielball	NN	1857	1	vischer_poetik_1857-1666-4	 	Odysseus ist ein wahrer Spielball des Zufalls, der als Götterlaune doch nicht ethisch motivirt ist, und er bethätigt sich als Heldenseele, indem er sich hindurchringt.	24:33	0:167
Spielball	NN	1946	2	26120215_1946_11_27_01_028.tcf.xml-42-17	 	Diese Fragen bedürfen aber noch weiterer Beobachtungen, bevor wir auch die Lebensvorgange zu einem so gefügigen Spielball kosmischer Glutstürme herablassen,	112:121	0:156
Spielball	NN	1875	1	bluntschli_staatslehre_1875-4510-19	 	Mit Recht erscheint den heutigen Menschen eine Politik verächtlich und hassenswerth, welche die Wohlfahrt der Privaten als einen Spielball behandelt, der je nach der Laune der statlichen Gewalthaber hin-und hergeschleudert oder gelegentlich fallen und liegen gelassen wird.	129:138	0:273
Spielball	NN	1878	1	liebknecht_frage_1878-629-25	 	Dann wird auch der Tag der Freiheit und eine Aera menschenwürdigen Daseins für jene unglücklichen Völkerschaften des Ostens anbrechen, die seit anderthalb Jahrhunderten der Spielball einer herz-und gewissenlosen Diplomatie sind.	173:182	0:228
Spielball	NN	1864	1	ebers_koenigstochter02_1864-2714-26	 	Hier stand der Mensch vor dem Menschen, hier vergaß der stolze Despot, daß er mit einem Wesen rede, dessen Leben oder Tod ein Spielball seiner Launen sei.	126:135	0:154
Spielball	NN	1956	2	2532889X_1956-08-17_01_045.tcf.xml-92-3	 	Leider sind wir Spielbälle einer Wirklichkeit, deren Gesetze uns verhüllt bleiben und der wir eine Willkür nachsagen möchten, um leichter mit ihr fertig zu werden.	16:26	0:163
Spielball	NN	1980	2	2532889X_1980-02-01_01_010.tcf.xml-4-57	 	Auf einer Veranstaltung seiner Partei betonte er,, daß „die Aschenbahn den Sportlern, als Wettkampfstätte erhalten bleiben muß\". Wer den Versuch unternehme, „den Sportlern vorzuschreiben, wohin und wann sie zu Wettkämpfen fahren dürfen und wann nicht, der leistet dazu Vorschub, daß innerhalb kurzer Zeit die Sportler zum Spielball der Politiker werden	322:331	0:352
Spielball	NN	1840	1	arnimb_guenderode02_1840-1039-43	 	— Dem Clausner hast Du geschrieben Du treibst Mathematik mit einem alten Juden, und vielleicht werdest Du auch Hebräisch lernen, Du habest schon einen Theil vom ABC inne — mit der Geschichte treibst Du Dich herum wie ein Kätzchen mit einem Spielball der am Faden hängt; Du wirfst ihn hin und her so lang es Dich ergötzt und dann läßt Du ihn müßig liegen, was Du über Musik vorbringst ist lauter Larifari, meinst Du wenn etwas schlecht gelingt und sich gegen den Geist sträubt, das sei ein Zeichen daß man es aufgeben solle? —	240:249	0:525
Spielball	NN	1973	2	26120215_1973_09_23_01_492.tcf.xml-52-7	 	Diese Kraft ließ. sich nicht als Spielball der Währungsverbrecher mißbrauchen.	33:42	0:78
Spielball	NN	1975	2	2532889X_1975-11-22_01_254.tcf.xml-17-22	 	Gotsche schildert im Werdegang Valtens den Weg eines Menschen aus dem Volke, der es nach bitteren Erfahrungen nicht mehr hinnimmt, Spielball chaotischer Verhältnisse zu sein, sich zu wehren beginnt und ein anerkannter Volksführer wird.	131:140	0:235
Spielball	NN	1960	2	2532889X_1960-01-28_01_039.tcf.xml-12-11	 	Erstmals in der deutschen Geschichte wird die Jugend nicht mehr als Spielball der Politik mißbraucht.	68:77	0:101
Spielball	NN	1897	1	lasswitz_planeten01_1897-562-25	 	Nicht mehr von der Erde aus erkennbar schien das seltsame Geschoß einsam und verlassen den Weltraum zu durcheilen, jeder menschlichen Macht entrückt, ein Spielball kosmischer Kräfte — —	154:163	0:185
Spielball	NN	1954	2	26120215_1954_01_24_01_038.tcf.xml-51-5	 	„Ware\", ein Spielball in seinen Hunden-Was geht ihn dessen Gesundheit anl	12:21	0:73
Spielball	NN	1990	2	2532889X_1990-01-10_01_046.tcf.xml-43-10	 	Die aber dürfen mit unserem Weg nie und nimmer zum Spielball der. reinen Ökonomie ' werden.	51:60	0:91
Spielball	NN	1821	1	nettelbeck_lebensbeschreibung02_1821-915-27	 	Auf diesem nemlichen Fleck stand ich nun als Fremdling; Niemand hier, dem mein Wohl oder Weh noch zu Herzen gieng — Jch selbst ein wunderlicher Spielball des Schicksals und nach allen Himmelsgegenden umhergeworfen!	144:153	0:214
Spielball	NN	1849	1	michelet_loesung_1849-475-9	 	Sehen wir denn nicht, daß wir nur der Spielball auswärtiger Mächte sind, welche mit den alten, in London gesponnenen Künsten der tückischen Staatsklugheit Metternich’s das Zustandekommen einer starken Macht im Herzen Europa’s um alles verhindern wollen.	38:47	0:253
Spielball	NN	1845	1	dahlmann_geschichte_1845-2105-18	 	Die Art wie sie zu Stande kamen betrachtete er als charakteristisch für seine Nation, die, ein Spielball ihrer Lebhaftigkeit, die vernünftigsten Dinge auf die tollste Art vollbringe.	95:104	0:182
Spielball	NN	1851	1	fontane_gedichte_1851-1206-59	 	Und ward kein Beifall laut? trug man den Sprecher Nicht im Triumph nach Haus? schwur nicht ein Jeder, Vom feisten Höker bis zum Bettelbuben, Für seinen Glauben einzustehn? die Thoren, Als sei ihr Glauben in Gefahr! so aber Ist dieses Volk: sein Denken all und Fühlen, Sein Heiligstes, ein Spielball ist ’s in Händen Fanat’scher Priester, oder schlimmer noch, Ehrgeiz’ger Gaukler die ihr Fach verstehn.	289:298	0:401
Spielball	NN	1973	2	26120215_1973_07_11_01_132.tcf.xml-13-9	 	Nach kurzer Blüte aber taumelte es dann Jahrhunderte als Spielball anderer Mächte durch die Geschichte	57:66	0:102
Spielball	NN	1861	1	spielhagen_problematische04_1861-573-6	 	Du warst ihr nichts als ein Spielball ihrer hochadligen Laune, und er hat seinen allerliebsten freiherrlichen Scherz mit Dir getrieben?	28:37	0:135
Spielball	NN	1955	2	2532889X_1955-06-26_01_130.tcf.xml-2-20	 	Der Betrieb, der voi allem chirurgische Artikel herstellt, produziert tür das In-und Ausland auch noch Schwimmtiere, Spielbälle aller Größen.	117:127	0:141
Spielball	NN	1965	2	26120215_1965_10_03_01_025.tcf.xml-12-43	 	„Uns will nicht in den Sinn, unser gesunder Menschenverstand, unser Gefühl wehrt sich dagegen, daß die menschlichen Anliegen von Millionen den hartherzigen Milliardären geopfert werden, die an den Schalthebeln der Macht in Westdeutschland sitzen und uns Westberliner zum Spielball ihrer Politik machen wollen.	271:280	0:309
Spielball	NN	1989	2	26120215_1989_01_24_01_290.tcf.xml-5-61	 	Napoleon und Alexander, beide handelten in verteufelt ähnlicher Weise, gingen mit ihr um, als sei sie ein bedeutungsloses Nichts, lächelten wahrscheinlich über sie, mokierten sich über die Inbrunst ihrer Gefühle, suchten sie mit Charme und Courtoisie zu betören und warfen sie hinaus, sobald sie ihrer überdrüssig waren i-war sie nicht mehr als ein Spielball, den man jederzeit wegwerfen konnte?	349:358	0:395
Spielball	NN	1965	2	2532889X_1965-09-02_01_129.tcf.xml-3-36	 	Als nach einstundiger Spieldauer Arno Schulz und Eckhardt Pietzsch ihrem Mannschaftskameraden Wolfgang Webner anerkennend über den Blondschopf strichen, weil er im letzten Satz dieser dramatischen Begegnung beim Stand von 14: 13 den Satz-und Spielball für die DDR erobert hatte, ahnten sie noch nicht, wieviel Anstrengung in den nächsten Minuten noch nötig sein würde, um den Sieg endgültig aus dem Feuer zu reißen.	242:251	0:415
Spielball	NN	1828	1	menzel_literatur02_1828-941-6	 	Er machte den Menschen zu einem Spielball der in ihm selber schlummernden dämonischen Gewalten, des Wahnsinns, der Phantasmorasie, der magnetischen und sympathetischen oder antipathetischen Naturkräfte.	32:41	0:202
Spielball	NN	1967	2	2532889X_1967-05-23_01_095.tcf.xml-3-6	 	Die Verfassung dürfe ' nicht „Spielball von Macht-Jongleuren\" sein.	30:39	0:67
