lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
Tragfähigkeit	NN	1985	2	26120215_1985_12_23_01_041.tcf.xml-32-19	 	Si'e ist zwölf Meter breit und 180 Meter lang und wird fortan für alle mitteleuropäischen Schiffe bis zu einer Tragfähigkeit von 1300 Tonnen befahrbar sein.	111:124	0:156
Tragfähigkeit	NN	1964	2	26120215_1964_11_12_01_053.tcf.xml-30-2	 	Die größere Tragfähigkeit der neuen Kräne erlaubt auch, fortschrittliche Montagetechnologien anzuwenden, jvie die Blockmontage.	12:25	0:127
Tragfähigkeit	NN	1965	2	26120215_1965_09_12_01_283.tcf.xml-33-88	 	Dazu gehört der GAS 53 A. Fünf Tonnen Tragfähigkeit und eine geräumige Mehrzweckpritsche sind für das Fshrzeug charakteristisch. 11p PS bei 3200 U/ min leistet der Achtzylinder-V-Motor de= GAS Die gerr.de bei dieser Mascnin° oft bewunderte Langlebigkeit und Zuverlässigkeit wird nicht zuletzt durch den Einsatz sogenannter feuchter leicht montierbarer Kolben höchsten Festiskcitssrades erreicht Weiter im Ausstellunasansebot: der leistungsstarke und robuste Sattelschlepper SIL 130 WI. der einen Anhänger mit einem Gewicht von 12500 kg ziehen kann, der Kipper SIL MMS 555 mit einer Tragfähigkeit von 4500 kg und der SIL 130. ein schneller Zweiachser mit einer Mehrzweckpritsche für ein Gewicht von 6000 kg.	582:595	0:706
Tragfähigkeit	NN	1979	2	2532889X_1979-07-23_01_052.tcf.xml-28-11	 	Nach Vertiefung des Hafenbeckens können jetzt Tanker bis zu 45000 Tonnen Tragfähigkeit festmachen.	73:86	0:98
Tragfähigkeit	NN	1878	1	laband_staatsrecht02_1878-6293-68	 	Für Seeschiffer, Seesteuerleute und Lootsen. Durch Bekanntmachung v. 25. Septemb. 1869 sind die vom Bundesrath beschlossenen Vorschriften über den Nachweis der Befähigung als Seeschiffer und Seesteuermann erlassen worden. Dieselben unterscheiden die Schifferprüfung für kleine Fahrt, worunter die Fahrt in der Nordsee bis zum 61 Grad nördlicher Breite und in der Ostsee mit Seeschiffen vom 30 bis ausschl. 100 Tonnen (zu 1000 Kilogr.) Tragfähigkeit verstanden wird; ferner die Steuermannsprüfung, durch deren Ablegung die Zulassung als Steuermann auf großer Fahrt und, nach Zurücklegung einer gewissen Fahrzeit zur See als Steuermann, die Zulassung als Schiffer auf Europäischer Fahrt (d. h. Europäische Häfen und Häfen des Mittelländischen, Schwarzen und Azow’schen Meeres) bedingt ist; und endlich die Schifferprüfung für große Fahrt.	435:448	0:836
Tragfähigkeit	NN	1895	1	rapsilber_reichstagsgebaeude_1895-425-15	 	Für die ausserordentliche Wölbung nun eine Wandtäfelung zu entwerfen, die dem Auge eine ausreichende Tragfähigkeit darbietet, war eine schwierige Aufgabe.	101:114	0:154
Tragfähigkeit	NN	1977	2	2532889X_1977-03-24_01_072.tcf.xml-23-18	 	1924 wurden hier die ersten sowjetischen Lastkraftwagen hergestellt, gegenwärtig verlassen 200000 LKW von vier bis sechs Tonnen Tragfähigkeit die Montagebänder.	128:141	0:160
Tragfähigkeit	NN	1979	2	2532889X_1979-01-19_01_046.tcf.xml-243-15	 	Im letzten Jahr gingen 12 Schiffe, überwiegend aus der eigenen Produktion, mit einer Tragfähigkeit von 131000 tdw in Dienst.	85:98	0:124
Tragfähigkeit	NN	1885	1	treitschke_geschichte03_1885-6908-16	 	Im Jahre 1820 besaß Preußen nur noch 705 meist alte und baufällige Schiffe mit 72,435 Last Tragfähigkeit; vor den Kriegen hatte man an der Küste von Barth bis Memel ihrer 1102 gezählt.	91:104	0:184
Tragfähigkeit	NN	1947	2	26120215_1947_03_07_01_011.tcf.xml-6-11	 	vor dem Kriege gehalten werden, was weit über die wirtschaftliche Tragfähigkeit Großbritanniens hinausginge.	66:79	0:108
Tragfähigkeit	NN	1962	2	2532889X_1962-03-15_01_044.tcf.xml-15-17	 	Die in einem umfangreichen Forschungsprogramm ermittelten Werte für Festigkeit und Wärmebehandlung ermöglichen vor allem eine Erhöhung der Tragfähigkeit der Zahnräder und damit geringere Getriebeabmessungen.	139:152	0:207
Tragfähigkeit	NN	1973	2	2532889X_1973-09-06_01_050.tcf.xml-12-5	 	Schwere Lastkraftwagen, mit einer Tragfähigkeit von zwölf und mehr Tonnen, ziehen vor Messehalle 5 sowohl Fachleute als auch Laien in ihren Bann.	34:47	0:145
Tragfähigkeit	NN	1978	2	2532889X_1978-04-22_01_237.tcf.xml-8-11	 	Jedes Schiff dieser für die sowjetische Fischfangflotte bestimmten Bauserie wird eine Tragfähigkeit von 11500tdw besitzen, 178 Meter lang und 24.6 Meter breit sein und über 8800 PS MotorenantriebsJeistung verfügen.	86:99	0:214
Tragfähigkeit	NN	1978	2	26120215_1978_05_19_01_259.tcf.xml-182-17	 	Int. Wirk Krs. m. Qualiflzle Junior de luie, 4,00 mal 1,04, erst 5 t Tragfähigkeit, f. 3000.— orange, m Wartb. -Heckmot.. 12 TM. runosmögl, bevori Stadtbez, bevori.	69:82	0:164
Tragfähigkeit	NN	1973	2	2532889X_1973-04-20_01_204.tcf.xml-13-17	 	Die Einführung des Containerverkehrs mit einer rapiden Verkürzung der Hafenliegezelten und der Entwicklung neuer Schiffstypen mit größeren Tragfähigkeiten, die Verbesserung der Antriebstechnik und die Steigerung der Leistung der einzelnen Antriebsmaschinen waren die wesentlichen technischen Voraussetzungen für Bau und Einsatz schneller Schiffe.	139:154	0:346
Tragfähigkeit	NN	1884	1	ledebur_eisenhuettenkunde_1884-12687-5	 	Der Krahn ist für eine Tragfähigkeit von 10 t berechnet; der von den Pumpen ausgeübte Druck beträgt 20 kg per qcm.	23:36	0:114
Tragfähigkeit	NN	1978	2	2532889X_1978-04-03_01_030.tcf.xml-3-22	 	Das 152 Meter lange und mehr als 22 Meter breite Schiff mit dem Namen des Rostocker Neubaugebietes „Lichtenhagen\" hat eine Tragfähigkeit von mehr als 8000 Tonnen (tdw) und einen Aktionsradius von 12000 Seemeilen.	123:136	0:212
Tragfähigkeit	NN	1878	1	wanderley_bauconstructionslehre02_1878-2174-24	 	Die Netzriegel müssen gegen Gerüste, Balkenlagen, Gewölbe oder andere feste Gegenstände im Innern der Gebäude so abgesteift und von solcher Stärke und Tragfähigkeit sein, daß eine Bewegung oder Schwankung derselben nach irgend einer Seite hin nicht stattfinden kann, sie sind mit einer, 1,0 Meter hohen Brüstung und mit einem Belag zu versehen.	151:164	0:344
