identifier1	identifier2	annotator	judgment	comment	lemma
silberer_traber_1883-600-30	26120215_1948_02_17_01_187.tcf.xml-17-32	stekade	1	 	abdecken
nn_nrhz105_1848-528-34	avelallemant_gaunerthum04_1862-16809-48	stekade	1	 	abdecken
dronke_polizeigeschichten_1846-1549-12	boerne_paris03_1833-917-12	stekade	4	 	abdecken
boerne_paris03_1833-917-12	26120215_1948_02_17_01_187.tcf.xml-17-32	stekade	1	 	abdecken
nn_nrhz296_1849-189-4	26120215_1948_02_17_01_187.tcf.xml-17-32	stekade	2	 	abdecken
26120215_1970_01_06_01_071.tcf.xml-12-12	26120215_1965_08_08_01_392.tcf.xml-2-25	stekade	1	 	abdecken
avelallemant_gaunerthum04_1862-16809-48	26120215_1965_08_08_01_392.tcf.xml-2-25	stekade	1	 	abdecken
nn_nrhz296_1849-189-4	avelallemant_gaunerthum04_1862-16809-48	stekade	1	 	abdecken
26120215_1965_08_08_01_392.tcf.xml-2-25	26120215_1948_02_17_01_187.tcf.xml-17-32	stekade	2	 	abdecken
avelallemant_gaunerthum04_1862-16809-48	dronke_polizeigeschichten_1846-1549-12	stekade	1	 	abdecken
avelallemant_gaunerthum04_1862-16809-48	26120215_1948_02_17_01_187.tcf.xml-17-32	stekade	1	 	abdecken
menzel_maurer_1847-5350-32	avelallemant_gaunerthum04_1862-16809-48	stekade	1	 	abdecken
nn_nrhz105_1848-528-34	26120215_1965_08_08_01_392.tcf.xml-2-25	stekade	0	 	abdecken
avelallemant_gaunerthum04_1862-16809-48	boerne_paris03_1833-917-12	stekade	1	 	abdecken
dronke_polizeigeschichten_1846-1549-12	26120215_1965_08_08_01_392.tcf.xml-2-25	stekade	1	 	abdecken
silberer_traber_1883-600-30	26120215_1965_08_08_01_392.tcf.xml-2-25	stekade	1	 	abdecken
hauptmann_henschel_1899-268-9	avelallemant_gaunerthum04_1862-16809-48	stekade	0	 	abdecken
goethe_leben01_1811-2459-6	26120215_1965_08_08_01_392.tcf.xml-2-25	stekade	1	 	abdecken
nn_nrhz296_1849-189-4	26120215_1965_08_08_01_392.tcf.xml-2-25	stekade	2	 	abdecken
silberer_traber_1883-600-30	avelallemant_gaunerthum04_1862-16809-48	stekade	1	 	abdecken
boerne_paris03_1833-917-12	26120215_1948_02_17_01_187.tcf.xml-17-32	FWetzel	2	 	abdecken
menzel_maurer_1847-5350-32	avelallemant_gaunerthum04_1862-16809-48	FWetzel	3	 	abdecken
nn_nrhz296_1849-189-4	26120215_1948_02_17_01_187.tcf.xml-17-32	FWetzel	3	 	abdecken
avelallemant_gaunerthum04_1862-16809-48	26120215_1948_02_17_01_187.tcf.xml-17-32	FWetzel	2	 	abdecken
avelallemant_gaunerthum04_1862-16809-48	boerne_paris03_1833-917-12	FWetzel	3	 	abdecken
dronke_polizeigeschichten_1846-1549-12	26120215_1965_08_08_01_392.tcf.xml-2-25	FWetzel	2	 	abdecken
dronke_polizeigeschichten_1846-1549-12	boerne_paris03_1833-917-12	FWetzel	4	 	abdecken
silberer_traber_1883-600-30	26120215_1965_08_08_01_392.tcf.xml-2-25	FWetzel	2	 	abdecken
26120215_1965_08_08_01_392.tcf.xml-2-25	26120215_1948_02_17_01_187.tcf.xml-17-32	FWetzel	3	 	abdecken
