identifier1	identifier2	annotator	judgment	comment	lemma
alexis_ruhe03_1852-4633-13	poelitz_poetik_1825-488-8	FWetzel	2	 	ausspannen
tieck_phantasus01_1812-343-47	26120215_1963_09_26_01_035.tcf.xml-24-24	FWetzel	2	 	ausspannen
alexis_ruhe03_1852-4633-13	26120215_1968_11_17_01_570.tcf.xml-28-9	FWetzel	2	 	ausspannen
blumenbach_knochen_1807-2530-32	26120215_1968_11_17_01_570.tcf.xml-28-9	FWetzel	2	 	ausspannen
blumenbach_knochen_1807-2530-32	poelitz_poetik_1825-488-8	FWetzel	2	 	ausspannen
2532889X_1960-04-09_01_106.tcf.xml-44-15	poelitz_poetik_1825-488-8	FWetzel	2	 	ausspannen
26120215_1979_05_21_01_090.tcf.xml-9-10	poelitz_poetik_1825-488-8	FWetzel	2	 	ausspannen
urbanitzky_electricitaet_1885-4268-24	26120215_1963_09_26_01_035.tcf.xml-24-24	FWetzel	4	 	ausspannen
urbanitzky_electricitaet_1885-4268-24	26120215_1963_09_26_01_035.tcf.xml-24-24	stekade	3	 	ausspannen
2532889X_1960-04-09_01_106.tcf.xml-44-15	poelitz_poetik_1825-488-8	stekade	0	 	ausspannen
2532889X_1965-05-05_01_148.tcf.xml-33-16	26120215_1963_09_26_01_035.tcf.xml-24-24	stekade	3	 	ausspannen
2532889X_1973-06-04_01_063.tcf.xml-13-23	poelitz_poetik_1825-488-8	stekade	0	 	ausspannen
26120215_1968_11_17_01_570.tcf.xml-28-9	26120215_1963_09_26_01_035.tcf.xml-24-24	stekade	1	 	ausspannen
blumenbach_knochen_1807-2530-32	poelitz_poetik_1825-488-8	stekade	0	 	ausspannen
alexis_ruhe03_1852-4633-13	26120215_1968_11_17_01_570.tcf.xml-28-9	stekade	1	 	ausspannen
poelitz_poetik_1825-488-8	26120215_1963_09_26_01_035.tcf.xml-24-24	stekade	0	 	ausspannen
poelitz_poetik_1825-488-8	26120215_1968_11_17_01_570.tcf.xml-28-9	stekade	0	 	ausspannen
tieck_phantasus01_1812-343-47	26120215_1963_09_26_01_035.tcf.xml-24-24	stekade	1	 	ausspannen
26120215_1947_10_31_01_042.tcf.xml-21-32	poelitz_poetik_1825-488-8	stekade	0	 	ausspannen
alexis_ruhe03_1852-4633-13	poelitz_poetik_1825-488-8	stekade	0	 	ausspannen
blumenbach_knochen_1807-2530-32	26120215_1968_11_17_01_570.tcf.xml-28-9	stekade	1	 	ausspannen
26120215_1979_05_21_01_090.tcf.xml-9-10	poelitz_poetik_1825-488-8	stekade	0	 	ausspannen
26120215_1960_04_15_01_377.tcf.xml-13-12	poelitz_poetik_1825-488-8	stekade	0	 	ausspannen
poelitz_poetik_1825-488-8	26120215_1963_09_26_01_035.tcf.xml-24-24	FWetzel	2	 	ausspannen
poelitz_poetik_1825-488-8	26120215_1968_11_17_01_570.tcf.xml-28-9	FWetzel	3	 	ausspannen
26120215_1968_11_17_01_570.tcf.xml-28-9	26120215_1963_09_26_01_035.tcf.xml-24-24	FWetzel	3	 	ausspannen
26120215_1947_10_31_01_042.tcf.xml-21-32	poelitz_poetik_1825-488-8	FWetzel	2	 	ausspannen
26120215_1960_04_15_01_377.tcf.xml-13-12	poelitz_poetik_1825-488-8	FWetzel	2	 	ausspannen
2532889X_1973-06-04_01_063.tcf.xml-13-23	poelitz_poetik_1825-488-8	FWetzel	2	 	ausspannen
2532889X_1965-05-05_01_148.tcf.xml-33-16	26120215_1963_09_26_01_035.tcf.xml-24-24	FWetzel	4	 	ausspannen
26120215_1947_10_31_01_042.tcf.xml-21-32	poelitz_poetik_1825-488-8	Zori	0	 	ausspannen
26120215_1979_05_21_01_090.tcf.xml-9-10	poelitz_poetik_1825-488-8	Zori	2	 	ausspannen
poelitz_poetik_1825-488-8	26120215_1963_09_26_01_035.tcf.xml-24-24	Zori	3	 	ausspannen
2532889X_1960-04-09_01_106.tcf.xml-44-15	poelitz_poetik_1825-488-8	Zori	2	 	ausspannen
blumenbach_knochen_1807-2530-32	poelitz_poetik_1825-488-8	Zori	1	 	ausspannen
blumenbach_knochen_1807-2530-32	26120215_1968_11_17_01_570.tcf.xml-28-9	Zori	1	 	ausspannen
alexis_ruhe03_1852-4633-13	poelitz_poetik_1825-488-8	Zori	1	 	ausspannen
2532889X_1965-05-05_01_148.tcf.xml-33-16	26120215_1963_09_26_01_035.tcf.xml-24-24	Zori	0	 	ausspannen
26120215_1968_11_17_01_570.tcf.xml-28-9	26120215_1963_09_26_01_035.tcf.xml-24-24	Zori	2	 	ausspannen
urbanitzky_electricitaet_1885-4268-24	26120215_1963_09_26_01_035.tcf.xml-24-24	Zori	4	 	ausspannen
2532889X_1973-06-04_01_063.tcf.xml-13-23	poelitz_poetik_1825-488-8	Zori	1	 	ausspannen
alexis_ruhe03_1852-4633-13	26120215_1968_11_17_01_570.tcf.xml-28-9	Zori	1	 	ausspannen
poelitz_poetik_1825-488-8	26120215_1968_11_17_01_570.tcf.xml-28-9	Zori	1	 	ausspannen
tieck_phantasus01_1812-343-47	26120215_1963_09_26_01_035.tcf.xml-24-24	Zori	1	 	ausspannen
26120215_1960_04_15_01_377.tcf.xml-13-12	poelitz_poetik_1825-488-8	Zori	1	 	ausspannen
