lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
packen	VVFIN	1894	1	steinen_naturvoelker_1894-8234-1	 	Wohl packte der Jaguar zu, aber er ergriff nur ein Termitennest, das auf der Jatobá sass.	5:11	0:89
packen	VVFIN	1806	1	engel_poetik_1806-2198-5	 	Zusammenschrak der Rittersmann; Es packt' ihn, wie mit Krallen, an, Und schüttelt' ihn, wie Fieber, Hinüber und herüber.	35:41	0:120
packen	VVINF	1983	2	26120215_1983_01_27_01_212.tcf.xml-35-7	 	„Morgen früh werde ich meinen Koffer packen und nach Hause fahren.	37:43	0:66
packen	VVFIN	1965	2	26120215_1965_06_08_01_131.tcf.xml-90-1	 	Felix packte ihn hinten am Uniformkragen, zog ihn etwas weiter nach vorn und schlug ihm zweimal mit dem Montierhebel über den Kopf.	6:12	0:131
packen	VVFIN	1968	2	26120215_1968_05_23_01_045.tcf.xml-16-13	 	In Form eines Wettbewerbs, in dem vor allem ökonomische Hebel wirken. packt die Arbeitsgruppe das „heiße Eisen an.	70:75	0:114
packen	VVFIN	1972	2	26120215_1972_11_19_01_125.tcf.xml-20-8	 	Barfuß rannte Sie auf die Dorfstraße hinaus, packte die weinende Briefträgerin an-der abgetragenen Bluse und beschwor sie:	45:51	0:122
packen	VVINF	1860	1	humboldt_aequinoktial04_1859-1694-22	 	Es ist nicht anzunehmen, daß die Krokodile diese Steine zufällig verschlucken, denn, wenn sie die Fische unten im Strome packen, ruht ihre untere Kinnlade nicht auf dem Boden.	121:127	0:175
packen	VVPP	1888	1	kretzer_timpe_1888-2955-5	 	Eine innere Bewegung hatte Timpe gepackt, der er aber in der nächsten Minute wieder Herr wurde.	33:40	0:95
packen	VVFIN	1857	1	raabe_sperlingsgasse_1857-988-13	 	So ausgerüstet betritt der junge Gelehrte den Schauplatz seiner weitern Ausbildung; gewaltig packt ihn anfangs das Heimweh unter der wilden Bande seiner Mitschüler, die ihn hänseln und zum Besten haben in seiner Gutmüthigkeit und Unerfahrenheit.	93:98	0:245
packen	VVPP	1957	2	26120215_1957_11_13_01_204.tcf.xml-19-4	 	Immer wieder ist man gepackt von der auf der Leinwand gezeigten Realität.	21:28	0:73
packen	VVPP	1960	2	2532889X_1960-07-18_01_060.tcf.xml-11-40	 	Die ganz dicht an den Menschen herangehende Kamera (übrigens experimentiermutig geführt vom DEFA-Kameramann Erwin Anders) liest den Gesichtern die erregendsten Geschichten ab, erhebt das menschliche Antlitz zum aussagekräftigsten dramatischen Kraftfeld, auf dem dramatische Vorgange der Umwelt packend in Erscheinung treten.	294:301	0:324
packen	VVFIN	1961	2	26120215_1961_04_09_01_415.tcf.xml-17-7	 	Helfen sie ihm aber nicht, dann packt er aus.	32:37	0:45
packen	VVPP	1987	2	2532889X_1987-12-02_01_100.tcf.xml-35-10	 	Die Jugend ist zunächst von der leicht faßlichen griechischen Folklore gepackt Darüber hinaus gibt es im Werk von Theodorakis eine humanistische Dimension.	71:78	0:155
packen	VVFIN	1950	2	2532889X_1950-07-04_01_099.tcf.xml-5-26	 	Am 'Sonnabendnachmittag diskutierte August* Luscher mit einigen Nachbarn auf der Straße über dieses Thema, als plötzlich zwei junge Männer erschienen, den Greis am Arm packten und ihn aufforderten, mit zur Polizeiwache zu kommen.	168:175	0:229
