identifier1	identifier2	annotator	judgment	comment	lemma
vischer_aesthetik030201_1852-574-37	2532889X_1961-04-10_01_051.tcf.xml-4-2	stekade	2	 	überspannen
2532889X_1965-09-11_01_085.tcf.xml-16-8	bluntschli_staatslehre_1875-4713-59	stekade	2	 	überspannen
bluntschli_staatslehre_1875-4713-59	2532889X_1961-04-10_01_051.tcf.xml-4-2	stekade	3	 	überspannen
vischer_aesthetik030201_1852-574-37	bluntschli_staatslehre_1875-4713-59	stekade	2	 	überspannen
2532889X_1965-09-11_01_085.tcf.xml-16-8	2532889X_1961-04-10_01_051.tcf.xml-4-2	stekade	3	 	überspannen
2532889X_1969-01-03_01_100.tcf.xml-8-9	bluntschli_staatslehre_1875-4713-59	stekade	3	 	überspannen
nn_nrhz249b_1849-44-22	bluntschli_staatslehre_1875-4713-59	stekade	1	 	überspannen
paul_katzenberger01_1809-624-11	2532889X_1961-04-10_01_051.tcf.xml-4-2	stekade	1	 	überspannen
dilthey_geisteswissenschaften_1883-2172-1	bluntschli_staatslehre_1875-4713-59	stekade	1	 	überspannen
26120215_1948_01_13_01_005.tcf.xml-21-35	vischer_aesthetik030201_1852-574-37	stekade	2	 	überspannen
26120215_1972_03_18_01_077.tcf.xml-34-2	bluntschli_staatslehre_1875-4713-59	stekade	2	 	überspannen
2532889X_1981-03-17_01_086.tcf.xml-42-16	2532889X_1961-04-10_01_051.tcf.xml-4-2	stekade	3	 	überspannen
menzel_literatur02_1828-938-3	bluntschli_staatslehre_1875-4713-59	stekade	1	 	überspannen
2532889X_1965-09-11_01_085.tcf.xml-16-8	vischer_aesthetik030201_1852-574-37	stekade	2	 	überspannen
2532889X_1973-04-07_01_325.tcf.xml-48-17	bluntschli_staatslehre_1875-4713-59	stekade	1	 	überspannen
gerstner_mechanik01_1831-7915-29	bluntschli_staatslehre_1875-4713-59	stekade	1	 	überspannen
2532889X_1981-03-17_01_086.tcf.xml-42-16	bluntschli_staatslehre_1875-4713-59	stekade	3	 	überspannen
2532889X_1969-01-03_01_100.tcf.xml-8-9	2532889X_1961-04-10_01_051.tcf.xml-4-2	stekade	2	 	überspannen
26120215_1948_01_13_01_005.tcf.xml-21-35	bluntschli_staatslehre_1875-4713-59	stekade	2	 	überspannen
2532889X_1973-04-07_01_325.tcf.xml-48-17	bluntschli_staatslehre_1875-4713-59	FWetzel	3	 	überspannen
26120215_1948_01_13_01_005.tcf.xml-21-35	bluntschli_staatslehre_1875-4713-59	FWetzel	3	 	überspannen
26120215_1948_01_13_01_005.tcf.xml-21-35	vischer_aesthetik030201_1852-574-37	FWetzel	2	 	überspannen
2532889X_1965-09-11_01_085.tcf.xml-16-8	vischer_aesthetik030201_1852-574-37	FWetzel	2	 	überspannen
vischer_aesthetik030201_1852-574-37	2532889X_1961-04-10_01_051.tcf.xml-4-2	FWetzel	3	 	überspannen
2532889X_1965-09-11_01_085.tcf.xml-16-8	bluntschli_staatslehre_1875-4713-59	FWetzel	3	 	überspannen
dilthey_geisteswissenschaften_1883-2172-1	bluntschli_staatslehre_1875-4713-59	FWetzel	2	 	überspannen
bluntschli_staatslehre_1875-4713-59	2532889X_1961-04-10_01_051.tcf.xml-4-2	FWetzel	2	 	überspannen
2532889X_1981-03-17_01_086.tcf.xml-42-16	bluntschli_staatslehre_1875-4713-59	FWetzel	3	 	überspannen
2532889X_1965-09-11_01_085.tcf.xml-16-8	2532889X_1961-04-10_01_051.tcf.xml-4-2	FWetzel	2	 	überspannen
26120215_1948_01_13_01_005.tcf.xml-21-35	2532889X_1961-04-10_01_051.tcf.xml-4-2	FWetzel	2	 	überspannen
gerstner_mechanik01_1831-7915-29	bluntschli_staatslehre_1875-4713-59	FWetzel	2	 	überspannen
26120215_1972_03_18_01_077.tcf.xml-34-2	bluntschli_staatslehre_1875-4713-59	FWetzel	2	 	überspannen
menzel_literatur02_1828-938-3	bluntschli_staatslehre_1875-4713-59	FWetzel	3	 	überspannen
paul_katzenberger01_1809-624-11	2532889X_1961-04-10_01_051.tcf.xml-4-2	FWetzel	2	 	überspannen
nn_nrhz249b_1849-44-22	bluntschli_staatslehre_1875-4713-59	FWetzel	3	 	überspannen
2532889X_1981-03-17_01_086.tcf.xml-42-16	2532889X_1961-04-10_01_051.tcf.xml-4-2	FWetzel	2	 	überspannen
2532889X_1969-01-03_01_100.tcf.xml-8-9	bluntschli_staatslehre_1875-4713-59	FWetzel	3	 	überspannen
vischer_aesthetik030201_1852-574-37	bluntschli_staatslehre_1875-4713-59	FWetzel	2	 	überspannen
2532889X_1969-01-03_01_100.tcf.xml-8-9	2532889X_1961-04-10_01_051.tcf.xml-4-2	FWetzel	2	 	überspannen
26120215_1972_03_18_01_077.tcf.xml-34-2	bluntschli_staatslehre_1875-4713-59	Zori	2	 	überspannen
menzel_literatur02_1828-938-3	bluntschli_staatslehre_1875-4713-59	Zori	3	 	überspannen
vischer_aesthetik030201_1852-574-37	2532889X_1961-04-10_01_051.tcf.xml-4-2	Zori	3	 	überspannen
dilthey_geisteswissenschaften_1883-2172-1	bluntschli_staatslehre_1875-4713-59	Zori	3	 	überspannen
2532889X_1965-09-11_01_085.tcf.xml-16-8	2532889X_1961-04-10_01_051.tcf.xml-4-2	Zori	2	 	überspannen
2532889X_1981-03-17_01_086.tcf.xml-42-16	2532889X_1961-04-10_01_051.tcf.xml-4-2	Zori	2	 	überspannen
vischer_aesthetik030201_1852-574-37	bluntschli_staatslehre_1875-4713-59	Zori	2	 	überspannen
2532889X_1965-09-11_01_085.tcf.xml-16-8	bluntschli_staatslehre_1875-4713-59	Zori	4	 	überspannen
26120215_1948_01_13_01_005.tcf.xml-21-35	vischer_aesthetik030201_1852-574-37	Zori	2	 	überspannen
26120215_1948_01_13_01_005.tcf.xml-21-35	bluntschli_staatslehre_1875-4713-59	Zori	4	 	überspannen
2532889X_1969-01-03_01_100.tcf.xml-8-9	2532889X_1961-04-10_01_051.tcf.xml-4-2	Zori	2	 	überspannen
gerstner_mechanik01_1831-7915-29	bluntschli_staatslehre_1875-4713-59	Zori	2	 	überspannen
2532889X_1965-09-11_01_085.tcf.xml-16-8	vischer_aesthetik030201_1852-574-37	Zori	2	 	überspannen
2532889X_1969-01-03_01_100.tcf.xml-8-9	bluntschli_staatslehre_1875-4713-59	Zori	4	 	überspannen
paul_katzenberger01_1809-624-11	2532889X_1961-04-10_01_051.tcf.xml-4-2	Zori	2	 	überspannen
26120215_1948_01_13_01_005.tcf.xml-21-35	2532889X_1961-04-10_01_051.tcf.xml-4-2	Zori	2	 	überspannen
nn_nrhz249b_1849-44-22	bluntschli_staatslehre_1875-4713-59	Zori	3	 	überspannen
2532889X_1973-04-07_01_325.tcf.xml-48-17	bluntschli_staatslehre_1875-4713-59	Zori	3	 	überspannen
2532889X_1981-03-17_01_086.tcf.xml-42-16	bluntschli_staatslehre_1875-4713-59	Zori	4	 	überspannen
bluntschli_staatslehre_1875-4713-59	2532889X_1961-04-10_01_051.tcf.xml-4-2	Zori	2	 	überspannen
26120215_1948_01_13_01_005.tcf.xml-21-35	2532889X_1961-04-10_01_051.tcf.xml-4-2	stekade	2	 	überspannen
