identifier1	identifier2	annotator	judgment	comment	lemma
brehm_thierleben06_1869-405-18	mommsen_roemische03_1856-503-9	stekade	2	 	voranstellen
drude_pflanzengeographie_1890-1199-40	mommsen_roemische03_1856-503-9	stekade	3	 	voranstellen
brehm_thierleben02_1865-16040-3	mommsen_roemische03_1856-503-9	stekade	3	 	voranstellen
nn_nrhz173_1848-344-11	mommsen_roemische03_1856-503-9	stekade	3	 	voranstellen
brehm_thierleben02_1865-16040-3	mommsen_roemische03_1856-503-9	FWetzel	2	 	voranstellen
brehm_thierleben06_1869-405-18	mommsen_roemische03_1856-503-9	FWetzel	2	 	voranstellen
nn_nrhz173_1848-344-11	mommsen_roemische03_1856-503-9	FWetzel	2	 	voranstellen
drude_pflanzengeographie_1890-1199-40	mommsen_roemische03_1856-503-9	FWetzel	2	 	voranstellen
mommsen_roemische03_1856-1241-27	mommsen_roemische03_1856-503-9	FWetzel	3	 	voranstellen
mommsen_roemische03_1856-1241-27	mommsen_roemische03_1856-503-9	stekade	2	 	voranstellen
brehm_thierleben06_1869-405-18	mommsen_roemische03_1856-503-9	Zori	3	 	voranstellen
nn_nrhz173_1848-344-11	mommsen_roemische03_1856-503-9	Zori	3	 	voranstellen
brehm_thierleben02_1865-16040-3	mommsen_roemische03_1856-503-9	Zori	3	 	voranstellen
mommsen_roemische03_1856-1241-27	mommsen_roemische03_1856-503-9	Zori	3	 	voranstellen
drude_pflanzengeographie_1890-1199-40	mommsen_roemische03_1856-503-9	Zori	3	 	voranstellen
