identifier1	identifier2	annotator	judgment	comment	lemma
grimm_meistergesang_1811-702-32	2532889X_1990-10-01_01_102.tcf.xml-13-1	FWetzel	2	 	Abgesang
grimm_meistergesang_1811-479-17	26120215_1989_03_02_01_136.tcf.xml-18-2	FWetzel	2	 	Abgesang
2532889X_1987-11-14_01_073.tcf.xml-17-30	2532889X_1973-10-26_01_046.tcf.xml-10-22	FWetzel	0	 	Abgesang
2532889X_1962-08-04_01_020.tcf.xml-27-2	grimm_meistergesang_1811-757-20	FWetzel	2	 	Abgesang
grimm_meistergesang_1811-437-33	2532889X_1984-05-10_01_074.tcf.xml-23-31	FWetzel	2	 	Abgesang
beyer_poetik01_1882-17007-22	26120215_1990_10_13_01_206.tcf.xml-2-5	FWetzel	2	 	Abgesang
beyer_poetik01_1882-15106-33	beyer_poetik01_1882-17005-6	FWetzel	4	 	Abgesang
grimm_meistergesang_1811-2062-12	26120215_1989_05_26_01_048.tcf.xml-10-3	FWetzel	2	 	Abgesang
wilamowitz_aristoteles02_1893-1605-94	26120215_1964_02_04_01_177.tcf.xml-12-13	FWetzel	0	 	Abgesang
grimm_meistergesang_1811-475-24	26120215_1958_03_23_02_304.tcf.xml-30-18	FWetzel	3	 	Abgesang
26120215_1960_04_12_01_107.tcf.xml-3-23	26120215_1957_05_16_01_256.tcf.xml-27-15	FWetzel	3	 	Abgesang
2532889X_1975-10-08_01_036.tcf.xml-17-9	2532889X_1990-03-24_01_553.tcf.xml-19-5	FWetzel	2	 	Abgesang
beyer_poetik01_1882-17063-16	beyer_poetik01_1882-15784-15	FWetzel	4	 	Abgesang
grimm_meistergesang_1811-433-16	26120215_1965_01_09_01_103.tcf.xml-7-11	FWetzel	4	 	Abgesang
beyer_poetik01_1882-17300-7	grimm_meistergesang_1811-1974-30	FWetzel	4	 	Abgesang
26120215_1955_03_10_01_234.tcf.xml-14-16	beyer_poetik03_1884-2876-49	FWetzel	4	 	Abgesang
beyer_poetik01_1882-15106-33	grimm_meistergesang_1811-489-9	FWetzel	4	 	Abgesang
26120215_1952_02_03_01_263.tcf.xml-9-17	beyer_poetik01_1882-17247-77	FWetzel	4	 	Abgesang
grimm_meistergesang_1811-705-35	26120215_1989_03_02_01_136.tcf.xml-18-2	FWetzel	2	 	Abgesang
26120215_1947_02_18_01_055.tcf.xml-24-52	grimm_meistergesang_1811-1993-32	FWetzel	3	 	Abgesang
26120215_1979_12_19_01_098.tcf.xml-26-9	beyer_poetik01_1882-14734-18	FWetzel	2	 	Abgesang
grimm_meistergesang_1811-478-13	beyer_poetik01_1882-17007-22	FWetzel	4	 	Abgesang
beyer_poetik03_1884-2876-49	2532889X_1965-02-12_01_185.tcf.xml-14-11	FWetzel	2	 	Abgesang
26120215_1990_08_27_01_423.tcf.xml-4-6	beyer_poetik03_1884-3642-10	FWetzel	2	 	Abgesang
26120215_1990_03_10_01_570.tcf.xml-2-8	beyer_poetik03_1884-2033-7	FWetzel	2	 	Abgesang
beyer_poetik03_1884-3642-10	2532889X_1987-11-14_01_073.tcf.xml-17-30	FWetzel	2	 	Abgesang
2532889X_1962-07-19_01_070.tcf.xml-28-23	2532889X_1965-11-20_01_009.tcf.xml-8-33	FWetzel	3	 	Abgesang
grimm_meistergesang_1811-1993-16	grimm_meistergesang_1811-1993-32	FWetzel	4	 	Abgesang
2532889X_1987-11-14_01_073.tcf.xml-17-30	2532889X_1946-06-09_01_061.tcf.xml-35-2	FWetzel	2	 	Abgesang
beyer_poetik01_1882-17319-55	26120215_1975_06_27_01_111.tcf.xml-3-13	FWetzel	4	 	Abgesang
beyer_poetik01_1882-17724-28	2532889X_1987-11-14_01_073.tcf.xml-17-30	FWetzel	2	 	Abgesang
grimm_meistergesang_1811-487-32	beyer_poetik01_1882-17000-24	FWetzel	4	 	Abgesang
wilamowitz_aristoteles02_1893-1605-234	grimm_meistergesang_1811-467-12	FWetzel	4	 	Abgesang
beyer_poetik01_1882-17299-47	beyer_poetik03_1884-2036-5	FWetzel	4	 	Abgesang
26120215_1990_08_28_01_380.tcf.xml-7-3	beyer_poetik01_1882-15784-15	FWetzel	0	 	Abgesang
26120215_1962_01_17_01_314.tcf.xml-18-19	beyer_poetik01_1882-17319-30	FWetzel	2	 	Abgesang
beyer_poetik01_1882-17039-17	grimm_meistergesang_1811-487-32	FWetzel	4	 	Abgesang
2532889X_1961-03-30_01_045.tcf.xml-6-9	grimm_meistergesang_1811-681-55	FWetzel	3	 	Abgesang
26120215_1958_01_16_01_281.tcf.xml-9-2	beyer_poetik01_1882-17319-30	FWetzel	3	 	Abgesang
grimm_meistergesang_1811-561-16	2532889X_1980-08-20_01_192.tcf.xml-2-4	FWetzel	2	 	Abgesang
grimm_meistergesang_1811-487-32	2532889X_1985-04-13_01_060.tcf.xml-46-40	FWetzel	2	 	Abgesang
2532889X_1961-03-30_01_045.tcf.xml-6-9	26120215_1958_07_10_01_274.tcf.xml-27-2	FWetzel	3	 	Abgesang
beyer_poetik01_1882-15789-24	grimm_meistergesang_1811-2062-12	FWetzel	4	 	Abgesang
2532889X_1973-10-26_01_046.tcf.xml-10-22	26120215_1964_02_04_01_177.tcf.xml-12-13	FWetzel	2	 	Abgesang
beyer_poetik01_1882-18235-27	26120215_1961_01_05_01_106.tcf.xml-25-20	FWetzel	2	 	Abgesang
grimm_meistergesang_1811-479-17	26120215_1980_03_01_01_489.tcf.xml-3-5	FWetzel	2	 	Abgesang
grimm_meistergesang_1811-1993-54	beyer_poetik01_1882-17617-19	FWetzel	4	 	Abgesang
beyer_poetik01_1882-17319-30	grimm_meistergesang_1811-385-75	FWetzel	3	 	Abgesang
26120215_1971_08_06_01_395.tcf.xml-5-17	beyer_poetik03_1884-3642-10	FWetzel	2	 	Abgesang
beyer_poetik01_1882-15789-24	26120215_1980_03_01_01_489.tcf.xml-3-5	FWetzel	2	 	Abgesang
2532889X_1987-12-15_01_094.tcf.xml-36-10	26120215_1965_08_29_01_224.tcf.xml-12-15	FWetzel	2	 	Abgesang
26120215_1965_05_14_01_407.tcf.xml-35-4	2532889X_1952-07-03_01_121.tcf.xml-66-12	FWetzel	3	 	Abgesang
2532889X_1989-02-16_01_153.tcf.xml-5-20	beyer_poetik01_1882-17040-22	FWetzel	2	 	Abgesang
beyer_poetik01_1882-17039-17	beyer_poetik01_1882-17004-33	FWetzel	4	 	Abgesang
grimm_meistergesang_1811-1530-18	wolff_poetik_1899-3988-17	FWetzel	4	 	Abgesang
26120215_1958_03_23_02_304.tcf.xml-30-18	2532889X_1946-06-09_01_061.tcf.xml-35-2	FWetzel	3	 	Abgesang
26120215_1990_10_13_01_206.tcf.xml-2-5	26120215_1961_05_27_01_236.tcf.xml-24-17	FWetzel	2	 	Abgesang
26120215_1980_03_01_01_489.tcf.xml-3-5	2532889X_1959-05-19_01_064.tcf.xml-7-9	FWetzel	4	 	Abgesang
grimm_meistergesang_1811-479-17	2532889X_1946-06-09_01_061.tcf.xml-35-2	FWetzel	3	 	Abgesang
26120215_1975_11_29_01_366.tcf.xml-27-12	2532889X_1989-08-11_01_133.tcf.xml-36-9	FWetzel	2	 	Abgesang
26120215_1974_07_31_01_200.tcf.xml-145-4	beyer_poetik01_1882-17319-30	FWetzel	2	 	Abgesang
grimm_meistergesang_1811-1993-54	2532889X_1975-11-15_01_312.tcf.xml-10-74	FWetzel	3	 	Abgesang
26120215_1964_02_04_01_177.tcf.xml-12-13	26120215_1964_08_02_01_129.tcf.xml-29-30	FWetzel	2	 	Abgesang
beyer_poetik01_1882-3724-6	26120215_1958_07_10_01_274.tcf.xml-27-2	FWetzel	4	 	Abgesang
26120215_1990_08_28_01_380.tcf.xml-7-3	grimm_meistergesang_1811-2067-37	FWetzel	0	 	Abgesang
beyer_poetik01_1882-17040-22	beyer_poetik03_1884-4076-12	FWetzel	4	 	Abgesang
26120215_1990_12_18_01_315.tcf.xml-34-3	grimm_meistergesang_1811-536-11	FWetzel	2	 	Abgesang
