lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
Armenhaus	NN	1848	1	nn_nrhz219b_1849-191-10	 	Am 30. September 1848 befanden sich in den Workhouses (Armenhäusern) 113,996 Insassen; während der mit dem 30. Sept. endigenden Woche gab es 2847 Fieberkranke darunter, und 302 Todesfälle, d. h. es starben wöchentlich von 1000 Armenhausbewohnern 2 1/2 pCt.“	55:67	0:257
Armenhaus	NN	1959	2	2532889X_1959-10-23_01_105.tcf.xml-4-5	 	Schleswig-Holstein, oft als „Armenhaus\" Westdeutschlands bezeichnet, wird gegenwartig vom Kriegsministerium und vom NATO-Stab zur Aggressionsbasis Nr. 1 ausgebaut.	29:38	0:163
Armenhaus	NN	1956	2	2532889X_1956-04-01_01_196.tcf.xml-53-22	 	Sollte er, des vierspännigen Schulzen Sohn und Ältester, jetzt in der Schule, hier vor dem elfjährigen Bengel aus dem Armenhaus weichen?	118:127	0:136
Armenhaus	NE	1892	1	lehnert_seehaefen02_1892-1428-42	 	E Kensington-Bahnhof, F Broad-Station, G Washington-Station, H Germantown-Junction, J Balt. u. Ohio-Station, K Phil. & Read-Station, L North-Pennsylvania-Junction, M City-Hall (Public Buildings), N State House, O Naval-Asylum, P Armenhaus, Q Pennsylvania-Hospit.	229:238	0:262
Armenhaus	NN	1980	2	2532889X_1980-08-11_01_130.tcf.xml-13-6	 	Vor wenigen Jahren kamen auch ein Armenhaus und ein genossenschaftliches Molkereigebäude dazu.	34:43	0:94
Armenhaus	NN	1970	2	2532889X_1970-01-22_01_073.tcf.xml-17-6	 	Ohne umfangreiche Unterstützung wäre das „Armenhaus\" Europas, wie man Portugal nennt (niedrigstes Pro-Kopf-Einkommen Europas, 40 Prozent Analphabeten), überhaupt nicht in der Lage, den afrikanischen Terrorfeldzug zu führen.	42:51	0:223
Armenhaus	NN	1977	2	2532889X_1977-02-05_01_172.tcf.xml-28-9	 	Nicht nur in Regionen, die offen als „Armenhäuser Europas\" bezeichnet werden, wie Irland, Süditalien, bestimmte Gebiete in Spanien, Portugal und der Türkei, sondern auch in den entwickelten kapitalistischen Ländern gibt es Analphabeten, liegt die Kinder-und Müttersterblichkeit in den Armenvierteln erschreckend hoch, die Lebens -	38:49	0:330
Armenhaus	NN	1966	2	26120215_1966_02_20_01_008.tcf.xml-12-19	 	Über die ganze Breite der Straßen waren Transparente zu lesen: „Schluß mit den Zechenstilllesungen..Gelsenkirchen darf kein Armenhaus werden „wir wollen in unseren Wohnungen bleiben „Wir wollen keine Hilfsarbeiter werden\"	124:133	0:221
Armenhaus	NN	1985	2	2532889X_1985-06-01_01_203.tcf.xml-22-15	 	Sie bekamen das Recht auf Selbstverwaltung sowie Unterhalt eigener Schulen, Kirchen, Hospitäler und Armenhäuser zugesprochen.	100:111	0:125
Armenhaus	NN	1834	1	kerner_besessene_1834-1424-20	 	Nächstfolgenden Montag, Vormittags um zehn Uhr, ging ich, in Begleitung eines jener frommen Männer, wieder in’s Armenhaus, um zu erforschen, ob die andere Weibsperson, Namens Ursula, der erst Besessenen Stieftochter, wahrhaftig möchte besessen seyn, welches theils daraus zweifelhaft schien, weil diese Besessene nicht nur keine offenbare Merkzeichen der Besitzung wie die Erstere von sich sehen ließ, außer in den Augen, die ein sonderbares Ansehen hatten, sondern weil sie auch bey allem, was mit der erst Besessenen sowohl in der Kirche als im Armenhaus vorging, ganz stille blieb, theils daraus, daß sie selbst nicht mit der Sprache, sie sey besessen, heraus wollte, außer daß der böse Geist bisweilen wie ein Hahn aus ihr krähte.	112:121	0:734
Armenhaus	NN	1895	1	polenz_buettnerbauer_1895-9020-2	 	Aber in's Armenhaus sollten sie ihn doch nicht bekommen.	10:19	0:56
Armenhaus	NN	1953	2	26120215_1953_04_05_01_056.tcf.xml-58-10	 	Am 28. März dieses Jahres starb Jim Thorpe in einem Armenhaus in Los Angeles im Alter von 64 Jahren	52:61	0:99
Armenhaus	NN	1885	1	storm_riew_1885-35-14	 	Der Junge von dem Riew ’; er ist gleich vom Kirchhof in das Armenhaus gebracht.	60:69	0:79
Armenhaus	NN	1961	2	2532889X_1961-02-05_01_049.tcf.xml-139-6	 	wirkt, daß gerade im « Armenhaus\" Westdeutschlands die Menschen Ausschau zu halten beginnen, wie dem braunen Kurs ein Ende gemacht, die Kriegsgefahr gebannt, Demokratie und Frieden gerettet werden können.	23:32	0:204
Armenhaus	NN	1990	2	2532889X_1990-09-28_01_227.tcf.xml-2-14	 	Der Wohlstands-Michel, ein häßlicher Beau, heiratet sein elendes verprügeltes Cousinchen aus dem Armenhaus.	97:106	0:107
