identifier1	identifier2	annotator	judgment	comment	lemma
nn_maehrisches122_1895-141-18	26120215_1975_11_18_01_057.tcf.xml-8-24	FWetzel	4	 	Ausnahmegesetz
2532889X_1972-04-17_01_109.tcf.xml-3-10	26120215_1986_08_04_01_030.tcf.xml-17-10	FWetzel	4	 	Ausnahmegesetz
26120215_1979_05_03_01_278.tcf.xml-3-15	treitschke_geschichte02_1882-7390-17	FWetzel	4	 	Ausnahmegesetz
26120215_1952_10_08_01_181.tcf.xml-8-26	26120215_1965_01_28_01_172.tcf.xml-5-15	FWetzel	4	 	Ausnahmegesetz
26120215_1951_07_31_01_170.tcf.xml-30-16	26120215_1953_03_14_01_021.tcf.xml-45-22	FWetzel	4	 	Ausnahmegesetz
2532889X_1950-11-28_01_037.tcf.xml-5-16	26120215_1947_07_20_01_009.tcf.xml-4-1	FWetzel	4	 	Ausnahmegesetz
stein_handbuch_1870-2258-29	stein_handbuch_1870-2241-41	FWetzel	4	 	Ausnahmegesetz
buechner_kraft_1855-1408-48	herzl_judenstaat_1896-343-6	FWetzel	3	 	Ausnahmegesetz
2532889X_1950-09-19_01_013.tcf.xml-10-15	nn_nrhz213_1849-381-4	FWetzel	0	 	Ausnahmegesetz
26120215_1952_08_08_01_007.tcf.xml-28-14	26120215_1986_08_04_01_030.tcf.xml-17-10	FWetzel	4	 	Ausnahmegesetz
nn_nrhz045_1848-12-20	nn_nrhz110_1848-151-8	FWetzel	3	 	Ausnahmegesetz
26120215_1946_07_11_01_011.tcf.xml-13-17	vogt_thierstaaten_1851-807-4	FWetzel	3	 	Ausnahmegesetz
2532889X_1952-05-10_01_037.tcf.xml-36-3	26120215_1946_07_11_01_011.tcf.xml-13-17	FWetzel	4	 	Ausnahmegesetz
nn_nrhz083_1848-32-29	mommsen_roemische03_1856-4491-47	FWetzel	4	 	Ausnahmegesetz
treitschke_geschichte04_1889-3326-11	nn_nrhz213_1849-382-34	FWetzel	4	 	Ausnahmegesetz
nn_nrhz213_1849-378-9	2532889X_1989-03-18_01_122.tcf.xml-7-10	FWetzel	4	 	Ausnahmegesetz
treitschke_geschichte02_1882-7929-9	2532889X_1950-01-03_01_128.tcf.xml-30-26	Zori	4	 	Ausnahmegesetz
nn_nrhz083_1848-32-29	treitschke_geschichte03_1885-129-10	Zori	4	 	Ausnahmegesetz
2532889X_1957-07-10_01_010.tcf.xml-8-22	2532889X_1989-03-18_01_122.tcf.xml-7-10	Zori	4	 	Ausnahmegesetz
2532889X_1968-03-03_01_297.tcf.xml-42-19	2532889X_1966-05-13_01_030.tcf.xml-14-1	Zori	4	 	Ausnahmegesetz
2532889X_1949-07-23_01_149.tcf.xml-7-7	treitschke_geschichte02_1882-6355-47	Zori	4	 	Ausnahmegesetz
treitschke_geschichte03_1885-129-10	2532889X_1959-09-11_01_118.tcf.xml-2-8	Zori	4	 	Ausnahmegesetz
herzl_judenstaat_1896-343-6	treitschke_geschichte02_1882-7386-22	Zori	4	 	Ausnahmegesetz
2532889X_1948-10-22_01_041.tcf.xml-12-18	nn_nrhz213_1849-382-34	Zori	4	 	Ausnahmegesetz
2532889X_1952-05-10_01_037.tcf.xml-36-3	nn_nrhz045_1848-12-20	Zori	4	 	Ausnahmegesetz
goerres_revolution_1819-214-140	nn_nrhz156_1848-336-12	Zori	4	 	Ausnahmegesetz
mommsen_roemische03_1856-4686-25	2532889X_1950-01-03_01_128.tcf.xml-30-26	Zori	3	 	Ausnahmegesetz
2532889X_1950-01-03_01_128.tcf.xml-30-26	nn_maehrisches30_1884-295-18	Zori	4	 	Ausnahmegesetz
26120215_1986_10_02_01_148.tcf.xml-24-5	2532889X_1949-07-23_01_149.tcf.xml-7-7	Zori	4	 	Ausnahmegesetz
26120215_1952_10_08_01_181.tcf.xml-8-26	2532889X_1948-10-21_01_062.tcf.xml-23-47	Zori	4	 	Ausnahmegesetz
2532889X_1953-02-21_01_043.tcf.xml-102-5	mommsen_roemische03_1856-4686-25	Zori	3	 	Ausnahmegesetz
nn_maehrisches30_1884-96-11	aston_emancipation_1846-157-20	Zori	4	 	Ausnahmegesetz
nn_nrhz126_1848-448-17	treitschke_geschichte02_1882-6355-47	Zori	4	 	Ausnahmegesetz
nn_maehrisches19_1890-184-13	treitschke_geschichte04_1889-3326-11	Zori	4	 	Ausnahmegesetz
nn_maehrisches71_1886-92-28	26120215_1951_07_31_01_170.tcf.xml-30-16	Zori	4	 	Ausnahmegesetz
2532889X_1974-06-19_01_112.tcf.xml-4-19	bierbaum_stilpe_1897-1639-6	Zori	0	 	Ausnahmegesetz
buechner_kraft_1855-1408-48	2532889X_1989-03-18_01_122.tcf.xml-7-10	Zori	4	 	Ausnahmegesetz
2532889X_1972-04-17_01_109.tcf.xml-3-10	2532889X_1947-05-01_01_039.tcf.xml-8-20	Zori	3	 	Ausnahmegesetz
nn_nrhz083_1848-36-10	2532889X_1950-01-03_01_128.tcf.xml-30-26	Zori	3	 	Ausnahmegesetz
26120215_1966_09_20_01_221.tcf.xml-46-8	2532889X_1951-02-06_01_129.tcf.xml-7-1	Zori	3	 	Ausnahmegesetz
2532889X_1967-03-18_01_069.tcf.xml-8-38	2532889X_1955-07-31_01_075.tcf.xml-3-21	Zori	4	 	Ausnahmegesetz
nn_maehrisches30_1884-96-11	2532889X_1985-07-23_01_098.tcf.xml-4-13	Zori	4	 	Ausnahmegesetz
nn_nrhz083_1848-36-10	nn_maehrisches30_1884-96-11	Zori	3	 	Ausnahmegesetz
nn_nrhz058b_1848-163-19	26120215_1965_06_03_01_027.tcf.xml-12-6	Zori	4	 	Ausnahmegesetz
26120215_1951_04_26_01_029.tcf.xml-29-14	26120215_1985_03_12_01_140.tcf.xml-4-4	Zori	4	 	Ausnahmegesetz
nn_maehrisches19_1890-184-13	26120215_1969_02_26_01_309.tcf.xml-4-18	Zori	0	 	Ausnahmegesetz
2532889X_1950-09-19_01_013.tcf.xml-10-15	26120215_1967_02_26_01_510.tcf.xml-116-10	Zori	4	 	Ausnahmegesetz
2532889X_1957-09-24_01_044.tcf.xml-25-5	nn_nrhz176_1848-400-20	FWetzel	3	 	Ausnahmegesetz
nn_nrhz122_1848-209-18	2532889X_1957-07-10_01_010.tcf.xml-8-22	FWetzel	4	 	Ausnahmegesetz
26120215_1986_08_04_01_030.tcf.xml-17-10	2532889X_1972-01-12_01_090.tcf.xml-15-25	FWetzel	4	 	Ausnahmegesetz
treitschke_geschichte02_1882-7390-17	2532889X_1966-07-09_01_053.tcf.xml-47-20	FWetzel	3	 	Ausnahmegesetz
2532889X_1985-11-28_01_077.tcf.xml-45-9	26120215_1985_01_24_01_143.tcf.xml-22-33	FWetzel	4	 	Ausnahmegesetz
2532889X_1950-11-28_01_037.tcf.xml-5-16	nn_maehrisches30_1884-96-11	FWetzel	4	 	Ausnahmegesetz
2532889X_1975-09-20_01_251.tcf.xml-26-18	2532889X_1959-10-16_01_030.tcf.xml-14-12	FWetzel	3	 	Ausnahmegesetz
2532889X_1948-10-21_01_062.tcf.xml-23-47	2532889X_1965-01-28_01_103.tcf.xml-20-16	FWetzel	4	 	Ausnahmegesetz
2532889X_1974-06-01_01_232.tcf.xml-47-56	2532889X_1947-07-05_01_044.tcf.xml-13-14	FWetzel	4	 	Ausnahmegesetz
26120215_1977_08_04_01_124.tcf.xml-20-8	2532889X_1968-04-03_01_115.tcf.xml-43-6	FWetzel	4	 	Ausnahmegesetz
26120215_1962_03_17_01_041.tcf.xml-6-37	2532889X_1974-06-19_01_112.tcf.xml-4-19	FWetzel	4	 	Ausnahmegesetz
2532889X_1957-07-10_01_010.tcf.xml-8-22	2532889X_1989-03-18_01_122.tcf.xml-7-10	FWetzel	4	 	Ausnahmegesetz
26120215_1974_12_21_01_209.tcf.xml-3-11	nn_nrhz126_1848-448-17	FWetzel	3	 	Ausnahmegesetz
nn_nrhz213_1849-382-34	2532889X_1946-12-21_01_050.tcf.xml-21-9	FWetzel	4	 	Ausnahmegesetz
26120215_1958_11_04_01_004.tcf.xml-38-19	herzl_judenstaat_1896-343-6	FWetzel	3	 	Ausnahmegesetz
savigny_system08_1849-4652-10	stein_handbuch_1870-2241-41	FWetzel	3	 	Ausnahmegesetz
nn_maehrisches30_1884-295-18	nn_nrhz213_1849-381-4	FWetzel	0	 	Ausnahmegesetz
treitschke_geschichte03_1885-4993-23	vogt_thierstaaten_1851-807-4	FWetzel	3	 	Ausnahmegesetz
nn_nrhz088089_1848-399-9	treitschke_geschichte03_1885-11386-19	FWetzel	4	 	Ausnahmegesetz
26120215_1953_03_14_01_021.tcf.xml-45-22	2532889X_1960-11-14_01_029.tcf.xml-7-6	FWetzel	4	 	Ausnahmegesetz
26120215_1967_02_26_01_510.tcf.xml-116-10	26120215_1985_03_12_01_140.tcf.xml-4-4	FWetzel	4	 	Ausnahmegesetz
nn_nrhz045_1848-12-20	treitschke_geschichte04_1889-3326-11	FWetzel	3	 	Ausnahmegesetz
2532889X_1974-06-01_01_232.tcf.xml-47-56	26120215_1948_09_22_01_011.tcf.xml-17-6	FWetzel	4	 	Ausnahmegesetz
2532889X_1960-11-14_01_029.tcf.xml-7-6	2532889X_1951-02-06_01_129.tcf.xml-7-1	FWetzel	4	 	Ausnahmegesetz
26120215_1964_09_15_01_069.tcf.xml-25-22	26120215_1953_07_14_01_219.tcf.xml-2-35	FWetzel	4	 	Ausnahmegesetz
2532889X_1950-01-03_01_128.tcf.xml-30-26	26120215_1952_10_08_01_181.tcf.xml-8-26	FWetzel	3	 	Ausnahmegesetz
bierbaum_stilpe_1897-1639-6	26120215_1952_10_08_01_181.tcf.xml-8-26	FWetzel	3	 	Ausnahmegesetz
2532889X_1953-02-21_01_043.tcf.xml-102-5	2532889X_1979-07-03_01_095.tcf.xml-3-39	FWetzel	4	 	Ausnahmegesetz
treitschke_geschichte03_1885-11544-11	2532889X_1963-03-19_01_054.tcf.xml-8-43	FWetzel	4	 	Ausnahmegesetz
2532889X_1985-03-12_01_086.tcf.xml-3-5	nn_maehrisches30_1884-304-37	FWetzel	4	 	Ausnahmegesetz
26120215_1975_11_18_01_057.tcf.xml-8-24	26120215_1952_08_08_01_007.tcf.xml-28-14	FWetzel	4	 	Ausnahmegesetz
26120215_1964_09_15_01_069.tcf.xml-25-22	2532889X_1963-03-19_01_054.tcf.xml-8-43	FWetzel	4	 	Ausnahmegesetz
26120215_1969_02_26_01_309.tcf.xml-4-18	26120215_1967_02_26_01_510.tcf.xml-56-27	FWetzel	4	 	Ausnahmegesetz
26120215_1973_09_26_01_165.tcf.xml-4-4	2532889X_1974-06-01_01_232.tcf.xml-47-56	FWetzel	4	 	Ausnahmegesetz
nn_maehrisches30_1884-96-11	nn_maehrisches71_1886-92-28	FWetzel	4	 	Ausnahmegesetz
2532889X_1972-04-17_01_109.tcf.xml-3-10	26120215_1963_06_01_01_068.tcf.xml-26-4	FWetzel	4	 	Ausnahmegesetz
26120215_1979_09_20_01_059.tcf.xml-4-9	2532889X_1983-01-21_01_100.tcf.xml-38-29	FWetzel	4	 	Ausnahmegesetz
2532889X_1968-04-03_01_115.tcf.xml-43-6	26120215_1969_02_26_01_309.tcf.xml-4-18	FWetzel	3	 	Ausnahmegesetz
goerres_revolution_1819-214-140	2532889X_1966-12-11_01_221.tcf.xml-20-18	FWetzel	0	 	Ausnahmegesetz
herzl_judenstaat_1896-343-6	nn_nrhz083_1848-32-29	FWetzel	3	 	Ausnahmegesetz
stein_handbuch_1870-2277-13	bierbaum_stilpe_1897-1639-6	FWetzel	3	 	Ausnahmegesetz
26120215_1981_10_08_01_031.tcf.xml-8-12	26120215_1947_12_11_01_012.tcf.xml-8-20	FWetzel	4	 	Ausnahmegesetz
2532889X_1960-11-14_01_029.tcf.xml-7-6	bierbaum_stilpe_1897-1639-6	FWetzel	3	 	Ausnahmegesetz
treitschke_geschichte02_1882-6355-47	26120215_1952_08_08_01_007.tcf.xml-28-14	stekade	3	 	Ausnahmegesetz
2532889X_1985-11-28_01_077.tcf.xml-45-9	nn_nrhz083_1848-43-22	stekade	3	 	Ausnahmegesetz
2532889X_1979-07-03_01_095.tcf.xml-3-39	treitschke_geschichte02_1882-7390-17	stekade	3	 	Ausnahmegesetz
2532889X_1965-06-26_01_090.tcf.xml-4-23	buechner_kraft_1855-1409-44	stekade	2	 	Ausnahmegesetz
