lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
Festspiel	NN	1972	2	2532889X_1972-06-14_01_032.tcf.xml-19-17	 	Obwohl das Forum am Beginn der 4. Betriebsfestspiele stand, konnten die Kulturfunktionäre schon Anregungen für die Festspiele des kommenden Jahres notieren:	115:125	0:156
Festspiel	NN	1875	1	curtius_alterthum01_1875-2334-75	 	Mit ihrem künstlerischen Sinne haben die Athener auch das Schriftwesen aufgefaßt und fortgebildet, und die herrliche Größe ihres Staates bezeugen neben dem Parthenon die zahllosen Marmorsteine, welche die Schätze der Stadtgöttin, den Schoß der Bundesgenossen, den Bestand der Land-und Seemacht aufrechnen, und frühzeitig hat man begonnen, einzelne Thatsachen, die dem Gedächtnisse leicht entschwinden, wie die Namen der Könige, der Priester, der Sieger in den Festspielen aufzuzeichnen.	460:471	0:486
Festspiel	NN	1881	1	bastian_voelkergedanke_1881-1068-2	 	Nur durch Festspiele aus eigenen Mitteln zu bestreiten, konnte (in Rom) die Aedilität erlangt werden, als erste Stufe zum Amtsadel (worin die senatorischen Familien nicht nach Geschlechtsahnen, sondern nach Amtsehren zählten).	10:20	0:226
Festspiel	NN	1967	2	2532889X_1967-08-17_01_179.tcf.xml-2-8	 	Während in den vergangenen Jahren die Veranstaltungen der Festspiele in München, Salzburg und Bayreuth bereits Monate vorher ausverkauft waren, blieben dieses Jahr -offensichtlich aus wirtschaftlichen Erwägungen — viele Besucher aus.	58:68	0:233
Festspiel	NN	1962	2	26120215_1962_07_28_01_076.tcf.xml-10-6	 	Das weltweite Echo, das die Festspiele in aller Welt finden, kommt in zahlreichen Grußsch reiben 7um	28:38	0:100
Festspiel	NN	1954	2	26120215_1954_03_19_01_176.tcf.xml-34-13	 	Es liegt auf der gleichen Linie der Entwicklung, wenn anläßlich der gegenwärtigen Festspiele der ländlichen Laienkunst in der Russischen Föderation der Minister für Kultur der RSFSR. T. Sujewa. auf die notwendige ständige Unterstützung durch die Berufskünstler hinwies	82:92	0:268
Festspiel	NN	1852	1	vischer_aesthetik030201_1852-999-44	 	Auf den großen Versammlungs-und Festräumen stehen nun aber naturgemäß auch die Denkmale für die großen Männer des Staats, der Wissenschaft, Kunst und, wo gleichmäßige Entwicklung der menschlichen Kräfte in ihrem unendlichen Werth erkannt ist, für die Sieger in den Festspielen.	265:276	0:277
Festspiel	NN	1953	2	2532889X_1953-10-24_01_054.tcf.xml-18-2	 	Auf den Festspielen, die die Direktion der Internationalen Landwirtschaftsausstellung veranstaltete, liefen über dreihundert Streifen aus 28 Ländern.	8:19	0:149
Festspiel	NN	1954	2	26120215_1954_03_19_01_176.tcf.xml-6-16	 	Bei den Kreisausscheiden in Berlin und bei den gegenwärtig stattfindenden Bezirksausscheiden im Rahmen der Wettbewerbe und Festspiele der Volkskunst 1 95X54 brachten einige Dramatische Zirkel literarisch anspruchsvolle Werke oderSzenen aus ihnen auf die Bühne, deren Darstellung gewiß nicht in jedem Falle befriedigte.	123:133	0:318
Festspiel	NN	1970	2	2532889X_1970-06-04_01_194.tcf.xml-12-5	 	Am 12. Juni werden die Festspiele bei uns mit Beethovens 9. Sinfonie eröffnet.	23:33	0:78
Festspiel	NN	1845	1	humboldt_kosmos01_1845-3053-33	 	Nach Böckh's scharfsinniger Bemerkung hat der alte Mythus des Nemäischen Mondlöwen einen astronomischen Ursprung und hängt symbolisch in der Chronologie mit den Schaltcyklen des Mondjahres, dem Mondcultus zu Nemea und den dortigen Festspielen zusammen.	231:242	0:252
Festspiel	NN	1889	1	wilamowitz_tragoedie_1889-63-52	 	Glaubwürdig ist die notiz, weil die institution des proagon früh verfallen und aus dem gedächtnisse der gelehrten geraten ist, sie muss also verhältnismässig alt sein und wird auf einen der alten peripatetiker zurückgehen. inhaltlich ist sie wahrscheinlich, weil die ehrenbezeugung eine so schlichte und im geiste des dionysischen festspieles gehaltene ist (vgl. zu vers 677). die nachrichten über den tod des Sophokles sind alle geschichtlich unverwendbar.	331:342	0:457
Festspiel	NN	1988	2	2532889X_1988-09-12_01_059.tcf.xml-9-4	 	sition sind die Berliner Festspiele GmbH, die Galerie Brusberg und der Staatliche Kunsthandel der DDR.	25:35	0:102
Festspiel	NN	1957	2	26120215_1957_06_30_02_027.tcf.xml-13-15	 	Neben dem Wettstrelt auf dem grünen Rasen und auf der Aschenbahn sind im Rahmenprogramm der Festspiele noch Dampferfahrten.	92:102	0:123
Festspiel	NN	1966	2	2532889X_1966-05-24_01_254.tcf.xml-1-58	 	Über mehrerlei konnte man sich freuen, als die im Leistungsvergleich der Berliner Laienkabaretts als Beste ermittelten vier Kollektive im Haus der.Distel ihre Programme zeigten: erstens über die Tatsache, daß es nicht nur einige Höhepunkte, sondern trotz Schwächen sehr anerkennenswerte Programme zu sehen gab; im vergangenen Jahr hatte nämlich Berlin für die Arbeiter-Festspiele nicht * festspiele nichts dergleichen anzubieten.	369:379	0:429
Festspiel	NN	1982	2	2532889X_1982-03-06_01_266.tcf.xml-51-12	 	Radio DDR I: 10.05 Lebendige Geschichte 10.20 Orc 11.00 liiederstunde Salzburger Festspiele 1981 12.06 Musik an alle -für alle 13.15 Blues -Jazz -Rock 14.00 Stunde der Weltliteratur 15.06 Variationen mit Thema 16.00 Christine, Feature 17.00 Das internationale Konzert 18J0 Ta& tenze&t... die wahre Art,	81:91	0:302
Festspiel	NN	1952	2	2532889X_1952-06-18_01_143.tcf.xml-4-28	 	Damit kommt zum Ausdruck, wie sich die Regierung der Deutschen Demokratischen Republik mit der Kunst der deutschen • Werk-> tätigen verbunden fühlt und welche Bedeutung sie den Festspielen ge-> rade in der gegenwärtigen Situation betmißt, Schon	177:188	0:244
Festspiel	NN	1833	1	droysen_alexander_1833-2158-11	 	Nachdem Alexander seinem Heere einige Rast gegönnt, nach Hellenischer Sitte Festspiele und Wettkämpfe angestellt und den Göttern geopfert hatte, brach er aus der Hyrkanischen Residenz auf.	76:86	0:188
Festspiel	NN	1953	2	2532889X_1953-09-03_01_064.tcf.xml-2-2	 	In diesen Festspielen soll des großen deutschen Bauern revolutionäre Thomas Münzer, der in AI stedt wirkte.	10:21	0:107
Festspiel	NN	1946	2	2532889X_1946-04-25_01_009.tcf.xml-4-16	 	In Deutschland ist er besonder « in den Jahren 1930/1932 als einer der Hauptdirigenten der Bayreuther Festspiele bekanntgeworden.	102:112	0:129
Festspiel	NN	1857	1	vischer_poetik_1857-3598-48	 	Allein auf jenem Felde konnte sich die naive Dichtung neben der entwickelten Kunstpoesie nicht fortbehaupten; im ernsten Gebiete kennt das Volk keine andere Jdealität, als die mythische, und bringt es nie vom halb Epischen zum ächt Dramatischen; die Hoffnungen, die man an die Festspiele im bairischen Gebirge knüpfte, waren irrig.	277:287	0:331
Festspiel	NN	1884	1	beck_eisen01_1884-8362-68	 	Während zu Anfang der punischen Kriege sich die Karthagischen Gesandten zu Haus darüber lustig machten, dass sie in allen Häusern, in denen sie in Rom eingeladen gewesen seien, von demselben silbernen Tafelgerät hätten speisen müssen; so zählte man zu Sullas Zeit allein über 150 Stück schwere, silberne Prachtschüsseln, jede über 100 Pfund Gewicht, in Rom, und als der junge Cäsar Festspiele zu Ehren seines verstorbenen Vaters veranstaltete, liess er alle Geräte im Zirkus von Silber machen.	382:392	0:493
Festspiel	NN	1961	2	2532889X_1961-05-28_01_045.tcf.xml-26-13	 	Wer die Zuschauer, die Mitspielenden und Mitgestalter aus dem Volke bei diesen Festspielen beobachtete, wird eingestehen müssen, daß dort etwas Neues entstanden war.	79:90	0:165
Festspiel	NN	1893	1	nn_maehrisches166_1893-355-14	 	— Gegenwärtig weilt die Künstlerin in Bayreuth, um sich dort für die nächstjährigen Festspiele vorzubereiten.	84:94	0:109
Festspiel	NN	1971	2	2532889X_1971-05-09_01_065.tcf.xml-4-7	 	Sie erbringen außerdem den Beweis, daß Festspiele nicht nur eine Angelegenheit von Großbetrieben oder Kombinaten sein müssen.	39:49	0:125
Festspiel	NN	1884	1	beck_eisen01_1884-7268-12	 	Zu Hesiods Zeit war es eine angesehene Stadt, in der grosse Festspiele abgehalten wurden, ähnlich den isthmischen und olympischen.	60:70	0:130
Festspiel	NN	1951	2	2532889X_1951-02-27_01_022.tcf.xml-5-16	 	Außerdem ist eine Nationalkonferenz der demokratischen Jugendorganisationen Großbritanniens einberufen worden, auf der die Vorbereitung der Festspiele erörtert werden soll.	140:150	0:172
Festspiel	NN	1884	1	beck_eisen01_1884-7269-3	 	Zu einem solchen Festspiele war der Dichter selbst gezogen und hatte einen Siegespreis durch sein Lied errungen.	17:27	0:112
Festspiel	NN	1985	2	2532889X_1985-05-25_01_062.tcf.xml-40-30	 	Besonders hervorzuheben ist die Aufführung der Bachschen Matthäus-Passion durch die Staatskapelle unter Leitung von Peter Schreier, der auch die Partie des Evangelisten singt Die Philharmonie bietet zum Abschluß der Festspiele Händeis „Judas Makkabäus\" unter der Leitung von Herbert Kegel.	216:226	0:289
Festspiel	NN	1873	1	wackernagel_poetik_1873-2038-21	 	Wir haben nämlich von ihm fast nur Epinikien und Enkomien: Siegeslieder und Lobgesänge, verfasst auf die Sieger bei nationalen Festspielen.	127:138	0:139
Festspiel	NN	1968	2	26120215_1968_06_05_01_084.tcf.xml-6-8	 	Auch künstlerische Veranstaltungen wie die jährlich durchgeführten Internationalen Festspiele erhalten durch die	83:93	0:112
Festspiel	NN	1951	2	26120215_1951_08_21_01_033.tcf.xml-79-2	 	Die Berliner Festspiele werden In der Geschichte der Weltjugend und insbesondere in der Geschichte der Jugend Frankreichs ein wichtiger Meilenstein sein.	13:23	0:153
Festspiel	NN	1957	2	2532889X_1957-06-09_01_045.tcf.xml-3-9	 	Die internationale Anerkennung, die ihm kürzlich auf den Festspielen in Cannes zuteil geworden, beweist es ebenso wie die Ergriffenheit des Publikums in den Vorstellungen bei uns.	57:68	0:179
Festspiel	NN	1951	2	26120215_1951_07_04_01_011.tcf.xml-12-10	 	Dies ermöglicht den Jugenihchen des Betriebes die Teilnahme an den Festspielen, ohne daß die Produktion gehemmt wird.	67:78	0:117
Festspiel	NN	1978	2	2532889X_1978-06-22_01_052.tcf.xml-39-10	 	Es wird interessant sein, wie das Publikum der Internationalen Festspiele in Lausanne reagiert, wo das Ensemble unserer Staatsoper vom 24. Juni bis 3. Juli mit „Einstein Händeis „Julius Cäsar\", Mozarts „Cosi fan tutte\" und „Titus\" sowie mit Wagners „Fliegendem Holländer\" gastiert.	63:73	0:281
Festspiel	NN	1834	1	boerne_paris05_1834-918-7	 	Herr von Poißl wollte Sophokles gerade sein Festspiel Vergangenheit und Zukunft überreichen, als Trommelwirbel Stille gebot.	44:53	0:124
Festspiel	NN	1951	2	26120215_1951_07_27_01_026.tcf.xml-45-21	 	Zur gleichen Zeit, wenn hier in Berlin die Weltfestspiele stattfinden, werden in vielen Ländern von den Daheimi gebliebenen nationale Festspiele veranstaltet.	134:144	0:158
Festspiel	NN	1955	2	2532889X_1955-08-24_01_145.tcf.xml-47-31	 	Wir lernen ein neues Lied zum Schulanfang — 16.00: Heinrich Huck und sein Streichorchester musizieren — 16.25: Unterhaltungsmusik mit dem Estradenorchester dea Rumänischen Rundfunks — • 16.50: Salzburger Festspiele 1955 — 17.20: Literarische Reportage	204:214	0:251
Festspiel	NN	1871	1	bauer_buehnenleben_1871-1040-5	 	Das Turnier ging nebst dem Festspiel am 15. Oktober, dem Geburtstage des Kronprinzen, glänzend von statten.	27:36	0:107
Festspiel	NN	1951	2	2532889X_1951-08-17_01_036.tcf.xml-6-12	 	Es könnten (?) Millionen sein, die sich zu wahren Festspielen der lugend Europas begegnen Statt dessen hören sie das Stalin-Geschrei und das Hände= über-dem*Kopf*Zusammenschlagen über die Sektorengrenzen Berlins in die Weite dringen.	50:61	0:233
Festspiel	NN	1814	1	gottschalck_sagen_1814-440-24	 	(Beiläufig sey es gesagt – die Historienschreiber meinen, der Jüngling Helias sey gekommen aus dem Berge Grale, wie man nannte ein Festspiel, worauf es herging lustig und liederlich, so daß er also ein Kind der Liebe zu nennen sey.)	131:140	0:232
Festspiel	NN	1985	2	26120215_1985_07_27_01_337.tcf.xml-5-2	 	Die Salzburger Festspiele 1985 sind vom österreichischen Bundespräsidenten Dr. Rudolf Kirchschläger eröffnet worden.	15:25	0:116
Festspiel	NN	1875	1	curtius_alterthum01_1875-1899-19	 	So erwuchs ein fruchtbarer Völkerverkehr, und wenn man die Terrasse, von welcher die Vertreter gastbefreundeter Nationen den Festspielen als Ehrengäste beiwohnten, den Griechenstand nannte, so entnehmen wir schon daraus, daß nach Verschmelzung mit den Latinern der nächste Fortschritt darin bestand, daß Rom mit den Griechen, namentlich den in Gallien ansässigen, in gastfreundliche Beziehungen trat, und so ist die Stadt von Stufe zu Stufe im internationalen Verkehr weiter geführt und durch die Gastfreundschaft für seinen Weltberuf allmählich ausgebildet worden.	125:136	0:565
Festspiel	NN	1824	1	mueller_hellenische03_1824-4417-23	 	Im Ganzen hatte der Dorische Stamm offenbar weniger Geschick und Neigung als der Attische, aus freien Regungen poëtischen Gefühls, wie sie Festspiele veranlaßten, Litteraturgattungen zu bilden.	139:149	0:193
Festspiel	NN	1954	2	26120215_1954_04_08_01_243.tcf.xml-3-2	 	Wahrend der Festspiele, die bis zum 9. April dauern, werden insgesamt 115 Filme gezeigt	12:22	0:87
Festspiel	NN	1951	2	2532889X_1951-08-02_01_035.tcf.xml-21-2	 	Bei den Festspielen werden alle Länder Europas vertreten sein, 38 Kolonialländer, 17 Länder Lateinamerikas, alle Länder Asiens.	8:19	0:127
Festspiel	NN	1989	2	26120215_1989_05_02_01_228.tcf.xml-2-8	 	Sechs Bühnen der Hauptstadt beteiligen sich an ausländischen Festspielen und Festivals, darunter an den Wiener Festwochen, den Schwetzinger Festspielen und erstmals am Theatertreffen Berlin (West).	61:72	0:197
Festspiel	NN	1970	2	2532889X_1970-07-10_01_066.tcf.xml-23-4	 	Das wichtigste Anliegen dieser Festspiele, uuf die Erhöhung der inhaltlichen und künstlerischen Qualität des Volkskunstschaffens hinzuwirken.	31:41	0:141
Festspiel	NN	1972	2	2532889X_1972-07-01_01_321.tcf.xml-5-16	 	F\"'* **>\"•* zur Xonsti-Festig Pkomil des Nationa en der DDR fft. die Festspiele, 1972	69:79	0:85
Festspiel	NN	1986	2	2532889X_1986-12-06_01_065.tcf.xml-5-12	 	Für das hohe Niveau des Chores spricht, daß er bei den Festspielen eine Goldmedaille erringen konnte.	55:66	0:101
Festspiel	NN	1873	1	wackernagel_poetik_1873-2055-14	 	Der Sieg, den irgend ein vielleicht sonst namenloser Grieche in diesem oder jenem Festspiele errungen hat, giebt ihm Anstoss und Anlass, der ist das epische Motiv und ein an und für sich nicht eben sonderlich bedeutendes.	82:92	0:221
Festspiel	NN	1977	2	2532889X_1977-08-15_01_165.tcf.xml-2-24	 	Radio DDR II 10.45 Die Episode; 13.10 Mitschnitt-Service 15.05 Opernkonzert; 16.00 Klaviermusik; 17.45 Folklore hin — Folklore her: 19.30 Salzburger Festspiele 1977; 21.45 Montag, Viertel vor zehn.	149:159	0:197
Festspiel	NN	1951	2	26120215_1951_07_15_01_006.tcf.xml-34-10	 	Ihrer Kulturdelegation gehören 1300 Künstler an, die während der Festspiele allein 25mal auftreten werden, Das bekannte polnische Masowcze-Ensemble wird schon am 26. Juli in Deutschland eintreffen und auf einer Tournee durch die DDR Ausschnitte aus dem Kulturleben Volkspolens zeigen.	65:75	0:284
Festspiel	NN	1955	2	26120215_1955_08_18_01_031.tcf.xml-25-15	 	Das aber muß man in Bayreuth vorher merken und regulieren; die eigentliche Aufgabe der Festspiele fängt ja erst dort an, wo die musikalische Erstrangigkeit gesicherte Voraussetzung ist.	87:97	0:185
