identifier1	identifier2	annotator	judgment	comment	lemma
brehm_thierleben02_1865-18971-2	26120215_1957_12_28_01_192.tcf.xml-10-10	FWetzel	3	 	Fuß
beck_eisen02_1895-4045-16	2532889X_1986-07-05_01_164.tcf.xml-30-38	FWetzel	2	 	Fuß
beck_eisen03_1897-18606-9	26120215_1948_03_14_01_179.tcf.xml-4-24	FWetzel	1	 	Fuß
boerne_paris05_1834-752-17	kleist_kaethchen_1810-143-2	FWetzel	3	 	Fuß
2532889X_1946-12-31_01_185.tcf.xml-36-6	nettelbeck_lebensbeschreibung02_1821-1836-37	FWetzel	1	 	Fuß
26120215_1975_03_19_01_119.tcf.xml-76-17	2532889X_1986-07-05_01_164.tcf.xml-30-38	FWetzel	4	 	Fuß
26120215_1954_01_13_01_190.tcf.xml-11-12	2532889X_1976-01-09_01_105.tcf.xml-8-2	FWetzel	2	 	Fuß
26120215_1967_10_27_01_297.tcf.xml-29-9	2532889X_1987-04-02_01_133.tcf.xml-8-15	FWetzel	2	 	Fuß
boerne_paris05_1834-752-17	immermann_muenchhausen03_1839-527-21	FWetzel	3	 	Fuß
26120215_1963_02_15_01_093.tcf.xml-44-22	pocci_komoedienbuechlein05_1875-986-5	FWetzel	3	 	Fuß
2532889X_1960-09-15_01_034.tcf.xml-399-15	vogt_briefe01_1851-8512-20	FWetzel	2	 	Fuß
brehm_thierleben05_1869-523-21	2532889X_1952-05-17_01_119.tcf.xml-6-26	FWetzel	1	 	Fuß
2532889X_1955-09-27_01_013.tcf.xml-15-41	schreiner_halket_1898-961-5	FWetzel	2	 	Fuß
26120215_1985_05_30_01_200.tcf.xml-47-16	2532889X_1951-01-30_01_015.tcf.xml-30-35	FWetzel	2	 	Fuß
26120215_1973_05_16_01_210.tcf.xml-1-2	brehm_thierleben03_1866-8697-7	FWetzel	1	 	Fuß
26120215_1967_10_27_01_297.tcf.xml-29-9	26120215_1965_05_18_01_034.tcf.xml-71-12	FWetzel	2	 	Fuß
berg_ostasienzoologie01_1876-648-28	26120215_1957_12_28_01_192.tcf.xml-10-10	FWetzel	1	 	Fuß
26120215_1964_09_06_01_397.tcf.xml-28-4	26120215_1974_07_26_01_175.tcf.xml-90-20	FWetzel	4	 	Fuß
26120215_1985_12_04_01_069.tcf.xml-7-23	26120215_1978_06_28_01_138.tcf.xml-18-4	FWetzel	0	 	Fuß
mueller_hellenische03_1824-4149-21	26120215_1956_03_07_01_185.tcf.xml-33-22	FWetzel	2	 	Fuß
2532889X_1953-07-31_01_116.tcf.xml-41-13	brehm_thierleben02_1865-13067-13	FWetzel	1	 	Fuß
brehm_thierleben05_1869-9119-11	werner_seeleben_1880-1357-26	FWetzel	4	 	Fuß
beck_eisen02_1895-6868-25	26120215_1989_11_25_01_265.tcf.xml-17-4	FWetzel	1	 	Fuß
2532889X_1966-12-31_01_329.tcf.xml-2-7	list_transportsystem_1838-1077-16	FWetzel	1	 	Fuß
26120215_1962_06_19_01_227.tcf.xml-2-7	brehm_thierleben04_1867-4378-18	FWetzel	3	 	Fuß
daumer_krone_1859-245-40	26120215_1977_05_28_01_005.tcf.xml-7-4	Zori	2	 	Fuß
berg_ostasienzoologie02_1867-6940-9	brehm_thierleben02_1865-21054-12	Zori	1	 	Fuß
gerstner_mechanik02_1832-7575-14	blumenbach_naturgeschichte_1821-2448-17	Zori	2	 	Fuß
2532889X_1982-07-31_01_468.tcf.xml-75-11	2532889X_1970-01-16_01_097.tcf.xml-3-16	Zori	2	 	Fuß
2532889X_1959-04-11_01_168.tcf.xml-12-18	26120215_1989_11_25_01_265.tcf.xml-17-4	Zori	0	 	Fuß
brehm_thierleben02_1865-3357-37	beck_eisen03_1897-5168-10	Zori	2	 	Fuß
brehm_thierleben02_1865-20071-12	brehm_thierleben04_1867-3770-37	Zori	3	 	Fuß
poelitz_poetik_1825-5331-20	kuernberger_amerikamuede_1855-8717-43	Zori	4	 	Fuß
2532889X_1981-06-03_01_055.tcf.xml-18-25	26120215_1990_08_01_01_663.tcf.xml-16-10	Zori	3	 	Fuß
2532889X_1946-12-17_01_045.tcf.xml-14-3	daumer_krone_1859-245-40	Zori	4	 	Fuß
goethe_wahlverw01_1809-1491-15	humboldt_kosmos01_1845-1696-49	Zori	2	 	Fuß
26120215_1973_05_16_01_210.tcf.xml-1-2	2532889X_1973-12-31_01_327.tcf.xml-5-20	Zori	1	 	Fuß
brehm_thierleben04_1867-4378-18	immermann_muenchhausen03_1839-527-21	Zori	3	 	Fuß
blumenbach_naturgeschichte_1821-2448-17	brehm_thierleben06_1869-18710-26	Zori	1	 	Fuß
2532889X_1954-08-31_01_050.tcf.xml-20-15	humboldt_meer_1833-131-41	Zori	2	 	Fuß
brehm_thierleben02_1865-9265-59	grimm_maerchen02_1857-3586-38	Zori	4	 	Fuß
26120215_1963_06_16_01_335.tcf.xml-14-33	arnimb_goethe01_1835-799-56	Zori	4	 	Fuß
2532889X_1965-03-06_01_021.tcf.xml-9-16	gerstner_mechanik01_1831-4144-22	Zori	2	 	Fuß
26120215_1975_03_05_01_109.tcf.xml-20-5	2532889X_1954-08-31_01_050.tcf.xml-20-15	Zori	4	 	Fuß
26120215_1967_12_30_01_172.tcf.xml-8-13	bierbaum_stilpe_1897-2124-11	Zori	4	 	Fuß
rossmaessler_wald_1863-4966-33	26120215_1961_05_31_01_131.tcf.xml-11-19	Zori	2	 	Fuß
2532889X_1946-12-31_01_185.tcf.xml-36-6	paul_titan03_1802-2290-34	Zori	0	 	Fuß
2532889X_1985-10-11_01_137.tcf.xml-2-27	goethe_wahlverw01_1809-1491-15	Zori	4	 	Fuß
humboldt_kosmos01_1845-4158-34	humboldt_kosmos04_1858-1330-8	Zori	4	 	Fuß
