lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
Lyzeum	NN	1956	2	26120215_1956_06_10_02_010.tcf.xml-2-22	 	Eine Langspielplatte „Die Lehre von Marx\" hat der Pariser Musikverlag Encyclopedie Sonore herausgebracht Die von Paul Meier, Professor am Lyzeum Henri IV, getroffene Auswahl der wichtigsten Teile des Werkes von Marx verzichtet auf jeden Kommentar und wird von Gerard Philipe vorgetragen.	138:144	0:287
Lyzeum	NN	1885	1	duehring_berufsbildung_1885-765-14	 	Eines sei Ihnen gesagt, es müsste eine gewaltige Anarchie in der Verwaltung des Lyceums herrschen, wenn hinter dem Rücken des Curatoriums über Person und Lehre Beschlüsse, die dasselbe zu vertreten hat, gefasst werden dürften.	80:87	0:226
Lyzeum	NN	1885	1	duehring_berufsbildung_1885-649-28	 	Natürlich hatte dies Alles nur eine moralische Bedeutung; denn in Ermangelung eines durch Conventionalstrafen gesicherten Vertrages und bei der chaotischen, statutenlosen Verfassung oder vielmehr Verfassungslosigkeit des Lyceums blieb eine solche Stellung völlig precär und beruhte, wie dargelegt, Alles auf dem Geschäftsprincip.	221:228	0:329
Lyzeum	NN	1885	1	duehring_berufsbildung_1885-826-7	 	In welchem Zusammenhange die dargestellten Ränke am Lyceum mit dem Verhalten der Berliner Universität gegen meine vierzehnjährige freie Docentenstellung an derselben gestanden haben, brauche ich hier nicht zu wiederholen, da ich in meinem Buch von 1882 „Sache, Leben und Feinde“ auch über jene Angelegenheit die erforderlichen Mittheilungen gemacht habe.	52:58	0:354
Lyzeum	NN	1983	2	2532889X_1983-06-10_01_099.tcf.xml-7-15	 	Der Lehrgang, an dem zunächst 20 Studenten teilnehmen, findet in einem der beiden Lyzeen des Landes statt, weil die Kapverden bisher über kein eigenes Lehrerbildungsinstitut verfügen.	82:88	0:183
Lyzeum	NN	1978	2	2532889X_1978-08-25_01_067.tcf.xml-2-15	 	So halfen im Lager der Erweiterten Oberschule „Max Planck Riesa polnische Freunde aus dem Lyzeum Walforzych bei den Erschließungsarbeiten für eine 2000er-Milchviehanläge.	90:96	0:170
Lyzeum	NN	1962	2	2532889X_1962-07-02_01_061.tcf.xml-3-4	 	Beruf: Sportlehrer am Lyzeum und In der Papierfabrik von Tervakoski	22:28	0:67
Lyzeum	NN	1946	2	26120215_1946_03_19_01_025.tcf.xml-7-5	 	In der Sophie-Scboll-Schule, einem Lyzeum in der Elsholzstraße. wird das Essen fertig geliefert, während z. B. im Bezirk Wilmersdorf für die 18 Lehranstalten in sechs dafür hergerichteten Schulen gekocht wird.	35:41	0:209
Lyzeum	NN	1971	2	2532889X_1971-11-10_01_051.tcf.xml-31-19	 	Viele Brigaden unierhalten Patenschaftsverträge mit polnischen Schulen, so mit den Schulen Nr. 2 und 4, mit dem Lyzeum und der Landwirtschaftsschule in Gubin.	112:118	0:158
Lyzeum	NN	1972	2	2532889X_1972-01-23_01_065.tcf.xml-3-22	 	Tagen des neuen Jahres polnische Gäste zu Besuch, liebe Freunde, die wir seit Jahren kennen: der Direktor des ökonomischen Lyzeums von Zielona Gora, Jan Konieczny, sein Stellvertreter Mieczyslaw Bartkowlak und dessen Frau Irena sowie ^ die polnische Deutschlehrerin Irena Rajewska mit ihrem Ehemann.	123:130	0:299
Lyzeum	NN	1976	2	26120215_1976_06_12_01_330.tcf.xml-19-9	 	Nun, wie war das mit Puschkins Iieunden am Lyzeum?	43:49	0:50
Lyzeum	NN	1966	2	26120215_1966_01_26_01_038.tcf.xml-3-7	 	Maurice Vieille Professor der Philo-Sophie am Lyzeum in Buüon: f 7. 12. 44 im KZ Neu-Staßfurt	46:52	0:93
Lyzeum	NN	1892	1	lehnert_seehaefen02_1892-4171-27	 	Das letztere wurde im Jahre 1878 durch die Initiative des Rectors des Lyceums, Eduard de la Barra, gegründet und ist in fünf grossen Sälen des Lyceums installirt.	143:150	0:162
Lyzeum	NN	1967	2	26120215_1967_11_10_01_221.tcf.xml-24-6	 	Aus einer ehemaligen Lehrküche des Friedrichshagener Lyzeums wurde eine Produktionsstätte für etwa 5000 Portionen täglich.	53:60	0:122
Lyzeum	NN	1949	2	26120215_1949_10_26_01_035.tcf.xml-75-14	 	Sie soll eine gute Lehrerin sein, aber ihre Ansichten sind vielleicht die eines Lyzeums der Jahrhundertwende.	80:87	0:109
Lyzeum	NN	1868	1	stein_verwaltungslehre05_1868-4815-84	 	Von einer Selbständigkeit eines Realschulsystems neben dem Gymnasialsystem in eignen Anstalten mit eignen Lehrern, womit das Princip der Bifurcation erst beseitigt werden würde, ist nach wie vor keine Rede; die realistischen Fächer bleiben nach wie vor Fächer des Lyceums, wenn sie auch nicht mehr wie früher gerade section des sciences heißen; und daher bleibt für deutsche Logik die Bestimmung des Circulärs vom 21. März 1863 unverständlich, nach welchem zwar das Bifurcationssystem beseitigt sein, aber dennoch in demselben Lyceum ein Examen für die lettres im früher angegebnen Sinne des baccalauréat ès lettres, ein andres für die sciences des baccalauréat ès sciences geben soll, neben denen noch das Examen für die mathématiques spéciales die Bedingung des Eintrittes in die École polytechnique und von dieser in die École des ponts et chaussées möglich macht.	527:533	0:867
Lyzeum	NN	1955	2	2532889X_1955-01-16_01_041.tcf.xml-11-16	 	Auf 167 stieg die Zahl der städtischen Grundschulen im Jahre 1954/55, die Zahl der allgemeinbildenden Lyzeen auf 51; 1945/46 gab es in Warschau 100 Grundschulen und 24 Lyzeen.	102:108	0:175
Lyzeum	NN	1890	1	drude_pflanzengeographie_1890-3828-35	 	Ein weiterer Charakterstrauch ist der zu den Zygophylleen gehörige Charmyk: Nitraria Schoberi, welcher am Nan-schan in 3300 m Höhe Anfang Juli blüht, in Zaidam durch seine Beeren als Nahrungsmittel dient (mit Lycium turcomanicum), und welcher interessanterweise mit Ueberspringung der Tropen in weiten Bezirken Australiens wiederkehrt.	209:215	0:335
Lyzeum	NN	1891	1	lehnert_seehaefen01_1891-1548-18	 	Kadikiöi ist an Zahl der Kirchen und christlichen Bildungsanstalten beachtenswerth, es besitzt unter anderen auch ein griechisches Lyceum, das an der Stätte der alten Basilika der St. Euphemia, wo 451 und 507 Kirchenconcilien abgehalten wurden, liegen soll.	131:137	0:257
Lyzeum	NN	1950	2	26120215_1950_04_06_01_040.tcf.xml-30-25	 	Diese Geschichte enthüllte uns den wahren Charakter Braguelottes. denn, wie wir nachher erfuhren, zeigte er die gleiche Haltung dem Inspektor des Rumänischen Lyzeums der Stadt gegenüber.	158:165	0:186
Lyzeum	NN	1885	1	duehring_berufsbildung_1885-800-13	 	Mein Beispiel ist unter den mir bekannten das einzige, dass Jemand am Lyceum gewaltsam entfernt worden wäre.	70:76	0:108
Lyzeum	NN	1980	2	2532889X_1980-10-18_01_198.tcf.xml-66-6	 	Mädchen, deren Eltern in dem Lyzeum ermordet wurden, beim Verlassen der Gedenkstätte	29:35	0:84
Lyzeum	NN	1867	1	berg_ostasienzoologie02_1867-1260-4	 	Cyclostoma H. Haine’s Ann. Lyceum n. h. New-York, Oct. 1855. 5., 12—15.	27:33	0:71
