lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
Mulatte	NN	1952	2	26120215_1952_06_22_01_263.tcf.xml-44-41	 	— Da schlug der Knall der beiden abgefeuerten Gewehre an sein Ohr — das war das verabredete Zeichen einer drohenden Gefahr, und Major Barbadoes schaute in Verzweiflung zu dem leeren Fenster hinauf, denn wie ein Blitz war der kleine Mulatte zurückgesprungen, um in seine Uniform zu fahren und seinen Säbel umzuschnallen.	232:239	0:319
Mulatte	NN	1825	1	humboldt_uebersicht_1825-54-32	 	Dieser Distrikt enthält 9 Pfarren und 8 Gemeinden, bewohnt von 25259 Seelen; nämlich: 33 Weltgeistliche, 1937 Spanier und Kreolen, 18419 Jndier, 4739 Jndier, 50 freie Mulatten, 81 Sklaven. —	167:175	0:190
Mulatte	NN	1825	1	humboldt_uebersicht_1825-128-33	 	Die Bevölkerung von 5790 Seelen besteht aus 133 Welt-, 60 Klostergeistlichen, 129 Nonnen, 1263 Spaniern und Kreolen, 274 Jndiern, 704 Mestizen, 1000 Negern und der Ueberrest sind Mulatten.	179:187	0:188
Mulatte	NN	1988	2	2532889X_1988-12-31_01_097.tcf.xml-9-9	 	70 Prozent der Bevölkerung sind Kreolen, 29 Prozent Mulatten und Afroamerikaner, ein Prozent ist asiatischer Abstammung,	52:60	0:120
Mulatte	NN	1892	1	lehnert_seehaefen02_1892-2854-11	 	Bei der freisinnigen Verfassung, welcher Martinique besitzt, sind die Mulatten die Herren der Insel.	70:78	0:100
Mulatte	NN	1874	1	peschel_voelkerkunde_1874-1553-2	 	Kinder von Mulatten und Mulattinnen sollen schwarze Flecke zur Welt bringen, namentlich in der Gegend der Fortpflanzungswerkzeuge.	11:19	0:130
Mulatte	NN	1952	2	26120215_1952_06_04_01_045.tcf.xml-15-8	 	„Allerenädigster Herr Maior\". sagte der Mulatte in de-und wehmütiger Stellung vor dem ausgestreckten Riesen, obgleich der schlaue Bursche genau wußte, daß er hier	40:47	0:162
Mulatte	NN	1832	1	blumenbach_naturgeschichte_1832-303-30	 	Rasse heißt aber im genauern Sinne ein solcher durch Degeneration entstandener Charakter, der durch die Fortpflanzung unausbleiblich und nothwendig forterbt, wie z. B. wenn Weiße mit den Negern Mulatten, oder mit amerikanischen Indianern Mestissen zeugen: welches hingegen bei den Spielarten keine nothwendige Folge ist; wie z. B. wenn blauäugige Blonde mit braunäugigen Brünetten Kinder zeugen.	194:202	0:395
Mulatte	NN	1979	2	2532889X_1979-10-11_01_115.tcf.xml-5-9	 	Doch die 100000 Inselbewohner — Nachkommen von Negersklaven sowie Mulatten und Inder — wurden bis zum Frühjahr dieses Jahres von einem blutigen Diktaturregime unterdrückt.	66:74	0:171
Mulatte	NN	1955	2	2532889X_1955-04-27_01_122.tcf.xml-18-20	 	Sie klagte über die Hitze, über da3 -afrikanische Klima Brasiliens, dieses unzivilisierte Klimaj das nur für Neger und Mulatten geschaffen ist\".	119:127	0:144
Mulatte	NN	1874	1	peschel_voelkerkunde_1874-462-3	 	Völlige Unfruchtbarkeit angelsächsischer Mulatten auf Jamaica ist nur von einem einzigen Beobachter behauptet worden und nicht ohne Widerspruch geblieben.	41:49	0:154
Mulatte	NN	1809	1	heeren_staatensystem_1809-6535-7	 	Widersetzung und Royalismus der Weißen; die Mulatten ergreifen die Waffen und wiegeln die Neger auf.	44:52	0:100
Mulatte	NN	1952	2	2532889X_1952-08-12_01_051.tcf.xml-38-40	 	In Bilddokumenten und Statistiken zeigen die polnischen Menschen in dem als Museum erhaltenen Lager die Vorläufer von Auschwitz: die Vernichtung der Buren durch die Briten, imperialistische Massaker gegen unterdrückte und Kolonialvölker, die amerikanischen Verbrechen an Negern, Mulatten usw.	279:287	0:292
Mulatte	NN	1952	2	26120215_1952_06_25_01_237.tcf.xml-11-14	 	Im nächsten Moment traf der Stahl elnei der Reiter die breite gelbe Stirn des Mulatten und warf ihn aus dem Sattel, und über ihn hin gingen die Hufe der nachstürmenden Pferde,	78:86	0:175
Mulatte	NN	1952	2	26120215_1952_06_01_01_032.tcf.xml-1-18	 	„Und deshalb — Picaro — hast du mich vom Lager gerufen?\" rief Fortunato, den Mulatten zornig anblickend.	77:85	0:104
Mulatte	NN	1806	1	blumenbach_beytraege0102_1806-297-30	 	und 5) der Mischung dieser Rassen unter einander, die sich z. B. an den Schedeln der Cosacken, Kirgisen rc. eben so deutlich ausspricht als etwa bey den Mulatten.	153:161	0:162
Mulatte	NN	1859	1	humboldt_aequinoktial02_1859-1218-10	 	Während man ein langes und breites über den Haß der Mulatten gegen die freien Neger und die Weißen, über den Reichtum der Mönche und die Mühe, die man habe, die Sklaven in der Zucht zu halten, verhandelte, hüllte uns ein kalter Wind, der vom hohen Gipfel der Silla herabzukommen schien, in einen dicken Nebel und machte der lebhaften Unterhaltung ein Ende; man suchte Schutz in der Venta.	52:60	0:388
Mulatte	NN	1860	1	humboldt_aequinoktial03_1859-3567-29	 	Das Nachbarland jenseits des Amazonenstromes heißt in der Sprache der spanischen Missionen weder Brasilien noch Capitania general von Gran-Para, sondern Portugal; die kupferfarbigen Indianer, die halbschwarzen Mulatten, die ich von Barcelos zur spanischen Schanze San Carlos heraufkommen sah, sind Portugiesen.	210:218	0:310
Mulatte	NN	1850	1	pfeiffer_frauenfahrt01_1850-582-24	 	Der Flächen-Inhalt Brasiliens beträgt 130,000 O. M., die Einwohner-Zahl 6 Millionen, worunter etwa 900,000 Weiße; der Rest besteht aus Negern, Mulatten, Mestizen und Ur-Einwohnern oder Indianern.	143:151	0:195
Mulatte	NN	1816	1	blumenbach_naturgeschichte_1816-197-53	 	Nun aber ähneln ja oft Kinder zum Sprechen bloß ihrem Vater; – Bätzen, die sich kurz hintereinander mit mehreren männlichen Hunden belaufen haben, werfen oft Junge, die diesen verschiedenen Vätern ähneln; – zweyerley Menschenracen, z. B. Neger und Weiße, zeugen mit einander nothwendigen Mittelschlag, nähmlich Mulatten; – und wenn nun vollends ungleiche Gattungen (verschiedene Species) von Thieren oder Gewächsen einander befruchten, so entstehen Bastarde, die eben so viel von der väterlichen als von der mütterlichen Gestaltung an sich haben.	311:319	0:546
Mulatte	NN	1950	2	26120215_1950_01_21_01_041.tcf.xml-39-13	 	Aber der Steward scheint in Ordnung. zu sein, ein ganz braver Mulatte; er hat früher bei mir auf der,Erigon gedient. _. ii j. ii Es klingt lächerlich, aber ich muß gestehen, daß Ich gerührt war.	62:69	0:194
Mulatte	NN	1970	2	2532889X_1970-12-14_01_145.tcf.xml-2-21	 	ND: Genosse Gruber, vor drei Monaten, am 30. August, mußten wir in unserer Untersuchung, „Der Mulatte ' in der Meisterstube\" kritisch feststellen, daß im Leipziger Stammbetrieb des Gießereikombinates VEB Gisag die kulturellen Ansprüche t der Werktätigen noch ungenügend befriedigt werden.	94:101	0:288
Mulatte	NN	1970	2	2532889X_1970-06-07_01_587.tcf.xml-5-17	 	Die 2.7 Millionen Einwohner 70 Prozent von ihnen sind Kreolen und Mestizen, 27 Prozent Neger und Mulatten — leben in ihrer Masse unter Bedingungen bitterer Armut.	97:105	0:162
