identifier1	identifier2	annotator	judgment	comment	lemma
vischer_aesthetik030204_1857-145-42	26120215_1987_03_31_01_333.tcf.xml-5-19	FWetzel	2	 	Mut
2532889X_1967-11-23_01_060.tcf.xml-24-11	26120215_1962_06_16_01_250.tcf.xml-29-13	FWetzel	3	 	Mut
grimm_maerchen02_1857-2953-6	rein_japan02_1886-10293-27	FWetzel	2	 	Mut
2532889X_1973-02-10_01_120.tcf.xml-4-10	rueckert_brahmane03_1837-1487-19	FWetzel	3	 	Mut
otto_schloss03_1846-1406-13	nn_nrhz158_1848-183-10	FWetzel	4	 	Mut
2532889X_1988-12-02_01_038.tcf.xml-1198-4	arnim_wunderhorn01_1806-2363-22	FWetzel	2	 	Mut
26120215_1983_08_09_01_033.tcf.xml-17-23	26120215_1962_02_08_01_281.tcf.xml-19-2	FWetzel	3	 	Mut
26120215_1982_12_20_01_028.tcf.xml-10-17	nettelbeck_lebensbeschreibung01_1821-1028-8	FWetzel	4	 	Mut
fontane_brandenburg04_1882-5945-20	2532889X_1959-07-26_01_021.tcf.xml-4-38	FWetzel	3	 	Mut
ranke_paepste01_1834-3494-7	beyer_poetik01_1882-18385-24	FWetzel	0	 	Mut
varnhagen_rahel02_1834-6592-7	heyse_novellen_1855-34-8	FWetzel	3	 	Mut
2532889X_1946-10-16_01_046.tcf.xml-7-0	niebuhr_roemische02_1812-794-8	FWetzel	3	 	Mut
26120215_1982_12_24_01_075.tcf.xml-21-12	26120215_1965_06_04_01_291.tcf.xml-109-5	FWetzel	2	 	Mut
2532889X_1972-10-15_01_149.tcf.xml-7-7	26120215_1972_03_17_01_040.tcf.xml-32-2	FWetzel	4	 	Mut
2532889X_1972-10-15_01_149.tcf.xml-7-7	niebuhr_roemische02_1812-455-26	FWetzel	3	 	Mut
26120215_1990_12_24_01_845.tcf.xml-173-15	gutzkow_patkul_1842-259-29	FWetzel	2	 	Mut
hc_1641310_1812-196-36	2532889X_1988-12-02_01_038.tcf.xml-1198-4	FWetzel	3	 	Mut
kotzebue_schutzgeist_1814-1958-13	2532889X_1961-12-02_01_100.tcf.xml-19-4	FWetzel	2	 	Mut
varnhagen_rahel01_1834-4112-20	26120215_1990_12_24_01_845.tcf.xml-173-15	FWetzel	3	 	Mut
26120215_1955_05_27_01_196.tcf.xml-3-13	immermann_muenchhausen04_1839-450-17	FWetzel	2	 	Mut
2532889X_1976-10-19_01_091.tcf.xml-16-39	hoffmann_floh_1822-1176-20	FWetzel	2	 	Mut
moerike_nolten01_1832-2574-21	2532889X_1946-10-16_01_046.tcf.xml-7-0	FWetzel	2	 	Mut
26120215_1986_03_08_01_100.tcf.xml-7-1	2532889X_1984-03-21_01_017.tcf.xml-6-16	FWetzel	3	 	Mut
schmidlin_kinderindustrie_1821-145-18	26120215_1963_07_14_01_177.tcf.xml-37-10	FWetzel	4	 	Mut
beyer_poetik01_1882-18385-24	2532889X_1948-02-14_01_042.tcf.xml-8-24	FWetzel	0	 	Mut
26120215_1982_10_09_01_414.tcf.xml-208-12	2532889X_1968-06-15_01_047.tcf.xml-50-13	FWetzel	3	 	Mut
2532889X_1989-11-10_01_104.tcf.xml-22-15	niebuhr_roemische02_1812-794-8	FWetzel	3	 	Mut
fessler_eleusinien01_1802-2117-48	fontane_brandenburg04_1882-5945-20	FWetzel	2	 	Mut
rein_japan01_1881-5496-14	fontane_brandenburg04_1882-5945-20	FWetzel	3	 	Mut
fontane_kinderjahre_1894-1789-24	2532889X_1959-08-11_01_086.tcf.xml-11-28	FWetzel	3	 	Mut
beyer_poetik03_1884-2958-17	26120215_1962_02_08_01_281.tcf.xml-19-2	FWetzel	0	 	Mut
grimm_maerchen02_1857-2953-6	stirner_einzige_1845-2813-13	FWetzel	3	 	Mut
2532889X_1966-07-28_01_123.tcf.xml-7-15	2532889X_1983-09-17_01_348.tcf.xml-45-1	FWetzel	4	 	Mut
treitschke_geschichte02_1882-5338-22	26120215_1960_03_08_01_016.tcf.xml-9-6	FWetzel	2	 	Mut
nn_nrhz247b_1849-110-38	26120215_1987_02_27_01_221.tcf.xml-2-16	FWetzel	3	 	Mut
pocci_komoedienbuechlein03_1869-2506-0	grimm_maerchen02_1850-3376-3	FWetzel	3	 	Mut
nettelbeck_lebensbeschreibung01_1821-1028-8	2532889X_1976-10-19_01_091.tcf.xml-16-39	FWetzel	3	 	Mut
kuernberger_amerikamuede_1855-4406-11	2532889X_1969-01-01_01_086.tcf.xml-3-11	FWetzel	2	 	Mut
2532889X_1982-04-08_01_090.tcf.xml-6-24	26120215_1976_12_17_01_011.tcf.xml-3-8	FWetzel	4	 	Mut
froelich_virginia01_1820-1448-12	26120215_1951_10_11_01_015.tcf.xml-23-22	FWetzel	3	 	Mut
ranke_paepste01_1834-3494-7	26120215_1969_06_15_01_189.tcf.xml-31-11	FWetzel	3	 	Mut
fontane_brandenburg04_1882-5945-20	26120215_1962_02_20_01_227.tcf.xml-37-9	FWetzel	3	 	Mut
2532889X_1956-06-23_01_047.tcf.xml-7-11	26120215_1990_12_24_01_845.tcf.xml-173-15	FWetzel	4	 	Mut
ranke_reformation05_1843-3596-50	26120215_1962_02_08_01_281.tcf.xml-19-2	FWetzel	0	 	Mut
2532889X_1961-03-20_01_051.tcf.xml-31-6	2532889X_1951-03-03_01_019.tcf.xml-9-29	FWetzel	0	 	Mut
26120215_1976_12_17_01_011.tcf.xml-3-8	26120215_1960_05_31_01_258.tcf.xml-2-27	FWetzel	4	 	Mut
26120215_1959_10_16_01_148.tcf.xml-19-209	26120215_1960_05_31_01_258.tcf.xml-2-27	FWetzel	0	 	Mut
26120215_1990_12_24_01_845.tcf.xml-173-15	2532889X_1982-11-29_01_213.tcf.xml-12-14	FWetzel	4	 	Mut
boerne_paris03_1833-1195-25	tieck_phantasus03_1816-8722-32	FWetzel	2	 	Mut
tieck_phantasus03_1816-8722-32	26120215_1966_07_03_01_453.tcf.xml-4-16	FWetzel	2	 	Mut
nn_nrhz158_1848-183-10	26120215_1965_06_04_01_291.tcf.xml-109-5	FWetzel	4	 	Mut
26120215_1947_09_20_01_119.tcf.xml-32-5	schmidlin_kinderindustrie_1821-145-18	FWetzel	4	 	Mut
26120215_1961_04_26_01_021.tcf.xml-14-5	26120215_1988_06_20_01_140.tcf.xml-359-31	FWetzel	0	 	Mut
arnim_wunderhorn01_1806-2363-22	2532889X_1959-07-26_01_021.tcf.xml-4-38	FWetzel	2	 	Mut
kotzebue_schutzgeist_1814-1958-13	ranke_reformation04_1843-556-22	FWetzel	2	 	Mut
26120215_1951_10_11_01_015.tcf.xml-23-22	26120215_1961_04_26_01_021.tcf.xml-14-5	FWetzel	4	 	Mut
2532889X_1971-01-30_01_297.tcf.xml-4-3	vischer_aesthetik030204_1857-145-42	FWetzel	3	 	Mut
26120215_1957_11_01_01_005.tcf.xml-26-32	vischer_aesthetik030204_1857-145-42	FWetzel	2	 	Mut
