lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
Mut	NN	1961	2	26120215_1961_04_02_01_412.tcf.xml-5-10	 	Da sind doch tatsächlich einige Dinge vorhanden, die uns Mut machen und zeigen, daß auf die Dauer, auch unter den Umständen, wie sie in Westdeutschland vorliegen, eine demokratische Literatur nicht totzukriegen ist Ich würde empfehlen, das noch einmal auf diesen freundlichen Aspekt hin zu überprüfen.	57:60	0:301
Mut	NN	1966	2	26120215_1966_05_29_01_433.tcf.xml-126-6	 	Wann wird endlich die SPD den Mut finden, diesen selbstgezogenen Teufelskreis zu durchbrechen?	30:33	0:94
Mut	NN	1982	2	2532889X_1982-04-08_01_090.tcf.xml-6-24	 	In einem von Leonid Breshnew und weiteren führenden sowietischen Persönlichkeiten unterzeichneten Nachruf werden die hervorragenden organisatorischen Fähigkeiten Pawel Rotmistrows, sein Heerführertalent, sein Mut und seine Entschlossenheit gewürdigt.	209:212	0:250
Mut	NN	1882	1	treitschke_geschichte02_1882-5338-22	 	Diese jungen Teutonen hatten dem heiligen Kriege fern bleiben müssen und brannten vor Begier, jetzt das Versäumte nachzuholen, durch trutzigen Muth und rüstige Fäuste ihre Deutschheit zu erweisen; ihre Augen leuchteten, wenn ihnen Jahn in seinen wunderlichen Stabreimen das Bild des echten Turners schilderte:	143:147	0:309
Mut	NN	1951	2	2532889X_1951-04-22_01_149.tcf.xml-69-12	 	Hier gilt es vor allem zu lernen, daß wir mit demselben Mut wie das polnische Volk um die Einheit unserer Heimat und die von den amerikanischen Imperialisten bedrohte nationale Existenz kämpfen, einen demokratischen deutschen Staat bauen müssen, der mit seinen Nachbarn in echter Freundschaft lebt.	56:59	0:298
Mut	NN	1874	1	peschel_voelkerkunde_1874-5760-38	 	In ihrer Kriegskunst waren sie so weit gekommen, dass sie Canäle oder Wassergräben zur Befestigung ihrer Ortschaften zogen und darin Mundvorräthe angeblich auf vier Jahre aufspeicherten. Leider zeigen sie mehr Neigung zur List als zu heldenhaftem Muth, auch wird ihnen allgemein Verschlagenheit, Falschheit und Sucht zu Argwohn schuld gegeben.	247:251	0:343
Mut	NN	1973	2	26120215_1973_12_16_01_452.tcf.xml-9-0	 	Mut dem Pokalverteidiger und Tabellenzweiten unserer höchsten Leistungsklasse erhalten die Berliner letzt die Möglichkeit, bisher in der Meisterschaft Versäumtes nun im FDGB-Pokal nachzuholen.	0:3	0:192
Mut	NN	1949	2	26120215_1949_10_29_01_021.tcf.xml-15-18	 	Die Notwendigkeit einer deutschen Neuorientierung muß vom gesamten deutschen Volke erkannt werden, d. h. es muß den Mut finden, sich von den Vorurteilen gegen die jungen sozialistischen Kräfte Ses Ostens loszusagen.	116:119	0:215
Mut	NN	1843	1	lewald_jenny02_1843-1446-16	 	Fräulein Meier wagt viel, indem sie sich auf diese Höhe stellt, und Du wirst Muth und Energie brauchen, um sie dort zu halten.	77:81	0:126
Mut	NN	1841	1	herwegh_gedichte01_1841-695-3	 	Die Ihr voll Mut zu schleudern euch nicht scheutet Ein blitzend Wort in unsres Lebens Schwüle, O Glück, wenn ihr euch auf dem Sterbepfühle Vom Neid zerstückter Kränze noch erfreutet!	13:16	0:182
Mut	NN	1955	2	2532889X_1955-10-29_01_050.tcf.xml-103-45	 	Es lag uns natürlich lern, mit der Veröffentlichung des Beitrages des Genossen Dr. Wilhelm Girnus Juber künstlerische Meisterschalt und ideologische Klarheit\" f „ND\" vom 2. Oktober 1955) der Behauptung unserer Feinde Vorschub zu leisten, daß bei uns zum Diskutieren Mut gehöre.	266:269	0:277
Mut	NN	1971	2	2532889X_1971-07-02_01_188.tcf.xml-6-41	 	Sie brachten den Menschen auf der Erde alle ihre Aufzeichnungen und Beobachtungen, alle wissenschaftlichen Ergebnisse dieser beispiellos langen Tätigkeit im Kosmos mit einer Arbeit, die sie von Anfang bis Ende mit größter wissenschaftlicher Sorgfalt ausübten, die ihrem großen Mut gleichkommt.	277:280	0:293
Mut	NN	1956	2	2532889X_1956-12-16_01_115.tcf.xml-8-7	 	Als Abgeordneter sollte man aber auch den Mut haben, den Menschen das zur Zeit nicht Mögliche zu sagen und zu begründen.	42:45	0:120
Mut	NN	1862	1	fontane_brandenburg01_1862-3551-10	 	So viele vereitelte Anstrengungen von Seite der Verbündeten mochten den Muth der Polen heben, die sich ohnehin des Sieges sicher hielten, und ihre zahlreiche Cavallerie ging jetzt zum Angriff über.	72:76	0:197
Mut	NN	1952	2	2532889X_1952-03-08_01_038.tcf.xml-36-28	 	sp werden die Frauen, wenn sie heute überall in der WeH zusammenströmen, um den Internationalen Frauentag feierlich zu besehen, aus 'den bereits erreichten Erfolgen neuen Mut schöpfen für ihren weiteren Kampf.	171:174	0:209
Mut	NN	1885	1	arent_dichtercharaktere_1885-2253-27	 	Ohne Dich, Du lodernd Feuer, Erstarrte mir Hirn und Blut, — Aus der Hand sänk’ mir das Steuer, Spräch’ mir Dein Mund nicht Muth.	123:127	0:128
Mut	NN	1962	2	26120215_1962_06_16_01_250.tcf.xml-29-13	 	„Als Rennfahrer imponiert es mir, wenn Menschen Mut haben und diesen Mut zeigen.	69:72	0:80
Mut	NN	1843	1	ranke_reformation05_1843-429-42	 	König Ferdinand erwiederte dem Beichtvater, man möge es unternehmen, wenn man sich in einen neuen Krieg stürzen wolle, der aber noch gefährlicher ausfallen werde als der eben beendigte, — wenn man die Mittel, die Kraft und den Muth dazu besitze:	227:231	0:245
Mut	NN	1955	2	26120215_1955_03_10_01_039.tcf.xml-3-0	 	Mut, ihr meine Söhne, Mut, daß unter uns die Lüge weilt es wird all unser Leid, die Tränenflut der Menschheit mitgeteilt	0:3	0:120
Mut	NN	1893	1	buecher_volkswirtschaft_1893-44-5	 	Mit starker Hand und besonnenem Mute hat namentlich das Deutsche Reich die Lösung dieser Aufgaben in Angriff genommen, und unter der Einwirkung großer wirtschafts-und sozialpolitischer Maßnahmen, getragen von der Autorität eines gewaltigen Staatsmannes, hat sich in kurzer Zeit eine Umstimmung der Geister vollzogen, die vielleicht in der Geschichte beispiellos ist.	32:36	0:366
Mut	NN	1966	2	2532889X_1966-07-28_01_123.tcf.xml-7-15	 	Die Rostockerin läuft wunderbar ruhig, und was das Wichtigste ist, sie hat den Mut zum Tempolauf.	79:82	0:97
Mut	NN	1812	1	hc_1641310_1812-196-36	 	Ach, mein Gott! was würden denn unsre Feinde gethan haben, wenn sie in einem fremden Lande gesiegt hätten, wenn sie ihr eignes Land so behandeln, da ihnen ein heftiger Angriff den Muth benimmt, es zu vertheidigen?	180:184	0:213
Mut	NN	1843	1	nn_turnkunst01_1843-743-32	 	Einer der jüngern und rüstigsten Lehrer übernahm, wenngleich er bis dahin noch nicht selbst geturnt hatte, unter dem Beirathe des Directors und durch die bekannten Schriften von Jahn und Guts-Muths unterstützt, die Leitung dieses Unterrichts, zu welchem alle Zöglinge unentgeltlich hinzugezogen, jedoch auch, soweit es nur irgend ihr Gesundheitszustand gestattete, alle dazu verpflichtet wurden.	192:197	0:395
Mut	NN	1965	2	26120215_1965_06_04_01_291.tcf.xml-109-5	 	Es gehört heute in Westdeutschland Mut dazu, öffentlich das Grundgesetz gegen die Regierung in Bonn zu verteidigen.	35:38	0:115
Mut	NN	1836	1	rueckert_brahmane01_1836-1073-7	 	Ein wenig länger noch Geduld und froher Muth, Und hell wird alle Trüb ' und alles Uebel gut.	40:44	0:92
Mut	NN	1862	1	avelallemant_gaunerthum04_1862-4966-71	 	Wesentlich aus der blinden Ausbeutung der Rotwelschen Grammatik und des Wörterbuchs von Pfister ist jene Flut der neuern Gaunerwörterbücher entstanden, welche von verdruckten, misverstandenen und erdichteten Vocabeln wimmeln und trotz der prunkenden Titel „aus Criminalacten“ oder „aus eigenen praktischen Erfahrungen“ den tollsten und verlogensten Galimatias enthalten, über welchen das Gaunerthum mit wiehernder Lust spottet, durch welchen es aber auch in seiner Propaganda an Muth und Sicherheit und, dem Jnquirenten gegenüber, an der bodenlosesten Frechheit so unsaglich gewonnen hat, daß die einschlagenden zahlreichen, ihres Gleichen nicht findenden Mystificationen aus gewissen Rücksichten hier nicht einmal in einem einzigen Beispiele enthüllt werden dürfen.	479:483	0:766
Mut	NN	1899	1	schubin_vollmondzauber01_1899-461-4	 	Ihm war ’s zu Mute, als erwache er langsam aus einem hypnotischen Dusel.	14:18	0:72
Mut	NN	1891	1	wedekind_erwachen_1891-2382-6	 	Pah — ich brächte ja den Muth nicht auf! —	25:29	0:42
Mut	NN	1848	1	nn_nrhz176_1848-260-29	 	Wie es heißt, sind sie trotz der 150,000 Mann, die sie angreifen, und trotz der 150,000 Russen, die sie noch umzingeln, in Pesth gutes Muths.	135:140	0:141
Mut	NN	1962	2	26120215_1962_02_08_01_281.tcf.xml-19-2	 	„Nur Mut\" (6. Folge) um 19.30 Uhr Im Haus der Jungen Talente, Klosterstraß «.	5:8	0:77
Mut	NN	1962	2	2532889X_1962-08-13_01_021.tcf.xml-52-25	 	In einer vom Pressechef Salmger vorbereiteten kurzen Erklärung nennt Kennedy den Flug der beiden Kosmonauten eine „außerordentliche technische Leistung\" und würdigt „den Mut der beiden neuen Astronauten\".	170:173	0:204
Mut	NN	1806	1	arnim_wunderhorn01_1806-2363-22	 	Da fand ich alles in der Stadt, Wie mir die Frau gesaget hat, Ach, wie weh war mir zu Muth, Daß der theure Fürst so gut, So schändlich war ums Leben kommen, Das hat mich schmerzlich übernommen.	86:90	0:193
Mut	NN	1812	1	tieck_phantasus01_1812-244-24	 	Eine drückende Lage wird oft am leichtesten durch eine Gewaltthätigkeit gelöst, und ich hoffe, daß Manfred mir durch seine Klugheit und seinen Muth beistehen wird.	143:147	0:163
Mut	NN	1812	1	grimm_maerchen01_1812-3383-11	 	Wie der König den entsetzlichen Rachen sah, verlor er allen Muth, da fiel ihm seine dritte Tochter ein und er rief: „schenk mir das Leben und du sollst meine jüngste Tochter haben“ — Meintwegen brummte der Wallfisch, ich will dir auch etwas dafür geben; Gold hab ich nicht, das ist mir zu schlecht, aber der Grund meines Sees ist mit Zahlperlen gepflastert, davon will ich dir drei Säcke voll geben: im siebenten Mond komm ich und hol meine Braut.“	60:64	0:448
Mut	NN	1848	1	nn_nrhz100_1848-246-47	 	Graf Stadion hat vor der Abstimmung auf eine solche Weise auf die galizischen Bauern influenzirt, indem er ihnen gesagt, sie schafften den Kaiser ab, wenn sie mit Ja stimmten, daß … (Zischen, Bravo, Tumult) Wenn die Kammer nicht den Muth hat … (Bravo, Zischen, Tumult) ich habe den Muth zu reden; die Abstimmung ist nichtig! (Lärm).	233:237	0:332
Mut	NN	1881	1	rein_japan01_1881-5496-14	 	Aussprüche des Iyeyasu, wie » die Umgürtung des Schwertes verleiht dem Samurai kriegerischen Muth und » das Schwert ist die Seele des Samurai « waren der innersten Empfindung des Standes entnommen und konnten darum das lebhafte Ehrgefühl nur noch weiter anspornen, so dass dieser ritterlichsten und bei allen Völkern geachtetsten Waffe in Japan eine ganz besondere Aufmerksamkeit zugewandt wurde.	93:97	0:396
Mut	NN	1956	2	2532889X_1956-10-26_01_056.tcf.xml-8-26	 	Wir wollen den freundlich aufmunternden Erfolg des Abends nach vorsichtiger Abschätzung dahin deuten, daß ein junger Komponist unserer Repu-: blik mit vorläufig noch mehr Mut eis Können den Weg nach-einer Volksoper im Geiste unserer Zeit sucht.	171:174	0:244
Mut	NN	1960	2	26120215_1960_03_08_01_016.tcf.xml-9-6	 	„Es war mir so zu Mute, als säße vor mir der Vertreter des Kommunalen Arbeitgeber-Verbandes.\"	18:22	0:93
Mut	NN	1982	2	26120215_1982_12_20_01_028.tcf.xml-10-17	 	In bewegenden Worten würdigte Hans Lautenschläger, der selbst in der Todeszelle der Nazis gesessen hat, Mut und Standhaftigkeit seiner ehemaligen Kampfgefährten.	104:107	0:161
Mut	NN	1894	1	fontane_kinderjahre_1894-1789-24	 	In kleinen Verhältnissen geboren, hatten sie sich mit Nothgroschen und Stipendien durchgeschlagen und unter Bitternissen und Demüthigungen aller Art doch keinen Augenblick den Muth verloren.	176:180	0:190
Mut	NN	1984	2	2532889X_1984-03-21_01_017.tcf.xml-6-16	 	hre Freilassung ist ein bedeutender Sieg der demokratischen Kräfte Uruguays und der internationalen Solidarität Durch Ihren Mut und Ihre Standhaf -	124:127	0:147
Mut	NN	1864	1	brehm_thierleben01_1864-10874-3	 	Der ihm fehlende Muth wird aber durch seine natürliche Schlanheit und List ersetzt.	17:21	0:83
Mut	NN	1976	2	26120215_1976_03_25_01_228.tcf.xml-107-7	 	Nur einer findet die Kraft und den Mut, Entscheidungen nicht auszuweichen und klare Verhältnisse zu schaffen.	35:38	0:109
Mut	NN	1973	2	26120215_1973_10_18_01_085.tcf.xml-4-8	 	Dabei habe die Armee außerordentliche Standhaftigkeit und großen Mut gezeigt und dem Gegner schwere Verluste zugefügt.	65:68	0:118
Mut	NN	1822	1	hoffmann_floh_1822-1176-20	 	Dem Peregrinus war es, als sey er in ein böses Hexenwesen verflochten und es wurde ihm so unheimlich zu Muthe, daß ihm selbst die alte ehrliche Aline ein gespenstiges Wesen bedünken wollte, dem er nicht schnell genug entfliehen könne.	104:109	0:234
Mut	NN	1956	2	2532889X_1956-06-23_01_047.tcf.xml-7-11	 	Der andere Teil blieb verschont, weil die verantwortlichen Kommandanten den Mut aufbrachten, von dem niederen Gesetz blinder Unterwerfung vor dem Willen primitiver Mörder und Selbstmorder sich zu befreien und das oberste Gesetz des Gewissens anzuerkennen und in seinem Sinn zu handeln.	76:79	0:285
Mut	NN	1845	1	dahlmann_geschichte_1845-2713-111	 	Allein ich will Euch sagen: unter denjenigen, welche meine Lehre annehmen, werdet Ihr alle gemäßigten Männer finden, welche nicht glauben daß die Weisheit in den Extremen bestehe, noch daß der Muth zu zerstören niemals dem Muthe wiederaufzubauen Platz machen dürfe; Ihr werdet dazu die Mehrzahl jener entschlossenen Bürger zählen, welche zu Anfang der Etats-généraux (denn so hieß damals die Nationalversammlung, als sie noch in den Windeln der Freiheit eingeschnürt lag) so viele Vorurtheile mit Füßen traten, so vielen Gefahren Trotz boten, so vielen Widerstand besiegten, um in den Schooß der Gemeinen zu gelangen, welchen diese Hingebung den Muth und die siegende Kraft gab, wovon der Erfolg Eure ruhmvolle Revolution gewesen ist; Ihr werdet dort jene Volkstribunen finden, welche die Nation noch lange, trotz des Gekläffes einer neidischen Mittelmäßigkeit, zu den Befreiern des Vaterlandes zählen wird.	646:650	0:907
Mut	NN	1962	2	2532889X_1962-06-16_01_048.tcf.xml-55-14	 	Helden wurde, der vom Tode bedroht, im Leipziger Reichstagsbrandprozeß 1934 durch seinen Mut, seine Uberzeueungstreue und seine politische Weitsicht den deutschen Faschismus vor der Weltöffentlichkeit entlarvte und ihm eine entscheidende politische Niederlage bereitete.	89:92	0:270
Mut	NN	1882	1	fontane_brandenburg04_1882-5945-20	 	Es mag dies vor dem Verstande schlecht bestehen, vor dem Herzen desto besser, und ich habe nicht den Muth einer Gemeinde zu grollen, die lieber ihre Leichenhalle zerfallen sehn als ihre Todten vor dem Begräbniß aus dem Auge lassen will.	101:105	0:236
Mut	NN	1966	2	26120215_1966_07_03_01_453.tcf.xml-4-16	 	Iberiens Völker stehn zum Freiheitskampf gewillt, groß unter ihnen deines Traums Gestalten, von deines Muts zornhartem Sturm erfüllt.	103:107	0:133
Mut	NN	1984	2	26120215_1984_09_29_01_451.tcf.xml-288-6	 	1050 Rosenthaler Str. 13. Nähe Ro-Mut « mit 3jahriger Tochter sucht drin-Bln..	34:37	0:78
Mut	NN	1832	1	moerike_nolten01_1832-2574-21	 	Diese Lage der Dinge drückte nun freilich schwer auf das Herz des geängstigten Liebhabers, aber wie ward ihm vollends zu Muthe, als der Bildhauer sein vor einigen Wochen schon gemachtes Anerbieten wiederholte, einen Brief an Agnes zu besorgen, ja als er gutmüthig äußerte, wie er die ganze Zeit her im Zweifel gewesen, ob er nicht selbst diese Pflicht übernehmen und dem Vater des Mädchens die leidigen Begebenheiten schonungsvoll beibringen solle, wie ihn aber ein Wort, das Larkens gleich Anfangs hierüber fallen lassen, dennoch beruhigt habe.	121:126	0:545
Mut	NN	1844	1	droste_gedichte_1844-2451-11	 	Der Passagier, am Galgen stehend, Hohläugig, mit zerbrochnem Muth, Zu jedem Räuber flüstert flehend:	61:65	0:100
Mut	NN	1810	1	kleist_kaethchen_1810-1044-2	 	Keinem Knecht muth' ich zu, sie an ihr zu vollziehn.	14:19	0:52
Mut	NN	1894	1	treitschke_geschichte05_1894-6387-26	 	Classische Werke befreien die Seele, das ist ihr sicherer Prüfstein; sie erheben den Leser, so daß er mit hellerem Kopfe oder mit frischerem Muthe in diese schöne Welt hineinschaut.	141:146	0:181
Mut	NN	1976	2	2532889X_1976-10-19_01_091.tcf.xml-16-39	 	Und daß Millionen in der westlichen Halbwelt mit Vergnügen Alis Kämpfe und Siege sahen, läßt sich wiederum leicht damit erklären, daß er ein überragender Boxer war und dazu auch noch einige Male in seinem Leben bewundernswerten menschlichen Mut demonstrierte.	241:244	0:259
Mut	NN	1971	2	2532889X_1971-01-30_01_297.tcf.xml-4-3	 	Du ahnst deinen Mut und malst deine Träume mit dem Kugelschreiber in die Formel: Heute hoch achtzig plus achtzig hoch zweitausend gleich Glück und Brot millionenfach und Wein genug für alle.	16:19	0:190
Mut	NN	1815	1	eichendorff_ahnung_1815-554-16	 	Hinaus, o Mensch, weit in die Welt, Bangt dir das Herz in krankem Muth!	66:70	0:71
Mut	NN	1820	1	froelich_virginia01_1820-1448-12	 	Der Vater hatte mehreren glücklichen Gefechten beigewohnt, und sprach mir viel Muth ein.	79:83	0:88
Mut	NN	1973	2	2532889X_1973-08-05_01_192.tcf.xml-37-7	 	„Uns vereint gleicher Sinn, gleicher Mut\", Hanns-Eisler-Ensemble des VEB Greika Greiz und Bezirkstanzensemble Gera;	37:40	0:115
Mut	NN	1962	2	26120215_1962_02_20_01_227.tcf.xml-37-9	 	Zwar haben die Theater in der Republik allgemein mehr Mut bewiesen.	54:57	0:67
Mut	NN	1821	1	nettelbeck_lebensbeschreibung01_1821-1028-8	 	Allein auch dies blieb ein Wagstück, wozu Muth gehörte.	42:46	0:55
Mut	NN	1960	2	26120215_1960_05_31_01_258.tcf.xml-2-27	 	Das Präsidium des Obersten Sowjets der UdSSH hat den Rentner Pjotr Asabin, die Kraftfahrer Wladimir Surin und Leonid Tschushakin und den LagerangesteHten Anatoli Tscheremission für den Mut und die Tapferkeit, die sie bei der Festnahme des amerikanischen Spionage-Fliegers am 1. Mai an den Tag gelegt hatten, mit der Medaille „Für Tapferkeit\" ausgezeichnet.	185:188	0:356
