identifier1	identifier2	annotator	judgment	comment	lemma
pfeiffer_frauenfahrt02_1850-875-4	26120215_1979_11_21_01_241.tcf.xml-2-10	FWetzel	0	 	Naturschönheit
humboldt_aequinoktial03_1859-1337-12	2532889X_1956-07-28_01_054.tcf.xml-39-12	FWetzel	3	 	Naturschönheit
vischer_aesthetik01_1846-144-2	2532889X_1979-11-22_01_075.tcf.xml-7-10	FWetzel	3	 	Naturschönheit
vischer_aesthetik0201_1847-147-2	2532889X_1979-11-22_01_075.tcf.xml-7-10	FWetzel	3	 	Naturschönheit
rein_japan01_1881-453-30	schreber_kallipaedie_1858-2842-16	FWetzel	2	 	Naturschönheit
2532889X_1954-05-18_01_055.tcf.xml-38-14	francois_reckenburgerin01_1871-1499-13	FWetzel	3	 	Naturschönheit
2532889X_1954-05-18_01_055.tcf.xml-38-14	2532889X_1982-12-31_01_093.tcf.xml-8-29	FWetzel	3	 	Naturschönheit
schlegel_indier_1808-533-6	schreber_kallipaedie_1858-1664-28	FWetzel	3	 	Naturschönheit
vischer_aesthetik0201_1847-155-3	schlegel_indier_1808-533-6	FWetzel	4	 	Naturschönheit
2532889X_1971-12-23_01_007.tcf.xml-11-60	vischer_aesthetik01_1846-537-13	FWetzel	2	 	Naturschönheit
26120215_1988_06_18_01_027.tcf.xml-3-12	2532889X_1978-01-14_01_176.tcf.xml-12-4	FWetzel	4	 	Naturschönheit
locke_mond_1836-346-23	lehnert_seehaefen02_1892-2424-1	FWetzel	4	 	Naturschönheit
vischer_aesthetik01_1846-1590-60	lehnert_seehaefen02_1892-4399-4	FWetzel	2	 	Naturschönheit
2532889X_1967-07-29_01_333.tcf.xml-49-27	2532889X_1982-12-31_01_093.tcf.xml-8-29	FWetzel	4	 	Naturschönheit
26120215_1962_03_23_01_289.tcf.xml-4-10	pfeiffer_frauenfahrt02_1850-875-4	FWetzel	0	 	Naturschönheit
locke_mond_1836-346-23	2532889X_1984-07-02_01_171.tcf.xml-2-8	FWetzel	4	 	Naturschönheit
vischer_aesthetik0202_1848-473-88	fontane_brandenburg01_1862-1083-19	FWetzel	3	 	Naturschönheit
humboldt_aequinoktial02_1859-2692-2	pfeiffer_frauenfahrt02_1850-1365-26	FWetzel	3	 	Naturschönheit
2532889X_1947-11-19_01_044.tcf.xml-14-12	vischer_aesthetik0201_1847-171-27	FWetzel	4	 	Naturschönheit
2532889X_1962-08-10_01_050.tcf.xml-8-8	vischer_aesthetik0202_1848-473-88	FWetzel	3	 	Naturschönheit
26120215_1977_08_23_01_049.tcf.xml-5-13	2532889X_1973-06-23_01_345.tcf.xml-2-17	FWetzel	4	 	Naturschönheit
26120215_1975_06_10_01_050.tcf.xml-32-24	pfeiffer_frauenfahrt03_1850-887-8	FWetzel	4	 	Naturschönheit
2532889X_1980-09-05_01_070.tcf.xml-10-25	26120215_1962_03_23_01_289.tcf.xml-4-10	FWetzel	3	 	Naturschönheit
pfeiffer_frauenfahrt02_1850-1934-32	lasswitz_seife_1890-2773-5	FWetzel	2	 	Naturschönheit
26120215_1962_03_23_01_289.tcf.xml-4-10	2532889X_1976-08-07_01_256.tcf.xml-18-30	FWetzel	4	 	Naturschönheit
26120215_1983_03_10_01_050.tcf.xml-5-6	brehm_thierleben02_1865-12258-50	FWetzel	3	 	Naturschönheit
