identifier1	identifier2	annotator	judgment	comment	lemma
kerl_metallurgische_1866-5070-11	steub_tirol_1846-5873-44	FWetzel	1	 	Schmiere
brehm_thierleben05_1869-14677-12	26120215_1964_04_25_01_032.tcf.xml-1-10	FWetzel	1	 	Schmiere
keller_sinngedicht_1882-843-62	brehm_thierleben03_1866-10964-18	FWetzel	1	 	Schmiere
26120215_1985_10_03_01_252.tcf.xml-13-60	gerstner_mechanik01_1831-10982-18	FWetzel	1	 	Schmiere
26120215_1964_01_07_01_139.tcf.xml-11-24	2532889X_1964-07-11_01_119.tcf.xml-25-16	FWetzel	1	 	Schmiere
gerstner_mechanik01_1831-10827-9	2532889X_1966-04-17_01_056.tcf.xml-4-20	FWetzel	1	 	Schmiere
26120215_1952_03_01_01_037.tcf.xml-17-21	26120215_1966_10_01_01_183.tcf.xml-60-8	FWetzel	3	 	Schmiere
brehm_thierleben05_1869-14677-12	gerstner_mechanik01_1831-9110-24	FWetzel	4	 	Schmiere
avelallemant_gaunerthum02_1858-1011-6	2532889X_1964-03-12_01_145.tcf.xml-165-4	FWetzel	1	 	Schmiere
26120215_1980_03_29_01_433.tcf.xml-41-6	avelallemant_gaunerthum04_1862-18551-0	FWetzel	1	 	Schmiere
avelallemant_gaunerthum02_1858-1658-59	2532889X_1953-05-22_01_048.tcf.xml-49-11	FWetzel	1	 	Schmiere
brehm_thierleben01_1864-2353-13	gerstner_mechanik01_1831-11161-2	FWetzel	3	 	Schmiere
2532889X_1964-03-29_01_012.tcf.xml-16-7	2532889X_1951-10-13_01_064.tcf.xml-8-24	FWetzel	1	 	Schmiere
avelallemant_gaunerthum02_1858-2040-17	kurz_sonnenwirth_1855-3945-7	FWetzel	1	 	Schmiere
avelallemant_gaunerthum02_1858-1021-56	vogt_briefe02_1851-5257-58	FWetzel	1	 	Schmiere
gerstner_mechanik03_1834-8218-15	2532889X_1964-10-03_01_142.tcf.xml-19-8	FWetzel	1	 	Schmiere
avelallemant_gaunerthum02_1858-1638-6	kerl_metallurgische_1866-5070-11	FWetzel	1	 	Schmiere
2532889X_1986-04-22_01_216.tcf.xml-2-120	avelallemant_gaunerthum04_1862-16427-25	FWetzel	4	 	Schmiere
gerstner_mechanik03_1834-11167-10	26120215_1957_02_20_01_210.tcf.xml-3-2	FWetzel	1	 	Schmiere
2532889X_1964-12-03_01_195.tcf.xml-23-18	26120215_1980_03_29_01_433.tcf.xml-41-6	FWetzel	1	 	Schmiere
laband_staatsrecht02_1878-4114-13	avelallemant_gaunerthum02_1858-1638-28	FWetzel	1	 	Schmiere
avelallemant_gaunerthum04_1862-18550-46	gerstner_mechanik01_1831-10935-8	FWetzel	1	 	Schmiere
gerstner_mechanik01_1831-10935-8	26120215_1957_02_20_01_210.tcf.xml-3-2	FWetzel	1	 	Schmiere
26120215_1956_12_16_02_189.tcf.xml-4-17	gerstner_mechanik01_1831-10498-30	FWetzel	1	 	Schmiere
vogt_briefe02_1851-3388-33	2532889X_1952-09-05_01_058.tcf.xml-29-8	FWetzel	3	 	Schmiere
26120215_1961_08_18_01_282.tcf.xml-28-13	gerstner_mechanik01_1831-9245-41	FWetzel	1	 	Schmiere
ledebur_eisenhuettenkunde_1884-6401-1	wrangel_luxusfuhrwerk_1898-1763-1	FWetzel	3	 	Schmiere
gerstner_mechanik01_1831-9112-10	urbanitzky_electricitaet_1885-7795-20	FWetzel	4	 	Schmiere
26120215_1956_04_19_01_251.tcf.xml-18-10	gerstner_mechanik01_1831-11038-1	FWetzel	1	 	Schmiere
avelallemant_gaunerthum02_1858-1011-6	vogt_briefe02_1851-4079-18	FWetzel	1	 	Schmiere
vogt_briefe02_1851-5243-10	gerstner_mechanik01_1831-10931-1	FWetzel	3	 	Schmiere
baumstark_encyclopaedie_1835-8709-18	avelallemant_gaunerthum04_1862-18550-46	FWetzel	1	 	Schmiere
26120215_1948_04_15_01_042.tcf.xml-2-20	vogt_briefe02_1851-4079-18	FWetzel	1	 	Schmiere
gerstner_mechanik01_1831-9106-28	2532889X_1964-07-11_01_119.tcf.xml-25-16	FWetzel	2	 	Schmiere
gerstner_mechanik01_1831-10932-19	wrangel_luxusfuhrwerk_1898-1758-5	FWetzel	3	 	Schmiere
gerstner_mechanik01_1831-10931-1	gerstner_mechanik01_1831-10823-26	FWetzel	4	 	Schmiere
26120215_1951_06_17_01_026.tcf.xml-22-7	2532889X_1966-04-17_01_056.tcf.xml-4-20	FWetzel	3	 	Schmiere
2532889X_1947-02-11_01_170.tcf.xml-47-5	beck_eisen03_1897-9175-29	FWetzel	1	 	Schmiere
gerstner_mechanik01_1831-10925-1	26120215_1971_04_25_01_074.tcf.xml-13-9	FWetzel	1	 	Schmiere
parthey_jugenderinnerungen01_1871-367-12	2532889X_1969-10-26_01_058.tcf.xml-3-8	FWetzel	1	 	Schmiere
avelallemant_gaunerthum02_1858-1658-59	gerstner_mechanik01_1831-11038-1	FWetzel	1	 	Schmiere
26120215_1976_12_15_01_157.tcf.xml-4-29	2532889X_1948-03-25_01_064.tcf.xml-33-25	FWetzel	1	 	Schmiere
2532889X_1964-10-20_01_024.tcf.xml-13-20	2532889X_1951-10-13_01_064.tcf.xml-8-24	FWetzel	1	 	Schmiere
26120215_1957_02_20_01_210.tcf.xml-3-2	26120215_1951_06_17_01_026.tcf.xml-22-7	FWetzel	3	 	Schmiere
26120215_1953_06_04_01_165.tcf.xml-3-0	wrangel_luxusfuhrwerk_1898-1763-1	FWetzel	1	 	Schmiere
2532889X_1952-09-05_01_058.tcf.xml-29-8	brehm_thierleben01_1864-2353-13	FWetzel	3	 	Schmiere
26120215_1975_07_28_01_044.tcf.xml-41-16	26120215_1961_09_12_01_034.tcf.xml-24-6	FWetzel	1	 	Schmiere
2532889X_1964-03-29_01_012.tcf.xml-16-7	2532889X_1985-05-25_01_277.tcf.xml-13-21	FWetzel	1	 	Schmiere
26120215_1980_03_29_01_433.tcf.xml-41-6	avelallemant_gaunerthum04_1862-17240-8	FWetzel	0	 	Schmiere
26120215_1952_03_07_01_076.tcf.xml-60-18	2532889X_1958-04-15_01_080.tcf.xml-16-21	FWetzel	2	 	Schmiere
vogt_briefe02_1851-4078-42	26120215_1946_04_27_01_017.tcf.xml-7-6	FWetzel	1	 	Schmiere
ledebur_eisenhuettenkunde_1884-6401-1	gerstner_mechanik01_1831-10822-14	FWetzel	4	 	Schmiere
brehm_thierleben05_1869-14677-12	avelallemant_gaunerthum02_1858-1636-79	FWetzel	1	 	Schmiere
26120215_1961_08_18_01_282.tcf.xml-28-13	26120215_1946_09_20_01_181.tcf.xml-24-23	FWetzel	4	 	Schmiere
2532889X_1958-04-15_01_080.tcf.xml-16-21	2532889X_1964-03-29_01_012.tcf.xml-16-7	FWetzel	1	 	Schmiere
brehm_thierleben05_1869-14677-12	nn_maehrisches42_1886-36-23	FWetzel	1	 	Schmiere
baumstark_encyclopaedie_1835-8709-18	26120215_1956_03_07_01_124.tcf.xml-19-25	FWetzel	1	 	Schmiere
gerstner_mechanik03_1834-8218-15	26120215_1985_10_03_01_252.tcf.xml-13-60	FWetzel	1	 	Schmiere
avelallemant_gaunerthum02_1858-1010-3	gerstner_mechanik01_1831-10931-1	FWetzel	1	 	Schmiere
avelallemant_gaunerthum02_1858-2050-6	beck_eisen02_1895-12385-1	FWetzel	0	 	Schmiere
avelallemant_gaunerthum04_1862-18550-46	keller_sinngedicht_1882-843-62	FWetzel	1	 	Schmiere
gerstner_mechanik03_1834-8218-15	26120215_1956_04_15_02_144.tcf.xml-21-2	FWetzel	1	 	Schmiere
26120215_1986_02_18_01_174.tcf.xml-15-23	baumstark_encyclopaedie_1835-8709-18	FWetzel	1	 	Schmiere
26120215_1946_04_27_01_017.tcf.xml-7-6	26120215_1949_03_24_01_039.tcf.xml-31-3	FWetzel	1	 	Schmiere
26120215_1951_06_17_01_026.tcf.xml-22-7	gerstner_mechanik01_1831-10931-1	FWetzel	1	 	Schmiere
