identifier1	identifier2	annotator	judgment	comment	lemma
2532889X_1989-11-27_01_159.tcf.xml-8-12	26120215_1973_12_02_01_330.tcf.xml-16-14	FWetzel	0	 	Spielball
gutzkow_boerne_1840-201-14	26120215_1949_01_05_01_207.tcf.xml-6-24	FWetzel	3	 	Spielball
nn_nrhz138_1848-295-5	jhering_recht01_1852-15-16	FWetzel	3	 	Spielball
26120215_1954_01_24_01_038.tcf.xml-51-5	2532889X_1948-10-24_01_051.tcf.xml-13-27	FWetzel	2	 	Spielball
26120215_1977_04_07_01_160.tcf.xml-13-17	eschstruth_katz_1886-1719-75	FWetzel	2	 	Spielball
2532889X_1955-08-10_01_035.tcf.xml-30-12	26120215_1964_09_11_01_026.tcf.xml-15-15	FWetzel	3	 	Spielball
nn_nrhz138_1848-295-5	2532889X_1957-06-27_01_115.tcf.xml-23-7	FWetzel	3	 	Spielball
26120215_1964_09_11_01_026.tcf.xml-15-15	26120215_1958_01_01_01_267.tcf.xml-24-5	FWetzel	3	 	Spielball
bluntschli_staatslehre_1875-1223-14	2532889X_1963-01-26_01_027.tcf.xml-6-70	FWetzel	3	 	Spielball
2532889X_1950-06-28_01_053.tcf.xml-2-28	2532889X_1983-12-03_01_081.tcf.xml-4-15	stekade	4	 	Spielball
2532889X_1949-02-23_01_029.tcf.xml-9-6	2532889X_1957-09-26_01_068.tcf.xml-39-11	stekade	4	 	Spielball
26120215_1948_05_23_01_199.tcf.xml-12-9	eschstruth_katz_1886-1719-75	stekade	1	 	Spielball
2532889X_1982-10-09_01_432.tcf.xml-23-26	lehnert_seehaefen01_1891-5083-13	stekade	4	 	Spielball
pfizer_einheit_1849-62-66	26120215_1989_07_21_01_211.tcf.xml-11-42	stekade	3	 	Spielball
2532889X_1982-10-09_01_432.tcf.xml-23-26	26120215_1977_04_07_01_160.tcf.xml-13-17	stekade	4	 	Spielball
26120215_1974_02_04_01_151.tcf.xml-25-18	2532889X_1949-01-28_01_037.tcf.xml-221-14	stekade	4	 	Spielball
ludwig_erbfoerster_1853-1340-47	26120215_1982_05_15_01_027.tcf.xml-44-5	stekade	3	 	Spielball
2532889X_1947-02-21_01_032.tcf.xml-14-26	chamberlain_grundlagen02_1899-2434-86	stekade	3	 	Spielball
2532889X_1982-06-08_01_085.tcf.xml-9-11	fontane_gedichte_1851-423-17	stekade	2	 	Spielball
2532889X_1961-10-20_01_028.tcf.xml-42-16	26120215_1965_04_07_01_289.tcf.xml-77-23	stekade	3	 	Spielball
2532889X_1988-11-09_01_153.tcf.xml-9-17	26120215_1957_05_26_02_158.tcf.xml-12-10	stekade	1	 	Spielball
berg_ostasien01_1864-641-40	26120215_1949_01_05_01_207.tcf.xml-6-24	stekade	3	 	Spielball
menzel_literatur02_1828-941-6	2532889X_1973-09-16_01_130.tcf.xml-49-10	stekade	2	 	Spielball
arnimb_guenderode02_1840-1039-43	hundtradowsky_judenschule03_1823-2029-52	stekade	1	 	Spielball
26120215_1988_11_22_01_078.tcf.xml-14-3	2532889X_1956-08-17_01_045.tcf.xml-92-3	stekade	3	 	Spielball
2532889X_1959-07-18_01_064.tcf.xml-8-15	26120215_1972_11_26_01_289.tcf.xml-31-12	stekade	4	 	Spielball
2532889X_1954-02-27_01_087.tcf.xml-84-26	munzinger_japaner_1898-1292-29	stekade	3	 	Spielball
chamberlain_grundlagen02_1899-2434-86	nn_nrhz138_1848-295-5	stekade	3	 	Spielball
2532889X_1955-10-20_01_069.tcf.xml-42-7	26120215_1948_09_15_01_045.tcf.xml-21-30	stekade	3	 	Spielball
baumgart_poetik_1887-4215-57	2532889X_1990-01-10_01_046.tcf.xml-43-10	stekade	1	 	Spielball
26120215_1989_01_24_01_290.tcf.xml-5-61	wagner_zukunft_1850-856-30	stekade	2	 	Spielball
meissner_prinzessin_1882-1369-6	2532889X_1988-11-09_01_153.tcf.xml-9-17	stekade	1	 	Spielball
26120215_1974_04_28_01_426.tcf.xml-21-22	vischer_aesthetik030205_1857-1622-4	stekade	2	 	Spielball
lehnert_seehaefen01_1891-5083-13	holtei_vagabunden02_1852-1094-31	stekade	2	 	Spielball
2532889X_1960-05-10_01_015.tcf.xml-43-24	26120215_1980_05_10_01_026.tcf.xml-177-7	stekade	3	 	Spielball
2532889X_1987-11-26_01_110.tcf.xml-12-10	arnimb_guenderode02_1840-1039-43	stekade	1	 	Spielball
2532889X_1950-05-17_01_050.tcf.xml-23-39	26120215_1946_11_27_01_028.tcf.xml-42-17	stekade	0	 	Spielball
