identifier1	identifier2	annotator	judgment	comment	lemma
gutzkow_boerne_1840-847-1	2532889X_1960-08-03_01_047.tcf.xml-4-13	Zori	4	 	Unentschlossenheit
26120215_1983_06_16_01_056.tcf.xml-11-20	2532889X_1982-12-11_01_269.tcf.xml-20-38	Zori	4	 	Unentschlossenheit
2532889X_1953-11-08_01_100.tcf.xml-16-6	clausewitz_krieg03_1834-773-69	Zori	4	 	Unentschlossenheit
2532889X_1980-10-29_01_138.tcf.xml-7-15	clausewitz_krieg03_1834-1913-14	Zori	3	 	Unentschlossenheit
gutzkow_boerne_1840-1278-1	26120215_1984_04_02_01_178.tcf.xml-15-16	Zori	3	 	Unentschlossenheit
gutzkow_boerne_1840-1153-10	2532889X_1979-06-13_01_045.tcf.xml-14-29	Zori	4	 	Unentschlossenheit
keller_heinrich02_1854-430-15	26120215_1947_05_01_01_255.tcf.xml-62-2	Zori	4	 	Unentschlossenheit
bismarck_erinnerungen01_1898-2841-9	2532889X_1988-02-17_01_050.tcf.xml-48-22	Zori	4	 	Unentschlossenheit
nn_nrhz084_1848-443-21	26120215_1949_05_04_01_039.tcf.xml-21-25	Zori	4	 	Unentschlossenheit
clausewitz_krieg03_1834-1574-12	keller_heinrich03_1854-1053-10	Zori	4	 	Unentschlossenheit
2532889X_1956-05-01_01_025.tcf.xml-192-8	26120215_1963_03_05_01_199.tcf.xml-3-12	Zori	4	 	Unentschlossenheit
treitschke_geschichte01_1879-1962-3	26120215_1988_12_29_01_075.tcf.xml-24-21	Zori	4	 	Unentschlossenheit
gutzkow_boerne_1840-1281-0	2532889X_1990-08-23_01_058.tcf.xml-1-17	Zori	4	 	Unentschlossenheit
clausewitz_krieg03_1834-1126-35	26120215_1974_03_28_01_276.tcf.xml-34-14	Zori	3	 	Unentschlossenheit
gutzkow_boerne_1840-1281-0	2532889X_1977-12-31_01_043.tcf.xml-8-23	stekade	3	 	Unentschlossenheit
26120215_1963_05_11_01_093.tcf.xml-6-6	gutzkow_boerne_1840-1153-10	stekade	4	 	Unentschlossenheit
2532889X_1988-07-06_01_068.tcf.xml-70-46	2532889X_1959-12-21_01_055.tcf.xml-4-22	stekade	3	 	Unentschlossenheit
26120215_1961_12_22_01_010.tcf.xml-11-19	2532889X_1953-01-16_01_018.tcf.xml-3-9	stekade	3	 	Unentschlossenheit
2532889X_1960-08-03_01_047.tcf.xml-4-13	mommsen_roemische03_1856-1702-25	stekade	3	 	Unentschlossenheit
clausewitz_krieg03_1834-773-69	mommsen_roemische03_1856-1702-25	stekade	3	 	Unentschlossenheit
26120215_1963_11_17_01_461.tcf.xml-27-0	26120215_1990_03_14_01_042.tcf.xml-41-1	stekade	3	 	Unentschlossenheit
2532889X_1988-02-17_01_050.tcf.xml-48-22	griesinger_psychische_1845-1601-40	stekade	3	 	Unentschlossenheit
bismarck_erinnerungen01_1898-2841-9	2532889X_1989-11-11_01_069.tcf.xml-9-3	stekade	3	 	Unentschlossenheit
treitschke_geschichte01_1879-1962-3	saar_novellen_1877-2664-2	stekade	3	 	Unentschlossenheit
2532889X_1974-01-27_01_073.tcf.xml-20-8	gutzkow_serapionsbrueder03_1877-400-22	stekade	3	 	Unentschlossenheit
griesinger_psychische_1845-812-8	2532889X_1964-08-20_01_159.tcf.xml-59-1	FWetzel	3	 	Unentschlossenheit
nettelbeck_lebensbeschreibung02_1821-1022-10	26120215_1973_09_23_01_058.tcf.xml-16-8	FWetzel	3	 	Unentschlossenheit
beyer_poetik02_1883-10219-33	2532889X_1948-09-26_01_038.tcf.xml-56-9	FWetzel	4	 	Unentschlossenheit
2532889X_1961-02-25_01_054.tcf.xml-5-1	2532889X_1958-01-10_01_070.tcf.xml-43-17	FWetzel	4	 	Unentschlossenheit
alexis_ruhe04_1852-770-26	26120215_1953_03_29_01_222.tcf.xml-9-4	FWetzel	3	 	Unentschlossenheit
nn_nrhz154_1848-310-7	keller_heinrich02_1854-1761-78	FWetzel	3	 	Unentschlossenheit
26120215_1984_04_02_01_178.tcf.xml-15-16	2532889X_1962-01-20_01_093.tcf.xml-18-1	FWetzel	3	 	Unentschlossenheit
26120215_1950_10_03_01_039.tcf.xml-9-21	2532889X_1956-01-03_01_127.tcf.xml-63-5	FWetzel	3	 	Unentschlossenheit
2532889X_1968-08-31_01_122.tcf.xml-8-4	brunn_griechen0201_1856-3520-10	stekade	3	 	Unentschlossenheit
